company,hq_country,hq_city,website,main_email,switchboard,categories,approx_revenue_usd,key_clients,linkedin_company,key_exec_name,key_exec_title,key_exec_linkedin
Komar Brands,USA,New York,https://www.komarbrands.com,info@komarbrands.com,+1 212 391 0666,Sleepwear; Loungewear; Kids,500M,"Walmart, Target, Macy's, Kohl's",https://www.linkedin.com/company/komar,Charles Komar,CEO,
Centric Brands,USA,New York,https://www.centricbrands.com,info@centricbrands.com,+1 212 974 8500,Licensed Apparel; Accessories,1B,"Disney, MLB, NFL licensed apparel",https://www.linkedin.com/company/centric-brands,Jason Rabin,CEO,https://www.linkedin.com/in/jasonrabin/
DBL Group,Bangladesh,Dhaka,https://www.dbl-group.com,info@dbl-group.com,+880 2 8181 244,Knit Garments; Denim,750M,"H&M, Inditex, G-Star, Esprit",https://www.linkedin.com/company/dbl-group,M.A. Jabbar,Managing Director,https://www.linkedin.com/in/majabbar/
Beximco Group (Apparel Division),Bangladesh,Dhaka,https://www.beximco.com,info@beximco.com,+880 2 9881 071,Garments; Vertical Textiles,1.2B,"M&S, Tesco, JCPenney, Calvin Klein",https://www.linkedin.com/company/beximco,Salman F. Rahman,Vice Chairman,
Ha-Meem Group,Bangladesh,Dhaka,https://www.hameemgroup.com,info@hameemgroup.com,+880 2 9842 391,Denim; Wovens,600M,"GAP, JCPenney, H&M, Levi's, Wrangler",https://www.linkedin.com/company/ha-meem-group,A.K. Azad,CEO,
Mohammadi Group,Bangladesh,Dhaka,https://www.mohammadigroup.com,info@mohammadigroup.com,+880 2 8181 244,Garments; Knits,400M,"M&S, Tesco, Walmart",https://www.linkedin.com/company/mohammadi-group,Rubana Huq,MD,https://www.linkedin.com/in/rubana-huq/
Square Fashions / Square Group,Bangladesh,Dhaka,https://www.squaregroup.com,info@squaregroup.com,+880 2 8833 047,Garments; Knits,500M,"M&S, H&M, JCPenney, Walmart",https://www.linkedin.com/company/square-group-bd,Tapan Chowdhury,MD,
Vinatex (Vietnam National Textile & Garment Group),Vietnam,Hanoi,https://www.vinatex.com.vn,info@vinatex.com.vn,+84 24 3825 7700,Garments; Yarns; Wovens,2.5B,"Uniqlo, GAP, Old Navy, Macy's",https://www.linkedin.com/company/vinatex,Le Tien Truong,CEO,
TBS Group,Vietnam,Ho Chi Minh City,https://www.tbsgroup.vn,info@tbsgroup.vn,+84 274 376 5005,Footwear; Bags; Garments,600M,"Skechers, Decathlon, Wolverine",https://www.linkedin.com/company/tbs-group,Nguyen Duc Thuan,Chairman,
Hoa Tho Textile-Garment,Vietnam,Da Nang,https://hoatho.com.vn,info@hoatho.com.vn,+84 236 3846 290,Garments; Yarns,250M,"GAP, JCPenney, Target",https://www.linkedin.com/company/hoa-tho-corp,Nguyen Van Hai,CEO,
Sun Tekstil,Turkey,Izmir,https://www.suntekstil.com.tr,info@suntekstil.com.tr,+90 232 463 0270,Womenswear; Knits,400M,"Inditex (Zara), Marks & Spencer, Massimo Dutti",https://www.linkedin.com/company/sun-tekstil,Elvan Unluturk,Vice Chairman,https://www.linkedin.com/in/elvan-unluturk-b6651012/
Sanko Holding (Apparel),Turkey,Gaziantep,https://www.sanko.com.tr,info@sanko.com.tr,+90 342 211 7800,Yarns; Denim; Garments,3B (group),"Levi's, GAP, H&M",https://www.linkedin.com/company/sanko-holding,Adil Sani Konukoglu,Chairman,
Yilmak Tekstil,Turkey,Istanbul,https://www.yilmaktekstil.com,info@yilmaktekstil.com,+90 212 671 8480,Knit Garments,150M,"Inditex, Mango, M&S",https://www.linkedin.com/company/yilmak-tekstil,,,
Eroglu Holding,Turkey,Istanbul,https://www.erogluholding.com,info@erogluholding.com,+90 212 410 2000,Denim; Garments,500M,"Mavi (own), Inditex, JCPenney, Bershka",https://www.linkedin.com/company/eroglu-holding,Nurettin Eroglu,Chairman,
Shenzhou International,China,Ningbo,https://www.shenzhouintl.com,ir@shenzhouintl.com,+86 574 6522 7888,Knit Garments (vertically integrated),3.5B,"Nike, Adidas, Uniqlo, Puma",https://www.linkedin.com/company/shenzhou-international-group,Ma Jianrong,Chairman & CEO,
Texhong Textile Group,China,Shanghai,https://www.texhong.com,enquiry@texhong.com,+86 21 6080 5555,Yarns; Fabrics; Apparel,1.5B,"Uniqlo, Adidas, Nike",https://www.linkedin.com/company/texhong-textile-group,Hong Tianzhu,Chairman,
Pacific Textiles,China,Hong Kong,https://www.pacific-textiles.com,info@pacific-textiles.com,+852 2615 8333,Knit Fabrics; Garments,700M,"Uniqlo, Decathlon, Adidas",https://www.linkedin.com/company/pacific-textiles-holdings-limited,,,
Pan Brothers,Indonesia,Tangerang,https://www.panbrotherstbk.com,corp@panbrotherstbk.com,+62 21 5563 2727,Garments; Sportswear,600M,"Uniqlo, Adidas, Nike, Calvin Klein",https://www.linkedin.com/company/pt-pan-brothers-tbk,Anne Patricia Sutanto,Vice CEO,https://www.linkedin.com/in/anne-patricia-sutanto-9aa3aa11/
Sri Rejeki Isman (Sritex),Indonesia,Sukoharjo,https://www.sritex.co.id,info@sritex.co.id,+62 271 593 188,Yarns; Fabrics; Garments; Uniforms,750M,"NATO uniforms, Walmart, JCPenney",https://www.linkedin.com/company/sri-rejeki-isman,Iwan S. Lukminto,CEO,
T&C Garments (Arafa Holding),Egypt,Cairo,https://www.arafaholding.com,info@arafaholding.com,+20 2 2671 7400,Mens Tailoring; Suits,250M,"Marks & Spencer, BHS, Hugo Boss",https://www.linkedin.com/company/arafa-holding,Mohamed Arafa,Chairman & CEO,
Lotus Garments,Egypt,Cairo,https://www.lotusgarments.com,info@lotusgarments.com,+20 2 4021 1000,Knit Garments,120M,"Walmart, Decathlon, Carrefour",https://www.linkedin.com/company/lotus-garments-group,,,
Interloop Limited,Pakistan,Faisalabad,https://www.interloop-pk.com,info@interloop-pk.com,+92 41 879 1000,Hosiery; Activewear; Denim,600M,"Nike, Adidas, Puma, Levi's, H&M",https://www.linkedin.com/company/interloop-limited,Navid Fazil,CEO,https://www.linkedin.com/in/navid-fazil-a36a081/
Nishat Mills,Pakistan,Lahore,https://www.nishatmillsltd.com,info@nishatmills.com,+92 42 3656 1351,Yarns; Fabrics; Garments; Home Textile,900M,"M&S, JCPenney, IKEA, Levi's",https://www.linkedin.com/company/nishat-mills-limited,Mian Hassan Mansha,CEO,
Gul Ahmed Textile,Pakistan,Karachi,https://www.gulahmed.com,info@gulahmed.com,+92 21 3257 2581,Home Textiles; Garments; Yarn,750M,"IKEA, Walmart, Carrefour, JCPenney",https://www.linkedin.com/company/gul-ahmed-textile-mills,Mohomed Bashir,Chairman,
Jordache Enterprises,USA,New York,https://www.jordache.com,info@jordache.com,+1 212 279 7383,Denim; Apparel,500M,"Walmart, Target, Costco",https://www.linkedin.com/company/jordache-enterprises-inc-,Avi Nakash,Co-Founder,
