name,rewriteId,detail_url,country,province,city,zip,street,building,phone,fax,email,homepage,short_description,description,halls,stands,zones,exhibitor_programs,product_categories,usage_areas,product_end_uses,keywords,tags,brands,facebook,instagram,linkedin,twitter,youtube,tiktok,wechat,weibo,whatsapp,logo,last_approval
Aarova VZW,aarova-vzw,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/aarova-vzw.html,Belgium,,Oudenaarde,9700,Industriepark de Bruwaan 85,,+32 473 88 78 45,,info@aarova.be,https://www.aarova.be,,"AAROVA : Inwerk, uitwerk, diensten en events: 1) Sample Making for Carpets; Textiles and upholstery fabrics; cushionfloor...",12.0,H12.0-B41C,,,,,,AAROVA; Eat@12; Pastati; Sample Making; Carpet Handling,,,,,,,,,,,,,2026-03-08T04:23:19
Aauraa Home Fashion Pvt. Ltd.,aauraa-home-fashion-pvt-ltd,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/aauraa-home-fashion-pvt-ltd.html,India,,"Karur, Tamil Nadu",639002,"Pavithiram Anjal No. 1, S.F - 116/3, Muthusolipalayam",Pavithiram Anjal,+91 99949 19124,+91 99949 19124,nm.aauraahomefashion@gmail.com,https://www.aauraahomefashion.in,,"Aauraa Home Fashion  Welcome to state-of-the-art infrastructure that focuses on green living, responsible practices and the...",8.0,H8.0-J53B,,Econogy FINDER; Retail trade suppliers,"Bed, Bath & Living",,,"Organic Cotton, GOTS , Cotton Linen, Recycled cotton, Sustainable textiles; Curtains, Table linen / Kitchen linen /  Aprons, / Cushions/  Throws; Tablecloths / Table Runners / Kitchen towels / Oven Gloves /  Potholders; Digital / Semi Digital Printing; Design Studio / Engineered Prints /  Embroideries/Jacquard's/ Woven Textures",,,,,,,,,,,,,2025-11-18T12:03:36
ABBS International Inc.,abbs-international-inc,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/abbs-international-inc.html,India,,Panipat,132103,"A1/18, S-1 Eldeco Estate One, Sec. 40","A1/18, S-1",+91 98963 04849,+91 180 400 4844,suren@abbs.in,https://www.abbs.in,,"ABBS INTERNATIONAL INC. INCORPORATED IN 1999 MANUFACTURING HOME FURNISHING PRODUCTS ON IN HOUSE FLAT KNITTED MACHINES, BRAIDED...",8.0,H8.0-F90,,,"Bed, Bath & Living",,,"KNITTED THROWS BLANKETS, PILLOWS, CC, BABY BLANKETS, DOG BED; KNITTED BAGS, STATIONERY BAGS, RUGS, BASKETS, SCARF, CAPS; KNITTED GLOVES, BRAIDED JUTE RUGS, AREA RUGS ; TERRY TOWELS, BATHMATS, BATHROBES, BEACH TOWELS, FUTA TOWELS; TUFTED BATHMATS, BATHRUGS, TUFTED THROWS, CUSHION COVERS",,,,,,,,,,,,,2025-09-23T16:14:21
ABC Italia S.r.l.,abc-italia-srl,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/abc-italia-srl.html,Italy,,Milano,20122,Via Borgogna 7,,+39 0377 464311,+39 0377 832098,info@abcitalia.net,https://www.abcitalia.net,,"ABC Italia has been a leader in carpet production and trade for over 60 years.Our design, production, and logistics departments...",12.0,H12.0-B80,,,Carpets & Rugs,,,carpets; rugs; Teppiche; floor coverings; kilim rugs,,,,https://www.instagram.com/abcitalia,https://it.linkedin.com/company/abc-italia,,,,,,393456894254,company_pictures/10000000202601/491568/1760603304844_3734191474.jpg,2025-12-01T11:00:51
ABC Tekstil Sanayi ve Ticaret A.S.,abc-tekstil-sanayi-ve-ticaret-as,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/abc-tekstil-sanayi-ve-ticaret-as.html,Türkiye,,Pamukkale / Denizli,20170,"Pinarkent Mahallesi, Sahinler Kume Evler, No: 136",,+90 258 286 56 91,+90 258 286 58 25,abc@abctekstil.com,https://www.abctekstil.com,,"High quality towels with different range of designs. we provide good service, quality and fast response to our customers...",5.0,H5.0-C41,,Selected for Heimtextil Trends,"Bed, Bath & Living",,,Bathrobes; Beach Towels; Bath Linens; Kitchen Towels; Towels,,,,https://instagram.com/abc_tekstil,https://tr.linkedin.com/company/abc-tekstil-giyim-sanayi-ve-ticaret-ltd-sti,,,,,,,company_pictures/10000000202601/458278/1761645429726_2949615749.jpg,2025-11-19T10:30:17
Abdul Ahad Textile Mills Pvt Limited,abdul-ahad-textile-mills-pvt-ltd,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/abdul-ahad-textile-mills-pvt-ltd.html,Pakistan,,Faisalabad,38000,18 Km Sheikhupura Road,,+92 301 1777017,+92 307 1999019,aamir@abdulahadtextiles.com,https://www.abdulahadtextilemills.com,,Abdul Ahad Textile Mills (Pvt) Ltd.   Abdul Ahad Textiles started its successful journey back in the 90s with a humble beginning...,8.0,H8.0-J34,,,"Bed, Bath & Living",,,Home Textiles; Bed Linen & Duvet Covers ; Hospital & Institutional Textiles; Made-ups Manufacturer Pakistan; Sustainable & Antibacterial Fabrics,,,,http://instagram.com/tahabutt_77,http://linkedin.com/in/taha-bin-aamir-butt-659111103,,,,,,,,2025-09-19T12:55:12
Abdullah Textile,abdullah-textile,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/abdullah-textile.html,Pakistan,,Lahore,54770,"Sector 1, Defence Road 69 CCA Dha Phase Xi (Rahbar)","Sector 1, Defence Road",+92 300 8414669,,info@kintex.com.pk,https://www.kintex.com.pk,,"A Division of Kintex Group was established in the year 1999 in Lahore, Pakistan. For more than two decades the group has...",8.0,H8.0-K22,,,,,,,,,,,,,,,,,923009657744,,2025-12-29T08:52:50
Abdur Rahman Corporation (Pvt.) Ltd.,abdur-rahman-corporation-pvt-ltd,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/abdur-rahman-corporation-pvt-ltd.html,Pakistan,,Faisalabad,38000,"3 KM Jaranwala Road, Khurrianwala",,+92 333 9929910,+92 41 2424197,ahmad@arctex.com.pk,https://www.arc.com.pk,,"ARC / ABDUR RAHMAN CORPORATION PRIVATE LTD, PAKISTAN is one of the oldest manufactures/exporters of home textiles & institutional...",8.0,H8.0-F56,,,,,,ARC,,,,,https://www.linkedin.com/company/abdur-rahman-corporation-pvt-ltd/posts,,,,,,923009657744,,2026-03-08T03:18:15
Abida International,abida-international,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/abida-international.html,India,IND_24,Noida,201301,"C-26, Sector-12",,+91 120 427 4514,+91 120 427 4514,kafeel.abida@gmail.com,https://www.abidarugs.com,,ABOUT COMPANYSA 8000:2014 Certified CompanyInnovation and Excellence: Abida International is a SA 8000:2014 certified company...,11.1,H11.1-C51B,,,,,,,,,,,,,,,,,,,2026-03-08T03:37:11
ABN Pazarlama Konfeksiyon Tekstil San. ve Tic. Ltd. Sti.,abn-pazarlama-konfeksiyon-tekstil-san-ve-tic-ltd-sti,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/abn-pazarlama-konfeksiyon-tekstil-san-ve-tic-ltd-sti.html,Türkiye,,Denizli,20050,Hacieyüplü Mah. 3075 Sok. No: 10 Merkezefendi,Merkezefendi,+90 258 371 22 40,+90 258 371 88 60,emre.sengul@abntekstil.com,https://abntekstil.com,,PRODUCING HOME TEXTILE PRODUCTS FOR WELL KNOWN EUROPEAN BRANDS AND COMPANIES UNDER OEKO-TEX QUALITY STANDART. OUR FACTORIES...,6.0,H6.0-C40,,,"Bed, Bath & Living",,,BEDLINEN; BED SHEET; BATHROBE; SOFA COVER; TOWEL,,,,,,,,,,,,,2026-03-08T03:52:21
Abra Cotton Creations Pvt. Ltd.,abra-cotton-creations-pvtltd,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/abra-cotton-creations-pvtltd.html,India,IND_06,Ahmedabad,382405,"Narol 10-A/B, Sardar Patel Industrial Estate",Narol,+91 99099 56443,,rahul@cottoncreations.in,https://www.cottoncreations.in,,"ABRA Cotton Creations, a legacy of comfort, craftsmanship, and trust. Founded in 1993 by Mr. Teckchandani, ABRA was built...",8.0,H8.0-E16,,Econogy FINDER; Interior.Architecture.Hospitality FINDER,"Bed, Bath & Living",,,"Bed Linen; OEKO-TEX Certified; Rotary, Panel and Digital Printing; Sustainable Bedding; Duvet Covers, Fitted sheets and Pillow covers",,,,,,,,,,,,,2025-11-06T11:46:36
ABS International,abs-international,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/abs-international.html,United States,California,Lake Forest California,92630,23 Caspian,,+1 415-830-6647,+1 415-889-6518,pyan@pacbell.net,https://www.abstrade.com,,ABS International: Innovating Home Fashion Since 1998 ABS International is a leading supplier specializing in the development...,8.0,H8.0-F80,,Selected for Heimtextil Trends,"Bed, Bath & Living; Smart Bedding",,,Home Textile; Sustainability Resource; Bedding Products; Throw and Blanket; Bath Rug,,,,,,,,,,,,,2026-03-08T03:12:47
Accent Textiles Company Limited,accent-textiles-company-limited,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/accent-textiles-company-limited.html,China,Jiangsu,Changshu Jiangsu,215539,"No. 10 Kaicheng Road, Zhitang Industrial Zone",,,,lauralan@ailsin.com.cn,,,,9.1,H9.1-H11A,,,"Bed, Bath & Living",,,,,,,,,,,,,,,,2025-11-19T10:50:46
Acg Kinna Automatic AB,acg-kinna-automatic-ab,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/acg-kinna-automatic-ab.html,Sweden,,Skene,511 62,Maskingatan 10,,+46 72 050 49 03,,tomas.aspenskog@kinnaautomatic.com,https://www.kinnaautomatic.com,,Welcome to ACG Kinna Automatic – since 1977 we are one of the world’s most experienced manufacturer of innovative automation...,4.0,H4.0-G59,,,Textile Technology,,,Automatic sewing; Automatic packing; Pillow filling; Pillow production; Quilt production,,,,,https://www.linkedin.com/company/acg-kinna-automatic-ab,,,,,,,,2026-03-08T05:26:17
Achal Amit & Co.,achal-amit--co,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/achal-amit--co.html,India,,Agra,282002,105 Nehru Nagar,,+91 98372 55587,,agra@achalamit.in,https://www.achalamit.com,,"Achal Amit & Co. is a privately owned, debt free company. It is a vertically integrated organization manufacturing floor...",11.0,H11.0-B60,,Econogy FINDER,"Bed, Bath & Living; Carpets & Rugs",,,india; rugs; carpets; bathmats; machine made,,,,,,,,,,,,,2025-11-15T10:41:53
"ACL Impex, Lda.",acl-impex-lda,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/acl-impex-lda.html,Portugal,,"Gondar, Guimaraes",4835-606,Rua Monte de Cima 314,,+351 253 539 780,+351 252 085 936,vitoria.rodrigues@acl-home.com,https://www.aclimpex.com,,"A legacy of 100 years in beddingACL Impex’s roots can be traced four generations, to 1922. Since then, we have been focused...",5.0,H5.0-C19,,,"Associations, institutes, publishers; Bed, Bath & Living",,,Home textiles; Bed linen; High-quality bedding; Egyptian Cotton™; Cashmere,,,,,https://pt.linkedin.com/company/aclimpex,,,,,,,,2026-03-08T05:15:49
Acm Italy Srl,acm-italy-srl,https://heimtextil.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/acm-italy-srl.html,Italy,Milano,Casorezzo,20003,Viale Enrico Mattei 8,,+39 02 9036 1148,+39 02 901 3173,marketing@acm-italy.com,https://www.acm-italy.com,,"Since 1973, we have been producing adhesives, glues, and resins to serve both professional decorators and DIY enthusiasts...",3.0,H3.0-A95,,,Wall Decoration,,,Wallcovering systems; Waterproof coatings; Made in Italy; Primers for wallcoverings; Wallpaper adhesives,,,,https://www.instagram.com/acm.italy,,,,,,,,,2025-09-23T14:45:53
