Company,Country,City,Category,Fair,Website,Email,Phone_WhatsApp,LinkedIn,LinkedIn_Handle,Instagram,Instagram_Handle,Facebook,Facebook_Handle,Stand_Booth,Hall_Stand,Address,Detail_URL,Has_Email,Has_Website,Has_Phone,Contact_Score,Notes
ALLEY DOCKS 963,Italy,,Lifestyle; Classic; Sportswear; Informal; Urban; Contemporary,Pitti Uomo 110,http://www.alleydocks.com,info@alleydocks.com,+39) 030 348451,,,https://www.instagram.com/alley_docks,alley_docks,https://www.facebook.com/Alleydocks/,Alleydocks,PADIGLIONE CENTRALE / PIANO TERRA / E/9,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alley-docks-963,True,True,True,4,
ALPENHAUS,Canada,,,Pitti Uomo 110,http://www.alpenhaus.com,info@alpenhaus.com,,https://www.linkedin.com/company/alpenhaus%C2%AE-outerwear/,alpenhaus%C2%AE-outerwear,https://www.instagram.com/alpenhaus,alpenhaus,https://www.facebook.com/profile.php,profile.php,SALA DELLA RONDA / 35-36,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alpenhaus,True,True,False,4,
ALPHA STUDIO,Italy,,Sustainable; Essentials; Classic; New Formal; Informal; Urban; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.alpha-studio.com,cs.alphastudio@the-ffw.com,02196080978,,,https://www.instagram.com/alphastudioofficial,alphastudioofficial,https://www.facebook.com/AlphaStudioOfficial/,AlphaStudioOfficial,PADIGLIONE CENTRALE / PIANO ATTICO / J/6-8,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alpha-studio,True,True,True,4,
AMA-BRAND,Italy,,Lifestyle; Outdoor; Activewear; Informal; Urban; Luxury; Contemporary,Pitti Uomo 110,http://www.ama-brand.com,info@ama-brand.com,00223440504,,,https://www.instagram.com/amabrand,amabrand,,,PADIGLIONE CAVANIGLIA / 17,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/ama-brand,True,True,True,4,
AMANDA CHRISTENSEN,Sweden,,,Pitti Uomo 110,https://www.houseofamandachristensen.com,economy@houseofamandachristensen.com,556051925701,https://www.linkedin.com/company/18203634/,18203634,https://www.instagram.com/houseofamandachristensen,houseofamandachristensen,https://www.facebook.com/Amanda-Christensen-AB-541110402592755/,Amanda-Christensen-AB-541110402592755,PADIGLIONE CENTRALE / PIANO INFERIORE / O/19,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/amanda-christensen,True,True,True,5,
AMBITIOUS,Portugal,,Lifestyle; Sustainable; Essentials; Cutting-Edge; Classic; New Formal; Informal; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.ambitious-brand.com,customer.service@ambitious-brand.com,+351 253 559 043,https://www.linkedin.com/company/ambitious-brand/,ambitious-brand,https://www.instagram.com/ambitiousbrand,ambitiousbrand,https://www.facebook.com/ambitiousbrands,ambitiousbrands,PADIGLIONE CENTRALE / PIANO TERRA / J/5,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/ambitious,True,True,True,5,
AMERICAN VINTAGE,France,,,Pitti Uomo 110,http://www.americanvintage-store.com,info@americanvintage-store.com,,,,https://www.instagram.com/americanvintage_officiel,americanvintage_officiel,,,ARSENALE / PIANO TERRA / 1-5,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/american-vintage,True,True,False,3,
AMERIGO VESPUCCI COLLECTION BY MARINA MILITARE,Italy,,Lifestyle; Essentials; Nordic Style; Classic; New Formal; Outdoor; Globetrotter; High Performance; Sportswear; Informal,Pitti Uomo 110,https://www.marinamilitare-sportswear.com,,,,,https://www.instagram.com/marinamilitaresportswear,marinamilitaresportswear,,,PADIGLIONE CENTRALE / PIANO TERRA / K/12,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/amerigo-vespucci-collection-by-marina-militare,False,True,False,2,
AMUNDSEN,Norway,,,Pitti Uomo 110,,,,,,,,,,SALA DELLA RONDA / 22,,,,False,False,False,0,
ANCIENT GREEK SANDALS,Greece,,Craftsmanship,Pitti Uomo 110,http://www.ancient-greek-sandals.com,av@accentprojects.co,+30 210 0107708,,,https://www.instagram.com/ancientgreeksandals,ancientgreeksandals,https://www.facebook.com/ancientgreeksandals,ancientgreeksandals,SALA DELLE NAZIONI / B/5-7,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/ancient-greek-sandals,True,True,True,4,
AND1,United Kingdom,,Lifestyle; Cutting-Edge; Denimwear; Activewear; Premium Streetwear; Urban; Youth Culture; Contemporary; Collection,Pitti Uomo 110,,,,,,,,,,ARMERIA / 25-29,,,,False,False,False,0,
ANDREA GRECO,Italy,,Lifestyle; Special Co-Lab/Limited Edition; Nordic Style; Japan Style; British Style; Classic; Urban; Luxury; Craftsmanship; Collection,Pitti Uomo 110,,,,,,,,,,PADIGLIONE CENTRALE / PIANO INFERIORE / S/22,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/andrea-greco,False,False,False,0,
ANDREU,Spain,,Sustainable; Essentials; Nordic Style; Classic; New Formal; Workwear; Globetrotter; Urban; Contemporary,Pitti Uomo 110,http://www.sebastianandreu.com,info@sebastianandreu.com,+34) 93 3 179 031,https://www.linkedin.com/company/sebastian-andreu,sebastian-andreu,https://www.instagram.com/sebastianandreu_barcelona,sebastianandreu_barcelona,,,PADIGLIONE CENTRALE / PIANO TERRA / C/10,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/andreu,True,True,True,5,
ANERKJENDT,Denmark,,Nordic Style; Japan Style; Denimwear; Outdoor; Urban; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.anerkjendt.com,shop@anerkjendt.com,40 41 42 43 44 45 46,https://dk.linkedin.com/company/anerkjendt,anerkjendt,https://www.instagram.com/anerkjendt_official,anerkjendt_official,https://www.facebook.com/Anerkjendt/,Anerkjendt,PADIGLIONE CAVANIGLIA / 21,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/anerkjendt,True,True,True,5,
ANGELO JAKOB SWITZERLAND,Switzerland,,Lifestyle; Sustainable; Cutting-Edge; British Style; Classic; High Performance; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,https://angelojakob.com,hello@angelojakob.com,,,,https://www.instagram.com/angelojakob,angelojakob,,,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 37,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/angelo-jakob-switzerland,True,True,False,3,
ANGELO ROMA,Italy,,Lifestyle; Classic; Informal,Pitti Uomo 110,http://www.angeloroma.it,,,,,https://www.instagram.com/angeloroma_official,angeloroma_official,,,COSTRUZIONI LORENESI / PIANO PRIMO / 8,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/angelo-roma,False,True,False,2,
ANT45,Italy,,Sustainable; Sportswear; Premium Streetwear; Urban; Youth Culture,Pitti Uomo 110,http://www.ant45.com,info@ant45.com,01727920173,,,https://www.instagram.com/ant45_official,ant45_official,,,PADIGLIONE CENTRALE / PIANO ATTICO / G/13,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/ant45,True,True,True,4,
ANTICA CUOIERIA,Italy,,,Pitti Uomo 110,http://www.anticacuoieria.it,SUPPORT@ANTICACUOIERIA.IT,(39) 0575 42811,,,https://www.instagram.com/anticacuoieria,anticacuoieria,https://www.facebook.com/anticacuoieria/,anticacuoieria,PADIGLIONE CENTRALE / PIANO TERRA / B/16,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/antica-cuoieria,True,True,True,4,
ANTIK BATIK,France,,Lifestyle; Essentials; Denimwear; Globetrotter; Informal; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.antikbatik.com,,,,,https://www.instagram.com/antikbatik_paris,antikbatik_paris,,,SALA DELLE NAZIONI / A/30,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/antik-batik,False,True,False,2,
ANTONIO BARBUTO,Italy,,Lifestyle; New Formal; Denimwear; Outdoor; Luxury,Pitti Uomo 110,http://www.antoniobarbuto.it,info@antoniobarbuto.it,+39 0967 91092,,,,,http://www.facebook.com/pages/Antonio-Barbuto-Co-Srl/599518753407460,pages,PADIGLIONE CENTRALE / PIANO INFERIORE / Q/5,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/B/antonio-barbuto,True,True,True,3,
AQUA ALTA,Italy,,Lifestyle; Essentials; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.aqua-alta.com,online@aqua-alta.com,36 37 38 39 40 41,,,https://www.instagram.com/aquaalta.venezia,aquaalta.venezia,https://www.facebook.com/profile.php,profile.php,PADIGLIONE CENTRALE / PIANO ATTICO / B/9,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/aqua-alta,True,True,True,4,
AQUASCUTUM ACTIVE,Italy,,Lifestyle; Sustainable; British Style; Outdoor; High Performance; Activewear; Sportswear; Urban; Contemporary; Collection,Pitti Uomo 110,,,,,,https://www.instagram.com/aquascutumactive,aquascutumactive,,,COSTRUZIONI LORENESI / PIANO TERRA / 4,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/aquascutum-active,False,False,False,1,
ARCHIVIUM,Italy,,,Pitti Uomo 110,http://www.archiviumbeupdated.com,cottoncompanysrl@gmail.com,+39 030 348451,,,https://www.instagram.com/archivium_beupdated,archivium_beupdated,,,PADIGLIONE CENTRALE / PIANO ATTICO / E/4,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/archivium,True,True,True,4,
ARCURI,Italy,,,Pitti Uomo 110,http://www.arcuricravatte.it,info@arcuricravatte.it,+39 3 47 382 3799,,,https://www.instagram.com/arcuri_cravatte,arcuri_cravatte,https://www.facebook.com/arcuricravatte/,arcuricravatte,PADIGLIONE CENTRALE / PIANO TERRA / C/8,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/arcuri,True,True,True,4,
ARMOR LUX,France,,Sustainable; Essentials; Workwear; Sportswear; Urban; Contemporary,Pitti Uomo 110,,,,,,https://www.instagram.com/armorluxofficiel,armorluxofficiel,,,SALA DELLE NAZIONI / B/26-28,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/armor-lux,False,False,False,1,
ARO,Spain,,,Pitti Uomo 110,https://aroshoes.com,service@aroshoes.com,,,,https://www.instagram.com/aroshoes___,aroshoes___,https://www.facebook.com/sneakersaro,sneakersaro,PADIGLIONE CAVANIGLIA / 118,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/aro,True,True,False,3,
ARTICO,Italy,,Lifestyle; Sustainable; Classic; Outdoor; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.articofashion.com,info@articofashion.com,+39 051 828266,https://www.linkedin.com/company/artico-sas,artico-sas,https://www.instagram.com/artico_official_,artico_official_,https://www.facebook.com/articosnc,articosnc,PADIGLIONE CENTRALE / PIANO INFERIORE / S/11,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/artico,True,True,True,5,
ASICS WALKING,Japan,,Lifestyle; New Formal; Informal; Urban; Contemporary,Pitti Uomo 110,https://walking.asics.com,info@walking.asics.com,,,,https://www.instagram.com/asics_walking,asics_walking,,,PADIGLIONE CENTRALE / PIANO ATTICO / H/13,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/asics-walking,True,True,False,3,
ASTORFLEX,Italy,,Outdoor; Activewear; Informal; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.astorflex.it,info@astorflex.it,+39 0376 660170,,,https://www.instagram.com/astorflex_official,astorflex_official,https://www.facebook.com/calzaturificioastorflex/,calzaturificioastorflex,SALA DELLE NAZIONI / B/18,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/astorflex,True,True,True,4,
AT.P.CO,Italy,,Lifestyle; Essentials; New Formal; Denimwear; Outdoor; Informal; Urban; Contemporary; Collection,Pitti Uomo 110,http://www.atpco.it,,,,,https://www.instagram.com/atpco.it,atpco.it,,,PADIGLIONE CENTRALE / PIANO TERRA / H/6-8,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/at-p-co,False,True,False,2,
ATALASPORT,Italy,,Lifestyle; Sustainable; Premium Streetwear; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.atalasport.it,info@atalasport.it,,,,https://www.instagram.com/atalasport,atalasport,https://www.facebook.com/atalasport,atalasport,SALA DELLE NAZIONI / B/3,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/atalasport,True,True,False,3,
ATELIER DI FALCO,Turkey,,Essentials; Classic; New Formal; Denimwear; High Performance; Activewear; Sportswear; Informal; Luxury; Contemporary,Pitti Uomo 110,http://www.atelierdifalco.com,info@atelierdifalco.com,,,,https://www.instagram.com/atelierdifalco.official,atelierdifalco.official,https://www.facebook.com/atelierdifalco,atelierdifalco,COSTRUZIONI LORENESI / PIANO PRIMO / 5,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/atelier-di-falco,True,True,False,3,
ATHISON,Italy,,Lifestyle; Sustainable; Nordic Style; Japan Style; British Style; Classic; New Formal; Urban; Luxury; Craftsmanship,Pitti Uomo 110,http://www.athison.com,athison@manifatturadomodossola.it,,,,https://www.instagram.com/athison1913,athison1913,https://www.facebook.com/athison1913,athison1913,PADIGLIONE CENTRALE / PIANO TERRA / C/6,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/athison,True,True,False,3,
ATLANTIC STARS,Italy,,Lifestyle; Sportswear; Urban,Pitti Uomo 110,http://atlanticstars.it,shop@atlanticstars.it,05678120287,,,https://www.instagram.com/atlanticstars,atlanticstars,https://www.facebook.com/atlanticstarsofficial/,atlanticstarsofficial,CORTILE LORENESI / 3,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/atlantic-stars,True,True,True,4,
AURELIEN,Netherlands,,Lifestyle; Essentials; Classic; New Formal; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.aurelien.com,customercare@aurelien-online.com,,,,https://www.instagram.com/aurelien_official,aurelien_official,https://www.facebook.com/Aurelien.Online,Aurelien.Online,PADIGLIONE CENTRALE / PIANO INFERIORE / S/10,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/aurelien,True,True,False,3,
AVANT TOI,Italy,,Lifestyle; Essentials; Contemporary,Pitti Uomo 110,http://www.avant-toi.it,showroom.milano@liapull.it,+39 02 89 07 71 12,,,https://www.instagram.com/avant_toi.it,avant_toi.it,,,PADIGLIONE CENTRALE / PIANO ATTICO / B/2-4,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/avant-toi,True,True,True,4,
AVIREX,Italy,,,Pitti Uomo 110,,,,,,,,,,PADIGLIONE CENTRALE / PIANO TERRA / H/17,,,,False,False,False,0,
AZMAN,United Arab Emirates,,,Pitti Uomo 110,,,,,,,,,,PADIGLIONE CENTRALE / PIANO ATTICO / G/4,,,,False,False,False,0,
B.D. BAGGIES,U.S.A.,,,Pitti Uomo 110,http://www.bdbaggies.com,customerservice@bdbaggies.com,02370420370,,,https://www.instagram.com/bdbaggies,bdbaggies,https://www.facebook.com/B-D-Baggies-1052706384758469,B-D-Baggies-1052706384758469,AREA MONUMENTALE / SALA DELLA VOLTA E CORRIDOIO DELL'ARCO / 1,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/B/b-d--baggies,True,True,True,4,
BABETTE WASSERMAN LONDON,United Kingdom,,Lifestyle; Japan Style; British Style; Classic; New Formal; Workwear; Premium Streetwear; Luxury; Contemporary; Collection,Pitti Uomo 110,http://www.babette-wasserman.com,info@babette-wasserman.com,+44 (0)20 89649777,,,https://www.instagram.com/babettewasserman,babettewasserman,https://www.facebook.com/babettewassermanjewellery,babettewassermanjewellery,PADIGLIONE CENTRALE / PIANO INFERIORE / P/23,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/B/babette-wasserman-london,True,True,True,4,
BAINDEMER,France,,,Pitti Uomo 110,,,,,,,,,,PADIGLIONE CENTRALE / PIANO ATTICO / J/10,,,,False,False,False,0,
BALDININI,Italy,,,Pitti Uomo 110,https://www.baldinini-shop.com/it,shopping@baldinini.it,+39 0541 932898,,,,,,,PADIGLIONE CENTRALE / PIANO INFERIORE / V/9 Z/8,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/B/baldinini,True,True,True,3,
BARACUTA,United Kingdom,,,Pitti Uomo 110,http://www.baracuta.com,info@baracuta.com,00 32 33 34 36 38 40,,,https://www.instagram.com/baracuta,baracuta,,,AREA MONUMENTALE / SALA DELLA VOLTA E CORRIDOIO DELL'ARCO / 1,,,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/B/baracuta,True,True,True,4,
