company,hq_country,hq_city,website,main_email,switchboard,categories,approx_revenue_usd,key_clients,linkedin_company,key_exec_name,key_exec_title,key_exec_linkedin
Komar Brands,USA,New York,https://www.komarbrands.com,info@komarbrands.com,+1 212 391 0666,Sleepwear; Loungewear; Kids,500M,"Walmart, Target, Macy's, Kohl's",https://www.linkedin.com/company/komar,Charles Komar,CEO,
Centric Brands,USA,New York,https://www.centricbrands.com,info@centricbrands.com,+1 212 974 8500,Licensed Apparel; Accessories,1B,"Disney, MLB, NFL licensed apparel",https://www.linkedin.com/company/centric-brands,Jason Rabin,CEO,https://www.linkedin.com/in/jasonrabin/
DBL Group,Bangladesh,Dhaka,https://www.dbl-group.com,info@dbl-group.com,+880 2 8181 244,Knit Garments; Denim,750M,"H&M, Inditex, G-Star, Esprit",https://www.linkedin.com/company/dbl-group,M.A. Jabbar,Managing Director,https://www.linkedin.com/in/majabbar/
Beximco Group (Apparel Division),Bangladesh,Dhaka,https://www.beximco.com,info@beximco.com,+880 2 9881 071,Garments; Vertical Textiles,1.2B,"M&S, Tesco, JCPenney, Calvin Klein",https://www.linkedin.com/company/beximco,Salman F. Rahman,Vice Chairman,
Ha-Meem Group,Bangladesh,Dhaka,https://www.hameemgroup.com,info@hameemgroup.com,+880 2 9842 391,Denim; Wovens,600M,"GAP, JCPenney, H&M, Levi's, Wrangler",https://www.linkedin.com/company/ha-meem-group,A.K. Azad,CEO,
Mohammadi Group,Bangladesh,Dhaka,https://www.mohammadigroup.com,info@mohammadigroup.com,+880 2 8181 244,Garments; Knits,400M,"M&S, Tesco, Walmart",https://www.linkedin.com/company/mohammadi-group,Rubana Huq,MD,https://www.linkedin.com/in/rubana-huq/
Square Fashions / Square Group,Bangladesh,Dhaka,https://www.squaregroup.com,info@squaregroup.com,+880 2 8833 047,Garments; Knits,500M,"M&S, H&M, JCPenney, Walmart",https://www.linkedin.com/company/square-group-bd,Tapan Chowdhury,MD,
Vinatex (Vietnam National Textile & Garment Group),Vietnam,Hanoi,https://www.vinatex.com.vn,info@vinatex.com.vn,+84 24 3825 7700,Garments; Yarns; Wovens,2.5B,"Uniqlo, GAP, Old Navy, Macy's",https://www.linkedin.com/company/vinatex,Le Tien Truong,CEO,
TBS Group,Vietnam,Ho Chi Minh City,https://www.tbsgroup.vn,info@tbsgroup.vn,+84 274 376 5005,Footwear; Bags; Garments,600M,"Skechers, Decathlon, Wolverine",https://www.linkedin.com/company/tbs-group,Nguyen Duc Thuan,Chairman,
Hoa Tho Textile-Garment,Vietnam,Da Nang,https://hoatho.com.vn,info@hoatho.com.vn,+84 236 3846 290,Garments; Yarns,250M,"GAP, JCPenney, Target",https://www.linkedin.com/company/hoa-tho-corp,Nguyen Van Hai,CEO,
Sun Tekstil,Turkey,Izmir,https://www.suntekstil.com.tr,info@suntekstil.com.tr,+90 232 463 0270,Womenswear; Knits,400M,"Inditex (Zara), Marks & Spencer, Massimo Dutti",https://www.linkedin.com/company/sun-tekstil,Elvan Unluturk,Vice Chairman,https://www.linkedin.com/in/elvan-unluturk-b6651012/
Sanko Holding (Apparel),Turkey,Gaziantep,https://www.sanko.com.tr,info@sanko.com.tr,+90 342 211 7800,Yarns; Denim; Garments,3B (group),"Levi's, GAP, H&M",https://www.linkedin.com/company/sanko-holding,Adil Sani Konukoglu,Chairman,
Yilmak Tekstil,Turkey,Istanbul,https://www.yilmaktekstil.com,info@yilmaktekstil.com,+90 212 671 8480,Knit Garments,150M,"Inditex, Mango, M&S",https://www.linkedin.com/company/yilmak-tekstil,,,
Eroglu Holding,Turkey,Istanbul,https://www.erogluholding.com,info@erogluholding.com,+90 212 410 2000,Denim; Garments,500M,"Mavi (own), Inditex, JCPenney, Bershka",https://www.linkedin.com/company/eroglu-holding,Nurettin Eroglu,Chairman,
Shenzhou International,China,Ningbo,https://www.shenzhouintl.com,ir@shenzhouintl.com,+86 574 6522 7888,Knit Garments (vertically integrated),3.5B,"Nike, Adidas, Uniqlo, Puma",https://www.linkedin.com/company/shenzhou-international-group,Ma Jianrong,Chairman & CEO,
Texhong Textile Group,China,Shanghai,https://www.texhong.com,enquiry@texhong.com,+86 21 6080 5555,Yarns; Fabrics; Apparel,1.5B,"Uniqlo, Adidas, Nike",https://www.linkedin.com/company/texhong-textile-group,Hong Tianzhu,Chairman,
Pacific Textiles,China,Hong Kong,https://www.pacific-textiles.com,info@pacific-textiles.com,+852 2615 8333,Knit Fabrics; Garments,700M,"Uniqlo, Decathlon, Adidas",https://www.linkedin.com/company/pacific-textiles-holdings-limited,,,
Pan Brothers,Indonesia,Tangerang,https://www.panbrotherstbk.com,corp@panbrotherstbk.com,+62 21 5563 2727,Garments; Sportswear,600M,"Uniqlo, Adidas, Nike, Calvin Klein",https://www.linkedin.com/company/pt-pan-brothers-tbk,Anne Patricia Sutanto,Vice CEO,https://www.linkedin.com/in/anne-patricia-sutanto-9aa3aa11/
Sri Rejeki Isman (Sritex),Indonesia,Sukoharjo,https://www.sritex.co.id,info@sritex.co.id,+62 271 593 188,Yarns; Fabrics; Garments; Uniforms,750M,"NATO uniforms, Walmart, JCPenney",https://www.linkedin.com/company/sri-rejeki-isman,Iwan S. Lukminto,CEO,
T&C Garments (Arafa Holding),Egypt,Cairo,https://www.arafaholding.com,info@arafaholding.com,+20 2 2671 7400,Mens Tailoring; Suits,250M,"Marks & Spencer, BHS, Hugo Boss",https://www.linkedin.com/company/arafa-holding,Mohamed Arafa,Chairman & CEO,
Lotus Garments,Egypt,Cairo,https://www.lotusgarments.com,info@lotusgarments.com,+20 2 4021 1000,Knit Garments,120M,"Walmart, Decathlon, Carrefour",https://www.linkedin.com/company/lotus-garments-group,,,
Interloop Limited,Pakistan,Faisalabad,https://www.interloop-pk.com,info@interloop-pk.com,+92 41 879 1000,Hosiery; Activewear; Denim,600M,"Nike, Adidas, Puma, Levi's, H&M",https://www.linkedin.com/company/interloop-limited,Navid Fazil,CEO,https://www.linkedin.com/in/navid-fazil-a36a081/
Nishat Mills,Pakistan,Lahore,https://www.nishatmillsltd.com,info@nishatmills.com,+92 42 3656 1351,Yarns; Fabrics; Garments; Home Textile,900M,"M&S, JCPenney, IKEA, Levi's",https://www.linkedin.com/company/nishat-mills-limited,Mian Hassan Mansha,CEO,
Gul Ahmed Textile,Pakistan,Karachi,https://www.gulahmed.com,info@gulahmed.com,+92 21 3257 2581,Home Textiles; Garments; Yarn,750M,"IKEA, Walmart, Carrefour, JCPenney",https://www.linkedin.com/company/gul-ahmed-textile-mills,Mohomed Bashir,Chairman,
Jordache Enterprises,USA,New York,https://www.jordache.com,info@jordache.com,+1 212 279 7383,Denim; Apparel,500M,"Walmart, Target, Costco",https://www.linkedin.com/company/jordache-enterprises-inc-,Avi Nakash,Co-Founder,
Viyellatex Group,Bangladesh,Dhaka,https://www.viyellatexgroup.com,info@viyellatexgroup.com,+880 2 8920 351,Garments; Knits; Wovens,450M,"M&S, H&M, GAP, Decathlon",https://www.linkedin.com/company/viyellatex-group,David Hasanat,Chairman & CEO,
Pacific Jeans,Bangladesh,Chattogram,https://www.pacificjeans.com,info@pacificjeans.com,+880 31 800 600,Denim; Bottoms,550M,"Levi's, GAP, JCPenney, H&M, Tesco",https://www.linkedin.com/company/pacific-jeans-ltd,Syed M. Tanvir,MD,
Standard Group,Bangladesh,Dhaka,https://www.standardgroupbd.com,info@standardgroupbd.com,+880 2 9821 100,Knit Garments,350M,"H&M, Inditex, GAP",https://www.linkedin.com/company/standard-group,Atiqul Islam,Chairman,https://www.linkedin.com/in/atiqul-islam-3a4a6810/
Babylon Group,Bangladesh,Dhaka,https://www.babylongroupbd.com,info@babylongroupbd.com,+880 2 8181 800,Knit Garments; Sweaters,280M,"Walmart, Target, JCPenney",https://www.linkedin.com/company/babylon-group-bd,Chowdhury Reazur Rahman,MD,
Asian Apparels Ltd,Bangladesh,Dhaka,https://www.asianapparels.com,info@asianapparels.com,+880 2 9892 391,Garments; Wovens,200M,"M&S, Tesco, Carrefour",https://www.linkedin.com/company/asian-apparels-ltd,,,
Fakir Apparels,Bangladesh,Narayanganj,https://www.fakirfashion.com,info@fakirfashion.com,+880 2 7610 251,Knit Garments,220M,"H&M, Inditex, Decathlon",https://www.linkedin.com/company/fakir-fashion-limited,Fakir Akhtaruzzaman,Chairman,
Sterling Group,Bangladesh,Dhaka,https://www.sterlinggroup-bd.com,info@sterlinggroup-bd.com,+880 2 9892 800,Garments; Knits; Sweaters,250M,"M&S, Next, Tesco",https://www.linkedin.com/company/sterling-group-bd,,,
Liberty Knitwear,Bangladesh,Dhaka,https://www.libertyknitwear.com,info@libertyknitwear.com,+880 2 9831 500,Knit Garments,180M,"GAP, Old Navy, Walmart",https://www.linkedin.com/company/liberty-knitwear-ltd,,,
Snowtex Group,Bangladesh,Dhaka,https://www.snowtex.org,info@snowtex.org,+880 2 9892 800,Outerwear; Sportswear,200M,"Decathlon, Columbia, North Face",https://www.linkedin.com/company/snowtex-group,S.M. Khaled,MD,
Bitopi Group,Bangladesh,Dhaka,https://www.bitopigroup.com,info@bitopigroup.com,+880 2 9123 421,Garments; Wovens; Knits,230M,"M&S, Next, Tesco, JCPenney",https://www.linkedin.com/company/bitopi-group,Miran Ali,Director,https://www.linkedin.com/in/miran-ali-79b97a5/
Garmex Saigon,Vietnam,Ho Chi Minh City,https://www.garmexsaigon.com,info@garmexsaigon.com,+84 28 3989 1191,Garments; Wovens,120M,"Decathlon, Uniqlo, Levi's",https://www.linkedin.com/company/garmex-saigon,,,
Phong Phu Corporation,Vietnam,Ho Chi Minh City,https://www.phongphucorp.com,info@phongphucorp.com,+84 28 3640 1124,Yarns; Towels; Garments,350M,"Walmart, IKEA, Macy's",https://www.linkedin.com/company/phong-phu-corp,,,
Viet Tien Garment,Vietnam,Ho Chi Minh City,https://www.viettien.com.vn,info@viettien.com.vn,+84 28 3864 0800,Mens Tailoring; Shirts,280M,"Marks & Spencer, JCPenney, Uniqlo",https://www.linkedin.com/company/viet-tien-garment,,,
Nha Be Garment Corp,Vietnam,Ho Chi Minh City,https://www.nhabe.com.vn,info@nhabe.com.vn,+84 28 3872 8124,Mens Tailoring; Suits,220M,"Macy's, Kohl's, JCPenney",https://www.linkedin.com/company/nha-be-garment-corporation,,,
Dap-Tex Joint-Stock Company,Vietnam,Hanoi,https://www.daptex.com.vn,info@daptex.com.vn,+84 24 3833 4501,Garments; Wovens,130M,"GAP, JCPenney",https://www.linkedin.com/company/dap-tex,,,
Saitex International,Vietnam,Ho Chi Minh City,https://www.saitexinternational.com,info@saitex.net,+84 251 894 0888,Sustainable Denim,350M,"J.Crew, Madewell, Everlane, G-Star",https://www.linkedin.com/company/saitex-international,Sanjeev Bahl,Founder & CEO,https://www.linkedin.com/in/sanjeev-bahl-04293ba/
Thanh Cong Textile,Vietnam,Ho Chi Minh City,https://www.thanhcong.com.vn,info@thanhcong.com.vn,+84 28 3815 3962,Yarns; Knits; Garments,200M,"GAP, JCPenney, Eddie Bauer",https://www.linkedin.com/company/thanh-cong-textile,,,
Bossa,Turkey,Adana,https://www.bossa.com.tr,info@bossa.com.tr,+90 322 441 0011,Denim; Fabric,450M,"Levi's, GAP, H&M, Inditex",https://www.linkedin.com/company/bossa,Salih Zeki Cakir,CEO,
Yesim Tekstil,Turkey,Bursa,https://www.yesim.com,info@yesim.com,+90 224 219 4000,Knits; Lingerie,280M,"Victoria's Secret, M&S, Inditex",https://www.linkedin.com/company/yesim-tekstil,Sukru Sahin,CEO,
Marks Tekstil,Turkey,Istanbul,https://www.marks.com.tr,info@marks.com.tr,+90 212 651 7100,Womenswear,180M,"Inditex, Mango, Bestseller",https://www.linkedin.com/company/marks-tekstil,,,
Akin Tekstil,Turkey,Istanbul,https://www.akintekstil.com.tr,info@akintekstil.com.tr,+90 212 549 4040,Wovens; Shirts,220M,"Hugo Boss, Tommy Hilfiger, Calvin Klein",https://www.linkedin.com/company/akin-tekstil,,,
Birlik Mensucat,Turkey,Kayseri,https://www.birlikmensucat.com.tr,info@birlikmensucat.com.tr,+90 352 321 1010,Bedding; Home Textile,190M,"IKEA, Carrefour, Tesco",https://www.linkedin.com/company/birlik-mensucat,,,
Zorluteks (Zorlu Tekstil),Turkey,Istanbul,https://www.zorluteks.com.tr,info@zorluteks.com.tr,+90 212 456 2200,Home Textiles; Bedding,450M,"IKEA, John Lewis, M&S",https://www.linkedin.com/company/zorluteks,Ahmet Zorlu,Chairman,
Arvind Limited,India,Ahmedabad,https://www.arvind.com,info@arvind.com,+91 79 6817 6000,Denim; Wovens; Garments; Brands,1.4B,"Levi's, Calvin Klein, Tommy Hilfiger, GAP, M&S",https://www.linkedin.com/company/arvindcorp,Punit Lalbhai,Vice Chairman,https://www.linkedin.com/in/punitlalbhai/
Vardhman Group,India,Ludhiana,https://www.vardhman.com,info@vardhman.com,+91 161 280 8000,Yarns; Fabrics; Garments,1.5B,"Levi's, GAP, JCPenney, M&S",https://www.linkedin.com/company/vardhman-textiles-limited,Sachit Jain,Vice Chairman & MD,https://www.linkedin.com/in/sachitjain/
Welspun Group (Apparel),India,Mumbai,https://www.welspunindia.com,info@welspun.com,+91 22 6613 6000,Home Textiles; Towels; Bedding,1.2B,"Walmart, Target, Macy's, JCPenney, IKEA",https://www.linkedin.com/company/welspun-india-ltd,Dipali Goenka,MD & CEO,https://www.linkedin.com/in/dipali-goenka/
Trident Group,India,Ludhiana,https://www.tridentindia.com,info@tridentindia.com,+91 161 504 0000,Towels; Bedsheets; Yarns,1B,"Walmart, Costco, JCPenney, IKEA",https://www.linkedin.com/company/trident-group,Rajinder Gupta,Chairman,
Aditya Birla Fashion (Madura),India,Bengaluru,https://www.adityabirlafashion.com,contact@abfrl.adityabirla.com,+91 80 2122 9696,Apparel; Brands,1.5B,"Owns Allen Solly, Van Heusen, Louis Philippe",https://www.linkedin.com/company/aditya-birla-fashion-and-retail-ltd,Ashish Dikshit,MD,https://www.linkedin.com/in/ashish-dikshit-9b574a3/
Raymond Group,India,Mumbai,https://www.raymond.in,info@raymond.in,+91 22 4034 5111,Wool fabrics; Mens tailoring,900M,Own brands + B2B sourcing for global,https://www.linkedin.com/company/raymond-limited,Sunil Kataria,CEO,
Loyal Textile Mills,India,Chennai,https://www.loyaltextiles.com,info@loyaltextiles.com,+91 44 2811 8000,Cotton Fabrics; Yarns,350M,"M&S, GAP, JCPenney",https://www.linkedin.com/company/loyal-textile-mills,,,
Indo Count Industries,India,Mumbai,https://www.indocount.com,info@indocount.com,+91 22 4341 9500,Home Textiles; Bedsheets,450M,"Walmart, JCPenney, Macy's",https://www.linkedin.com/company/indo-count-industries-ltd,Mohit Jain,Vice Chairman & MD,https://www.linkedin.com/in/mohitjainjpr/
Texport Industries,India,Mumbai,https://www.texportindustries.com,info@texportindustries.com,+91 22 6691 5000,Garments; Wovens,220M,"M&S, Walmart, JCPenney",https://www.linkedin.com/company/texport-industries,,,
Gokaldas Exports,India,Bengaluru,https://www.gokaldasexports.com,info@gokaldasexports.com,+91 80 4204 4444,Garments; Wovens,350M,"GAP, Old Navy, Banana Republic, JCPenney",https://www.linkedin.com/company/gokaldas-exports,Sivaramakrishnan Ganapathi,MD,
KPR Mill,India,Coimbatore,https://www.kprmill.com,info@kprmill.com,+91 422 661 1000,Yarns; Knits; Garments,750M,"GAP, JCPenney, Walmart",https://www.linkedin.com/company/kpr-mill-limited,,,
SP Apparels,India,Coimbatore,https://www.spapparels.com,info@spapparels.com,+91 422 663 5500,Knit Garments; Kids,220M,"Mothercare, Carrefour, Tesco",https://www.linkedin.com/company/sp-apparels-limited,,,
Roo Hsing Garment,Cambodia,Phnom Penh,https://www.roo-hsing.com.tw,info@roo-hsing.com.tw,+855 23 426 868,Denim; Bottoms,350M,"Levi's, Walmart, GAP",https://www.linkedin.com/company/roo-hsing-garment-co-ltd,,,
Universal Apparel,Cambodia,Phnom Penh,https://www.universalapparelcam.com,info@universalapparelcam.com,+855 23 425 800,Garments,180M,"GAP, JCPenney, Walmart",https://www.linkedin.com/company/universal-apparel-cambodia,,,
Settavex (Tavex Maroc),Morocco,Casablanca,https://www.tavex.com,info@tavex.com,+212 522 666 100,Denim,280M,"Levi's, Inditex, Mango",https://www.linkedin.com/company/tavex,,,
Vetenam (VTN),Morocco,Casablanca,https://www.vtn.ma,contact@vtn.ma,+212 522 354 200,Garments; Fast Fashion,150M,"Inditex, Mango, Decathlon",https://www.linkedin.com/company/vtn-vetenam,,,
Kaltex,Mexico,Mexico City,https://www.kaltex.com.mx,info@kaltex.com.mx,+52 55 5328 0700,Yarns; Denim; Garments,800M,"Levi's, GAP, Walmart, JCPenney",https://www.linkedin.com/company/kaltex,,,
Grupo Karims,Mexico / Honduras,Mexico City,https://www.grupokarims.com,info@grupokarims.com,+52 55 5536 5500,Garments; Knits,450M,"GAP, JCPenney, Old Navy",https://www.linkedin.com/company/grupo-karims,,,
Crescent Bahuman,Pakistan,Lahore,https://www.crescentbahuman.com,info@crescentbahuman.com,+92 42 3563 6900,Denim; Bottoms,350M,"Levi's, Hugo Boss, Diesel, GAP",https://www.linkedin.com/company/crescent-bahuman-limited,,,
Artistic Milliners,Pakistan,Karachi,https://www.artisticmilliners.com,info@artisticmilliners.com,+92 21 3478 0444,Sustainable Denim,450M,"Levi's, GAP, H&M, Patagonia",https://www.linkedin.com/company/artistic-milliners,Murtaza Ahmed,CEO,https://www.linkedin.com/in/murtaza-ahmed-3a8a4220/
Sapphire Textile Mills,Pakistan,Lahore,https://www.sapphire.com.pk,info@sapphire.com.pk,+92 42 3577 4111,Yarns; Fabrics; Home Textile; Garments,750M,"M&S, JCPenney, Walmart, IKEA",https://www.linkedin.com/company/sapphire-textile-mills-limited,,,
Soorty Enterprises,Pakistan,Karachi,https://www.soorty.com,info@soorty.com,+92 21 3463 0001,Denim; Vertically Integrated,550M,"H&M, Inditex, Levi's, JCPenney",https://www.linkedin.com/company/soorty,Asad Soorty,Director,
Star Garments Group,Sri Lanka,Colombo,https://www.stargarments.com,info@stargarments.com,+94 11 461 5000,Garments; Active,280M,"Nike, Adidas, Decathlon",https://www.linkedin.com/company/star-garments-group,,,
Timex Garments,Sri Lanka,Colombo,https://www.timexgarments.com,info@timexgarments.com,+94 11 282 8800,Lingerie; Womens,220M,"Victoria's Secret, M&S, La Senza",https://www.linkedin.com/company/timex-garments,,,
Luen Thai Holdings,China / Hong Kong,Hong Kong,https://www.luenthai.com,info@luenthai.com,+852 2755 9988,Garments; Bags; Accessories,550M,"Coach, Polo Ralph Lauren, Tommy Hilfiger",https://www.linkedin.com/company/luen-thai-holdings-limited,Henry Tan,CEO,https://www.linkedin.com/in/henry-tan-a76ba75/
Youngor Group,China,Ningbo,https://www.youngor.com,info@youngor.com,+86 574 8721 3888,Mens Tailoring; Wovens,1B,"Macy's, JCPenney, Hugo Boss",https://www.linkedin.com/company/youngor,,,
Hugo Boss Industries (Bangladesh + China),Multi,Dhaka,https://group.hugoboss.com,press@hugoboss.com,+49 7123 940,Owned production for Hugo Boss,7B (group),Hugo Boss own retail,https://www.linkedin.com/company/hugo-boss,,,
Aaron Industries,USA,New York,https://www.aaronind.com,info@aaronind.com,+1 212 686 1414,Womens Apparel; Sourcing,120M,"Macy's, Kohl's, Lord & Taylor",https://www.linkedin.com/company/aaron-industries-inc,,,
Globe Resources Group,Hong Kong,Hong Kong,https://www.globeresources.com,info@globeresources.com,+852 2730 7800,Apparel; Footwear,200M,"Walmart, Target, Costco",https://www.linkedin.com/company/globe-resources,,,
Maersk Sourcing (formerly Li & Fung Logistics),Denmark,Copenhagen,https://www.maersk.com,info@maersk.com,+45 33 63 33 63,Logistics + Sourcing,81B (group),"Walmart, Nike, Target",https://www.linkedin.com/company/maersk-group,,,
