Company,Country,City,Category,Fair,Website,Email,Phone_WhatsApp,LinkedIn,Instagram,Stand_Booth,Detail_URL,Notes,Facebook,Hall_Stand,Address
AGF MAROSTICA,ITALY,,Classic; Sportswear; Contemporary,Pitti Uomo 110,http://www.agfmarostica.com,commerciale@modamarostica.eu,+39 0424 1700109,,https://www.instagram.com/agf_marostica,PADIGLIONE CENTRALE / PIANO TERRA / D/12,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/agf-marostica,,https://www.facebook.com/AGFmarostica,,
AIKON,ITALY,,Lifestyle; Essentials; Cutting-Edge; Japan Style; Denimwear; Premium Streetwear; Urban; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.weareaikon.com,info@weareaikon.com,,,,SALA DELLE NAZIONI / A/23,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/aikon,,,,
AJOBYAJO - CODE KOREA,KOREA (SOUTH),,Agender; Japan Style; Workwear; Premium Streetwear; Informal; Urban; Youth Culture; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,https://www.ajo-studio.com,info@ajo-studio.com,354-81-01550,,https://www.instagram.com/ajo_ajobyajo_official,POLVERIERA / 1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/ajobyajo---code-korea,,https://www.facebook.com/ajoajoajoajo,,
ALBERTO,GERMANY,,Lifestyle; Sustainable; Essentials; Classic; Denimwear,Pitti Uomo 110,https://www.alberto-pants.com/en,hello@alberto-pants.com,+49 2161 8192-0,,https://www.instagram.com/albertopants,PADIGLIONE CENTRALE / S. ALFA P.INFERIORE / 2,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alberto,,,,
ALBERTO FASCIANI,ITALY,,Classic; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.albertofasciani.it,Customercare@albertofasciani.it,+39 0734628530,,https://instagram.com/albertofasciani_official,PADIGLIONE CENTRALE / PIANO ATTICO / H/6,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alberto-fasciani,,https://www.facebook.com/albertofasciani,,
ALBERTO LUTI,ITALY,,,Pitti Uomo 110,http://www.albertoluti.it,info@albertoluti.it,+39 081 359 00 55,,https://www.instagram.com/albertolutiofficial,PADIGLIONE CENTRALE / PIANO TERRA / D/4,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alberto-luti,,https://www.facebook.com/albertolutinapoli/,,
ALDEN NEW ENGLAND,U.S.A.,,Lifestyle; Classic; Premium Streetwear; Luxury; Craftsmanship; Collection,Pitti Uomo 110,http://www.aldenshoe.com,online@aldenshoe.com,02346 508-947-3926,,https://www.instagram.com/aldenshoeco,PADIGLIONE CENTRALE / PIANO ATTICO / E/8,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alden-new-england,,,,
ALESSANDRO GHERARDESCHI,ITALY,,,Pitti Uomo 110,,,,,,,,,,,
ALESSANDRO GHERARDI,ITALY,,Sustainable; Cutting-Edge; Classic; New Formal; Denimwear; High Performance; Activewear; Informal; Luxury; Contemporary,Pitti Uomo 110,http://www.alessandrogherardi.com,info@alessandrogherardi.com,390575797501,,https://www.instagram.com/alessandrogherardi_official,PADIGLIONE CENTRALE / PIANO INFERIORE / P/2-6,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alessandro-gherardi,,https://www.facebook.com/alessandrogherardiofficial/,,
ALESSANDRO GILLES,ITALY,,,Pitti Uomo 110,https://www.alessandrogilles.it,info@alessandrogilles.it,+39 089 88 24 29,,https://www.instagram.com/alessandrogilles_official,RONDINO / 1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alessandro-gilles,,,,
ALESSANDRO GILLES,ITALY,,,Pitti Uomo 110,https://www.alessandrogilles.it,info@alessandrogilles.it,+39 089 88 24 29,,https://www.instagram.com/alessandrogilles_official,RONDINO / 1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alessandro-gilles,,,,
ALEXANDER HOTTO,ITALY,,Classic; New Formal; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.alexanderhotto.com,admin@alexanderhotto.com,+39 0734 892013,,https://www.instagram.com/alexanderhotto,PADIGLIONE CENTRALE / PIANO ATTICO / B/15,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alexander-hotto,,https://www.facebook.com/AlexanderHottoShoes,,
ALFONSO D'ESTE,ITALY,,Nordic Style; British Style; Classic; Urban; Luxury; Craftsmanship; Collection,Pitti Uomo 110,https://alfonsodeste.it/.alfonsodeste.it,info@alfonsodeste.it,,,https://www.instagram.com/alfonsodeste_official,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 49,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alfonso-d-este,,,,
ALFRONCE,CHINA,,New Formal; Outdoor; Informal; Urban; Youth Culture; Luxury; Collection,Pitti Uomo 110,http://www.alfronce.com,info@alfronce.com,,,,SALA DELLE NAZIONI / A/40-42,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alfronce,,,,
ALGORI BRAND,PORTUGAL,,Lifestyle; Sportswear; Premium Streetwear; Informal; Urban; Contemporary,Pitti Uomo 110,https://algoribrand.com,hi@algoribrand.com,516315420,,https://www.instagram.com/algoribrand,ARMERIA / 11,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/algori-brand,,https://www.facebook.com/algoribrand,,
ALLBIRDS,U.S.A.,,Lifestyle; Sustainable; Activewear; Urban,Pitti Uomo 110,https://www.allbirds.eu,service@allbirds.eu,+43 5522-72303,,https://www.instagram.com/allbirds,PADIGLIONE CAVANIGLIA / 23,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/allbirds,,https://www.facebook.com/weareallbirds,,
ALLEY DOCKS 963,ITALY,,Lifestyle; Classic; Sportswear; Informal; Urban; Contemporary,Pitti Uomo 110,http://www.alleydocks.com,info@alleydocks.com,+39) 030 348451,,https://www.instagram.com/alley_docks,PADIGLIONE CENTRALE / PIANO TERRA / E/9,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alley-docks-963,,https://www.facebook.com/Alleydocks/,,
ALPENHAUS,CANADA,,,Pitti Uomo 110,http://www.alpenhaus.com,info@alpenhaus.com,,https://www.linkedin.com/company/alpenhaus%C2%AE-outerwear/,https://www.instagram.com/alpenhaus,SALA DELLA RONDA / 35-36,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alpenhaus,,https://www.facebook.com/profile.php,,
ALPHA STUDIO,ITALY,,Sustainable; Essentials; Classic; New Formal; Informal; Urban; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.alpha-studio.com,cs.alphastudio@the-ffw.com,02196080978,,https://www.instagram.com/alphastudioofficial,PADIGLIONE CENTRALE / PIANO ATTICO / J/6-8,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/alpha-studio,,https://www.facebook.com/AlphaStudioOfficial/,,
AMA-BRAND,ITALY,,Lifestyle; Outdoor; Activewear; Informal; Urban; Luxury; Contemporary,Pitti Uomo 110,http://www.ama-brand.com,info@ama-brand.com,00223440504,,https://www.instagram.com/amabrand,PADIGLIONE CAVANIGLIA / 17,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/ama-brand,,,,
AMANDA CHRISTENSEN,SWEDEN,,,Pitti Uomo 110,https://www.houseofamandachristensen.com,economy@houseofamandachristensen.com,556051925701,https://www.linkedin.com/company/18203634/,https://www.instagram.com/houseofamandachristensen,PADIGLIONE CENTRALE / PIANO INFERIORE / O/19,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/amanda-christensen,,https://www.facebook.com/Amanda-Christensen-AB-541110402592755/,,
AMBITIOUS,PORTUGAL,,Lifestyle; Sustainable; Essentials; Cutting-Edge; Classic; New Formal; Informal; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.ambitious-brand.com,customer.service@ambitious-brand.com,+351 253 559 043,https://www.linkedin.com/company/ambitious-brand/,https://www.instagram.com/ambitiousbrand,PADIGLIONE CENTRALE / PIANO TERRA / J/5,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/ambitious,,https://www.facebook.com/ambitiousbrands,,
AMERICAN VINTAGE,FRANCE,,,Pitti Uomo 110,http://www.americanvintage-store.com,info@americanvintage-store.com,,,https://www.instagram.com/americanvintage_officiel,ARSENALE / PIANO TERRA / 1-5,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/american-vintage,,,,
AMERIGO VESPUCCI COLLECTION BY MARINA MILITARE,ITALY,,Lifestyle; Essentials; Nordic Style; Classic; New Formal; Outdoor; Globetrotter; High Performance; Sportswear; Informal,Pitti Uomo 110,https://www.marinamilitare-sportswear.com,,,,https://www.instagram.com/marinamilitaresportswear,PADIGLIONE CENTRALE / PIANO TERRA / K/12,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/amerigo-vespucci-collection-by-marina-militare,,,,
AMUNDSEN,NORWAY,,,Pitti Uomo 110,,,,,,SALA DELLA RONDA / 22,,,,,
ANCIENT GREEK SANDALS,GREECE,,Craftsmanship,Pitti Uomo 110,http://www.ancient-greek-sandals.com,av@accentprojects.co,+30 210 0107708,,https://www.instagram.com/ancientgreeksandals,SALA DELLE NAZIONI / B/5-7,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/ancient-greek-sandals,,https://www.facebook.com/ancientgreeksandals,,
AND1,UNITED KINGDOM,,Lifestyle; Cutting-Edge; Denimwear; Activewear; Premium Streetwear; Urban; Youth Culture; Contemporary; Collection,Pitti Uomo 110,,,,,,ARMERIA / 25-29,,,,,
ANDREA GRECO,ITALY,,Lifestyle; Special Co-Lab/Limited Edition; Nordic Style; Japan Style; British Style; Classic; Urban; Luxury; Craftsmanship; Collection,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / PIANO INFERIORE / S/22,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/andrea-greco,,,,
ANDREU,SPAIN,,Sustainable; Essentials; Nordic Style; Classic; New Formal; Workwear; Globetrotter; Urban; Contemporary,Pitti Uomo 110,http://www.sebastianandreu.com,info@sebastianandreu.com,+34) 93 3 179 031,https://www.linkedin.com/company/sebastian-andreu,https://www.instagram.com/sebastianandreu_barcelona,PADIGLIONE CENTRALE / PIANO TERRA / C/10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/andreu,,,,
ANERKJENDT,DENMARK,,Nordic Style; Japan Style; Denimwear; Outdoor; Urban; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.anerkjendt.com,shop@anerkjendt.com,40 41 42 43 44 45 46,https://dk.linkedin.com/company/anerkjendt,https://www.instagram.com/anerkjendt_official,PADIGLIONE CAVANIGLIA / 21,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/anerkjendt,,https://www.facebook.com/Anerkjendt/,,
ANGELO JAKOB SWITZERLAND,SWITZERLAND,,Lifestyle; Sustainable; Cutting-Edge; British Style; Classic; High Performance; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,https://angelojakob.com,hello@angelojakob.com,,,https://www.instagram.com/angelojakob,PADIGLIONE CENTRALE / SALONE M P.INFERIORE / 37,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/angelo-jakob-switzerland,,,,
ANGELO ROMA,ITALY,,Lifestyle; Classic; Informal,Pitti Uomo 110,http://www.angeloroma.it,,,,https://www.instagram.com/angeloroma_official,COSTRUZIONI LORENESI / PIANO PRIMO / 8,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/angelo-roma,,,,
ANT45,ITALY,,Sustainable; Sportswear; Premium Streetwear; Urban; Youth Culture,Pitti Uomo 110,http://www.ant45.com,info@ant45.com,01727920173,,https://www.instagram.com/ant45_official,PADIGLIONE CENTRALE / PIANO ATTICO / G/13,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/ant45,,,,
ANTICA CUOIERIA,ITALY,,,Pitti Uomo 110,http://www.anticacuoieria.it,SUPPORT@ANTICACUOIERIA.IT,(39) 0575 42811,,https://www.instagram.com/anticacuoieria,PADIGLIONE CENTRALE / PIANO TERRA / B/16,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/antica-cuoieria,,https://www.facebook.com/anticacuoieria/,,
ANTIK BATIK,FRANCE,,Lifestyle; Essentials; Denimwear; Globetrotter; Informal; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.antikbatik.com,,,,https://www.instagram.com/antikbatik_paris,SALA DELLE NAZIONI / A/30,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/antik-batik,,,,
ANTONIO BARBUTO,ITALY,,Lifestyle; New Formal; Denimwear; Outdoor; Luxury,Pitti Uomo 110,http://www.antoniobarbuto.it,info@antoniobarbuto.it,+39 0967 91092,,,PADIGLIONE CENTRALE / PIANO INFERIORE / Q/5,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/B/antonio-barbuto,,http://www.facebook.com/pages/Antonio-Barbuto-Co-Srl/599518753407460,,
AQUA ALTA,ITALY,,Lifestyle; Essentials; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.aqua-alta.com,online@aqua-alta.com,36 37 38 39 40 41,,https://www.instagram.com/aquaalta.venezia,PADIGLIONE CENTRALE / PIANO ATTICO / B/9,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/aqua-alta,,https://www.facebook.com/profile.php,,
AQUASCUTUM ACTIVE,ITALY,,Lifestyle; Sustainable; British Style; Outdoor; High Performance; Activewear; Sportswear; Urban; Contemporary; Collection,Pitti Uomo 110,,,,,https://www.instagram.com/aquascutumactive,COSTRUZIONI LORENESI / PIANO TERRA / 4,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/aquascutum-active,,,,
ARCHIVIUM,ITALY,,,Pitti Uomo 110,http://www.archiviumbeupdated.com,cottoncompanysrl@gmail.com,+39 030 348451,,https://www.instagram.com/archivium_beupdated,PADIGLIONE CENTRALE / PIANO ATTICO / E/4,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/archivium,,,,
ARCURI,ITALY,,,Pitti Uomo 110,http://www.arcuricravatte.it,info@arcuricravatte.it,+39 3 47 382 3799,,https://www.instagram.com/arcuri_cravatte,PADIGLIONE CENTRALE / PIANO TERRA / C/8,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/arcuri,,https://www.facebook.com/arcuricravatte/,,
ARMOR LUX,FRANCE,,Sustainable; Essentials; Workwear; Sportswear; Urban; Contemporary,Pitti Uomo 110,,,,,https://www.instagram.com/armorluxofficiel,SALA DELLE NAZIONI / B/26-28,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/armor-lux,,,,
ARMOR LUX,FRANCE,,Sustainable; Essentials; Workwear; Sportswear; Urban; Contemporary,Pitti Uomo 110,,,,,https://www.instagram.com/armorluxofficiel,SALA DELLE NAZIONI / B/26-28,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/armor-lux,,,,
ARO,SPAIN,,,Pitti Uomo 110,https://aroshoes.com,service@aroshoes.com,,,https://www.instagram.com/aroshoes___,PADIGLIONE CAVANIGLIA / 118,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/aro,,https://www.facebook.com/sneakersaro,,
ARTICO,ITALY,,Lifestyle; Sustainable; Classic; Outdoor; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.articofashion.com,info@articofashion.com,+39 051 828266,https://www.linkedin.com/company/artico-sas,https://www.instagram.com/artico_official_,PADIGLIONE CENTRALE / PIANO INFERIORE / S/11,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/artico,,https://www.facebook.com/articosnc,,
ASICS WALKING,JAPAN,,Lifestyle; New Formal; Informal; Urban; Contemporary,Pitti Uomo 110,https://walking.asics.com,info@walking.asics.com,,,https://www.instagram.com/asics_walking,PADIGLIONE CENTRALE / PIANO ATTICO / H/13,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/asics-walking,,,,
ASTORFLEX,ITALY,,Outdoor; Activewear; Informal; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.astorflex.it,info@astorflex.it,+39 0376 660170,,https://www.instagram.com/astorflex_official,SALA DELLE NAZIONI / B/18,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/astorflex,,https://www.facebook.com/calzaturificioastorflex/,,
AT.P.CO,ITALY,,Lifestyle; Essentials; New Formal; Denimwear; Outdoor; Informal; Urban; Contemporary; Collection,Pitti Uomo 110,http://www.atpco.it,,,,https://www.instagram.com/atpco.it,PADIGLIONE CENTRALE / PIANO TERRA / H/6-8,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/at-p-co,,,,
ATALASPORT,ITALY,,Lifestyle; Sustainable; Premium Streetwear; Urban; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.atalasport.it,info@atalasport.it,,,https://www.instagram.com/atalasport,SALA DELLE NAZIONI / B/3,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/atalasport,,https://www.facebook.com/atalasport,,
ATELIER DI FALCO,TURKEY,,Essentials; Classic; New Formal; Denimwear; High Performance; Activewear; Sportswear; Informal; Luxury; Contemporary,Pitti Uomo 110,http://www.atelierdifalco.com,info@atelierdifalco.com,,,https://www.instagram.com/atelierdifalco.official,COSTRUZIONI LORENESI / PIANO PRIMO / 5,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/atelier-di-falco,,https://www.facebook.com/atelierdifalco,,
ATHISON,ITALY,,Lifestyle; Sustainable; Nordic Style; Japan Style; British Style; Classic; New Formal; Urban; Luxury; Craftsmanship,Pitti Uomo 110,http://www.athison.com,athison@manifatturadomodossola.it,,,https://www.instagram.com/athison1913,PADIGLIONE CENTRALE / PIANO TERRA / C/6,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/athison,,https://www.facebook.com/athison1913,,
ATLANTIC STARS,ITALY,,Lifestyle; Sportswear; Urban,Pitti Uomo 110,http://atlanticstars.it,shop@atlanticstars.it,05678120287,,https://www.instagram.com/atlanticstars,CORTILE LORENESI / 3,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/atlantic-stars,,https://www.facebook.com/atlanticstarsofficial/,,
AURELIEN,NETHERLANDS,,Lifestyle; Essentials; Classic; New Formal; Luxury; Craftsmanship; Contemporary; Collection,Pitti Uomo 110,http://www.aurelien.com,customercare@aurelien-online.com,,,https://www.instagram.com/aurelien_official,PADIGLIONE CENTRALE / PIANO INFERIORE / S/10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/aurelien,,https://www.facebook.com/Aurelien.Online,,
AVANT TOI,ITALY,,Lifestyle; Essentials; Contemporary,Pitti Uomo 110,http://www.avant-toi.it,showroom.milano@liapull.it,+39 02 89 07 71 12,,https://www.instagram.com/avant_toi.it,PADIGLIONE CENTRALE / PIANO ATTICO / B/2-4,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/A/avant-toi,,,,
AVIREX,ITALY,,,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / PIANO TERRA / H/17,,,,,
AZMAN,UNITED ARAB EMIRATES,,,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / PIANO ATTICO / G/4,,,,,
B.D. BAGGIES,U.S.A.,,,Pitti Uomo 110,http://www.bdbaggies.com,customerservice@bdbaggies.com,02370420370,,https://www.instagram.com/bdbaggies,AREA MONUMENTALE / SALA DELLA VOLTA E CORRIDOIO DELL'ARCO / 1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/B/b-d--baggies,,https://www.facebook.com/B-D-Baggies-1052706384758469,,
BABETTE WASSERMAN LONDON,UNITED KINGDOM,,Lifestyle; Japan Style; British Style; Classic; New Formal; Workwear; Premium Streetwear; Luxury; Contemporary; Collection,Pitti Uomo 110,http://www.babette-wasserman.com,info@babette-wasserman.com,+44 (0)20 89649777,,https://www.instagram.com/babettewasserman,PADIGLIONE CENTRALE / PIANO INFERIORE / P/23,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/B/babette-wasserman-london,,https://www.facebook.com/babettewassermanjewellery,,
BAINDEMER,FRANCE,,,Pitti Uomo 110,,,,,,PADIGLIONE CENTRALE / PIANO ATTICO / J/10,,,,,
BALDININI,ITALY,,,Pitti Uomo 110,https://www.baldinini-shop.com/it,shopping@baldinini.it,+39 0541 932898,,,PADIGLIONE CENTRALE / PIANO INFERIORE / V/9 Z/8,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/B/baldinini,,,,
BARACUTA,UNITED KINGDOM,,,Pitti Uomo 110,http://www.baracuta.com,info@baracuta.com,00 32 33 34 36 38 40,,https://www.instagram.com/baracuta,AREA MONUMENTALE / SALA DELLA VOLTA E CORRIDOIO DELL'ARCO / 1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/B/baracuta,,,,
BARBARULO NAPOLI 1894,ITALY,,Luxury; Craftsmanship,Pitti Uomo 110,http://www.barbarulonapoli.it,info@gemellidapolso.it,07165211215,,https://www.instagram.com/barbarulo_napoli,PADIGLIONE CENTRALE / PIANO INFERIORE / O/23,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/B/barbarulo-napoli-1894,,https://www.facebook.com/barbarulo1894,,
BARBOUR,UNITED KINGDOM,,,Pitti Uomo 110,http://www.barbour.com,customer.care@barbour.com,0800 917 3000,,https://www.instagram.com/barbour,AREA MONUMENTALE / SALA DELLA VOLTA E CORRIDOIO DELL'ARCO / 1,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/B/barbour,,https://www.facebook.com/OfficialBarbour,,
BARMAS,ITALY,,Classic; New Formal; Denimwear; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,https://www.barmas.net,info@barmas.net,+39 0426 302189,,https://www.instagram.com/barmas_venezia,PADIGLIONE CENTRALE / PIANO INFERIORE / U/10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/B/barmas,,,,
BARNA CASHMERE,ITALY,,,Pitti Uomo 110,https://www.barnacashmere.it,,,,https://www.instagram.com/barnacashmere,SALA DELLE NAZIONI / A/41,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/B/barna-cashmere,,,,
BARRACUDA,ITALY,,,Pitti Uomo 110,http://www.barracudashoes.it,info@barracudashoes.it,39 40 41 42 43 44 45,,https://www.instagram.com/barracudashoes,PADIGLIONE CENTRALE / PIANO TERRA / I/13,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/B/barracuda,,,,
BARRETT,ITALY,,British Style; Classic; New Formal; Luxury; Craftsmanship; Contemporary,Pitti Uomo 110,http://www.barrett.it,customercare@barrett.it,+39 02 36 523 402,,https://www.instagram.com/barrettofficial,PADIGLIONE CENTRALE / PIANO ATTICO / C/6-10,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/B/barrett,,,,
BE ABLE,ITALY,,,Pitti Uomo 110,http://www.beableconcept.it,info@beableconcept.it,03833350618,,https://www.instagram.com/beable.official,PADIGLIONE CENTRALE / PIANO ATTICO / G/10-12,https://uomo.pittimmagine.com/en/pittimmagine/fairs/uomo/exhibitors/B/be-able,,https://www.facebook.com/beable.official/,,
BELL SURF,ITALY,,,Pitti Uomo 110,,,,,,PADIGLIONE CAVANIGLIA / 22,,,,,
