name,rewriteId,detail_url,country,province,city,zip,street,building,phone,fax,email,homepage,short_description,description,halls,stands,zones,exhibitor_programs,product_categories,usage_areas,product_end_uses,keywords,tags,brands,facebook,instagram,linkedin,twitter,youtube,tiktok,wechat,weibo,whatsapp,logo,last_approval,email_source,website_source
Antex Textile,antex-textile-plc,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/antex-textile-plc.html,Ethiopia,Oromia,Adama,1000,"Shed 10, Adama Industrial Park,",,+251 90 437 2098,,manik@antexgroup.cn,https://www.antex-eth.com/,,,3; null,H3-B314; Hnull,Casual & Sports,,,,,,,,,,,,,,,,,,2026-03-03T12:04:13,api,api
Aoyu Textile (Jiaxing),jiaxing-aoyu-textile-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/jiaxing-aoyu-textile-ltd.html,China,Zhejiang,Jiaxing,315192,"Building 26, No.558, Qifu Road,Tongxiang",,+86 8618032405386,,aoyu.wong@aoyucashmere.com,https://cn.aoyucashmere.com,,,4,H4-E489,Knitted,,,,,,,,,,,,,,,,,,2025-12-29T16:39:25,api,ddg
"Araújo, Irmãos,",arajo-irmos-lda,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/arajo-irmos-lda.html,Portugal,,Gilmonde,1234-678,"Rua do Riassô, nº 84 4755-230",,,,diogo.araujo@araujo-irmaos.pt,https://pro.foursource.com/AraujoIrmaosLda,,,3,H3-B319,Casual & Sports,,,,,,,,,,,,,,,,,,2026-01-30T11:38:25,api,api
Arcus India,arcus-marketing-private-limited,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/arcus-marketing-private-limited.html,India,,New Dehli,110020,S-34 Okhla Indistrial Area Phase 2,,,,ashish@arcus.in,https://www.arcus.in,,,4,H4-H547,Fashion Accessories,,,,,,,,,,,,,,,,,,2026-01-06T06:09:30,api,api
Asia Link Design,asia-link-design,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/asia-link-design.html,Bangladesh,,Dhaka,1230,Road : 34,House : 18,+880 1713-038109,,hussain@asialinkbd.com,https://www.asialinkbd.com,,,3,H3-B328,Casual & Sports,,,,,,,,,,,,,,,,,,2026-01-20T09:38:49,api,api
Asia Link Design - B,asia-link-design---b,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/asia-link-design---b.html,Bangladesh,,Dhaka,1230,"House 18, Road 34, Sector 7, Uttara",,,,hussain@asialinkbd.com,https://asialinkbd.com,,,3,H3-B330,Casual & Sports,,,,,,,,,,,,,,,,,,2025-12-24T15:53:45,site_crawl,ddg
Bada Dress (Fujian),bada-dress-fujian-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/bada-dress-fujian-co-ltd.html,China,Fujian,Quanzhou,,"No.92 YATAI ROAD, CHONGHONG STREET",,+86 159 0500 0957,,jackysu@chinabada.com,,,,4,H4-G512,Casual & Sports,New Exhibitor,,,,,,,,,,,,,,,,,2025-12-19T12:10:33,api,
Balas Fashion (Shenzhen),shenzhen-balas-fashion-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/shenzhen-balas-fashion-coltd.html,China,Guangdong,Shenzhen,,Dengliang Community,"Yuehai Industrial Village, Yuehai Road,",+86 137 9849 1040,,364301402@qq.com,,,,3; null,H3-C393; Hnull,All About Her,,,,,,,,,,,,,,,,,,2025-12-29T11:09:09,api,
Bangjie,bangjie-knitting-viet-nam-company-limited,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/bangjie-knitting-viet-nam-company-limited.html,Vietnam,,Hung Yen,17000,Duong Hao Ward,"Lot n° L3, Pho Noi Textile and Garment Industrial Park",,,shirleyfotzler@bangjie.cn,https://www.bangjie.cn,,,4,H4-E521,Intimate,,,,,,,,,,,,,,,,,,2026-01-05T17:23:23,api,api
Baoer Fashion Trading (Guangzhou),guangzhou-baoer-lmport-export-trading-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/guangzhou-baoer-lmport-export-trading-co-ltd.html,China,Guangdong,Guangzhou,315192,"Room 416, Block 1,No.6 Hanqi Road,Dalong Street, Panyu District",,+86 159 8636 2043,,candy@hkstarbella.com,,,,3,H3-B383,All About Her,,,,,,,,,,,,,,,,,,2025-12-18T14:53:22,api,
Barch Garment (Hangzhou),hangzhou-barch-garment-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/hangzhou-barch-garment-co-ltd.html,China,Zhejiang,Hangzhou,315192,"No#99,Dongan Road Xintang Street Xiaoshan",,+86 137 5814 6550,,xianzhong.wei@hzbarch.com,,,,3,H3-A389,All About Her,,,,,,,,,,,,,,,,,,2025-12-29T15:52:22,api,
Beautex Import&Export Company (Ningbo),ningbo-beautex-importexport-company-limited,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ningbo-beautex-importexport-company-limited.html,China,Zhejiang,Ningbo,315000,"7/F Cangji Bld,No.15 Jiefang South",,+86 574 8729 7782,,363669853@qq.com,https://www.beautexfashion.com,,,4,H4-G501,Casual & Sports,,,,,,,,,,,,,,,,,,2025-12-19T12:22:34,api,api
Becky Garment Industry and Trade (Anhui),anhui-becky-garment-industry-and-trade-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/anhui-becky-garment-industry-and-trade-co-ltd.html,China,Anhui,Anqing,246500,"No. 22 , Garment Industry Park, Susong",,+86 556 778 8168,,65118584@qq.com,https://www.beckysports.com,,,4; null,H4-F504; Hnull,Casual & Sports,,,,,,,,,,,,,,,,,,2025-12-19T12:21:08,api,api
Bell Garment Industrial (Ningbo),ningbo-bell-garment-industrial-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ningbo-bell-garment-industrial-coltd.html,China,Zhejiang,Ningbo,315192,No422 Jianghu Road Jiangbei Investment Zone C,,+86 574 8797 6129,,sales201@seatex.cn,https://seatex.en.alibaba.com,,,4,H4-G517,Casual & Sports,,,,,,,,,,,,,,,,,,2025-12-19T06:11:11,api,api
Bella Bags Industrial,bella-bags-industrial-limited,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/bella-bags-industrial-limited.html,China,Guangdong,Guangzhou,,Road No2,Baiyun area QingHu Shiqimi,+86 132 4752 8379,,bobli@brbella.com.cn,,,,3,H3-A312,Fashion Accessories,Small Order Itinerary < 300 Pieces,,,,,,,,,,,,,,,,,2025-12-19T12:16:53,api,
Bengal Glory,bengal-glory-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/bengal-glory-ltd.html,Bangladesh,,Dhaka,1207,"Plot No 01, Road No 07, Suchana Model Town, Bosila, Mohammadpur",,+880 1711-567736,,,,,,3,H3-B325,Casual & Sports,,,,,,,,,,,,,,,,,,2025-12-24T15:53:45,,
Berrex Textile (Ningbo),ningbo-berrex-textile-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ningbo-berrex-textile-coltd.html,China,Zhejiang,"Cixi City, Ningbo",315317,"West Industrial Zone, Qiao Tou Town",,+86 574 6369 9938,,danvis@berrextex.com,https://www.berrex.com,,,4,H4-G505,Casual & Sports,,,,,,,,,,,,,,,,,,2025-12-29T16:40:50,api,api
Bigblue Fashion (Hangzhou),hangzhou-bigblue-fashion-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/hangzhou-bigblue-fashion-coltd.html,China,Zhejiang,Hangzhou,315192,"No.14 Xingcan Road, Xingqiao Street, Linping District",,+86 571 8626 1861,+86 571 8626 1860,sally@bigblue-fashion.com,https://www.bigblue-fashion.com,,,3,H3-C352,All About Her,Econogy Finder,,,,,,,,,,,,,,,,,2025-12-19T12:23:36,api,api
Black Birds International Trade (Nantong),nantong-black-birds-international-trade-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/nantong-black-birds-international-trade-co-ltd.html,China,Jiangsu,Nantong,226004,"Rm713-Rm716, Building No.17A, No.100 South Gongnong Road",,+86 513 8118 0983,,talen@jstalenclothes.com,,,,4,H4-H427,Tailored,,,,,,,,,,,,,,,,,,2025-12-19T12:16:54,api,
Bloomera,bloomera,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/bloomera.html,Türkiye,,Istanbul,34000,"KARTAL,",,,,info@bloomera.com.tr,https://pro.foursource.com/bloomera-2,,,3,H3-B319,All About Her,,,,,,,,,,,,,,,,,,2026-01-26T12:23:01,api,api
Blueway Fashion (Haining),haining-blueway-fashion-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/haining-blueway-fashion-co-ltd.html,China,Zhejiang,Haining,314408,"4Th Floor,Building 1,No.688 Hanbo Road,Chang'An Town,Haining,Zhejiang,China",,+86 573 8723 5863,+86 573 8796 5189,vanilla@blueway.org.cn,,,,3,H3-A353,All About Her,,,,,,,,,,,,,,,,,,2025-12-19T12:09:27,api,
BNM Garments Industry,bnm-garments-industry-limited,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/bnm-garments-industry-limited.html,Bangladesh,,Dhaka,1340,"House no 032, Jamur Muchipara, Hemayeypur, Savar",,+880 1819-274335,,luwenhua@bnmgil.com,,,,3,H3-A321,Casual & Sports,,,,,,,,,,,,,,,,,,2025-12-24T15:53:43,api,
Bofen Textile & Garments,jiaxing-bofen-textile-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/jiaxing-bofen-textile-co-ltd.html,China,Zhejiang,Jiaxing,314000,"17F, Rongtong Centerno.505 Wenqiao Rd",,+86 573 8260 1392,+86 573 8260 1399,elton@cnbofen.com,https://www.cnbofen.com,,,3,H3-C377,All About Her,,,,,,,,,,,,,,,,,,2025-12-22T17:26:56,api,api
Bohao Garments (Yiwu),yiwu-bohao-garments-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/yiwu-bohao-garments-coltd.html,China,Zhejiang,Yiwu,322011,"3F-8F,No.666 Ruiyun Rd,Tiangong Phase 3 Industrial Zone,Dachen Town",,+86 8613566734915,,coolmn0630@163.com,,,,4,H4-G418,Tailored,,,,,,,,,,,,,,,,,,2025-12-19T12:19:43,api,
BP Impex,bp-impex,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/bp-impex.html,India,,Noida,201301,"F-22, Sector - 6",,+91 120 422 1133,,dinesh@bpimpex.com,,,,3,H3-C365,All About Her,Small Order Itinerary < 300 Pieces,,,,,,,,,,,,,,,,,2026-01-03T06:08:01,api,
Breitex Imp. & Exp. (Xiamen),xiamen-breitex-import-and-export-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/xiamen-breitex-import-and-export-co-ltd.html,China,Fujian,Xiamen,361008,"NO.170, EAST TAPU ROAD,","UNIT 1503-2,",+86 2178508,,william@brei-tex.com,https://BREI-TEX.COM,,,4,H4-F512,Casual & Sports,New Exhibitor; Small Order Itinerary < 300 Pieces,,,,,,,,,,,,,,,,,2025-12-19T12:13:42,api,api
Bridge Baron I&E (Ningbo),ningbo-bridge-baron-impexp-coltd-b,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ningbo-bridge-baron-impexp-coltd-b.html,China,Zhejiang,NINGBO,315100,"NO.579 RILI MIDDLE ROAD, YINZHOU",,+86 574 8901 8053,,junxin22@vip.qq.com,,,,4,H4-G478,Knitted,,,,,,,,,,,,,,,,,,2025-12-23T12:22:22,api,
Bridge Baron Imp. & Exp. (Ningbo),ningbo-bridge-baron-imp---exp-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ningbo-bridge-baron-imp---exp-co-ltd.html,China,Zhejiang,Ningbo,315000,No.579 Middle Rill Roadyinzhou District,,+86 574 8901 8798,,tracy.xu@bridgogroup.cn,https://www.bridgegroup.cn,,,4,H4-E517,Casual & Sports,,,,,,,,,,,,,,,,,,2025-12-19T12:10:31,api,api
Bridge Power Imp. & Exp. (Ningbo),ningbo-bridge-power-impexp-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ningbo-bridge-power-impexp-coltd.html,China,Zhejiang,Ningbo,315000,"501# Jinshan West Road,9F Of Impression Bund Plaza",,+86 574 8742 3902,,section2@bridgegroup.cn,https://www.bridgegroup.cn,,,4,H4-G459,Knitted,,,,,,,,,,,,,,,,,,2025-12-19T12:12:38,api,api
Brij Designs,brij-designs,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/brij-designs.html,India,Haryana,Gurgaon,122016,"Plot N° 759, Phase V",,+91 124 234 7856,,kr@brijdesigns.com,https://www.brijdesigns.com,,,3,H3-B334,All About Her,,,,,,,,,,,,,,,,,,2025-12-24T13:39:00,api,api
Brothers Cashmere (Shanghai),shanghai-brothers-textile-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/shanghai-brothers-textile-coltd.html,China,Shanghai,Shanghai,200137,Lansong Rd,Room 807 Building A No.555,+86 21 6101 9736,+86 21 6101 9737,winston@brotherstextile.net,https://www.brotherscashmere.com,,,4,H4-F463,Knitted,Small Order Itinerary < 300 Pieces,,,,,,,,,,,,,,,,,2025-12-19T12:10:31,api,api
C & D Products Imp. & Exp.,c--d-products-imp--exp-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/c--d-products-imp--exp-co-ltd.html,China,Zhejiang,Hangzhou,315192,"7/F, Unit2, Boduosengu, No.18 Jinheng Road, Yuhang District",,+86 186 6818 9100,,lily-li@cnd-products.com,,,,3,H3-B310,Casual & Sports,,,,,,,,,,,,,,,,,,2025-12-19T12:22:54,api,
CAE Cashmeer,chinar-arts-emporium,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/chinar-arts-emporium.html,India,Uttar Pradesh,Noida,201301,C-80C Sector - 08 -,Sector - 08,+91 120 456 2128,,ghlone@caecashmeer.com,https://www.caecashmeer.com,,,4,H4-G531,Fashion Accessories,,,,,,,,,,,,,,,,,,2026-01-09T11:53:01,api,api
Caibo International (Changzhou),changzhou-caibo-international-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/changzhou-caibo-international-coltd.html,China,Jiangsu,Changzhou,213022,"No.628 Dawei Village,Shengli Village Committee,Hongmestreet.Tianning District",,+86 519 8525 0165,,sid@czsweater.com,https://www.caibo-indivino.com,,,3,H3-B352,All About Her,,,,,,,,,,,,,,,,,,2025-12-19T12:14:03,api,api
Calli International Trading (Ningbo),ningbo-calli-international-trading-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ningbo-calli-international-trading-coltd.html,China,Zhejiang,Ningbo,315192,Room2005 No1357 Middle Of Yinxian Avenue,,+86 181 5823 3292,+86 574 8281 5689,queenie@calli-china.com,https://www.calli-china.com,,,4,H4-H460,Knitted,,,,,,,,,,,,,,,,,,2025-12-19T12:27:24,api,api
Cardinal of Canada,ningbo-nikky-fashion-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/ningbo-nikky-fashion-coltd.html,China,Zhejiang,Ningbo,315505,"#1 Shangqiao Rd, Xiwu St",,+86 574 8853 3505,+86 574 8853 3557,mike.chen@nikkychina.com,https://www.cardinalofcanada.com,,,4,H4-G407,Tailored,,,,,,,,,,,,,,,,,,2025-12-19T12:13:42,api,api
Cardio Imp. & Exp. (Shaoxing),shaoxing-cardio-imp-and-exp-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/shaoxing-cardio-imp-and-exp-coltd.html,China,Zhejiang,Shaoxing,312000,"3Rd Floor, No. 10 Lanjiang Road,Rivate Industry Area",,+86 139 5751 9990,,amyyu@cardio-sx.com,https://cardio-sx.en.alibaba.com/,,,4,H4-F501,Casual & Sports,,,,,,,,,,,,,,,,,,2026-03-17T16:53:04,api,api
Cason Development,cason-development-company-limited,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/cason-development-company-limited.html,Hong Kong,,Hong Kong,,"Flat/RM 6, 23/F Fortune Comm BLDG., 362 Sha Tsui RD. TSUEN WAN",,+852 9634 9628,,james@deri.ltd,,,,4,H4-H525,Intimate,New Exhibitor,,,,,,,,,,,,,,,,,2026-03-03T12:03:37,api,
Cathay Fashion (Nanjing),nanjing-cathay-fashion-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/nanjing-cathay-fashion-co-ltd.html,China,Jiangsu,Nanjing,211100,"Room 1508,Building B1,Huishang Mansion,2# Jinlanroad",,+86 25 5287 3318,,steven@cathayfashion.com,https://www.cathayfashion.com,,,4,H4-G538,Fashion Accessories,,,,,,,,,,,,,,,,,,2025-12-19T12:22:33,api,api
Cedl (Imp. & Exp.) (Shanghai),shanghai-cedl-imex-coltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/shanghai-cedl-imex-coltd.html,China,Shanghai,Shanghai,315192,"301#,Building 12 Rongxing International Building,59#Panyang Road",,+86 21 5218 0800,,connie@cedlfabric.com,https://www.cedlfabric.com,,,4,H4-H482,Knitted,,,,,,,,,,,,,,,,,,2025-12-19T12:19:00,api,api
CH Garment,shanghai-ch-garment-co-ltd,https://texworld-paris.fr.messefrankfurt.com/paris/en/exhibitorsearch/exhibitor-search-apps.detail.html/shanghai-ch-garment-co-ltd.html,China,Shanghai,Shanghai,200030,"Room A2,26Th Floor Shanghai Industry Buiding No.18 Cao Xi North Road",,+86 2164873356112,+86 21 6127 6713,wendy.cheng@chgarment.com.cn,,,,4,H4-H400,Tailored,,,,,,,,,,,,,,,,,,2025-12-19T06:12:15,api,
