Company,City,Phone,Phone Type,WhatsApp Link,Email (info@),Website,LinkedIn Search,Pitch,Status,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score,Email,Title,Fair,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,phone,linkedin_url
Akdogan Textil & Fabric & Textilagency,Hohenbrunn,+49 163 1409045,Mobile — WhatsApp OK,https://wa.me/491631409045,info@akdogantextilien.de,https://akdogantextilien.de/,"""Akdogan Textil & Fabric & Textilagency"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,Akdogan Textilien & Stoffe & Textilproduktion,"Textilproduktion Türkei, Textilproduktion Deutschland , Textilagentur,Stoffgroßhändler,Textilagency,Hoodies,T-Shirt,Jacke,Poloshirt,Regenjacke Produktion-",2003-2021,,,"Stoffe, T-shirt, Poloshirt, Sweatshirt, oversizeshirt, Großhandel Turkei, Textil Großhandel Deutschland, Textilhersteller Turkei, textilhersteller Deutshland, grosshandel textil, t shirt bedrucken, pullover bedrucken, t shirt druck, regenjacke, hoodies",partial,1,,,,False,True,False,1,0,skip,Akdogan Textilien & Stoffe & Textilproduktion,2003-2021,
Textil-Grosshandel24.de,Hemer,+49 2372 9359625,Landline — Call only,,info@textil-grosshandel24.de,http://www.textil-grosshandel24.de/,"""Textil-Grosshandel24.de"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,,,,,,,partial,0,,,,False,False,False,0,0,skip,,,
B&D Textiles,Nuremberg,+49 911 8155440,Landline — Call only,,info@bd-textiles.de,https://bd-textiles.de/,"""B&D Textiles"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,Startseite | B&D Textiles,"Frische Farben, zeitlose Designs, langlebig und nachhaltig! Hochwertig, zuverlässig, strapazierfähig und individuell! Funktional, bequem, langlebig und mode ...",911 8155 440,,,,partial,1,,,,False,True,False,1,0,skip,Startseite | B&D Textiles,911 8155 440,
Style Textilhandel GmbH Germany,Mörlenbach,+49 6209 794648,Landline — Call only,,info@style-textilhandel.eu,https://www.style-textilhandel.eu/,"""Style Textilhandel GmbH Germany"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,Startseite - Style Textilhandel GmbH Germany,,,,,,partial,1,,,,False,True,False,1,0,skip,Startseite - Style Textilhandel GmbH Germany,,
La Maglietta GmbH,Aachen,+49 241 9160680,Landline — Call only,,info@la-maglietta.de,http://www.la-maglietta.de/,"""La Maglietta GmbH"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,La Maglietta - Das T-Shirt,Offizieller Webshop der Marke La Maglietta,,,,,partial,1,,,,False,True,False,1,0,skip,La Maglietta - Das T-Shirt,,
Ecotex Germany & Helppack | Altkleidersammlung und Textilverwertung | Used Clothing Collection & Recycling,Wuppertal,+49 202 273300,Landline — Call only,,info@ecotexgroup.com,http://ecotexgroup.com/,"""Ecotex Germany & Helppack | Altkleidersammlung und Textilverwertung | Used Clothing Collection & Recycling"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,,,,,,,partial,1,,,,False,True,False,1,0,skip,,,
Cotty Textiles GmbH | Textilhersteller & Textil Manufaktur,Leverkusen,+49 15566 288306,Mobile — WhatsApp OK,https://wa.me/4915566288306,info@cottytextiles.de,https://www.cottytextiles.de/,"""Cotty Textiles GmbH | Textilhersteller & Textil Manufaktur"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,Cotty Textiles I Homepage,,49 155 6628,,,"cotty textiles,Clothing Manufacturer,Innovative Designs,garment,Clothing",partial,1,,,,False,True,False,1,0,skip,Cotty Textiles I Homepage,+49 155 66288306,
Jansen Fashion Group GmbH,Wesseling,+49 2236 89210,Landline — Call only,,info@jansen-fashiongroup.de,http://www.jansen-fashiongroup.de/,"""Jansen Fashion Group GmbH"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,Jansen Fashion Group,,,,,,partial,1,,,,False,True,False,1,0,skip,Jansen Fashion Group,,
WIMS TEXTILES GERMANY,Solingen,+49 212 65001564,Landline — Call only,,info@wims-textiles.com,http://www.wims-textiles.com/,"""WIMS TEXTILES GERMANY"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,WIMS,,49 212 6500,"Don’t hesitate, contact us for premium textile products and services.",,,partial,1,,,,False,True,False,1,0,skip,WIMS,+49 212 65001564,
Industry Perfect GmbH,Munich,+49 89 62509527,Landline — Call only,,info@industry-perfect.de,http://www.industry-perfect.de/,"""Industry Perfect GmbH"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,Home - Industry Perfect,NEWS!,89 625 095,Untere Weidenstraße 26 • 81543 München •  Tel +49 89 625 095 27  •  contact@industry-perfect.de  •  www.industry-perfect.de,https://de.linkedin.com/company/industryperfect,,partial,1,,,,False,True,False,1,0,skip,Home - Industry Perfect,+49 89 625 095,
Fashion Stocks GmbH,Munich,+49 173 3879328,Mobile — WhatsApp OK,https://wa.me/491733879328,,,"""Fashion Stocks GmbH"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,,,,,,,partial,0,,,,False,False,False,0,0,skip,,,
Textilmacher GmbH,Munich,+49 89 45244580,Landline — Call only,,info@textilmacher.com,http://www.textilmacher.com/,"""Textilmacher GmbH"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,Textilmacher GmbH München - Stickerei - Textildruck - Corporate Wear,"Nachhaltige Stickerei und Textildruck in München – Made in Germany.
Wir gestalten und produzieren hochwertige und langlebige Unternehmensbekleidung bei maximaler Qualität und Umweltverträglichkeit.",,"Textilmacher GmbH München - Stickerei - Textildruck - Corporate Wear                                                                           ×       Wir verwenden Cookies, um den Betrieb unserer Website sicherzustellen, Inhalte zu optimieren und die Nutzung unserer Seite zu analysieren. Einige Cookies sind technisch notwendig, während andere uns helfen, unser Angebot kontinuierlich zu verbessern. Weitere Informationen finden Sie in unserer  Datenschutzerklärung . Hinweis: Textilmacher richtet sich ausschließlich an gewerbliche Kundinnen und Kunden. Alle Preise verstehen sich als Netto-Preise zzgl. gesetzlicher Mehrwertsteuer.   Accept Cookies   Cookies ablehnen                         Shop         Shop                   +   T-Shirts     Alle T-Shirts   T-Shirts Classic   Tank Tops   Langarmshirts   Sport T-Shirts   Nachhaltige T-Shirts         +   Poloshirts     Alle Poloshirts   Poloshirts Classic   Langarm Poloshirt   Performance Poloshirts   Nachhaltige Poloshirts         +   Pullover & Sweatshirts     Alle Pullover & Sweatshirts   Sweatshirts   Pullover   Sweatjacken   Strickjacken   Nachhaltige Pullover & Sweatshirts         +   Hemden & Blusen     Alle Hemden & Blusen   Hemden   Blusen   Nachhaltige Hemden & Blusen         +   Jacken     Alle Jacken   Softshelljacken   Fleecejacken   Steppjacken   Freizeitjacken   Regenjacken   Winterjacken   Nachhaltige Jacken         +   Schürzen     Alle Schürzen   Eco Apron™         +   Taschen & Rucksäcke     Alle Taschen & Rucksäcke   Goodie Bag™         Westen       Mützen & Schals       Caps & Hüte               Drinkware       Kinder- & Babybekleidung       Decken       Bademäntel & Handtücher       Schirme       Küchenaccessoires       Sitzsäcke & Liegestühle       Krawatten, Fliegen & Halstücher       Hosen       Socken                                 RE-Creator                  What we do         What we do                   we design             we brand             we produce             we shopify                 we design   we brand   we produce   we shopify                   Referenzen           Sustainability           Kontakt           Jobs                                                                                                                                                                         Nachhaltiges Kollektionsdesign, Branding und Premium Merchandise. Made in Munich. Seit 2003 produzieren wir hochwertige und langlebige Produkte bei maximaler Qualität und Umweltverträglichkeit. Our Mission   we design   we brand   we produce   we shopify CERTIFIED SUSTAINABLE CERTIFIED SUSTAINABLE CERTIFIED SUSTAINABLE CERTIFIED SUSTAINABLE CERTIFIED SUSTAINABLE CERTIFIED SUSTAINABLE           Teamwear Mehr erfahren           Premium Merchandise Mehr erfahren   Mehr erfahren           Mehr erfahren           Sustainability Mehr erfahren           Contact us!             VISIT US Showroom & Produktion #fabricsforfuture #fabricsforfuture #fabricsforfuture #fabricsforfuture #fabricsforfuture #fabricsforfuture   Shop Zur Übersicht   Referenzen Get inspired   Official Dealer Stanley/Stella   Jobs We are looking for you! Selected work:   BMW Open Exclusive Merch   Stefan Marx x Lufthansa Art Basel Miami Collection   warm hugs Textilmacher Recycled Scarf   Rainbow Wool LGBTQIA+ Patches    new health society Merch design   Creating NEBourhoods Together Projekt der Europäischen Union   Merch packages Textilmacher Tumbler   fritz-kola limited edition recycled scarf   Merch design Circula   Shopify & Merch Fulfillment The Kiffness   3, 2, 1... launch! Isar Aerospace Collection           Referenzen     Hochwertige Corporate Wear aus Bio-Baumwolle und recycelten Fasern. Gestaltung, Produktion, Stickerei und Textildruck in München – Made in Germany Corporate Fashion und Accessoires gestalten, produzieren und bedrucken / besticken lassen Seit 2003 begeistern wir – die Textilmacher GmbH unsere Kunden mit state-of-the-art Stickerei- und Drucktechnologien, einem innovativen Maschinenpark sowie einem professionellen Team. Wir gestalten und produzieren Corporate Fashion/Mitarbeiterbekleidung, Messebekleidung, Gastronomiebekleidung, Hostessenbekleidung oder Hotelbekleidung mit nachhaltigem Produktdesign und realisieren deine Vorstellungen in allen Belangen der textilen Produktion und Veredelung. Angefangen bei der richtigen Materialauswahl und Design, über die Produktwahl bis hin zur Veredelungsart – vom einfachen Textildruck auf einem klassischen T-Shirt bis zur komplexen Logo-Stickerei auf Original Fatboy®s. Die Textilmacher GmbH bietet eine vollständige Betreuung von der reinen Designberatung bis hin zur individuellen Kollektion für deine Promotionbekleidung, Mitarbeiterbekleidung und Accessoires. Zertifizierte, nachhaltige Textilveredelung und -Produktion (GOTS) Hinter der Leidenschaft für Nachhaltigkeit stecken nicht nur leere Worte. Eines unserer erklärten Ziele ist es, ökologische Verantwortung zu übernehmen und in Verbindung mit innovativer und effektiver Produktion die Auswirkungen unserer Branche nachhaltig zu verbessern. Seit Dezember 2014 sind wir deshalb als Unternehmen GOTS zertifiziert. Der Global Organic Textile Standard (GOTS) ist ein weltweit angewendeter Standard für die Verarbeitung von Textilien aus biologisch erzeugten Naturfasern. Er definiert umwelttechnische Anforderungen entlang der gesamten textilen Produktionskette sowie Sozialkriterien. Die Qualitätssicherung erfolgt durch unabhängige Zertifizierung der gesamten Textilien-Lieferkette.  GRS-Zertifikat Der Global Recycling Standard regelt die Produktionsschritte der gesamten textilen Wertschöpfungskette sowie soziale Kriterien, Arbeitssicherheit und den gesamten Handel der einzelnen Stationen. Damit setzen wir ein Zeichen für Nachhaltigkeit in der Textilbranche und engagieren uns gemeinsam mit unseren Partnern auch für neue Technologien und Projekte, um weitere Umweltziele zu erreichen. Schnell und sicher bedruckt – 24h Expresslieferung Solltest du über unseren Online-Shop T-Shirts, Polohemden, Hemden oder Jacken bedrucken oder besticken wollen, so erhältst von uns für jede verbindliche Bestellung ein aussagekräftiges Freigabebild. Für Stickerei und Textildruck erstellen wir einen Korrekturabzug mit der genauen Positionierung des Logos, Farbe des Logos und Farbe des Textils. Erst wenn uns dazu dein schriftliches Einverständnis vorliegt, wird die Ware entsprechend bestickt oder bedruckt und versendet. Natürlich bieten wir für kurzfristige Bestellungen einen 24 Stunden Expressservice an. Durch unsere lokale Produktion in München können wir innerhalb von 24h dein Wunsch Textil bedrucken oder besticken und innerhalb Deutschlands kurzfristig per Express versenden. Pullover, T-Shirts, Poloshirts, Hemden, Jacken, u.v.m. Für ein perfektes Auftreten lassen sich alle Arten von Kleidung und Accessoires durch Textildruck oder Stickerei mit deinem Logo veredeln. Die bestickten oder bedruckten Schürzen, Hemden, T-Shirts, Polos oder Jacken können mit Accessoires wie Regenschirmen, Schlüsselbänder, Krawatten oder Einstecktüchern kombiniert und genau nach deinen CI-Vorgaben bedruckt oder bestickt werden. Wir gestalten dadurch Firmenoutfits, Promotionbekleidung oder Werbegeschenke nach deinen Vorstellungen und Markenwerten und begeistern deine Mitarbeiter und Kunden mit einem einheitlichen Erscheinungsbild. Das Gestalten und Veredeln durch Bedrucken und Besticken von Textilien ist unsere Leidenschaft. Textilmacher steht für eine Kombination aus Design, Branding und Nachhaltigkeit – was unsere herausragende Branchenpositionierung auszeichnet.  Textilmacher Innovation – Designservice und nachhaltige Produktion In unserem preisgekrönten Designbüro, das nach den neuesten Maßstäben für eine nachhaltige, umweltschonende Produktion gebaut worden ist, haben wir den Textilmacher Showroom für Corporate Fashion und Merchandise / Accessoires in München eingerichtet. Lass dich inspirieren durch anschauliche Textilmuster und Branding-Beispiele wie Textildruck, Stickerei, Flexdruck/Flockdruck, Digitaldruck, 3D-Applikationen, Einwebung und Leder-Prägung. Die Sorgfalt im Detail erkennt man oft erst, wenn man das Produkt in den Händen hält. T-Shirts, Caps, Schlüsselbänder, Hemden, Polos, Blusen und Jacken in verschiedenen Farben bestickt und bedruckt in höchster Qualität findest du beispielhaft in unserem Textilmacher Showroom. Unsere Referenzen sprechen für sich. In drei Schritten dein T-Shirt / Pullover online bedrucken Besuche unseren Online-Shop und lass dich von unserer großen Auswahl an Textilien und Accessoires inspirieren Egal ob Bio-Baumwolle, recycelter Baumwolle oder Polyester, wähle dein Produkt in der gewünschten Qualität an T-Shirts, Sweatshirts, Hoodies, Pullovern, Caps oder Taschen in vielen Farben und Größen aus. Nun brauchst du nur noch die gewünschte Anzahl und die jeweiligen Größen angeben (beachte die Preisstaffelung und unser Rabattsystem), final deine Anfrage prüfen & absenden – fertig! Falls du dir unsicher sein solltest, rufe einfach an, schreibe uns eine E-Mail oder hole dir Soforthilfe in unserem Chat. Produkte T-Shirts Poloshirts Pullover & Sweatshirts Hemden & Blusen Jacken Schürzen Taschen & Rucksäcke Westen Mützen & Schals Caps & Hüte Drinkware Kinder- & Babybekleidung Decken Bademäntel & Handtücher Schirme Küchenaccessoires Sitzsäcke & Liegestühle Krawatten, Fliegen & Halstücher Hosen Socken Textilmacher Organic Products Textilmacher Recycled Products Branding Textildruck Stickerei Flock- und Flexdruck 3D-Applikation Einwebung Prägung Digitaldruck 24h Expresslieferung Versandkosten What we do we design we brand we produce we shopify Sustainability Kontakt Jobs Produktsuche     Jobs Konformitätserklärungen AGBs Datenschutz Kontakt Impressum © Textilmacher GmbH München",https://www.linkedin.com/company/die-textilmacher-gmbh/about/,"Textildruck München, Stickerei München, Firmenlogo besticken, T-Shirt bedrucken, Corporate Fashion, Unternehmensbekleidung, Bio-Baumwolle",partial,1,,,,False,True,False,1,0,skip,Textilmacher GmbH München - Stickerei - Textildruck - Corporate Wear,,https://www.linkedin.com/company/die-textilmacher-gmbh/about/?viewAsMember=true
MORELAND GmbH,Markt Indersdorf,,No number,,info@moreland-store.de,http://www.moreland-store.de/,"""MORELAND GmbH"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,,,,,,,partial,0,,,,False,False,False,0,0,skip,,,
GREEN SHIRTS,Berg,+49 177 5179746,Mobile — WhatsApp OK,https://wa.me/491775179746,info@green-shirts.com,https://green-shirts.com/,"""GREEN SHIRTS"" Germany CEO OR Geschäftsführer OR ""Head of Supply Chain""","Hallo [Name], wir bauen KI-gestützte Supply-Chain-Infrastruktur für die deutsche Textilindustrie — Echtzeit-Logistik, Zoll und Compliance. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman | Harvics",To Contact,"Bio Mode, Faire Kleidung & Öko T-Shirts | GREEN SHIRTS",Bio Mode Onlineshop für Fair Trade Kleidung und Ökologische Mode. Bio T-Shirts und Hoodies aus Bio Baumwolle online kaufen. Nachhaltige Bekleidung online kaufen,49 177 517,,,"bedruckte shirts, bio baumwoll kleidung, bio baumwolle, bio kleidung, bio mode, bio shirt, bio t-shirts, eco fashion, eco shirt, fair fashion, fair trade Kleidung",partial,1,,,,False,True,False,1,0,skip,"Bio Mode, Faire Kleidung & Öko T-Shirts | GREEN SHIRTS",+49 177 517,
