Company,Contact,Email,Phone,City,Country,Score,Stage,Source,Tags
"Ariadna Bertran Grimau","Ariadna","partial","0","Olèrdola","Catalonia",29,"prospect","imported",""
"Manuel Jiménez Pérez","Manuel","","","Greater Madrid Metropolitan Area","Greater Madrid Metropolitan Area",29,"prospect","imported",""
"Patricia Torrente Moreno","Patricia","","","Greater Madrid Metropolitan Area","Greater Madrid Metropolitan Area",29,"prospect","imported",""
"Daniel Pasquín Kaufner","Daniel","","","Greater Barcelona Metropolitan Area","Greater Barcelona Metropolitan Area",29,"prospect","imported",""
"Ferran Gómez Palet","Ferran","","","Greater Barcelona Metropolitan Area","Greater Barcelona Metropolitan Area",29,"prospect","imported",""
"Rubén García","Rubén","partial","0","Montcada","Catalonia",29,"prospect","imported",""
"Xavi Barra","Xavi","partial","0","Montcada","Catalonia",29,"prospect","imported",""
"Mobius GmbH","","","","Hamburg","Germany",29,"prospect","imported",""
"Marca Bologna (Italy parent show)","","","","Bologna","Italy",28,"prospect","imported",""
"Embax / Embaxprint","","","","Brno","Czech Republic",28,"prospect","imported",""
"Privexpo Eurasia","","","","Istanbul","Turkey",28,"prospect","imported",""
"Retail Experience Live (REL)","","","","Stockholm","Sweden",28,"prospect","imported",""
"Easyfairs Packaging Innovations Stockholm","","","","Stockholm","Sweden",28,"prospect","imported",""
"Nordic Retail & Wholesale Summit","","","","Copenhagen","Denmark",28,"prospect","imported",""
"Norwegian Grocery Days (Dagligvaredagene)","","","","Stavanger","Norway",28,"prospect","imported",""
"Päivittäistavarakaupan Päivät","","","","Helsinki","Finland",28,"prospect","imported",""
"Ana Requena Izard","Ana","0","","Information and Internet","Spain",28,"prospect","imported",""
"2r Srl","","","","Partinico","Italy",28,"prospect","imported",""
"A. L. Home","","","","Jaipur","India",28,"prospect","imported",""
"Anna von Lipa","","","","Liberec","Czech Republic",28,"prospect","imported",""
"Api-X A/S","","","","Give","Denmark",28,"prospect","imported",""
"Ariane Fine Porcelain","","","","Prantij","India",28,"prospect","imported",""
"Artsy Crafts","","","","Moradabad","India",28,"prospect","imported",""
"Balas Trends","","","","Karur","India",28,"prospect","imported",""
"Bolsius","","","","Schijndel","Netherlands",28,"prospect","imported",""
"BRASS TOUCH HARDWARE","","","","Moradabad","India",28,"prospect","imported",""
"Broggi 1818","","","","Passirano","Italy",28,"prospect","imported",""
"Chaudhary Exports","","","","Moradabad","India",28,"prospect","imported",""
"Clathea S.r.l.","","","","San Giorgio a Cremano","Italy",28,"prospect","imported",""
"Dajar SP. z o.o.","","","","Koszalin","Poland",28,"prospect","imported",""
"Delta Exports Private Limited","","","","New Delhi","India",28,"prospect","imported",""
"Design 2100 International","","","","Noida","India",28,"prospect","imported",""
"DMW Housewares","","","","Sonepat","India",28,"prospect","imported",""
"Elegant Products UK Ltd.","","","","Wigston","Great Britain and Northern Ireland",28,"prospect","imported",""
"Enva Experto S.L.","","","","Hospitalet de Llobregat","Spain",28,"prospect","imported",""
"Export Promotion Council For Handicrafts","","","+91 11 2613 5256","New Delhi","India",28,"prospect","imported",""
"Flora International","","","","Panipat","India",28,"prospect","imported",""
"FNS International Limited","","","","Delhi","India",28,"prospect","imported",""
"Gajanan India","","","","Noida","India",28,"prospect","imported",""
"Gerimport SL","","","","Beniel","Spain",28,"prospect","imported",""
"Handloom Export Promotion Council","","","+91 44 2827 8879","Chennai","India",28,"prospect","imported",""
"Homey's Tools For Life B.V.","","","","'s-Hertogenbosch","Netherlands",28,"prospect","imported",""
"INDIGO METALWARE LLP","","","","Palghar","India",28,"prospect","imported",""
"Ivv Italia Srl","","","","San Giovanni Valdarno","Italy",28,"prospect","imported",""
"Lfa Holdings (pty) Ltd","","","","Bethanie","South Africa",28,"prospect","imported",""
"Maitre Savonitto","","","","Seillans","France",28,"prospect","imported",""
"Marsc Srl","","","","Firenze","Italy",28,"prospect","imported",""
"Mastrogiorgio Manifattura Ceramica S.R.L Unipersonale","","","","Gualdo Tadino","Italy",28,"prospect","imported",""
"Messe Frankfurt - Conzoom Circle","","","+49 69 75753389","Frankfurt am Main","Germany",28,"prospect","imported",""
"MJ IMPEX","","","","Moradabad","India",28,"prospect","imported",""
"Moonlight Exports","","","","Sambhal","India",28,"prospect","imported",""
"MT Elektrogeräte GmbH","","","","Königsee","Germany",28,"prospect","imported",""
"Multilogistique Services SAS","","","","Sennecey le Grand","France",28,"prospect","imported",""
