company_name,domain,website,linkedin_url,company_email,phone,country,city,industry_keywords,source_show
3D Cam Pazarlama Sanayi Ve Ticaret Limited Sirketi,3dglassware.com,https://www.3dglassware.com,https://www.linkedin.com/company/3d-glassware/,sales@3dglassware.com,+90 216 489 02 05,Türkiye,Istanbul (Anatolia),Glassware; HoReCa; Tabletop; Buffetware; Serveware,Ambiente 2026
"3DC - Intelligent Nature, Lda.",3dcork.com,http://www.3dcork.com/,,snunes@3dcork.com,+351 22 081 8002,Portugal,Pacos de Brandao,sustainable; natural; recyclable; cork homeware; cork,Ambiente 2026
"3G Resins, Sociedade Unipessoal Lda",3gresins.com,https://www.3gresins.com,,gr@3gresins.com,+351 910 047 709,Portugal,Tabuacas,Sunbeds; chairs; tables; flower pots; umbrellas,Ambiente 2026
4 Seasons Collections,,,,imran@4seasonscollections.com,+91 95681 60666,India,Firozabad,"Glass vases, Glass t-light holders; Glass candle pillar holders, Glass X-mas ornaments; Glass lanterns, Glass coffee tables; Glass domes with wooden platter; Glass hurricanes with wooden stand",Ambiente 2026
4Everyware B.V.,4everyware.nl,https://www.4everyware.nl,https://www.linkedin.com/company/4everyware,info@4everyware.nl,,Netherlands,Moergestel,overstock; sourcing; household items; cookware; trade,Ambiente 2026
5g Group Plastik Metal Sanayi Ve Ticaret Limited Sirketi,,,,export@elmop.com,+90 533 913 43 05,Türkiye,Kayseri,cleaningproducts; mopwiperhandle; housewarehousehold; dishrackbathrackvegetablerack; kicthenware,Ambiente 2026
A AND A RESORTWEAR LLP,,,,office@aanda.net.in,+91 120 242 4628,India,"Noida, U.P.",,Ambiente 2026
A Dong Crafts Import & Export JSC,adcrafts.vn,https://www.adcrafts.vn,,info@adcrafts.vn,+84 98 384 99 29,Vietnam,Hanoi,bamboo product; rattan product; crafts item; home decoration; home interior,Ambiente 2026
A Grupe UAB,agrupe.lt,https://www.agrupe.lt,,marketingas@agrupe.lt,+370 678 81314,Lithuania,Jonava,Linen terry; Bedlinen fabrics; Linen fabrics; Linen weaving factory; Home textile,Heimtextil 2026
"A Metalurgica - Bakeware Production, SA",ametalurgica.pt,https://www.ametalurgica.pt,https://www.linkedin.com/company/a-metal-rgica-bakeware-production-sa,euroform@ametalurgica.pt,+351 22 415 6989,Portugal,Campo Valongo,Non-stick; Cakes; Moulds; Bakeware; Metalic,Ambiente 2026
A&R International Trading LLC,,,,,,United States,Seattle Washington,Honeycomb blind; Pleated blind; Curtain; Wooden blind,Heimtextil 2026
"A+ Partner International Co., Ltd.",aplus-partner.com,https://www.aplus-partner.com,,kerry@apluspartner.com,+886 2 8797 6899,Taiwan,Taipei,Metal Baskets; Storage Baskets; Kitchen Baskets; Picnic Baskets; Wind Chime,Ambiente 2026
A-Journal B.V.,a-journal.nl,https://www.a-journal.nl,,info@a-journal.nl,+31 6 15833724,Netherlands,Rotterdam,,Ambiente 2026
A. Essak & Sons Home Textiles,aestextiles.com,https://www.aestextiles.com,https://www.linkedin.com/company/a-essak-&-sons-home-textiles-,info@aestextiles.com,+92 21 36412228,Pakistan,Karachi,Terry Towel; Bathrobe; Bed Linen; Table Linen; Bath Mat,Heimtextil 2026
"A. M. de Almeida e Silva & Filho, Lda",sibina.com,https://sibina.com/,http://www.linkedin.com/company/sibinapartners,geral@sibina.com,+351 234 840 270,Portugal,Estarreja,,Ambiente 2026
A. Marchon SA,marchon.ch,https://www.marchon.ch,,info@marchon.ch,+41 26 460 88 99,Switzerland,Rossens FR,Distribution; Innovation; Küchenhelfer; Logistik & Supply Chain; Haushaltswaren,Ambiente 2026
A. Molina & C. S.p.A.,molinapiumini.it,https://www.molinapiumini.it,,daniela.m@molinapiumini.it,+39 0331 360920,Italy,Cairate (Varese),DOWN DUVETS; DOWN QUILTS; PILLOWS; DOWNPROOF FABRICS; FEATHERS,Heimtextil 2026
A. Z Metals Inc.,azmetalsinc.com,https://www.azmetalsinc.com,,arfatnawaz@gmail.com,+91 99108 66544,India,Moradabad,Garden decor; Metal Planters; Iron Pots; Vases; Christmas Decor,Ambiente 2026
A.B. Export Pvt. Ltd.,ab.com.pk,https://www.ab.com.pk,,mudassar@ab.com.pk,+92 41 8817301,Pakistan,Faisalabad,BED & BATH; FLAME RETARDANT ; LINNING MATERIALS FOR CURTAINS; DUVETS & PILLOWS ; SMART BEDDING,Heimtextil 2026
A.E. Fabrics (Pvt.) Ltd.,aefabrics.com,https://www.aefabrics.com,https://www.linkedin.com/company/aefabrics,info@aefabrics.com,+92 41 8403636,Pakistan,Faisalabad,"Bed linen, Home Textile, Fabrics, Cotton, Polyestercotton; Sheets, Double layer Gauze Duvet and Comforter sets; Grey, White, Dyed, Printed woven fabric on Rolls, Bales, Pallets  ; Institutional Sheets, Hospitality, Hotel, Hospital Textile; Deco Cushions, Curtains, Sofa Covers, Aprons, Napkins",Heimtextil 2026
A.G.M. S.r.l.,agminks.com,https://www.agminks.com,,agm@agminks.com,+39 0321 886105,Italy,Tornaco,Inks; Wallpapers; Artificial leather; PVC-Free; Coating,Heimtextil 2026
A.L. Home,,,,,,India,Jaipur,Private Label Home Furnishings; Designer Rugs; Handcrafted Home Décor; Export Quality Home Textiles; Custom Product Development,Heimtextil 2026
A.L. Paper House LLP,alpaperhouse.com,https://www.alpaperhouse.com,,imran@alpaperhouse.com,+91 98290 11701,India,Jaipur,,Ambiente 2026
A.M.C. Merchandising,,,,elle.zeng@szchinatex.com,+852 15112545165,Hong Kong,Hong Kong,,Apparel Sourcing Paris Spring 2026
A.N. TEXTILES,antextiles.net,https://www.antextiles.net,,info@antextiles.net,+92 345 2255166,Pakistan,Karachi,Dyed & Printed Woven Bed Linen - Plain & Dobby; Dyed & Printed Knitted Bed Linen - Jersey & Jacquard; Yarn Dyed & Printed Kitchen Linen - Plain & Dobby; Institutional Linen - Plain & Dobby; Dyed & Printed Living & Outdoor Linen - Plain & Jacquard,Heimtextil 2026
A.R.I.R. S.A.S. Boggio di Zanon Maria Vittoria,arir.com,https://www.arir.com,,info@arir.com,+39 0141 205135,Italy,Antignano,Bucket; Bowl; Glacette; Cooler; Ice bucket,Ambiente 2026
A.R.M. Textiles,armtex.in,https://www.armtex.in,,arm@armtex.in,+91 98430 31962,India,Karur,BAGS; Kitchen linen; outdoor cotton products ; Table linen; Cosmetic cotton products,Heimtextil 2026
A.S. Création Tapeten AG,as-creation.com,https://www.as-creation.com,https://de.linkedin.com/company/a.s.-création-tapeten-ag,contact@as-creation.de,+49 2261 5420,Germany,Gummersbach,Tapeten; Digitaldruck; Wall panels; Wallpaper; Wallcoverings,Heimtextil 2026
A.S.K. Hometex,,,,,+91 98430 56283,India,Karur,,Heimtextil 2026
A.U Maison,aumaison.dk,https://www.aumaison.dk,,sales@eja.dk,+45 87 62 20 16,Denmark,Hammel,,Ambiente 2026
A.W. Faber-Castell Vertrieb GmbH,faber-castell.de,https://www.faber-castell.de,,info@faber-castell.de,+49 911 99650,Germany,Stein,Writing Instruments / Schreibgeräte; Fine Artists' Quality / Hochwertige Künstlermaterialien; Schule & Gen-Z / School & Gen-Z; Luxuriöses Schreiben / Luxury Writing Instruments,Ambiente 2026
A2 Home,a2home.in,https://www.a2home.in,,amrik@a2home.in,+91 97290 66030,India,"Panipat, Haryana",Bath Mats; Cushions & Throws; Bath robes ; Bath Towels; Bedsheets,Heimtextil 2026
A365 Limited,a365uk.co.uk,https://www.a365uk.co.uk,https://www.linkedin.com/in/guy-weaver-bb4438b/,info@a365uk.co.uk,+44 1925 419958,Great Britain and Northern Ireland,Warrington,cookware; bakeware; saucepans; frying pans; cookware manufacturer,Ambiente 2026
AAA Decor LLP,,,,aaadecorllp@gmail.com,+91 120 466 6604,India,"Noida, Uttar Pradesh",,Heimtextil 2026
Aadya International,aadyahome.com,https://www.aadyahome.com,,contact.aadyainternational@gmail.com,+91 78273 25965,India,"Kasna, Greater Noida",,Heimtextil 2026
Aakash International,aakash-int.com,https://www.aakash-int.com,,sales@aakash-int.com,+91 70539 45864,India,,Towel; Bathmats; Cushion; Throw; Terry Towel,Heimtextil 2026
Aarikka Oy,aarikka.com,https://www.aarikka.com,,aarikka@aarikka.com,+358 44 4220204,Finland,Raisio,Aarikka; iconicdesign; nordicdesign; woodenfigures; homedecor,Ambiente 2026
Aarke AB,aarke.com,https://www.aarke.com,https://www.linkedin.com/company/aarke/,info@aarke.com,+46 70 946 24 62,Sweden,Stockholm,Soda maker; Coffee Brewer; Water filter; Kettle; Carbonator,Ambiente 2026
Aarnav Industries Pvt. Ltd.,aarnavindustries.com,https://www.aarnavindustries.com,,sonali@aarnavgroup.com,+91 99309 80899,India,Ahmedabad,"Bedding; Duvet; Pillow Covers; Flat and fitted sheet sets; Anti Microbial, Aroma",Heimtextil 2026
Aarova VZW,aarova.be,https://www.aarova.be,,info@aarova.be,+32 473 88 78 45,Belgium,Oudenaarde,AAROVA; Eat@12; Pastati; Sample Making; Carpet Handling,Heimtextil 2026
Aauraa Home Fashion Pvt. Ltd.,aauraahomefashion.in,https://www.aauraahomefashion.in,,nm.aauraahomefashion@gmail.com,+91 99949 19124,India,"Karur, Tamil Nadu","Organic Cotton, GOTS , Cotton Linen, Recycled cotton, Sustainable textiles; Curtains, Table linen / Kitchen linen /  Aprons, / Cushions/  Throws; Tablecloths / Table Runners / Kitchen towels / Oven Gloves /  Potholders; Digital / Semi Digital Printing; Design Studio / Engineered Prints /  Embroideries/Jacquard's/ Woven Textures",Heimtextil 2026
Ab Ess-Ma Oy,essma.fi,https://www.essma.fi,,,,Finland,Ytteresse,cleaning sponges; body sponges; bath sponges; car wash sponges; household sponges,Ambiente 2026
AB Rörets Industrier,rorets.se,https://www.rorets.se,,mail@rorets.se,+46 36 31 23 00,Sweden,Jönköping,drying stand; drying stand; clothes rack; clothes dryer; ironing board cover,Ambiente 2026
ABBS International Inc.,abbs.in,https://www.abbs.in,,suren@abbs.in,+91 98963 04849,India,Panipat,"KNITTED THROWS BLANKETS, PILLOWS, CC, BABY BLANKETS, DOG BED; KNITTED BAGS, STATIONERY BAGS, RUGS, BASKETS, SCARF, CAPS; KNITTED GLOVES, BRAIDED JUTE RUGS, AREA RUGS ; TERRY TOWELS, BATHMATS, BATHROBES, BEACH TOWELS, FUTA TOWELS; TUFTED BATHMATS, BATHRUGS, TUFTED THROWS, CUSHION COVERS",Heimtextil 2026
ABC Italia S.r.l.,abcitalia.net,https://www.abcitalia.net,https://it.linkedin.com/company/abc-italia,info@abcitalia.net,+39 0377 464311,Italy,Milano,carpets; rugs; Teppiche; floor coverings; kilim rugs,Heimtextil 2026
ABC Tekstil Sanayi ve Ticaret A.S.,abctekstil.com,https://www.abctekstil.com,https://tr.linkedin.com/company/abc-tekstil-giyim-sanayi-ve-ticaret-ltd-sti,abc@abctekstil.com,+90 258 286 56 91,Türkiye,Pamukkale / Denizli,Bathrobes; Beach Towels; Bath Linens; Kitchen Towels; Towels,Heimtextil 2026
Abdul Ahad Textile Mills Pvt Limited,abdulahadtextilemills.com,https://www.abdulahadtextilemills.com,http://linkedin.com/in/taha-bin-aamir-butt-659111103,aamir@abdulahadtextiles.com,+92 301 1777017,Pakistan,Faisalabad,Home Textiles; Bed Linen & Duvet Covers ; Hospital & Institutional Textiles; Made-ups Manufacturer Pakistan; Sustainable & Antibacterial Fabrics,Heimtextil 2026
Abdullah Textile,kintex.com.pk,https://www.kintex.com.pk,,info@kintex.com.pk,+92 300 8414669,Pakistan,Lahore,,Heimtextil 2026
Abdur Rahman Corporation (Pvt.) Ltd.,arc.com.pk,https://www.arc.com.pk,https://www.linkedin.com/company/abdur-rahman-corporation-pvt-ltd/posts,ahmad@arctex.com.pk,+92 333 9929910,Pakistan,Faisalabad,ARC,Heimtextil 2026
"Abel Industries International Co., Ltd.",abel.com.tw,https://www.abel.com.tw,,rita@mail.abel.com.tw,+886 4 738 5090,Taiwan,Changhua,stationery; office supply; tape dispenser; clipboard; storage,Ambiente 2026
Abert S.p.A.,abert.it,https://abert.it,,info@abert.it,+39 030 685 3611,Italy,Passirano,Cutlery; Buffet; Hollowware; Made in Italy; Kitchen,Ambiente 2026
Abhay and Abhi Exports,abhayandabhiexport.com,https://abhayandabhiexport.com,,info@abhayandabhiexports.com,+91 98087 55030,India,Agra,,Apparel Sourcing Paris Spring 2026
Abhinandan Steels,abhinandansteels.com,https://www.abhinandansteels.com,,export@abhisteels.com,,India,Delhi,barware; HOTELWARE; colanders; stainless steel bowls; utensils,Ambiente 2026
Abhishek International,abhishekinternational.in,https://www.abhishekinternational.in/,,abhishek.ag6167@gmail.com,+91 89093 00089,India,Moradabad,Candle; Outdoor Candle; Citronella; Scented; Fragrance,Ambiente 2026
Abhiuday Print Industries (P) Limited,abhiudayprintindustries.com,https://www.abhiudayprintindustries.com,,director@abhiudayprintindustries.com,+91 92771 61616,India,Gurugram,Wrapping Paper | Gift Wrapping Paper | Christmas | Everyday | Jumbo Rolls | Holographic Paper; Paper Bags | Gift Paper Bag | Wine Bag | Gift Wrap Rolls | Printed Paper; Innovation | Accountability | Sustainability | Customer Service | Timely Delivery | Employee Welfare; Gift Tissue Paper | Tissue Paper | Color Tissue Paper | Transfer Paper | API | India | Wrap India; Bio-Degradable Paper | Bio-Degradable Glitter Paper | Sugar Cane Paper | Husk Paper | FSC Paper | Eco-Friendly Paper; Christmas Delights | Seasonal Decoration | Wrapping | Ribbon; Gift Boxes | Napkins | Party Decoration | Gift Wraps | Wrap; Glitter | Hot Foil | Puff | Embossing | Jumbo | FSC Paper; Jumbo Gift Wrapping Rolls | Made in India | Transfer Paper; Eco Friendly Paper | Paper Roll | Innovation | Biodegradable,Ambiente 2026
Abida International,abidarugs.com,https://www.abidarugs.com,,kafeel.abida@gmail.com,+91 120 427 4514,India,Noida,,Heimtextil 2026
Abilheira & Cunha,abilheira.com,https://abilheira.com/en/,,abilheira.cunha@mail.telepac.pt,+351 917 551 197,Portugal,Barcelos,,Apparel Sourcing Paris Spring 2026
Abinaya Grineters,abinayahome.com,https://www.abinayahome.com,,raviselvan@abinayahome.in,+91 4324 274 467,India,Karur,Karur; Organic; Wholesale; Home Textile; Quality,Ambiente 2026
ABN Pazarlama Konfeksiyon Tekstil San. ve Tic. Ltd. Sti.,abntekstil.com,https://abntekstil.com,,emre.sengul@abntekstil.com,+90 258 371 22 40,Türkiye,Denizli,BEDLINEN; BED SHEET; BATHROBE; SOFA COVER; TOWEL,Heimtextil 2026
Abra Cotton Creations Pvt. Ltd.,cottoncreations.in,https://www.cottoncreations.in,,rahul@cottoncreations.in,+91 99099 56443,India,Ahmedabad,"Bed Linen; OEKO-TEX Certified; Rotary, Panel and Digital Printing; Sustainable Bedding; Duvet Covers, Fitted sheets and Pillow covers",Heimtextil 2026
AbraCadabra,abracadabra.eg,https://www.abracadabra.eg,,ynader@abracadabra.eg,+20 122 217 6015,Egypt,Cairo,Dinnerware; handmade stoneware; Horeca tableware; artisanal designs; pottery,Ambiente 2026
ABS International,abstrade.com,https://www.abstrade.com,,pyan@pacbell.net,+1 415-830-6647,United States,Lake Forest California,Home Textile; Sustainability Resource; Bedding Products; Throw and Blanket; Bath Rug,Heimtextil 2026
"ABT Glassware Co., Limited",abtglassware.com,https://www.abtglassware.com,,eric@abtglassware.com,+86 182 3510 9662,Hong Kong,Kowloon,Glass Decanter; Wine Glasses; Glass Plates; Candle Glass,Ambiente 2026
Ac Mold Plastik Kalip Sanayi Ve Ticaret Limited Sirketi,mutfac.com,https://www.mutfac.com,,arif@acmold.com.tr,+90 212 858 18 38,Türkiye,Esenyurt/Istanbul,,Ambiente 2026
AC Trade Limited,mugroup.com,https://www.mugroup.com,,grink@generalunion.com.cn,+86 13 566 602 7111,Hong Kong,Kowloon,Sport bottle; Stainless steel tumbler; Shake bottle; ; Kitchen Set Carnival,Ambiente 2026
Acapulco Design,acapulcodesign.eu,https://www.acapulcodesign.eu,,info@acapulcodesign.eu,+49 163 4016172,Germany,München,Outdoor Möbel; Lounge Chairs; Acapulco Chairs; Vasen; Low / Coffee Table,Ambiente 2026
Accademia Mugnano S.p.A.,accademiamugnano.it,https://www.accademiamugnano.it,https://www.linkedin.com/company/accademia-mugnano/,,+39 0823 882126,Italy,Napoli,cookware; aluminium; Made in Italy; frypan; non-stick; Casseroles and Pots; Spray coating company; Roller coating company; Metal coating company; 100% Italian manufacturer,Ambiente 2026
Accent Textiles Company Limited,,,,lauralan@ailsin.com.cn,,China,Changshu Jiangsu,"Bed, Bath & Living",Heimtextil 2026
accentra GmbH & Co. KG,accentra.de,https://www.accentra.de,,info@accentra.de,+49 9822 82840,Germany,Bechhofen,Geschenksets; Badezusätze; Made in Germany; Adventskalender; Körperpflege; Badefee; Sensena; Lüttes Welt; Circly,Ambiente 2026
Access Garment Company (Ningbo),accesscn.com,https://accesscn.com/,,access19@nbaccess.com,+86 574 8736 0556,China,Ningbo,,Apparel Sourcing Paris Spring 2026
Accessory Arcade,,,,info@accessoryarcade.com,+91 11 4552 6463,India,Gurugram,MEDITATION CUSHION SET; YOGA BOLSTER; ACUPRESSURE MAT & PILLOW SET; MAGNETIC HEALING PRODUCTS; MEDITATION CHAIR,Ambiente 2026
Acg Kinna Automatic AB,kinnaautomatic.com,https://www.kinnaautomatic.com,https://www.linkedin.com/company/acg-kinna-automatic-ab,tomas.aspenskog@kinnaautomatic.com,+46 72 050 49 03,Sweden,Skene,Automatic sewing; Automatic packing; Pillow filling; Pillow production; Quilt production,Heimtextil 2026
Achal Amit & Co.,achalamit.com,https://www.achalamit.com,,agra@achalamit.in,+91 98372 55587,India,Agra,india; rugs; carpets; bathmats; machine made,Heimtextil 2026
Acht & Acht GmbH,,,,,+49 2191 8909160,Germany,Remscheid,Möbel; Furniture; Stühle; Chairs; In- & Outdoor Furniture,Ambiente 2026
"ACL Impex, Lda.",aclimpex.com,https://www.aclimpex.com,https://pt.linkedin.com/company/aclimpex,vitoria.rodrigues@acl-home.com,+351 253 539 780,Portugal,"Gondar, Guimaraes",Home textiles; Bed linen; High-quality bedding; Egyptian Cotton™; Cashmere,Heimtextil 2026
Acm Italy Srl,acm-italy.com,https://www.acm-italy.com,,marketing@acm-italy.com,+39 02 9036 1148,Italy,Casorezzo,Wallcovering systems; Waterproof coatings; Made in Italy; Primers for wallcoverings; Wallpaper adhesives,Heimtextil 2026
Acme Mills (Pvt) Limited,acmemills.com.pk,https://www.acmemills.com.pk,,sales@acmemills.com.pk,+92 330 8235959,Pakistan,Karachi,Home Textiles Manufacturer; Hotel Towels supplier; Hospitality Textiles Supplier; Hotel bedding supplier; Luxury hotel linen,Heimtextil 2026
Acorus Calamus UAB,acorus.lt,https://www.acorus.lt,,vilte.naslenaite@etnoarbata.lt,+370 620 12848,Lithuania,Pakruojis,Herbal tea; Kräutertee; Private label; Tea manufacturing; Teeherstellung,Ambiente 2026
Acquitaine Ltd.,acquitaine.co.uk,https://www.acquitaine.co.uk,,info@acquitaine.co.uk,+44 161 368 5252,Great Britain and Northern Ireland,,Linen; Upholstery ; Drapery ; Natural Fabrics; British Manufactures,Heimtextil 2026
acs Coating Systems GmbH,hifficiency.shop,https://www.hifficiency.shop,,info@acs-coating.de,+49 4421 968630,Germany,Wilhelmshaven,"Koch- und Bratgeschirr; Backbleche; Antihaftbeschichtung - ohne SolGel, ohne PFAS, ohne PTFE; Bratpfannen; Backformen",Ambiente 2026
ACS Textiles (Bangladesh) Limited,acstextiles.com,https://www.acstextiles.com,https://www.linkedin.com/company/acs-textiles-towel-bd-ltd,shukhan@acstextiles.com,+880 1717-416551,Bangladesh,Dhaka,Yarn Dyed; Dyed; Linen; Jacquard; Digital Print,Heimtextil 2026
ACTEtre Deutschland GmbH,actetre.de,https://www.actetre.de,,info@actetre.de,+49 821 20754919,Germany,Augsburg,Grußkarten; greeting cards; Postkarten; postcards; Quire Publishing,Ambiente 2026
Actman Corporation,actman.com.tw,https://www.actman.com.tw,,sales@actman.com.tw,+886 2 8919 1125,Taiwan,New Taipei City,tumbler; food container; Personal Accessories; Kids Set,Ambiente 2026
Acube Kraft Pvt. Ltd.,acubekraft.com,https://www.acubekraft.com,,ankur@acubekraft.com,+91 98731 36911,India,Moradabad,Home Decor; Lamps; Furniture; Vases; Handicrafts,Ambiente 2026
AD Design & Color Trends by Astrid Davidse,addesign.online,https://www.addesign.online,https://www.linkedin.com/company/colorconcept-by-astriddavidse,info@addesign.online,+31703060623,Netherlands,'s-Gravenhage,Textile Design,Heimtextil 2026
Adali Metal Profil Ins. San. ve Tic. Ltd. Sti.,kanat.com,https://www.kanat.com,,kadir@kanat.com,+90 532 774 85 91,Türkiye,Aksaray,ironing board; wheelbarrow; ladder; clothes airer; trolley,Ambiente 2026
Adamjee Textile Mills (Pvt) Ltd.,adamjee.com.pk,https://www.adamjee.com.pk,https://www.linkedin.com/company/adamjee-textile,hasnain.raza@adamjee.com.pk,+92 21 32568536,Pakistan,Karachi,home textile pakistan; Institutional Linen; fabric manufacturer pakistan; scrub suits; hospital sheeting,Heimtextil 2026
Adamo Srl,omadaitaly.com,https://www.omadaitaly.com,,s.orlandoni@adamo.it,+39 071 721081,Italy,Castelfidardo,"table top, crockery, drinkware, back to school products, plates, glasses, flutes, wine glasses, bowls, jugs, trays, cake, kitchen utensils, office, hotels & restaurants, serving, kids, children, tableware, dinnerware, serveware, glassware, home; red dot, design award, GOOD DESIGN, made in Italy, patended, design, italian design, trendy, certified, certification, Omada; storage box, lunch-box, on-the-go, to go, picnic products, gift, food container, food storage, food canisters, jar, leak-proof, air-tight, hermetical; wooden composite, recycled wood, acrylic, recycled, post-consumer, recyclable, unbreakable, mold production, plastic injection, private label, OEM, ODM, microwave safe, dishwashing safe, tritan; sustainable, green, reusable, promotional, promotions, melamine free, mould, environmentally safe, sustainable household products, eco friendly, ecofriendly, ecological, environmental friendly, durable lunch products",Ambiente 2026
ADARSH EXPORTS,adarshexport.com,https://www.adarshexport.com,,enquiry@adarshexport.com,+91 99180 78856,India,"Bhadohi, Uttar Pradesh","CARPET & RUGS, TEPPICHE; FLOOR COVERING, ALFOMBRA; HANDWOVEN, DURRY, RYA; SUMACK; KNOTTED",Heimtextil 2026
Adasev Plastik Sanayi Ve Ticaret Limited Sirketi,sevplastik.com,https://www.sevplastik.com,,export2@sevplastik.com,+90 545 272 83 34,Türkiye,Sakarya,,Ambiente 2026
Addison-Ross Limited,addisonross.com,https://www.addisonross.com,,sales@addisonross.com,+44 1668 281055,Great Britain and Northern Ireland,Wooler,,Ambiente 2026
Adea Tekstil,adeatekstil.com,https://www.adeatekstil.com,,info@adeatekstil.com,,Türkiye,"Merkezefendi, Denizli",Duvets and Pillow; Hotel textile; Down; Down Alternative; Turkish,Heimtextil 2026
ADEKO - Dizayn Ev Tekstil Sanayi ve Ticaret Ltd. Sti.,adekodesign.com,https://www.adekodesign.com,,furkanaytac@adekodesign.com,+90 224 503 04 31,Türkiye,"Osmangazi, Bursa","www.adekodesign.com; Adeko_official; info@adekodesign.com; Magical World Of The Yarn; CURTAIN, SHEER, TEXTURE, JACQUARD, DAMASK, BLACKOUT",Heimtextil 2026
ADEMI Edition,ademiedition.it,https://www.ademiedition.it,,info@ademiedition.it,+39 011 1987 1895,Italy,Torino,bordered design carpets; rugs; carpets; interior design; bordered exclusive carpets,Ambiente 2026
Adeon Dis Ticaret Limited Sirketi,,,,samet@adeonglobal.com,+90 212 216 09 00,Türkiye,Istanbul,"BUYING OFFICE; EXPORT OFFICE; ISTANBUL; GLASS, PLASTIC, METAL",Ambiente 2026
ADI Hogar y Hosteleria Iberia SL,adiberia.com,https://www.adiberia.com,https://www.linkedin.com/company/adiberia/,jose-maria.gracia@adiberia.com,+34 674 70 72 96,Spain,Villanueva de Gállego (Zaragoza),Kitchenware; Dinnerware; Storage; Cutlery; Spanish Design,Ambiente 2026
ADIL HASSAN TEXTILES,adilhassantextiles.com,https://www.adilhassantextiles.com,,info@adilhasstextiles.com,,Pakistan,Faisalabad,,Heimtextil 2026
Adil Tahir Textiles,adiltahirtextile.com,https://www.adiltahirtextile.com,,adiltahir.textile@gmail.com,,Pakistan,Faisalabad,Bed and Hotel Linen; Institutional Linen; Printed Sheet Set; Sateen Tablecloth and Napkin; Towels & Bathrobes,Heimtextil 2026
Adimara Brush Di Bonfanti Marco & Sonia Snc,,,,info@adimara.it,+39 328 190 4642,Italy,Larciano,,Ambiente 2026
Adler Sp. z o.o.,adlereurope.eu,https://www.adlereurope.eu,,marketing@adlereurope.eu,+48 666 563 562,Poland,Warszawa,home appliances; kitchenware; RTV; Audio; kettle,Ambiente 2026
Adnan Apparel,adnantextilemills.com,https://www.adnantextilemills.com,,yasser@adnantextiles.pk,+92 21 36821212,Pakistan,Karachi,AAP,Heimtextil 2026
Adoksan Tekstil San. ve Tic. A.S.,adoksan.com.tr,https://www.adoksan.com.tr,,sales2@adoksan.com.tr,+90 224 241 42 42,Türkiye,"Nilufer, Bursa",upholstery fabric ; decorative fabric; furnishing fabric,Heimtextil 2026
