title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,url,categoryName,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score
Netzhammer Gross Handels GmbH,4.5,131.0,Güterstraße 23,Singen,,DE,http://www.netzhammer.de/,+49 7731 99880,Wholesale grocer,Grocery delivery service,Grocery store,Wholesaler,,,,,,,https://www.google.com/maps/search/?api=1&query=Netzhammer%20Gross%20Handels%20GmbH&query_place_id=ChIJDTEfHUt9mkcRy26mVbHEt6o,Wholesale grocer,Ihr C&C Großmarkt & Lieferservice - Netzhammer Grosshandels GmbH,"Startseite. Ihr C&C Großmarkt in der Region. Für Gastronomie, Hotellerie, Großküchen, Handel,Gewerbetreibende, Freie Berufe und Vereine.",,,,,partial,1
MELEDI Gastronomie Großhandel,4.3,47.0,Fichtenstraße 105,Düsseldorf,,DE,https://www.meledi.de/duesseldorf/,+49 211 88233733,Wholesale grocer,Wholesale market,,,,,,,,,https://www.google.com/maps/search/?api=1&query=MELEDI%20Gastronomie%20Gro%C3%9Fhandel&query_place_id=ChIJJ0m4xXfLuEcROG9K-8Tm6ds,Wholesale grocer,Gastronomie Grosshandel in Düsseldorf - MELEDI Gastronomie Großhandel,Entdecke den günstigsten Großhandel Deutschlands. Beantrage eine Kundenkarte und profitiere von den besten Angeboten.,49 3221 2288,,,"großhandel, großhändler, catering, gastronomie, lebensmittel",partial,1
Can wholesale GmbH & Co KG,4.6,139.0,Gustav-Hagemann-Straße 46,Salzgitter,,DE,http://www.can-grosshandel.de/,+49 5341 7906860,Wholesaler,Kitchen supply store,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Can%20wholesale%20GmbH%20%26%20Co%20KG&query_place_id=ChIJz0SyWK1QpUcR351m0xK2BaM,Wholesaler,CAN Großhandel GmbH & Co. KG,Ihr Qualitätslieferant für die Bereiche Großküchen und Gastronomie. Durch den Standpunkt in Salzgitter können wir in einem Umkreis von 200 Kilometern liefern.,,,,,partial,1
MEGA Stockach Das Fach-Zentrum für die Metzgerei und Gastronomie GmbH,4.5,99.0,Reichenauring 1,Stockach,,DE,https://www.mega-stuttgart.de/,+49 7771 93400,Wholesale grocer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=MEGA%20Stockach%20Das%20Fach-Zentrum%20f%C3%BCr%20die%20Metzgerei%20und%20Gastronomie%20GmbH&query_place_id=ChIJAzsl1MZgCEERLN0KVqIIuO8,Wholesale grocer,MEGA - Großhandel für die Metzgerei & Gastronomie,Die MEGA blickt auf eine lange Tradition zurück. Angefangen hat alles als Einkaufs- und Lieferungsgenossenschaft für das Metzgerhandwerk vor 80 Jahren.,,,https://www.linkedin.com/company/mega-das-fach-zentrum-f%C3%BCr-die-metzgerei-und-gastronomie-eg/,,partial,1
Han „Hantat“ Lebensmittel Großhandel GmbH,5.0,1.0,Langwiesenweg 30,Stuttgart,,DE,http://www.hantatfood.de/,+49 711 4860430,Wholesaler,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Han%20%E2%80%9EHantat%E2%80%9C%20Lebensmittel%20Gro%C3%9Fhandel%20GmbH&query_place_id=ChIJP7HwkffEmUcRuBTilXtK6wo,Wholesaler,Hauptseite - 1539256423s Webseite!,Ihr zuverlässiger Lebensmittel Lieferant,1539256423,,,,partial,1
Koza Großhandel,5.0,2.0,Kirchheimer Str. 180,Dettingen unter Teck,,DE,https://koza-handel.de/,+49 176 20147087,Wholesale grocer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Koza%20Gro%C3%9Fhandel&query_place_id=ChIJF32YD7GXmUcRrOucWrsAcEY,Wholesale grocer,,,,,,,partial,0
Alfapack GmbH,4.8,18.0,Maria-Probst-Straße 37,Munich,,DE,http://www.alfapack.de/,+49 89 82010760,Wholesale grocer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Alfapack%20GmbH&query_place_id=ChIJMct3qd13nkcRsNbwpqLNDEI,Wholesale grocer,,,,,,,partial,0
MULTI Grosshandel - Hannover,4.9,62.0,Am Großmarkt 15,Hanover,,DE,http://www.multi-grosshandel.de/,+49 511 26215020,Wholesale grocer,Beverage distributor,Dairy store,Fish store,Food products supplier,Greengrocer,Meat wholesaler,Spice store,Supermarket,Wholesaler,https://www.google.com/maps/search/?api=1&query=MULTI%20Grosshandel%20-%20Hannover&query_place_id=ChIJJ_2jkOd1sEcRJ9DuMFHbqF8,Wholesale grocer,Kiosk und Lebensmittel Großhandel - Multi Großhandel Hannover,"Kiosk und Lebensmittel Großhandel Multi bietet über 4500 Produkte auf 2600m² Verkaufsfläche, komm uns besuchen!",49 511 262,,,,partial,1
Rhein Food GmbH,4.9,22.0,Feldchenweg 40,Bornheim,,DE,https://www.rheinfood.de/,+49 2227 9269494,Wholesale grocer,Food manufacturing supply,Food products supplier,Grocery store,Restaurant supply store,,,,,,https://www.google.com/maps/search/?api=1&query=Rhein%20Food%20GmbH&query_place_id=ChIJIfqpudYYv0cReE2yPg_r0uc,Wholesale grocer,RheinFood GmbH - Ihr Partner für Lebensmittel & Gastronomiebedarf,"Seit 2004 Ihr zuverlässiger Großhändler für hochwertige Lebensmittel, Getränke & Verpackungen im Raum Köln/Bonn.",2227 926 949,,,,partial,1
PROHOGA GmbH & Co. KG,4.3,130.0,Salinenstraße 56,Villingen-Schwenningen,,DE,https://www.prohoga.de/,+49 7720 83350,Wholesale grocer,Seafood wholesaler,Warehouse club,Warehouse store,Wine wholesaler and importer,,,,,,https://www.google.com/maps/search/?api=1&query=PROHOGA%20GmbH%20%26%20Co.%20KG&query_place_id=ChIJC_g-_5eXkEcRkgHTE-zrby8,Wholesale grocer,Startseite - PROHOGA,"Ø 4,3 / 5",180443016047,,,,partial,1
HR Puls GmbH // Schlaue HR Software,5.0,11.0,Falkenried 88,Hamburg,,DE,http://www.hrpuls.de/,+49 40 22821138,Software company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=HR%20Puls%20GmbH%20%2F%2F%20Schlaue%20HR%20Software&query_place_id=ChIJJeAItbOIsUcRP7bIOKsLijA,Software company,HR Puls // Schlaue HR Software für effizientes Arbeiten,"Schlaue und selbsterklärende HR Software für die Themen Recruiting, HR Management und Performance mit Servern in Deutschland",40 228 211,,https://www.linkedin.com/company/hrpuls/,,partial,1
HR WORKS,3.6,29.0,Waldkircher Str. 28,Freiburg im Breisgau,,DE,https://www.hrworks.de/?utm_source=gmb&utm_medium=organic&content=freiburg,+49 761 479540,Software company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=HR%20WORKS&query_place_id=ChIJExk_5lsbkUcRYZPYn9zhTkU,Software company,HR WORKS: Mehr Zeit für Menschen. Mehr Zeit für Erfolg.,"Ihre Software für Personalverwaltung, Reisekosten, Zeiterfassung, LoBu-Schnittstellen für kleine und mittlere Unternehmen: Jetzt starten!",761 479,"Arbeiten  geht: Welche Kollegen im Büro sind und wer im Homeoffice arbeitet, sehen Sie in der  Team-Übersicht . 
 
 
 Ze",,,partial,1
HRTime Software GmbH,5.0,10.0,Huyssenallee 13,Essen,,DE,https://www.hrtime.de/,+49 201 4374983,Software company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=HRTime%20Software%20GmbH&query_place_id=ChIJl8128pv6Z2IRJk_16jAadQA,Software company,"Digitale Zeiterfassung ab 4,50€ – Made in Germany | HRTime","Digitale Zeiterfassung per App, Terminal & Browser ab 4,50€. DSGVO-konform, BAG-Urteil erfüllt. Jetzt 45 Min. Demo buchen! HRTime",,"Flexible Stempelmethoden 
 
 Ob Baustelle, Büro oder Homeoffice – mit HRTime erfassen Ihre Mitarbeiter Arbeitszeiten",https://www.linkedin.com/company/hrtime-software-gmbh/,,partial,1
HR WORKS,4.1,9.0,Barckhausstraße 12-16,Frankfurt am Main,,DE,https://www.hrworks.de/?utm_source=gmb&utm_medium=organic&content=frankfurt,+49 761 479540,Software company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=HR%20WORKS&query_place_id=ChIJxZip6FIPvUcRQ1XHkG_dyVQ,Software company,HR WORKS: Mehr Zeit für Menschen. Mehr Zeit für Erfolg.,"Ihre Software für Personalverwaltung, Reisekosten, Zeiterfassung, LoBu-Schnittstellen für kleine und mittlere Unternehmen: Jetzt starten!",761 479,"Arbeiten  geht: Welche Kollegen im Büro sind und wer im Homeoffice arbeitet, sehen Sie in der  Team-Übersicht . 
 
 
 Ze",,,partial,1
"HRNeeds, das Vergleichsportal",5.0,7.0,Weißbuchenweg 5,Mannheim,,DE,https://hrneeds.de/,+49 621 16616673,Business management consultant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=HRNeeds%2C%20das%20Vergleichsportal&query_place_id=ChIJPc9NqszPl0cR-kmMXDGstfA,Business management consultant,"HRNeeds, das Vergleichsportal für HR-Softwarelösungen europaweit",Mit dem Vergleichsportal HRNeeds zur passenden HR-Lösung inklusive individueller Beratung mit zahlreichen Tipps. Jetzt Ihre kostenlose Empfehlung erhalten,,"r   
 
   Führerscheinkontrolle (softwareunterstützt)   Homeoffice-Plattform mit Ausstattung   Internationale Gehaltsabr",https://www.linkedin.com/company/hrneeds-de,,partial,1
HaDre GmbH,5.0,86.0,Rothenburger Str. 241,Nuremberg,,DE,http://3rpms-hotelsoftware.de/,+49 911 13131900,Software company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=HaDre%20GmbH&query_place_id=ChIJ15YY1gFXn0cRYpYS-1p5Ujc,Software company,3RPMSÂ® Hotelsoftware,"3RPMSÂ® ist die cloudbasierte KomplettlÃ¶sung fÃ¼r Beherbergungsbetriebe jeder GrÃ¶Ãe â von der Reservierung bis zur Abrechnung. Intuitiv, skalierbar und sofort einsatzbereit â ganz ohne IT-Chaos.",,en durch pure Effizienz.  MaidConnect  synchronisiert Front Office und Housekeeping vollautomatisch. Das Ergebnis: Schne,,,partial,1
HRWare Consulting GmbH & Co. KG,5.0,1.0,Feldstraße 2,Sigmaringen,,DE,http://www.hrware.de/,+49 7571 757240,Software company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=HRWare%20Consulting%20GmbH%20%26%20Co.%20KG&query_place_id=ChIJRQH-RvE-mkcRe4ziQzK95uA,Software company,HRWare Consulting | Ihr Partner für digitale HR-Lösungen,HRWare Consulting. Mehrfach ausgezeichneter Sage Premium-Partner für die Sage HR Suite. Über 500 HR-Kunden deutschlandweit vertrauen auf uns,06131 8888,,https://www.linkedin.com/company/79960892/,,partial,1
HRlab GmbH,5.0,2.0,Reinhardtstraße 58,Berlin,,DE,https://www.hrlab.de/,+49 30 28098680,Software company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=HRlab%20GmbH&query_place_id=ChIJc7s_9FFOqEcR6ymOM9RTHvM,Software company,Ihr Personal. Ihre Zeit. Ihre HR Software. - HRlab,Damit Sie als Personalabteilung wieder Zeit für die wirkliche Personalarbeit haben! Jederzeit und von überall.,30 28098680,,https://www.linkedin.com/company/tridiondigitalsolutions/,,partial,1
HR-IT-Solutions GmbH,4.9,11.0,Am Griesberg 29,Buch am Erlbach,,DE,https://www.hr-it-solutions.com/,+49 8709 5079950,Software company,Advertising agency,Web hosting company,,,,,,,,https://www.google.com/maps/search/?api=1&query=HR-IT-Solutions%20GmbH&query_place_id=ChIJ8_sNFeAinkcR9aj9NBlE2tI,Software company,HR-IT-Solutions,,318457221,,,,partial,1
H+H Software GmbH,4.9,11.0,Maschmühlenweg 8,Göttingen,,DE,https://www.hh-software.com/,+49 551 522080,Software company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=H%2BH%20Software%20GmbH&query_place_id=ChIJoXNnJMfUpEcR1as9ebLHQCY,Software company,H+H Software GmbH,,,,,,partial,1
HS - Hamburger Software GmbH,4.1,30.0,Überseering 29,Hamburg,,DE,https://www.hamburger-software.de/,+49 40 63297333,Software company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=HS%20-%20Hamburger%20Software%20GmbH&query_place_id=ChIJ3YwW1x2JsUcROqvd03-xhhQ,Software company,ERP Lösungen von HS - Hamburger Software,"Zuverlässige ERP-Lösungen von HS ✓ ausgezeichneter Service für WaWi, FiBu etc. ✓ führender Hersteller für ERP Lösungen ► Jetzt informieren!",040 6329,,https://www.linkedin.com/company/hs---hamburger-software-gmbh-%26-co-kg,,partial,1
HR factory GmbH,4.3,11.0,Konrad-Zuse-Platz 9,Munich,,DE,https://hrfactory.com/de/,+49 89 921310610,Human resource consulting,Business management consultant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=HR%20factory%20GmbH&query_place_id=ChIJmVTYSzpznkcRBtB0vNPK0U4,Human resource consulting,Personaldienstleistung | HR Beratung | Deutschland,HR factory | Personaldienstleistung & HR Beratung deutschlandweit ✓ Branchen- & unternehmensgrößenübergreifende Beratung ▶ Mehr erfahren.,89 9213106,,https://www.linkedin.com/company/hrfactorygmbh/,,partial,1
HYBRID Software GmbH,5.0,5.0,Uhlandstraße 9,Freiburg im Breisgau,,DE,http://www.hybridsoftware.com/,+49 761 70776700,Software company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=HYBRID%20Software%20GmbH&query_place_id=ChIJWe6ZV6IckUcRd1HAIakQTe0,Software company,Innovative Workflow Solutions for the Print Industry | Hybrid Software,"Discover HYBRID Software – global leader in prepress workflow solutions for packaging, labels, and digital printing. Smarter software for efficient print production.",215-550-6243,service for OEMs Bring your press to market faster Support Contact our regional team of experts Products PDF Editors PA,https://www.linkedin.com/company/hybrid-software/,,partial,1
H & R Netzwerk GmbH - IT Partner der Unternehmen,4.9,64.0,Am Königsweg 9,Gronau,,DE,https://www.hrnetzwerk.de/,+49 2565 93500,Computer service,Computer consultant,Computer support and services,Software company,Telecommunications service provider,,,,,,https://www.google.com/maps/search/?api=1&query=H%20%26%20R%20Netzwerk%20GmbH%20-%20IT%20Partner%20der%20Unternehmen&query_place_id=ChIJib3BRRM_uEcRzBB3sQYaHN0,Computer service,Willkommen bei der H & R Netzwerk GmbHIhrem,Die H & R Netzwerk GmbH ist seit 1995 als IT - Systemhaus tätig. Seit 2007 sind wir einer der bundesweit ersten 150 Tobit Premium Partner (heute: 5-Sterne,02565 9350,ie gerne und kompetent: Hotline: +49 2565 93500 Support für Office 2016 und Office 2019 läuft aus Microsoft stellt seit,,"Windows,IT,Support,Microsoft,Tobit,Software,Unternehmen,Email,david,Partner",partial,1
HRF GmbH & Co. KG,5.0,2.0,Darmstädter Str. 62,Reinheim,,DE,http://www.hrf.de/,+49 6162 94920,Software company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=HRF%20GmbH%20%26%20Co.%20KG&query_place_id=ChIJ57GXxTBmvUcRY6DgEYr1RW8,Software company,HRF,Software Solutions,0571 3877,,https://www.linkedin.com/company/37755282,,partial,1
Hard 'n Software Consulting GmbH,5.0,1.0,An d. Schäferbuche 4-6,Marburg,,DE,http://hnsc.de/,,Software company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Hard%20'n%20Software%20Consulting%20GmbH&query_place_id=ChIJ_____xuIvEcRkxi-nxSTVZo,Software company,,,,,,,partial,1
HRS Germany GmbH,5.0,2.0,Hanauer Landstraße 204,Frankfurt am Main,,DE,https://www.hrsgermany.com/,+49 69 870039148,Recruiter,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=HRS%20Germany%20GmbH&query_place_id=ChIJi-8S57QPvUcRZnPJHXXaMjI,Recruiter,Personalvermittlung | HRS Germany,"Entdecken Sie neue Möglichkeiten mit HRS Germany, Ihrem Spezialist in der Personalvermittlung. Spezialisiert auf die Vermittlung von qualifizierten Kandidaten an Top-Unternehmen. Entdecken Sie unseren Service.",,,https://www.linkedin.com/company/hrs-germany/,,partial,1
HYPE Innovation,5.0,15.0,Trierer Str. 70-72,Bonn,,DE,https://www.hypeinnovation.com/,+49 228 22760,Software company,Computer consultant,Computer service,,,,,,,,https://www.google.com/maps/search/?api=1&query=HYPE%20Innovation&query_place_id=ChIJDU-5LYbhvkcRlU--_0hCHVI,Software company,HYPE Innovation Management Software and Consulting,"The only AI-powered platform connecting strategy, ideation, and execution—delivering faster innovation with higher impact.",,"HYPE 
 
 
 
 
 
 
 Careers 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 Contact us 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 X",https://www.linkedin.com/company/90989,,partial,1
HR Software,,,Tilsiter Str. 38,Steinfurt,,DE,https://www.h-roehrich.de/,+49 2552 7505,Software company,Website designer,,,,,,,,,https://www.google.com/maps/search/?api=1&query=HR%20Software&query_place_id=ChIJ2ZcKNbZKuEcR1HRkhEaGtzM,Software company,HR Software | Webdesign Steinfurt Borghorst responsive Webentwicklung ERP CRM Development Programmierung EDV  Datenbanken Rheine Emsdetten Gronau Ochtrup Greven Altenberge Nordwalde Ahaus SchÃ¶ppingen Metelen Wettringen Neuenkirchen Havixbeck Horstmar IbbenbÃ¼ren Telgte Warendorf Borken Coesfeld MÃ¼nster Roxel Hamburg,,2552 7505,,,,partial,1
Messe Stuttgart,4.4,22779.0,Messepiazza 1,Stuttgart,,DE,http://www.messe-stuttgart.de/,+49 711 185600,Exhibition and trade center,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Messe%20Stuttgart&query_place_id=ChIJ-wTdyJLCmUcRnC7h1pP691g,Exhibition and trade center,Messe Stuttgart,"Entdecken Sie alle Veranstaltungen der Messe Stuttgart: Fachmessen, Publikumsmessen, Kongresse, Ausstellerinfos und Services für Veranstalter.",,,,,partial,1
Cologne Fair,4.3,28013.0,Messepl. 1,Cologne,,DE,http://www.koelnmesse.de/,+49 221 8210,Event management company,Exhibition and trade center,Event venue,,,,,,,,https://www.google.com/maps/search/?api=1&query=Cologne%20Fair&query_place_id=ChIJLxCB8MMlv0cRu0Tw4eU4T3M,Event management company,Startseite | Koelnmesse,"Koelnmesse organisiert mehr als 80 Messen, Ausstellungen und Events in Köln und weltweit. Diese geben Ihrem Geschäft wichtige Impulse.",,"Kontakt 
 
 
 
 
 
 
 
 
 
 Übersicht 
 
 Termine 
 
 Location und Services 
 
 Unternehmen 
 
 Karriere 
 
 Press",https://www.linkedin.com/company/koelnmesse-gmbh,"Koelnmesse, Veranstaltungen, Messen, Events, Köln, Termine, Oeffnungszeiten, Hallenplan, Aussteller, Besucher, Messeveranstalter, Eventveranstalter",partial,1
Messe Düsseldorf,4.4,22600.0,Stockumer Kirchstraße 61,Düsseldorf,,DE,https://www.messe-duesseldorf.de/?utm_source=local&utm_medium=messe_duesseldorf&utm_campaign=mybusiness,+49 211 456001,Exhibition and trade center,Event venue,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Messe%20D%C3%BCsseldorf&query_place_id=ChIJ7xLIlRe2uEcRvU8BOmpYyKE,Exhibition and trade center,Startseite -- Messe Düsseldorf GmbH,"Entdecken Sie die Messe Düsseldorf: auf unseren Leitmessen in Düsseldorf, rund um den Globus und über unsere digitalen Angebote.",,,https://www.linkedin.com/company/messe-dusseldorf-gmbh/,,partial,1
BIOFACH,4.6,324.0,Messezentrum 1,Nuremberg,,DE,http://www.biofach.de/,+49 911 86069696,Event management company,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=BIOFACH&query_place_id=ChIJ66PvdOZZn0cRsIQfEUIAAPc,Event management company,The world’s leading trade fair for organic food: Biofach Trade Fair | BIOFACH,"BIOFACH, the world’s leading trade fair for organic food. Visit the organic fair at the Exhibition centre in Nuremberg! You can find all your benefits here!",,nic food: Biofach Trade Fair | BIOFACH skip navigation mail Contact BIOFACH digital language EN   DEUTSCH     ENGLISH,https://www.linkedin.com/company/biofach/,,partial,1
EDEKA Foodservice Handelshof Management GmbH,4.1,46.0,Viktoriastraße 26,Cologne,,DE,http://www.handelshof.de/,+49 2203 17060,Wholesale grocer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=EDEKA%20Foodservice%20Handelshof%20Management%20GmbH&query_place_id=ChIJ85CeDN0mv0cR33RPyKrL1SE,Wholesale grocer,Handelshof | Ihr C+C Großhandelspartner,Breites Food &  Non Food-Sortiment ✓ Tolle Angebote ✓ Tipps & Trends ✓ Großhändler für Ihre Großküche ► Finden Sie Ihren Markt - wir freuen uns auf Sie!,,,,,partial,1
Gourmet Festival Köln,3.0,2.0,Im Zollhafen 1,Cologne,,DE,https://gourmetfestivals.de/exhibition/gourmet-festival-koeln-2024/,,Festival,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Gourmet%20Festival%20K%C3%B6ln&query_place_id=ChIJEQKvJQAlv0cROrboI7WZgmw,Festival,Gourmet Festival Köln 2024 - Gourmet Festivals,,49 175 7465,https://www.instagram.com/explore/locations/1031669720/looye-kwekers/?hl=de,,,partial,1
Textil-Grosshandel,4.7,341.0,Bookenburgweg 1,Dortmund,,DE,https://www.textil-grosshandel.eu/,+49 231 58689120,E-commerce service,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Textil-Grosshandel&query_place_id=ChIJCa8MQ-wTuUcRFNJY3rK9hCY,E-commerce service,Textil-Großhandel | Ihr Partner für Textilhandel & -druck,6000+ Textilien ✓ Textildruck ✓ Lieferung in 1-3 Tagen ✓ 100.000+ zufriedene Kunden ✓ Veredelbare Basis- & Firmenbekleidung bei Textil-Großhandel kaufen!,0157 92468700,,,,partial,1
Atlas Cash & Carry GmbH,4.8,142.0,Marktstraße 10,Cologne,,DE,https://www.atlas-cc.de/,+49 221 37917003,Wholesale grocer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Atlas%20Cash%20%26%20Carry%20GmbH&query_place_id=ChIJwQlq6EElv0cRRro-zicgS14,Wholesale grocer,Atlas Cash and Carry – Gastronomie Großhandel,,49 221 3791,,,,partial,1
