Company,Category,Booth
LANDALUZ - ASOCICACIÓN EMPRESARIAL CLÚSTER AGROALIMENTARIO DE ANDALUCÍA,EXHIBITOR,2F633
LEVPROT BIOSCIENCE,EXHIBITOR,2B229
LIPIWELL,EXHIBITOR,2B245
MERIEUX NUTRISCIENCES,EXHIBITOR,2E513
METOS IBERIA,EXHIBITOR,2B205
MULA AUTONOMOUS FARMING,EXHIBITOR,2B205
NARIA,EXHIBITOR,2B245
NOIET,EXHIBITOR,2B221
NOUS,EXHIBITOR,2B221
NUCAPS,EXHIBITOR,2B229
NULAB,EXHIBITOR,2B237
OSITOS - EDIBLE COCKTAILS,EXHIBITOR,2B229
OXFAM INTERMÓN,EXHIBITOR,2H811
OZONIUM,EXHIBITOR,2B245
PABELLÓN ITALIA,EXHIBITOR,2B221
PABELLÓN STARTUPS INNOVADORAS,EXHIBITOR,2B245
PANELCHOK,EXHIBITOR,2H809
PAPPSTOR,EXHIBITOR,2B205
PEELPACK,EXHIBITOR,2B221
PERINOX SA,EXHIBITOR,2D444
POLYSENSE,EXHIBITOR,2G704
POSEIDONA,EXHIBITOR,2B229
PRISMA-SG,EXHIBITOR,2H833
QUEVANA - LA QUESERÍA VEGANA,EXHIBITOR,2B229
"REMONDIS IBERIA, S.A.U.",EXHIBITOR,2C305
REX NORDIC,EXHIBITOR,2G705
RUBERTE TRATAMIENTOS DE AGUAS,EXHIBITOR,2F609
SACMI IBÉRICA,EXHIBITOR,2F641
SANZAR GROUP,EXHIBITOR,2B205
SINGULAR LOGISTICS,EXHIBITOR,2F601
SMARKTEC,EXHIBITOR,2F629
SMURFIT WESTROCK HEXACOMB,EXHIBITOR,2F637
SOWIFY,EXHIBITOR,2B229
STARTBEC by AINIA,EXHIBITOR,2B208
TAGUSVALLEY,EXHIBITOR,2C337
TETIS BIOTECH,EXHIBITOR,2C325
TIVOX SOLUTIONS,EXHIBITOR,2G744
TOMPLA,EXHIBITOR,2F611
TRAZAPACK,EXHIBITOR,2G733
UCE MACHINES,EXHIBITOR,2F605
URAPHEX,EXHIBITOR,2B237
WASTEWISE,EXHIBITOR,CONGRESS
WATERSHED PACKAGING LTD,EXHIBITOR,2H836
YAMAGATA UNIVERSITY,EXHIBITOR,2B213
YENXA,EXHIBITOR,2B237
ZELERON AUTOMATIZACION Y ROBOTICA,EXHIBITOR,2F609
AER - Asociación Española de Robótica y Automatización,STRATEGIC PARTNER,
AME - Asociación Multisectorial de Empresas de Alimentación y Bebidas,STRATEGIC PARTNER,
ANICE,STRATEGIC PARTNER,
ASINCAR,STRATEGIC PARTNER,2G736
ASOBIOCOM,STRATEGIC PARTNER,
Asociación Multisectorial de Empresas de Alimentación y Bebidas,STRATEGIC PARTNER,
CERVECEROS DE ESPAÑA,STRATEGIC PARTNER,
Cooperativas Agro-alimentarias,STRATEGIC PARTNER,
EATABLES ADVENTURES,STRATEGIC PARTNER,
EIT FOOD,STRATEGIC PARTNER,2C325
Elika,STRATEGIC PARTNER,
FATE- Food & Agri Tech Europe,STRATEGIC PARTNER,2B204
FENIL - Federación Nacional de Industrias Lácteas,STRATEGIC PARTNER,
FEV,STRATEGIC PARTNER,
LANDALUZ,STRATEGIC PARTNER,
NEIKER,STRATEGIC PARTNER,
PACKAGING CLUSTER,STRATEGIC PARTNER,
PACKNET - Plataforma Tecnológica Española de Envase y Embalaje,STRATEGIC PARTNER,
UNO - Organización Empresarial de Logística y Transporte,STRATEGIC PARTNER,
AECOC,SUPPORTING PARTNER,
Anecoop,SUPPORTING PARTNER,
FEDEPESCA,SUPPORTING PARTNER,
FIAB,SUPPORTING PARTNER,
PTV - PLATAFORMA TECNOLÓGICA DEL VINO,SUPPORTING PARTNER,
CdeComunicacion,MEDIA PARTNER,
Eurocarne,MEDIA PARTNER,
Expansión,MEDIA PARTNER,
Financial Food,MEDIA PARTNER,
Radio Cope,MEDIA PARTNER,
Revista Alimentaria,MEDIA PARTNER,
ECOEMBES,SUSTAINABILITY PARTNER,2H832
