Contact,Title,Company,Country,Email,Email Type,Phone,WhatsApp,LinkedIn Profile,Company LinkedIn,Website,Event,Pavilion,Product,Score,Status,HQ,Revenue,Notes,Fair,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/clinical-sciences-exchange-clinscix-2026-august-sydney-au,Clinical Sciences Exchange,Organizer,,90,Hot,,,"Clinical Sciences Exchange scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"Clinical Sciences Exchange ClinSciX on August 27, 2026 in Sydney, Australia - Conference Index","Clinical Sciences Exchange scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,"Location:  Sydney, Australia",,"Oncology, Nursing, Nuclear Medicine, Nephrology, Infectious Diseases, Immunology, Occupational Medicine, Hematology, Laboratory Medicine, Geriatrics, Veterinary Medicine, Emergency Medicine, Ophthalmology, Dermatology, Orthopedics, Dentistry, Gynecology, Cardiology, Pediatrics, Gastroenterology, Family Medicine, Pulmonology, Urology, Pharmacy, Medical, Dental, Health, Internal Medicine, Healthcare, Public Health, Microbiology, Epidemiology, Surgery, Forensic Medicine, Medicine, Anesthesia, Psychiatry, Sports Medicine, Pathology, Radiology, Neurology, Rehabilitation Medicine, Obstetrics, Anesthesiology, Endocrinology",partial
,,EASRD,GB,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-robotics-ai-and-computer-engineering-icrace-2026-may-london-gb,"International Conference on Robotics, AI and Computer Engineering (ICRACE)",Organizer,"motivation to provide an excellent international platform for the academicians, researchers, engineers, industrial participants and budding students around the world to",90,Hot,,,"International Conference on Robotics, AI and Computer Engineering scheduled on May 02-03, 2026 at London, United Kingdom is for the researchers, scientists, scholars, engineers, academic, scientific and university practi | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"International Conference on Robotics, AI and Computer Engineering ICRACE on May 02-03, 2026 in London, United Kingdom - Conference Index","International Conference on Robotics, AI and Computer Engineering scheduled on May 02-03, 2026 at London, United Kingdom is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,"Address: South City Mall Condominium,  Block A-2-3A Jalan Serdang, Kajang, Selangor, Malaysia, Post Code: 43300",,"Bioelectrical Engineering, Computer Engineering, Artificial Intelligence, Robotics, Information Technology, Electronics Engineering, Engineering",partial
,,The European Academy of Paediatrics,GE,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/eap-2026-annual-paediatric-forum-mastercourse-eap-2026-april-tbilisi-ge,EAP 2026 Annual Paediatric Forum & Mastercourse (EAP),Organizer,"al Conference on Computer Science and Information Technology (ICCSIT) - Tbilisi, Georgia October 04, 2026 International Conference on Industrial Engineering (ICIE) - Tbil",90,Hot,,,"EAP 2026 Annual Paediatric Forum & Mastercourse scheduled on April 30-May 03, 2026 at Tbilisi, Georgia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"EAP 2026 Annual Paediatric Forum & Mastercourse EAP on April 30-May 03, 2026 in Tbilisi, Georgia - Conference Index","EAP 2026 Annual Paediatric Forum & Mastercourse scheduled on April 30-May 03, 2026 at Tbilisi, Georgia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,Contact URL:  https://eap-congress.org/contact/,,"Pediatric, Pediatric Surgery, Pediatric Medicine, Pediatric Pathology, Pediatrics Health, Pediatric Nursing, Pediatric Infectious Diseases, Pediatric Endocrinology, Pediatric Anesthesiology",partial
,,"Global Research, Education and Event Network",TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-biological-and-medical-sciences-icbms-x-2026-may-istanbul-tr,International Conference on Biological and Medical Sciences (ICBMS-X),Organizer,", the conference provides a dynamic international platform for oral and poster presentations, interdisciplinary discussions, and global collaboration. ICBMS-X welcomes hi",90,Hot,,,"International Conference on Biological and Medical Sciences scheduled on May 02-03, 2026 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to p | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00",,True,False,False,1,0,1,skip,,,,,,,partial
,,Researchfora,SG,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-medical-health-science-icmhs-2026-may-singapore-sg,International Conference on Medical & Health Science (ICMHS),Organizer,cience. The aim of the Conference is to provide a platform to the researchers and practitioners from both academia as well as industry to meet the share cutting-edge deve,90,Hot,,,"International Conference on Medical & Health Science scheduled on May 02-03, 2026 at Singapore, Singapore is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to pres | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"International Conference on Medical & Health Science ICMHS on May 02-03, 2026 in Singapore, Singapore - Conference Index","International Conference on Medical & Health Science scheduled on May 02-03, 2026 at Singapore, Singapore is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,Contact E-mail:  [email protected],,"Public Health, Family Medicine, Science, Health, Medical",partial
,,Researchfora,SG,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-science-engineering-technology-icset-2026-may-singapore-sg,"International Conference on Science, Engineering & Technology (ICSET)",Organizer,nology. The aim of the Conference is to provide a platform to the researchers and practitioners from both academia as well as industry to meet the share cutting-edge deve,90,Hot,,,"International Conference on Science, Engineering & Technology scheduled on May 02-03, 2026 at Singapore, Singapore is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioner | Industry: Industrial Automation | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"International Conference on Science, Engineering & Technology ICSET on May 02-03, 2026 in Singapore, Singapore - Conference Index","International Conference on Science, Engineering & Technology scheduled on May 02-03, 2026 at Singapore, Singapore is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,Contact E-mail:  [email protected],,"Architecture, Mechanical Engineering, Science, Technology, Engineering",partial
,,CME Science,US,info@conferenceindex.org,Generic,3420389-2,3420389-2,,,https://conferenceindex.org/event/bi-rads-v2025-whats-changed-what-matters-and-how-to-apply-it-2026-may-las-vegas-us,"BI-RADS® v2025: What’s Changed, What Matters, and How to Apply It",Organizer,"sion reflects dramatic advances in breast imaging technology, reporting standards, and clinical practice. This full-day, 8-hour CME course provides a practical, case-base",100,Hot,,,"BI-RADS® v2025: What’s Changed, What Matters, and How to Apply It scheduled on May 02, 2026 at Las Vegas, United States is for the researchers, scientists, scholars, engineers, academic, scientific and university practit | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"BI-RADS® v2025: What’s Changed, What Matters, and How to Apply It on May 02, 2026 in Las Vegas, United States - Conference Index","BI-RADS® v2025: What’s Changed, What Matters, and How to Apply It scheduled on May 02, 2026 at Las Vegas, United States is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",3420389,Address: 3790 El Camino Real Suite 2029,,"Health, Health Science, Public Health, Healthcare, Health Systems",partial
International Conference,Statistics (ICEORS) -,Researchfora,SG,international@conferenceindex.org,Likely,,,https://www.linkedin.com/in/international-conference,,https://conferenceindex.org/event/international-conference-on-management-economics-social-science-icmess-2026-may-singapore-sg,"International Conference on Management, Economics & Social Science (ICMESS)",Organizer,Science.The aim of the Conference is to provide a platform to the researchers and practitioners from both academia as well as industry to meet the share cutting-edge deve,100,Hot,,,"International Conference on Management, Economics & Social Science scheduled on May 02-03, 2026 at Singapore, Singapore is for the researchers, scientists, scholars, engineers, academic, scientific and university practit | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"International Conference on Management, Economics & Social Science ICMESS on May 02-03, 2026 in Singapore, Singapore - Conference Index","International Conference on Management, Economics & Social Science scheduled on May 02-03, 2026 at Singapore, Singapore is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,Contact E-mail:  [email protected],,"Health Economics, Public Economics, Social Science, Economics, Management",partial
International Conference,Statistics (ICEORS) -,Theires,AE,international@conferenceindex.org,Likely,,,https://www.linkedin.com/in/international-conference,,https://conferenceindex.org/event/international-conference-on-science-technology-and-management-icstm-2026-may-sharjah-ae,"International Conference on Science, Technology and Management (ICSTM)",Organizer,"International Conference on Science, Technology and Management ICSTM on May 02-04, 2026 in Sharjah, United Arab Emirates - Conference Index Conference Index",100,Hot,,,"International Conference on Science, Technology and Management scheduled on May 02-04, 2026 at Sharjah, United Arab Emirates is for the researchers, scientists, scholars, engineers, academic, scientific and university pr | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"International Conference on Science, Technology and Management ICSTM on May 02-04, 2026 in Sharjah, United Arab Emirates - Conference Index","International Conference on Science, Technology and Management scheduled on May 02-04, 2026 at Sharjah, United Arab Emirates is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,"Location:  Sharjah, United Arab Emirates",,"Business Communication, Social Science, Science, Management, Technology",partial
,,Iared,US,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-nursing-science-and-healthcare-icnsh-2026-may-seattle-us,International Conference on Nursing Science and Healthcare (ICNSH),Organizer,"6 in Seattle,USA. ICNSH-2026 will create a global platform to researchers, scientists, academicians, policymakers, industry experts to share experiences, discuss research",90,Hot,,,"International Conference on Nursing Science and Healthcare scheduled on May 02-03, 2026 at Seattle, United States is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners | Industry: AI | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"International Conference on Nursing Science and Healthcare ICNSH on May 02-03, 2026 in Seattle, United States - Conference Index","International Conference on Nursing Science and Healthcare scheduled on May 02-03, 2026 at Seattle, United States is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,Contact URL:  https://iared.org/Conference/5441/ICNSH/#CONTACT,,"Nursing, Healthcare, Public Health, Clinical Research, Health Policy",partial
,,Iared,US,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-artificial-intelligence-image-processing-and-computer-science-ica2ipcs-2026-may-seattle-us,"International Conference on Artificial Intelligence, Image Processing, and Computer Science (ICA2IPCS)",Organizer,"n Seattle,USA. ICA2IPCS-2026 will create a global platform to researchers, scientists, academicians, policymakers, industry experts to share experiences, discuss research",90,Hot,,,"International Conference on Artificial Intelligence, Image Processing, and Computer Science scheduled on May 02-03, 2026 at Seattle, United States is for the researchers, scientists, scholars, engineers, academic, scient | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"International Conference on Artificial Intelligence, Image Processing, and Computer Science ICA2IPCS on May 02-03, 2026 in Seattle, United States - Conference Index","International Conference on Artificial Intelligence, Image Processing, and Computer Science scheduled on May 02-03, 2026 at Seattle, United States is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,Contact URL:  https://iared.org/Conference/5437/ICA2IPCS/#CONTACT,,"Artificial Intelligence, Computer Science, Image Processing, Computer Vision, Information Technology, Computational Engineering",partial
,,Interglobe Research Network,TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-petroleum-engineering-and-refinery-icper-2026-may-istanbul-tr,International Conference on Petroleum Engineering and Refinery (ICPER),Organizer,/igrnet.org/ IGRNet Conferences provides a global platform to the researchers to explore and share their knowledge through networking. IGRNet Conferences promotes free ex,90,Hot,,,"International Conference on Petroleum Engineering and Refinery scheduled on May 02-03, 2026 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners t | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,False,False,1,0,1,skip,,,,,,,partial
,,Researchfora,AE,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-medical-health-science-icmhs-2026-may-abu-dhabi-ae,International Conference on Medical & Health Science (ICMHS),Organizer,cience. The aim of the Conference is to provide a platform to the researchers and practitioners from both academia as well as industry to meet the share cutting-edge deve,90,Hot,,,"International Conference on Medical & Health Science scheduled on May 02-03, 2026 at Abu Dhabi, United Arab Emirates is for the researchers, scientists, scholars, engineers, academic, scientific and university practition | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"International Conference on Medical & Health Science ICMHS on May 02-03, 2026 in Abu Dhabi, United Arab Emirates - Conference Index","International Conference on Medical & Health Science scheduled on May 02-03, 2026 at Abu Dhabi, United Arab Emirates is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,"Location:  Abu Dhabi, United Arab Emirates",,"Medical, Medical Physics, Health, Health Science, Food Health",partial
,,theires,AE,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-social-science-e-education-and-new-learning-technologies-icsselt-2026-may-sharjah-ae,"International Conference on Social Science, E-Education and New Learning Technologies (ICSSELT)",Organizer,tion Smart Classrooms EdTech Startups Interactive Platforms Learning Management Systems Personalized Learning Tech-Driven Pedagogy Name: theires Website: http://theires.o,90,Hot,,,"International Conference on Social Science, E-Education and New Learning Technologies scheduled on May 02-03, 2026 at Sharjah, United Arab Emirates is for the researchers, scientists, scholars, engineers, academic, scien | Industry: AI | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"International Conference on Social Science, E-Education and New Learning Technologies ICSSELT on May 02-03, 2026 in Sharjah, United Arab Emirates - Conference Index","International Conference on Social Science, E-Education and New Learning Technologies scheduled on May 02-03, 2026 at Sharjah, United Arab Emirates is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,"Address: South City Mall Condominium,  Block A-2-3A Jalan Serdang, Kajang, Selangor, Malaysia, Post Code: 43300",,"E-education, Social Science, Learning, Cultural Studies, Gender Studies",partial
,,eMedEd,US,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/current-concepts-in-cancer-care-and-cardiology-occ-2026-may-ohio-city-us,Current Concepts in Cancer Care and Cardiology (OCC),Organizer,"o to address the clinical challenges and emerging solutions at the intersection of cancer care and cardiovascular health. OCC 2026 will feature expert-led presentations,",90,Hot,,,"Current Concepts in Cancer Care and Cardiology scheduled on May 03, 2026 at Ohio City, United States is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present r | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"Current Concepts in Cancer Care and Cardiology OCC on May 03, 2026 in Ohio City, United States - Conference Index","Current Concepts in Cancer Care and Cardiology scheduled on May 03, 2026 at Ohio City, United States is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,"The Onco-Cardio Conference (OCC) 2026, organized by eMedEd and supported by eMedEvents as the official partner for marketing, advertising, and registration, will be held on May 3, 2026, at the Oasis Conference Center in Loveland, Ohio, with hybrid participation options for both in-person and virtual attendees. Presented in collaboration with the American Association of Physicians of Indian Origin (AAPI), this CME/CE-accredited conference brings together leading experts in onco-cardio to address the clinical challenges and emerging solutions at the intersection of cancer care and cardiovascular health.",,"Cardiology, Cancer Care, Oncology, Primary Care, Healthcare",partial
,,Iared,US,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-medical-and-biological-engineering-icmbe-2026-may-seattle-us,International Conference on Medical and Biological Engineering (ICMBE),Organizer,"6 in Seattle,USA. ICMBE-2026 will create a global platform to researchers, scientists, academicians, policymakers, industry experts to share experiences, discuss research",90,Hot,,,"International Conference on Medical and Biological Engineering scheduled on May 02-03, 2026 at Seattle, United States is for the researchers, scientists, scholars, engineers, academic, scientific and university practitio | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"International Conference on Medical and Biological Engineering ICMBE on May 02-03, 2026 in Seattle, United States - Conference Index","International Conference on Medical and Biological Engineering scheduled on May 02-03, 2026 at Seattle, United States is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,Contact URL:  https://iared.org/Conference/5436/ICMBE/#CONTACT,,"Biomedical Engineering, Biological Engineering, Biomedical Sciences, Healthcare Engineering, Biotechnology",partial
,,theires,AE,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conferences-on-mining-metallurgy-and-materials-engineering-ic3me-2026-may-sharjah-ae,"International Conferences on Mining, Metallurgy, and Materials Engineering (IC3ME)",Organizer,publication of papers Mineral Exploration Mining Technology Surface Mining Underground Mining Mine Safety Mineral Processing Metallurgical Engineering Extractive Metallu,90,Hot,,,"International Conferences on Mining, Metallurgy, and Materials Engineering scheduled on May 02-03, 2026 at Sharjah, United Arab Emirates is for the researchers, scientists, scholars, engineers, academic, scientific and u | Industry: Industrial Automation | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"International Conferences on Mining, Metallurgy, and Materials Engineering IC3ME on May 02-03, 2026 in Sharjah, United Arab Emirates - Conference Index","International Conferences on Mining, Metallurgy, and Materials Engineering scheduled on May 02-03, 2026 at Sharjah, United Arab Emirates is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,"Address: South City Mall Condominium,  Block A-2-3A Jalan Serdang, Kajang, Selangor, Malaysia, Post Code: 43300",,"Mining, Metallurgy, Materials, Engineering, Nanomaterials",partial
,,theires,AE,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conferences-on-medical-and-health-science-icmhs-2026-may-sharjah-ae,International Conferences on Medical and Health Science (ICMHS),Organizer,th Community Health Healthcare Systems Telehealth Services Pandemic Response AI in Healthcare Vaccine Development Nutritional Science Health Technology Bioethics Medical,90,Hot,,,"International Conferences on Medical and Health Science scheduled on May 02-03, 2026 at Sharjah, United Arab Emirates is for the researchers, scientists, scholars, engineers, academic, scientific and university practitio | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"International Conferences on Medical and Health Science ICMHS on May 02-03, 2026 in Sharjah, United Arab Emirates - Conference Index","International Conferences on Medical and Health Science scheduled on May 02-03, 2026 at Sharjah, United Arab Emirates is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,"Address: South City Mall Condominium,  Block A-2-3A Jalan Serdang, Kajang, Selangor, Malaysia, Post Code: 43300",,"Medical, Health Science, Clinical Medicine, Public Health, Global Health",partial
,,European Geosciences Union (EGU),AT,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/from-crisis-to-action-education-and-communication-for-climate-ocean-overshoot-and-geoethics-climate-2026-may-vienna-at,"From crisis to action: Education and communication for climate, ocean, overshoot and geoethics (CLIMATE)",Organizer,"s viable, realistic, geoethical and science-based solutions. This includes: • Novel and traditional pedagogical approaches for educating about climate change, ocean degra",90,Hot,,,"From crisis to action: Education and communication for climate, ocean, overshoot and geoethics scheduled on May 03-08, 2026 at Vienna, Austria is for the researchers, scientists, scholars, engineers, academic, scientific | Industry: AI | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"From crisis to action: Education and communication for climate, ocean, overshoot and geoethics CLIMATE on May 03-08, 2026 in Vienna, Austria - Conference Index","From crisis to action: Education and communication for climate, ocean, overshoot and geoethics scheduled on May 03-08, 2026 at Vienna, Austria is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,This session aims to address the vital space between science and societal change—a space defined by the intertwined challenges of how we educate and communicate:,,"Climate Change, Climate Change Mitigation, Ocean Governance, Ocean Research, Education for All, Environmental Education, Ecological Education, Education, Education and Environment, Communication, Public Communication, Ethics, Environmental Ethics, Geography, Geosciences, Earth Sciences, Lifelong Learning, Learning, Earth Science, Game-Based Learning, Simulation, Climate Change and Health, Oceanography",partial
,,Interglobe Research Network,TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-biodiversity-ecology-and-climate-change-icbecc-2026-may-istanbul-tr,"International Conference on Biodiversity, Ecology and Climate Change (ICBECC)",Organizer,/igrnet.org/ IGRNet Conferences provides a global platform to the researchers to explore and share their knowledge through networking. IGRNet Conferences promotes free ex,90,Hot,,,"International Conference on Biodiversity, Ecology and Climate Change scheduled on May 02-03, 2026 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and university practitio | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00",,True,False,False,1,0,1,skip,,,,,,,partial
,,"World Academy of Science, Engineering and Technology",IT,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-communication-and-information-engineering-iccie-2026-may-rome-it,International Conference on Communication and Information Engineering (ICCIE),Organizer,Emergency Management: Communication and Computing Platforms Planning and Optimization of Wireless Communication Networks Vehicular Communication Technology Optical Networ,90,Hot,,,"International Conference on Communication and Information Engineering scheduled on May 04-05, 2026 at Rome, Italy is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"International Conference on Communication and Information Engineering ICCIE on May 04-05, 2026 in Rome, Italy - Conference Index","International Conference on Communication and Information Engineering scheduled on May 04-05, 2026 at Rome, Italy is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,Contact URL:  https://waset.org,,"Industrial Communication Networks, Communications Security, International Communication, Digital Media",partial
,,Interglobe Research Network,TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-electrochemistry-material-science-and-engineering-icemse-2026-may-istanbul-tr,"International Conference on Electrochemistry, Material Science and Engineering (ICEMSE)",Organizer,/igrnet.org/ IGRNet Conferences provides a global platform to the researchers to explore and share their knowledge through networking. IGRNet Conferences promotes free ex,90,Hot,,,"International Conference on Electrochemistry, Material Science and Engineering scheduled on May 02-03, 2026 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and university | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00",,True,False,False,1,0,1,skip,,,,,,,partial
,,"World Academy of Science, Engineering and Technology",TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-electronics-information-and-communication-engineering-iceice-2026-may-istanbul-tr,"International Conference on Electronics, Information and Communication Engineering (ICEICE)",Organizer,Provisioning and Architectures Telecommunication Services and Applications Wireless Networking Optical Communications Multimedia Communications Network Performance Innov,90,Hot,,,"International Conference on Electronics, Information and Communication Engineering scheduled on May 04-05, 2026 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and univer | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00",,True,False,False,1,0,1,skip,,,,,,,partial
,,"World Academy of Science, Engineering and Technology",TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-communication-and-information-technology-and-engineering-iccite-2026-may-istanbul-tr,International Conference on Communication and Information Technology and Engineering (ICCITE),Organizer,ription Organization 3G & 4G Mobile Communication Services Agents and Multi-Agents systems for ICT Integrated Circuits for Communications Antennas & Propagation Artificia,90,Hot,,,"International Conference on Communication and Information Technology and Engineering scheduled on May 04-05, 2026 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and univ | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00",,True,False,False,1,0,1,skip,,,,,,,partial
,,"World Academy of Science, Engineering and Technology",TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-cognitive-wireless-networks-and-communications-iccwnc-2026-may-istanbul-tr,International Conference on Cognitive Wireless Networks and Communications (ICCWNC),Organizer,in Wireless Networks Optical Networks and Systems Services and Application Emerging Wireless/Mobile Applications Context and Location-Aware Wireless Services Wireless Tel,90,Hot,,,"International Conference on Cognitive Wireless Networks and Communications scheduled on May 04-05, 2026 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and university pra | Industry: Software | Source: conferenceindex | Validation confidence: 1.00",,True,False,False,1,0,1,skip,,,,,,,partial
,,"World Academy of Science, Engineering and Technology",SG,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-aerospace-mechanical-automotive-and-materials-engineering-icamame-2026-may-singapore-sg,"International Conference on Aerospace, Mechanical, Automotive and Materials Engineering (ICAMAME)",Organizer,control thermal management vibration control turbomachinery fluid mechanics fluid dynamics dynamics applied mechanics aerospace engineering aerospace Description Organiza,90,Hot,,,"International Conference on Aerospace, Mechanical, Automotive and Materials Engineering scheduled on May 04-05, 2026 at Singapore, Singapore is for the researchers, scientists, scholars, engineers, academic, scientific a | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00",,True,True,False,2,0,2,email only,"International Conference on Aerospace, Mechanical, Automotive and Materials Engineering ICAMAME on May 04-05, 2026 in Singapore, Singapore - Conference Index","International Conference on Aerospace, Mechanical, Automotive and Materials Engineering scheduled on May 04-05, 2026 at Singapore, Singapore is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that might want to attend events, meetings, seminars, congresses, workshops, summit, and symposiums.",,Contact URL:  https://waset.org,,"Computational Aerodynamics, Rocket Propulsion, Aeronautical Engineering, Aerodynamics, Actuators, Gas Turbine, Solid Mechanics, Computational Fluid Dynamics, Adaptive Control, Thermal Management, Vibration Control, Turbomachinery, Fluid Mechanics, Fluid Dynamics, Dynamics, Applied Mechanics, Aerospace Engineering, Aerospace",partial
,,"World Academy of Science, Engineering and Technology",TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-aerospace-mechanical-automotive-and-materials-engineering-icamame-2026-may-istanbul-tr,"International Conference on Aerospace, Mechanical, Automotive and Materials Engineering (ICAMAME)",Organizer,control thermal management vibration control turbomachinery fluid mechanics fluid dynamics dynamics applied mechanics aerospace engineering aerospace Description Organiza,90,Hot,,,"International Conference on Aerospace, Mechanical, Automotive and Materials Engineering scheduled on May 04-05, 2026 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and u | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00",,True,False,False,1,0,1,skip,,,,,,,partial
