Company,Category,Country,Stand,NEC Profile,Relevant,LinkedIn Search,Apollo Search,Contact Name,Contact Title,Contact Email,Contact LinkedIn,AI Message,Status,Notes,enrichment_status,score,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,description,phone,address,linkedin_url,industry
Applied Nutrition,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Applied%20Nutrition,https://app.apollo.io/#/companies?q_organization_name=Applied%20Nutrition,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
appy,,,,,,https://www.linkedin.com/search/results/companies/?keywords=appy,https://app.apollo.io/#/companies?q_organization_name=appy,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Aqua Carpatica,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Aqua%20Carpatica,https://app.apollo.io/#/companies?q_organization_name=Aqua%20Carpatica,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Aqua Pura Mineral Water,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Aqua%20Pura%20Mineral%20Water,https://app.apollo.io/#/companies?q_organization_name=Aqua%20Pura%20Mineral%20Water,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AquAngel Party Drinks,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=AquAngel%20Party%20Drinks,https://app.apollo.io/#/companies?q_organization_name=AquAngel%20Party%20Drinks,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Aquavape,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Aquavape,https://app.apollo.io/#/companies?q_organization_name=Aquavape,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AR MAISTAS,,,,,,https://www.linkedin.com/search/results/companies/?keywords=AR%20MAISTAS,https://app.apollo.io/#/companies?q_organization_name=AR%20MAISTAS,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Arcade Sweets,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Arcade%20Sweets,https://app.apollo.io/#/companies?q_organization_name=Arcade%20Sweets,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ARIELA'S GELATO,,,,,,https://www.linkedin.com/search/results/companies/?keywords=ARIELA'S%20GELATO,https://app.apollo.io/#/companies?q_organization_name=ARIELA'S%20GELATO,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Armagh Cider Company,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Armagh%20Cider%20Company,https://app.apollo.io/#/companies?q_organization_name=Armagh%20Cider%20Company,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Arneg UK,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Arneg%20UK,https://app.apollo.io/#/companies?q_organization_name=Arneg%20UK,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Arngask Home Farm,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Arngask%20Home%20Farm,https://app.apollo.io/#/companies?q_organization_name=Arngask%20Home%20Farm,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Artisan & Co,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Artisan%20&%20Co,https://app.apollo.io/#/companies?q_organization_name=Artisan%20&%20Co,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Artisan Bakes,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Artisan%20Bakes,https://app.apollo.io/#/companies?q_organization_name=Artisan%20Bakes,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Artisan Olive Oil Company,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Artisan%20Olive%20Oil%20Company,https://app.apollo.io/#/companies?q_organization_name=Artisan%20Olive%20Oil%20Company,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Artond Ltd,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Artond%20Ltd,https://app.apollo.io/#/companies?q_organization_name=Artond%20Ltd,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ARWEM FOOD DISTRIBUTION UK,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=ARWEM%20FOOD%20DISTRIBUTION%20UK,https://app.apollo.io/#/companies?q_organization_name=ARWEM%20FOOD%20DISTRIBUTION%20UK,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ASCO Foods Limited,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=ASCO%20Foods%20Limited,https://app.apollo.io/#/companies?q_organization_name=ASCO%20Foods%20Limited,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Aspin Management Systems,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Aspin%20Management%20Systems,https://app.apollo.io/#/companies?q_organization_name=Aspin%20Management%20Systems,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
At Your Convenience,,,,,,https://www.linkedin.com/search/results/companies/?keywords=At%20Your%20Convenience,https://app.apollo.io/#/companies?q_organization_name=At%20Your%20Convenience,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Atkins and Potts Ltd,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Atkins%20and%20Potts%20Ltd,https://app.apollo.io/#/companies?q_organization_name=Atkins%20and%20Potts%20Ltd,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AVANTI FOODS / BARCODE FOOD LTD,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=AVANTI%20FOODS%20/%20BARCODE%20FOOD%20LTD,https://app.apollo.io/#/companies?q_organization_name=AVANTI%20FOODS%20/%20BARCODE%20FOOD%20LTD,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AveryBerkel Dealer Jaykay Systems,,,,,,https://www.linkedin.com/search/results/companies/?keywords=AveryBerkel%20Dealer%20Jaykay%20Systems,https://app.apollo.io/#/companies?q_organization_name=AveryBerkel%20Dealer%20Jaykay%20Systems,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AXB Group,,,,,,https://www.linkedin.com/search/results/companies/?keywords=AXB%20Group,https://app.apollo.io/#/companies?q_organization_name=AXB%20Group,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AZ TEAS,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=AZ%20TEAS,https://app.apollo.io/#/companies?q_organization_name=AZ%20TEAS,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Azelis Food & Nutrition,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Azelis%20Food%20&%20Nutrition,https://app.apollo.io/#/companies?q_organization_name=Azelis%20Food%20&%20Nutrition,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
B SMITH PACKAGING,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=B%20SMITH%20PACKAGING,https://app.apollo.io/#/companies?q_organization_name=B%20SMITH%20PACKAGING,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Baboo Gelato,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Baboo%20Gelato,https://app.apollo.io/#/companies?q_organization_name=Baboo%20Gelato,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Baileys Wholesale Ltd,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Baileys%20Wholesale%20Ltd,https://app.apollo.io/#/companies?q_organization_name=Baileys%20Wholesale%20Ltd,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Baker Bennett,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Baker%20Bennett,https://app.apollo.io/#/companies?q_organization_name=Baker%20Bennett,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
BAKER'S,,,,,,https://www.linkedin.com/search/results/companies/?keywords=BAKER'S,https://app.apollo.io/#/companies?q_organization_name=BAKER'S,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Ballancourt Fine Foods,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Ballancourt%20Fine%20Foods,https://app.apollo.io/#/companies?q_organization_name=Ballancourt%20Fine%20Foods,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Ballymaloe Foods,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Ballymaloe%20Foods,https://app.apollo.io/#/companies?q_organization_name=Ballymaloe%20Foods,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Bar Buoy Cocktails,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Bar%20Buoy%20Cocktails,https://app.apollo.io/#/companies?q_organization_name=Bar%20Buoy%20Cocktails,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Bar Juice 5000,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Bar%20Juice%205000,https://app.apollo.io/#/companies?q_organization_name=Bar%20Juice%205000,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
BARCLAYS BANK UK PLC,,,,,,https://www.linkedin.com/search/results/companies/?keywords=BARCLAYS%20BANK%20UK%20PLC,https://app.apollo.io/#/companies?q_organization_name=BARCLAYS%20BANK%20UK%20PLC,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Barista Bar,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Barista%20Bar,https://app.apollo.io/#/companies?q_organization_name=Barista%20Bar,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Barti Rum,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Barti%20Rum,https://app.apollo.io/#/companies?q_organization_name=Barti%20Rum,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Bartleby Clothing,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Bartleby%20Clothing,https://app.apollo.io/#/companies?q_organization_name=Bartleby%20Clothing,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
BAT,,,,,,https://www.linkedin.com/search/results/companies/?keywords=BAT,https://app.apollo.io/#/companies?q_organization_name=BAT,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Bay Coffee Roasters & Teifi Coffee,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Bay%20Coffee%20Roasters%20&%20Teifi%20Coffee,https://app.apollo.io/#/companies?q_organization_name=Bay%20Coffee%20Roasters%20&%20Teifi%20Coffee,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Bazooka Candy,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Bazooka%20Candy,https://app.apollo.io/#/companies?q_organization_name=Bazooka%20Candy,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
BB's Bakery,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=BB's%20Bakery,https://app.apollo.io/#/companies?q_organization_name=BB's%20Bakery,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Be Inclusive Hospitality,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Be%20Inclusive%20Hospitality,https://app.apollo.io/#/companies?q_organization_name=Be%20Inclusive%20Hospitality,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Beacon Compliance,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Beacon%20Compliance,https://app.apollo.io/#/companies?q_organization_name=Beacon%20Compliance,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
BeanTastic Hummus,,,,,,https://www.linkedin.com/search/results/companies/?keywords=BeanTastic%20Hummus,https://app.apollo.io/#/companies?q_organization_name=BeanTastic%20Hummus,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Beanworks Coffee Roasters,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Beanworks%20Coffee%20Roasters,https://app.apollo.io/#/companies?q_organization_name=Beanworks%20Coffee%20Roasters,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Bear's Kitchen   Treats for Dogs,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Bear's%20Kitchen%20%20%20Treats%20for%20Dogs,https://app.apollo.io/#/companies?q_organization_name=Bear's%20Kitchen%20%20%20Treats%20for%20Dogs,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Bearfields,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Bearfields,https://app.apollo.io/#/companies?q_organization_name=Bearfields,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
BeatBox,,,,,,https://www.linkedin.com/search/results/companies/?keywords=BeatBox,https://app.apollo.io/#/companies?q_organization_name=BeatBox,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
BeeHype,,,,,,https://www.linkedin.com/search/results/companies/?keywords=BeeHype,https://app.apollo.io/#/companies?q_organization_name=BeeHype,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Belfast Rum Punch by Island Goods,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Belfast%20Rum%20Punch%20by%20Island%20Goods,https://app.apollo.io/#/companies?q_organization_name=Belfast%20Rum%20Punch%20by%20Island%20Goods,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Bella Italia (AGRITALIA),,,,,,https://www.linkedin.com/search/results/companies/?keywords=Bella%20Italia%20(AGRITALIA),https://app.apollo.io/#/companies?q_organization_name=Bella%20Italia%20(AGRITALIA),,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Belvoir Farm Drinks Ltd,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Belvoir%20Farm%20Drinks%20Ltd,https://app.apollo.io/#/companies?q_organization_name=Belvoir%20Farm%20Drinks%20Ltd,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Berrico FoodCompany,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Berrico%20FoodCompany,https://app.apollo.io/#/companies?q_organization_name=Berrico%20FoodCompany,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Bewilderbeest,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Bewilderbeest,https://app.apollo.io/#/companies?q_organization_name=Bewilderbeest,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Bhangra Blends,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Bhangra%20Blends,https://app.apollo.io/#/companies?q_organization_name=Bhangra%20Blends,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Big Ginger Sauce Co.,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Big%20Ginger%20Sauce%20Co.,https://app.apollo.io/#/companies?q_organization_name=Big%20Ginger%20Sauce%20Co.,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Big Potato Games,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Big%20Potato%20Games,https://app.apollo.io/#/companies?q_organization_name=Big%20Potato%20Games,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Billy's Coffee Company Ltd,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Billy's%20Coffee%20Company%20Ltd,https://app.apollo.io/#/companies?q_organization_name=Billy's%20Coffee%20Company%20Ltd,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Binghams Food Limited,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Binghams%20Food%20Limited,https://app.apollo.io/#/companies?q_organization_name=Binghams%20Food%20Limited,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Bio-tiful Gut Health,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Bio-tiful%20Gut%20Health,https://app.apollo.io/#/companies?q_organization_name=Bio-tiful%20Gut%20Health,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
BIONA ORGANIC,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=BIONA%20ORGANIC,https://app.apollo.io/#/companies?q_organization_name=BIONA%20ORGANIC,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Bip Candy,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Bip%20Candy,https://app.apollo.io/#/companies?q_organization_name=Bip%20Candy,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
BIXOLON,,,,,,https://www.linkedin.com/search/results/companies/?keywords=BIXOLON,https://app.apollo.io/#/companies?q_organization_name=BIXOLON,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Black Mountains Botanicals & Roast,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Black%20Mountains%20Botanicals%20&%20Roast,https://app.apollo.io/#/companies?q_organization_name=Black%20Mountains%20Botanicals%20&%20Roast,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Blasus Welshcakes Ltd,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Blasus%20Welshcakes%20Ltd,https://app.apollo.io/#/companies?q_organization_name=Blasus%20Welshcakes%20Ltd,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Blendsmiths,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Blendsmiths,https://app.apollo.io/#/companies?q_organization_name=Blendsmiths,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
BLUE MOUNTAIN REFRESHMENTS,,,,,,https://www.linkedin.com/search/results/companies/?keywords=BLUE%20MOUNTAIN%20REFRESHMENTS,https://app.apollo.io/#/companies?q_organization_name=BLUE%20MOUNTAIN%20REFRESHMENTS,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Boddington's Premium Preserves,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Boddington's%20Premium%20Preserves,https://app.apollo.io/#/companies?q_organization_name=Boddington's%20Premium%20Preserves,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Bon AppéSweet,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Bon%20AppéSweet,https://app.apollo.io/#/companies?q_organization_name=Bon%20AppéSweet,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Booja-Booja,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Booja-Booja,https://app.apollo.io/#/companies?q_organization_name=Booja-Booja,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Booker,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Booker,https://app.apollo.io/#/companies?q_organization_name=Booker,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Boost Foodservice Ltd,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Boost%20Foodservice%20Ltd,https://app.apollo.io/#/companies?q_organization_name=Boost%20Foodservice%20Ltd,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Borneo Orangutan Survival UK,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Borneo%20Orangutan%20Survival%20UK,https://app.apollo.io/#/companies?q_organization_name=Borneo%20Orangutan%20Survival%20UK,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Borough Broth Company,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Borough%20Broth%20Company,https://app.apollo.io/#/companies?q_organization_name=Borough%20Broth%20Company,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Botivo,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Botivo,https://app.apollo.io/#/companies?q_organization_name=Botivo,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
BP,,,,,,https://www.linkedin.com/search/results/companies/?keywords=BP,https://app.apollo.io/#/companies?q_organization_name=BP,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Braaiology,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Braaiology,https://app.apollo.io/#/companies?q_organization_name=Braaiology,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Bradleys Juice,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Bradleys%20Juice,https://app.apollo.io/#/companies?q_organization_name=Bradleys%20Juice,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
BRAGG UK,,,,,,https://www.linkedin.com/search/results/companies/?keywords=BRAGG%20UK,https://app.apollo.io/#/companies?q_organization_name=BRAGG%20UK,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Bravura Foods,,,,,YES,https://www.linkedin.com/search/results/companies/?keywords=Bravura%20Foods,https://app.apollo.io/#/companies?q_organization_name=Bravura%20Foods,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Breckland Orchard Posh Pop,,,,,,https://www.linkedin.com/search/results/companies/?keywords=Breckland%20Orchard%20Posh%20Pop,https://app.apollo.io/#/companies?q_organization_name=Breckland%20Orchard%20Posh%20Pop,,,,,,New,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
