Route,Size_Bytes,Severity,Is_Redirect,Has_TODO,Has_Placeholder,Has_Heading,Status_Summary
[locale]/login/employee,3849,LOW,No,No,No,Yes,OK  
[locale]/login/investor,4091,LOW,No,No,No,Yes,OK  
[locale]/login,5584,LOW,No,No,No,Yes,OK  
[locale]/login/supplier,474,CRITICAL,Yes,No,No,No,Empty  
[locale]/media/contacts,5111,LOW,No,No,No,Yes,OK  
[locale]/media/images,4679,LOW,No,No,No,Yes,OK  
[locale]/media/news,5304,LOW,No,No,No,Yes,OK  
[locale]/media,5753,LOW,No,No,No,Yes,OK  
[locale]/money/club-rewards,5962,LOW,No,No,No,Yes,OK  
[locale]/money/credit-cards,5614,LOW,No,No,No,Yes,OK  
[locale]/money/exchange-rates,8661,LOW,No,No,No,Yes,OK  
[locale]/money/financial-support,6906,LOW,No,No,No,Yes,OK  
[locale]/money/home-insurance,4614,LOW,No,No,No,Yes,OK  
[locale]/money,444,CRITICAL,Yes,No,No,No,Empty  
[locale]/money/personal-loans,6667,LOW,No,No,No,Yes,OK  
[locale]/money/rewards-card,4565,LOW,No,No,No,Yes,OK  
[locale]/money/savings-investing,6085,LOW,No,No,No,Yes,OK  
[locale]/money/travel-insurance,5643,LOW,No,No,No,Yes,OK  
[locale]/money/travel-money,3581,LOW,No,No,No,Yes,OK  
[locale]/newsletter,5079,MEDIUM,No,No,Yes,Yes,OK   | Placeholder
[locale]/offers/bulk-orders,6500,LOW,No,No,No,Yes,OK  
[locale]/offers,442,CRITICAL,Yes,No,No,No,Empty  
[locale]/offers/promotions,5311,LOW,No,No,No,Yes,OK  
[locale]/offers/special-offers,7236,LOW,No,No,No,Yes,OK  
[locale]/os/competitor/analysis,4583,MEDIUM,No,No,Yes,Yes,OK   | Placeholder
[locale]/os/competitor,775,LOW,No,No,No,No,OK  
[locale]/os/competitor-intel,757,LOW,No,No,No,No,OK  
[locale]/os/crm,741,LOW,No,No,No,No,OK  
[locale]/os/executive,745,LOW,No,No,No,No,OK  
[locale]/os/export/orders,4875,LOW,No,No,No,Yes,OK  
[locale]/os/finance,724,LOW,No,No,No,No,OK  
[locale]/os/finance/payments,466,CRITICAL,Yes,No,No,No,Empty  
[locale]/os/finance/payments/reconciliation,9870,MEDIUM,No,No,Yes,No,OK   | Placeholder
[locale]/os/finance/payments/verification-queue,9853,LOW,No,No,No,Yes,OK  
[locale]/os/geo,6024,LOW,No,No,No,Yes,OK  
[locale]/os/gps-tracking,745,LOW,No,No,No,No,OK  
[locale]/os/hr,699,LOW,No,No,No,No,OK  
[locale]/os/identity,2908,LOW,No,No,No,Yes,OK  
[locale]/os/import/customs,3282,MEDIUM,No,No,Yes,Yes,OK   | Placeholder
[locale]/os/import/dashboard,5957,LOW,No,No,No,Yes,OK  
[locale]/os/import/orders/[id],7856,LOW,No,No,No,Yes,OK  
[locale]/os/import/orders,9935,LOW,No,No,No,Yes,OK  
[locale]/os/import-export,750,LOW,No,No,No,No,OK  
[locale]/os/inventory,734,LOW,No,No,No,No,OK  
[locale]/os/investor-relations,748,LOW,No,No,No,No,OK  
[locale]/os/legal/cases,14280,HIGH,No,Yes,No,Yes,OK  | TODO 
[locale]/os/legal/compliance,5344,LOW,No,No,No,Yes,OK  
[locale]/os/legal/contracts,11781,HIGH,No,Yes,No,Yes,OK  | TODO 
[locale]/os/legal/counterfeit,9082,HIGH,No,Yes,No,Yes,OK  | TODO 
[locale]/os/legal,729,LOW,No,No,No,No,OK  
[locale]/os/legal/trademarks,21519,LOW,No,No,No,Yes,OK  
[locale]/os/localization,749,LOW,No,No,No,No,OK  
[locale]/os/logistics/analytics,2671,LOW,No,No,No,Yes,OK  
[locale]/os/logistics/fleet,4294,LOW,No,No,No,Yes,OK  
[locale]/os/logistics/gps,3404,MEDIUM,No,No,Yes,Yes,OK   | Placeholder
[locale]/os/logistics/map,3831,MEDIUM,No,No,Yes,Yes,OK   | Placeholder
[locale]/os/logistics,735,LOW,No,No,No,No,OK  
[locale]/os/market-distribution,4597,LOW,No,No,No,Yes,OK  
[locale]/os/orders-sales,732,LOW,No,No,No,No,OK  
[locale]/os,429,CRITICAL,Yes,No,No,No,Empty  
[locale]/os/satellite,8637,LOW,No,No,No,Yes,OK  
[locale]/os/supplier-procurement,16548,MEDIUM,No,No,Yes,Yes,OK   | Placeholder
[locale]/os/supply-chain,8452,LOW,No,No,No,Yes,OK  
[locale]/os/tier0,3044,LOW,No,No,No,No,OK  
[locale]/os/workflows,747,LOW,No,No,No,No,OK  
[locale],7128,LOW,No,No,No,No,OK  
[locale]/portal/[persona]/crm,757,LOW,Yes,No,No,No,OK  
[locale]/portal/[persona],1467,LOW,No,No,No,No,OK  
[locale]/portal/distributor/ai,1788,LOW,No,No,No,No,OK  
[locale]/portal/distributor/compliance,1984,LOW,No,No,No,Yes,OK  
[locale]/portal/distributor/inventory,1994,LOW,No,No,No,Yes,OK  
[locale]/portal/distributor/orders,4952,LOW,No,No,No,Yes,OK  
[locale]/portal/distributor,612,LOW,No,No,No,No,OK  
[locale]/portal/distributor/payments/history,7069,LOW,No,No,No,Yes,OK  
[locale]/portal/distributor/payments/invoices,3495,LOW,No,No,No,No,OK  
[locale]/portal/distributor/payments/make-payment,5331,MEDIUM,No,No,Yes,No,OK   | Placeholder
[locale]/portal/distributor/payments,3620,LOW,No,No,No,Yes,OK  
[locale]/portal/distributor/payments/receipts,5557,LOW,No,No,No,Yes,OK  
[locale]/portal/distributor/retailers,1997,LOW,No,No,No,Yes,OK  
[locale]/portal,432,CRITICAL,Yes,No,No,No,Empty  
[locale]/portal/supplier/ai,1786,LOW,No,No,No,No,OK  
[locale]/portal/supplier/contracts,1967,LOW,No,No,No,Yes,OK  
[locale]/portal/supplier/deliveries,1991,LOW,No,No,No,Yes,OK  
[locale]/portal/supplier,1815,LOW,No,No,No,Yes,OK  
[locale]/portal/supplier/payments,1971,LOW,No,No,No,Yes,OK  
[locale]/portal/supplier/payments/payment-status,7610,LOW,No,No,No,Yes,OK  
[locale]/portal/supplier/payments/upload-invoice,8763,HIGH,No,Yes,Yes,No,OK  | TODO  | Placeholder
[locale]/portal/supplier/pos,1952,LOW,No,No,No,Yes,OK  
[locale]/portal/supplier/qc,1945,LOW,No,No,No,Yes,OK  
[locale]/portal/supplier/rfqs,1899,LOW,No,No,No,Yes,OK  
[locale]/portals,6545,LOW,No,No,No,Yes,OK  
[locale]/privacy,4865,LOW,No,No,No,Yes,OK  
[locale]/products/[category]/[subcategory],3175,LOW,No,No,No,No,OK  
[locale]/products/[category],2071,LOW,No,No,No,No,OK  
[locale]/products/confectionery/[productLine],9632,LOW,No,No,No,No,OK  
[locale]/products,6195,LOW,No,No,No,Yes,OK  
[locale]/reports/analytics,5935,LOW,No,No,No,Yes,OK  
[locale]/reports,443,CRITICAL,Yes,No,No,No,Empty  
[locale]/research,7431,LOW,No,No,No,Yes,OK  
[locale]/sales/clearance,6641,LOW,No,No,No,Yes,OK  
[locale]/sales/current-sales,6599,LOW,No,No,No,Yes,OK  
[locale]/sales,443,CRITICAL,Yes,No,No,No,Empty  
[locale]/sales/seasonal,5757,LOW,No,No,No,Yes,OK  
[locale]/sitemap,4815,LOW,No,No,No,Yes,OK  
[locale]/sourcing,19962,LOW,No,No,No,Yes,OK  
[locale]/strategy,4529,LOW,No,No,No,Yes,OK  
[locale]/terms,4931,LOW,No,No,No,Yes,OK  
