Contact,Title,Company,Country,Email,Email Type,Phone,WhatsApp,LinkedIn Profile,Company LinkedIn,Website,Event,Pavilion,Product,Score,Status,HQ,Revenue,Notes
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/clinical-sciences-exchange-clinscix-2026-august-sydney-au,Clinical Sciences Exchange,Organizer,,90,Hot,,,"Clinical Sciences Exchange scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/critical-care-medicine-conference-life-support-2026-august-sydney-au,Critical Care Medicine Conference,Organizer,hesia and intensive care triage emergency medical services (ems) clinical hemodialysis technician neonatal intensive care clinical lipidology clinical densitometry clinic,90,Hot,,,"Critical Care Medicine Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activitie | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
International Conference,Statistics (ICEORS) -,SCITECHSERIES,ES,international@conferenceindex.org,Likely,,,https://www.linkedin.com/in/international-conference,,https://conferenceindex.org/event/international-conference-on-primary-health-care-phc-2026-november-barcelona-es,International Conference on Primary Health Care,Organizer,"irates April 29, 2026 Forum on Innovations in Nanotechnology (FIN) - Dubai, United Arab Emirates May 01, 2026 International Aesthetic & Plastic Surgery Meeting (DUBAI) -",100,Hot,,,"International Conference on Primary Health Care scheduled on November 26-27, 2026 at Barcelona, Spain is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
,,"World Academy of Science, Engineering and Technology",CA,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-intellectual-property-management-and-technology-transfer-icipmatt-2026-november-toronto-ca,International Conference on Intellectual Property Management and Technology Transfer,Organizer,"onference on Intellectual Property Management and Technology Transfer ICIPMATT on November 29-30, 2026 in Toronto, Canada - Conference Index Conference Index Submit Your",90,Hot,,,"International Conference on Intellectual Property Management and Technology Transfer scheduled on November 29-30, 2026 at Toronto, Canada is for the researchers, scientists, scholars, engineers, academic, scientific and | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00"
,,Arcs International,AE,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/congress-on-innovative-chemistry-2026-april-dubai-ae,Congress on Innovative Chemistry,Organizer,"n Chemistry, Chemical, Process Engineering and Biotechnology (ICCCPEB) - Istanbul, Turkey October 25, 2026 International Conference on Chemical, Biological and Environmen",90,Hot,,,"Congress on Innovative Chemistry scheduled on April 29-30, 2026 at Dubai, United Arab Emirates is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present researc | Industry: Industrial Automation | Source: conferenceindex | Validation confidence: 1.00"
,,Academia & Industria Forum,AU,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/plastic-reconstructive-and-aesthetic-surgery-conference-restore-art-2026-august-sydney-au,"Plastic, Reconstructive and Aesthetic Surgery Conference",Organizer,surgery neurosurgery pediatric surgery biomedical devices tissue engineering cardiovascular surgery aesthetic medicine breast cancer reconstructive surgical nursing cardi,90,Hot,,,"Plastic, Reconstructive and Aesthetic Surgery Conference scheduled on August 27, 2026 at Sydney, Australia is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to pre | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
,,Arcs International PVT Ltd,AE,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/forum-on-innovations-in-nanotechnology-fin-2026-april-dubai-ae,Forum on Innovations in Nanotechnology (FIN),Organizer,te with the delegates through the congress online platform. We hope that FIN-2026 will exceed your expectations and provide you with an unforgettable experience. May it i,90,Hot,,,"Forum on Innovations in Nanotechnology scheduled on April 29-30, 2026 at Dubai, United Arab Emirates is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present r | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00"
,,EARET,TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-chemical-biological-environmental-sciences-i2c2bes-2026-april-istanbul-tr,"International Conference on Chemical, Biological & Environmental Sciences (I2C2BES)",Organizer,"ical sciences to study environmental problems and solutions. Environmental Chemistry & Pollution Atmospheric Chemistry: Ozone Depletion ($\text{CFCs}$), Photochemical Smo",90,Hot,,,"International Conference on Chemical, Biological & Environmental Sciences scheduled on April 29-May 01, 2026 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and universit | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00"
,,EARBM,TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-green-technologies-sustainable-engineering-igtse-2026-april-istanbul-tr,International Conference on Green Technologies & Sustainable Engineering (IGTSE),Organizer,ill be published by UR-CPS (Conference Publishing Services) and will be will be archived in the UR's Engineering & Technology Digital Library. The papers can be submitted,90,Hot,"HQ) - Montreal, Canada September 16, 2026 International Conference on Climate Responsive Building Design, Sustainable Bu",,"International Conference on Green Technologies & Sustainable Engineering scheduled on April 29-May 01, 2026 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and university | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00"
,,URENG,TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/world-congress-on-advances-in-science-engineering-technology-waset-2026-april-istanbul-tr,"World Congress on Advances in Science, Engineering & Technology (WASET)",Organizer,ill be published by UR-CPS (Conference Publishing Services) and will be will be archived in the UR's Engineering & Technology Digital Library. The papers can be submitted,90,Hot,,,"World Congress on Advances in Science, Engineering & Technology scheduled on April 29-May 01, 2026 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and university practiti | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00"
,,CBMSR,TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-congress-on-animal-fisheries-veterinary-sciences-iafvs-2026-april-istanbul-tr,"International Congress on Animal, Fisheries & Veterinary Sciences (IAFVS)",Organizer,ill be published by UR-CPS (Conference Publishing Services) and will be will be archived in the UR's Engineering & Technology Digital Library. The papers can be submitted,90,Hot,,,"International Congress on Animal, Fisheries & Veterinary Sciences scheduled on April 29-May 01, 2026 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and university practi | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00"
,,CBMSR,TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-mining-water-and-waste-management-imwwm-2026-april-istanbul-tr,"International Conference on Mining, Water and Waste Management (IMWWM)",Organizer,"onference on Civil, Environmental Engineering and Technology (ICEET) - Istanbul, Turkey August 19, 2026 International Conference on Civil, Environmental Engineering and T",90,Hot,,,"International Conference on Mining, Water and Waste Management scheduled on April 29, 2026-May 01, 2027 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and university pra | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00"
,,CBMSR,TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-advances-in-civil-architectural-engineering-iacae-2026-april-istanbul-tr,International Conference on Advances in Civil & Architectural Engineering (IACAE),Organizer,ill be published by UR-CPS (Conference Publishing Services) and will be will be archived in the UR's Engineering & Technology Digital Library. The papers can be submitted,90,Hot,"hquakes. Additive Manufacturing (3D Printing): Concrete printing for construction, rapid prototyping, and complex geomet",,"International Conference on Advances in Civil & Architectural Engineering scheduled on April 29-May 01, 2026 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and universit | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00"
,,TheIIER,IT,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-recent-innovations-in-engineering-and-technology-icriet-2026-april-milan-it,International Conference on Recent Innovations in Engineering and Technology (ICRIET),Organizer,"nference on Recent Innovations in Engineering and Technology ICRIET on April 29-30, 2026 in Milan, Italy - Conference Index Conference Index Submit Your Event for FREE Co",90,Hot,,,"International Conference on Recent Innovations in Engineering and Technology scheduled on April 29-30, 2026 at Milan, Italy is for the researchers, scientists, scholars, engineers, academic, scientific and university pra | Industry: Industrial Automation | Source: conferenceindex | Validation confidence: 1.00"
,,HSSMR,TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-research-in-humanities-social-sciences-education-rhsse-2026-april-istanbul-tr,"International Conference on Research in Humanities, Social Sciences & Education (RHSSE)",Organizer,"Education (EdTech): Distance learning, E-learning platforms, Blended Learning models, AI in education. Name: HSSMR Website: http://hssmr.org Address: #243 Ever green towe",90,Hot,,,"International Conference on Research in Humanities, Social Sciences & Education scheduled on April 29-May 01, 2026 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and uni | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00"
,,TheIIER,IT,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-multidisciplinary-educational-research-teaching-and-learning-icmertl-2026-april-milan-it,"International Conference on Multidisciplinary Educational Research, Teaching and Learning (ICMERTL)",Organizer,: e-learning professional development educational technology curriculum teacher education learning psychology instructional design education Description Event Tracks Orga,90,Hot,,,"International Conference on Multidisciplinary Educational Research, Teaching and Learning scheduled on April 29-30, 2026 at Milan, Italy is for the researchers, scientists, scholars, engineers, academic, scientific and u | Industry: AI | Source: conferenceindex | Validation confidence: 1.00"
,,Pharma Partnering Summit,US,info@conferenceindex.org,Generic,3497373-0,3497373-0,,,https://conferenceindex.org/event/pharma-partnering-us-summit-2026-april-san-diego-us,Pharma Partnering US Summit,Organizer,"deals, research collaborations and financing. Our platform brings together senior executives from different parts of the world specialising in Business Development & Lice",100,Hot,,,"Pharma Partnering US Summit scheduled on April 29-30, 2026 at San Diego, United States is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activi | Industry: Pharmaceutical | Source: conferenceindex | Validation confidence: 1.00"
,,EARET,TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-advances-in-electronics-control-and-computing-systems-aec2s-2026-april-istanbul-tr,"International Conference on Advances in Electronics, Control and Computing Systems (AEC2S)",Organizer,ntum electrodynamics bioelectrochemistry electron devices consumer electronics computational electromagnetics electronic electromagnetic materials molecular electronics c,90,Hot,,,"International Conference on Advances in Electronics, Control and Computing Systems scheduled on April 29-May 01, 2026 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00"
,,EARBM,TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/world-conference-on-genetics-cellular-and-molecular-biology-wgcmb-2026-april-istanbul-tr,"World Conference on Genetics, Cellular and Molecular Biology (WGCMB)",Organizer,n Computational Modeling of Biological Systems Biotechnology & Medical Applications CRISPR-Cas9 and Genome Editing Gene Therapy and Personalized Medicine Cancer Biology (,90,Hot,,,"World Conference on Genetics, Cellular and Molecular Biology scheduled on April 29-May 01, 2026 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and university practitione | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00"
,,IRAJ International,MY,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-big-data-iot-cyber-security-and-information-technology-icbdicsit-2026-april-kuala-lumpur-my,"International Conference on Big Data, IoT, Cyber Security and Information Technology (ICBDICSIT)",Organizer,"Since 2013, IRAJ International has been a trusted platform for scholars, researchers, and industry professionals to share knowledge Latest research finding, publish impac",90,Hot,,,"International Conference on Big Data, IoT, Cyber Security and Information Technology scheduled on April 29, 2026 at Kuala Lumpur, Malaysia is for the researchers, scientists, scholars, engineers, academic, scientific and | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00"
,,Nexus Conference,CH,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/biopharma-clinical-trials-nexus-25th-ctn-2026-april-zurich-ch,BioPharma Clinical Trials Nexus (25TH CTN),Organizer,"ss development. Attendees will explore innovative solutions, address critical industry challenges, and build direct relationships with key decision-makers. They can also",90,Hot,,,"BioPharma Clinical Trials Nexus scheduled on April 29-30, 2026 at Zurich, Switzerland is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activit | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
,,World Research Awards,SG,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/global-best-achievements-awards-gba-2026-april-ang-mo-kio-new-town-sg,Global Best Achievements Awards (GBA),Organizer,n: World Research Awards Conference Tags: science technology and science neuroscience nursing giscience hortscience Description Organization Join us for the Global Best A,90,Hot,,,"Global Best Achievements Awards scheduled on April 29-30, 2026 at Ang Mo Kio New Town, Singapore is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present resea | Industry: AI | Source: conferenceindex | Validation confidence: 1.00"
,,EARET,TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-advances-in-mechanical-manufacturing-engineering-iamme-2026-april-istanbul-tr,International Conference on Advances in Mechanical & Manufacturing Engineering (IAMME),Organizer,"ing. Predictive Maintenance: Using AI to forecast equipment failure, reducing downtime by up to 70%. Edge Computing: Processing data locally on machines to reduce latency",90,Hot,,,"International Conference on Advances in Mechanical & Manufacturing Engineering scheduled on April 29-May 01, 2026 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and univ | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00"
,,IRAJ International,MY,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-humanities-social-science-and-business-management-ichssbm-2026-april-kuala-lumpur-my,"International Conference on Humanities, Social Science and Business Management (ICHSSBM)",Organizer,"Since 2013, IRAJ International has been a trusted platform for scholars, researchers, and industry professionals to share knowledge Latest research finding, publish impac",90,Hot,,,"International Conference on Humanities, Social Science and Business Management scheduled on April 29, 2026 at Kuala Lumpur, Malaysia is for the researchers, scientists, scholars, engineers, academic, scientific and unive | Industry: Pharmaceutical | Source: conferenceindex | Validation confidence: 1.00"
,,IRAJ International,MY,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-advances-in-mechanical-civil-and-construction-engineering-icamcce-2026-april-kuala-lumpur-my,"International Conference on Advances in Mechanical, Civil, and Construction Engineering (ICAMCCE)",Organizer,"Since 2013, IRAJ International has been a trusted platform for scholars, researchers, and industry professionals to share knowledge Latest research finding, publish impac",90,Hot,,,"International Conference on Advances in Mechanical, Civil, and Construction Engineering scheduled on April 29, 2026 at Kuala Lumpur, Malaysia is for the researchers, scientists, scholars, engineers, academic, scientific | Industry: AI | Source: conferenceindex | Validation confidence: 1.00"
,,EARHM,TR,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/world-congress-on-disaster-management-globalization-sustainable-development-dmgsd-2026-april-istanbul-tr,"World Congress on Disaster Management, Globalization & Sustainable Development (DMGSD)",Organizer,"mand systems. Recovery: Rehabilitation (restoring services) and Reconstruction (""Building Back Better""). Types of Hazards Natural Hazards: Geological (earthquakes, volcan",90,Hot,"hquakes, volcanoes), Hydrological (floods, tsunamis), and Meteorological (cyclones, droughts). Man-Made/Technological: I",,"World Congress on Disaster Management, Globalization & Sustainable Development scheduled on April 29-May 01, 2026 at Istanbul, Turkey is for the researchers, scientists, scholars, engineers, academic, scientific and univ | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00"
,,International AI Data Scientist Awards,SG,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-ai-data-scientist-awards-science-2026-april-singapore-sg,International AI Data Scientist Awards (SCIENCE),Organizer,"al Conference on Computer Science and Information Technology (ICCSIT) - Amsterdam, Netherlands September 16, 2026 International Conference on Computer Science and Mathema",90,Hot,,,"International AI Data Scientist Awards scheduled on April 29-30, 2026 at Singapore, Singapore is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research | Industry: Software | Source: conferenceindex | Validation confidence: 1.00"
Conference Tags,sector sales accounting,Global Insight Conferences,GB,conference@conferenceindex.org,Likely,+44 (0)20 3479 2299,+44 (0)20 3479 2299,https://www.linkedin.com/in/conference-tags,,https://conferenceindex.org/event/financial-services-risk-compliance-conference-fintech-2026-april-london-gb,Financial Services Risk & Compliance Conference (FINTECH),Organizer,"Financial Services Risk & Compliance Conference FINTECH on April 29, 2026 in London, United Kingdom - Conference Index Conference",100,Hot,,,"Financial Services Risk & Compliance Conference scheduled on April 29, 2026 at London, United Kingdom is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present | Industry: Industrial Automation | Source: conferenceindex | Validation confidence: 1.00"
,,Global Insight Conferences,GB,info@conferenceindex.org,Generic,+44 (0)20 3479 2299,+44 (0)20 3479 2299,,,https://conferenceindex.org/event/engaging-digital-comms-conference-edc-2026-april-london-gb,Engaging Digital Comms Conference (EDC),Organizer,"l Conference on Marketing, Product Management and Technology (ICMPMT) - Prague, Czechia August 12, 2026 International Conference on Marketing, Product Management and Tech",100,Hot,,,"Engaging Digital Comms Conference scheduled on April 29, 2026 at London, United Kingdom is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activ | Industry: Industrial Automation | Source: conferenceindex | Validation confidence: 1.00"
,,World Neuroscientists Awards,SG,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/world-neuroscientists-awards-nes-2026-april-singapore-sg,World Neuroscientists Awards (NES),Organizer,,90,Hot,,,"World Neuroscientists Awards scheduled on April 29-30, 2026 at Singapore, Singapore is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activitie | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
,,Theires,CN,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conferences-on-mining-metallurgy-and-materials-engineering-ic3me-2026-april-beijin-cn,"International Conferences on Mining, Metallurgy, and Materials Engineering (IC3ME)",Organizer,papers Call For Paper Mineral Exploration Mining Technology Surface Mining Underground Mining Mine Safety Mineral Processing Metallurgical Engineering Extractive Metallu,90,Hot,,,"International Conferences on Mining, Metallurgy, and Materials Engineering scheduled on April 29-30, 2026 at Beijin, China is for the researchers, scientists, scholars, engineers, academic, scientific and university prac | Industry: Industrial Automation | Source: conferenceindex | Validation confidence: 1.00"
,,Math Scientist Awards,SG,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/math-scientist-awards-science-2026-april-singapore-sg,Math Scientist Awards (SCIENCE),Organizer,,90,Hot,,,"Math Scientist Awards scheduled on April 29-30, 2026 at Singapore, Singapore is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activities that | Industry: AI | Source: conferenceindex | Validation confidence: 1.00"
,,World Biophotonics Research Awards,SG,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/world-biophotonics-research-awards-bpr-2026-april-singapore-sg,World Biophotonics Research Awards (BPR),Organizer,,90,Hot,,,"World Biophotonics Research Awards scheduled on April 29-30, 2026 at Singapore, Singapore is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research act | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
,,Genetics Award,SG,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-research-awards-on-genetics-genomics-of-diseases-ggd-2026-april-singapore-sg,International Research Awards on Genetics & Genomics of Diseases (GGD),Organizer,,90,Hot,,,"International Research Awards on Genetics & Genomics of Diseases scheduled on April 29-30, 2026 at Singapore, Singapore is for the researchers, scientists, scholars, engineers, academic, scientific and university practit | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
,,theires,CN,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-conference-on-tourism-transport-and-logistics-icttl-2026-april-beijing-cn,"International Conference on Tourism, Transport, and Logistics (ICTTL)",Organizer,Public Transport Management Sustainable Transport Solutions Transport Economics and Policy Smart and Connected Transportation Transport Safety and Security Supply Chain M,90,Hot,,,"International Conference on Tourism, Transport, and Logistics scheduled on April 29-30, 2026 at Beijing, China is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to | Industry: Manufacturing | Source: conferenceindex | Validation confidence: 1.00"
,,World Research Awards,SG,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/global-best-achievements-awards-gba-2026-april-singapore-sg,Global Best Achievements Awards (GBA),Organizer,,90,Hot,,,"Global Best Achievements Awards scheduled on April 29-30, 2026 at Singapore, Singapore is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activi | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
,,innovator conference,SG,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-innovator-awards-iia-2026-april-singapore-sg,International Innovator Awards (IIA),Organizer,"l Conference on Marketing, Product Management and Technology (ICMPMT) - Prague, Czechia August 12, 2026 International Conference on Marketing, Product Management and Tech",90,Hot,,,"International Innovator Awards scheduled on April 29-30, 2026 at Singapore, Singapore is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activit | Industry: AI | Source: conferenceindex | Validation confidence: 1.00"
,,World Researcher Award,SG,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/computational-biologists-awards-cbio-2026-april-singapore-sg,Computational Biologists Awards (CBIO),Organizer,"national Conference on Biomedical Engineering and Technology (ICBET) - Riga, Latvia August 05, 2026 International Conference on Biomedical Engineering and Technology (ICB",90,Hot,,,"Computational Biologists Awards scheduled on April 29-30, 2026 at Singapore, Singapore is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present research activi | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
,,World Research Awards,SG,info@conferenceindex.org,Generic,,,,,https://conferenceindex.org/event/international-analytical-chemistry-awards-anc-2026-april-singapore-sg,International Analytical Chemistry Awards (ANC),Organizer,"n Chemistry, Chemical, Process Engineering and Biotechnology (ICCCPEB) - Istanbul, Turkey October 25, 2026 International Conference on Chemical, Biological and Environmen",90,Hot,,,"International Analytical Chemistry Awards scheduled on April 29-30, 2026 at Singapore, Singapore is for the researchers, scientists, scholars, engineers, academic, scientific and university practitioners to present resea | Industry: Medical | Source: conferenceindex | Validation confidence: 1.00"
