Event Name,Category,Date,Location,Organizer,Venue,Event URL,Source,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
"International Conference on Advances in Mechanical, Civil, and Construction Engineering (ICAMCCE)",Manufacturing,April 2026,"Kuala Lumpur, MY",,"Kuala Lumpur, MY",https://conferenceindex.org/event/international-conference-on-advances-in-mechanical-civil-and-construction-engineering-icamcce-2026-april-kuala-lumpur-my,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Engaging Digital Comms Conference (EDC),Technology,April 2026,"London, GB",,"London, GB",https://conferenceindex.org/event/engaging-digital-comms-conference-edc-2026-april-london-gb,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Financial Services Risk & Compliance Conference (FINTECH),Technology,April 2026,"London, GB",,"London, GB",https://conferenceindex.org/event/financial-services-risk-compliance-conference-fintech-2026-april-london-gb,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conferences on Mining, Metallurgy, and Materials Engineering (IC3ME)",Manufacturing,April 2026,"Beijin, CN",,"Beijin, CN",https://conferenceindex.org/event/international-conferences-on-mining-metallurgy-and-materials-engineering-ic3me-2026-april-beijin-cn,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Tourism, Transport, and Logistics (ICTTL)",Other,April 2026,"Beijing, CN",,"Beijing, CN",https://conferenceindex.org/event/international-conference-on-tourism-transport-and-logistics-icttl-2026-april-beijing-cn,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Global Best Achievements Awards (GBA),Other,April 2026,"Ang Mo Kio New Town, SG",,"Ang Mo Kio New Town, SG",https://conferenceindex.org/event/global-best-achievements-awards-gba-2026-april-ang-mo-kio-new-town-sg,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International AI Data Scientist Awards (SCIENCE),Technology,April 2026,"Singapore, SG",,"Singapore, SG",https://conferenceindex.org/event/international-ai-data-scientist-awards-science-2026-april-singapore-sg,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Math Scientist Awards (SCIENCE),Other,April 2026,"Singapore, SG",,"Singapore, SG",https://conferenceindex.org/event/math-scientist-awards-science-2026-april-singapore-sg,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
World Neuroscientists Awards (NES),Other,April 2026,"Singapore, SG",,"Singapore, SG",https://conferenceindex.org/event/world-neuroscientists-awards-nes-2026-april-singapore-sg,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Innovator Awards (IIA),Other,April 2026,"Singapore, SG",,"Singapore, SG",https://conferenceindex.org/event/international-innovator-awards-iia-2026-april-singapore-sg,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
World Biophotonics Research Awards (BPR),Other,April 2026,"Singapore, SG",,"Singapore, SG",https://conferenceindex.org/event/world-biophotonics-research-awards-bpr-2026-april-singapore-sg,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Research Awards on Genetics & Genomics of Diseases (GGD),Healthcare,April 2026,"Singapore, SG",,"Singapore, SG",https://conferenceindex.org/event/international-research-awards-on-genetics-genomics-of-diseases-ggd-2026-april-singapore-sg,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Research Data Analysis Excellence & Awards (RDA),Technology,April 2026,"Singapore, SG",,"Singapore, SG",https://conferenceindex.org/event/international-research-data-analysis-excellence-awards-rda-2026-april-singapore-sg,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Computational Biologists Awards (CBIO),Other,April 2026,"Singapore, SG",,"Singapore, SG",https://conferenceindex.org/event/computational-biologists-awards-cbio-2026-april-singapore-sg,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Bike Bus Summit (BIKE BUS),Technology,April 2026,"Lisbon, PT",,"Lisbon, PT",https://conferenceindex.org/event/bike-bus-summit-bike-bus-2026-april-lisbon-pt,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Analytical Chemistry Awards (ANC),Other,April 2026,"Singapore, SG",,"Singapore, SG",https://conferenceindex.org/event/international-analytical-chemistry-awards-anc-2026-april-singapore-sg,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
World Life Science Awards (SCIENCE),Other,April 2026,"Singapore, SG",,"Singapore, SG",https://conferenceindex.org/event/world-life-science-awards-science-2026-april-singapore-sg,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Scientific World Research Awards (SWR),Other,April 2026,"Singapore, SG",,"Singapore, SG",https://conferenceindex.org/event/scientific-world-research-awards-swr-2026-april-singapore-sg,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Plant Scientist Awards (PLS),Other,April 2026,"Singapore, SG",,"Singapore, SG",https://conferenceindex.org/event/international-plant-scientist-awards-pls-2026-april-singapore-sg,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Sufism in Saudi Arabia Since 1979: The Politics of Orthodoxy in Contemporary Islam,Other,April 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/sufism-in-saudi-arabia-since-1979-the-politics-of-orthodoxy-in-contemporary-islam-2026-april-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Hybrid Conference on ENT, Audiology and Speech Language Pathology",Other,April 2026,"Tokyo, JP",,"Tokyo, JP",https://conferenceindex.org/event/international-hybrid-conference-on-ent-audiology-and-speech-language-pathology-2026-april-tokyo-jp,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
MSK MRI: Approach and Interactive Case Review with an Orthopedic Surgeon,Energy,April 2026,"Las Vegas, US",,"Las Vegas, US",https://conferenceindex.org/event/msk-mri-approach-and-interactive-case-review-with-an-orthopedic-surgeon-2026-april-las-vegas-us,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
NP PA Surgical Updates,Other,April 2026,"Orlando, US",,"Orlando, US",https://conferenceindex.org/event/np-pa-surgical-updates-2026-april-orlando-us,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International conference on Law and Society (ICLS),Other,April 2026,"Jakarta, ID",,"Jakarta, ID",https://conferenceindex.org/event/international-conference-on-law-and-society-icls-2026-april-jakarta-id,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
The Diversity & Inclusion Conference,Other,April 2026,"London, GB",,"London, GB",https://conferenceindex.org/event/the-diversity-inclusion-conference-2026-april-london-gb,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
EAP 2026 Annual Paediatric Forum & Mastercourse (EAP),Other,April 2026,"Tbilisi, GE",,"Tbilisi, GE",https://conferenceindex.org/event/eap-2026-annual-paediatric-forum-mastercourse-eap-2026-april-tbilisi-ge,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Art and Dissent: The Norton and Nancy Dodge Collection of Nonconformist Art from the Soviet Union and Its Global Legacy,Other,April 2026,"New Brunswick, US",,"New Brunswick, US",https://conferenceindex.org/event/art-and-dissent-the-norton-and-nancy-dodge-collection-of-nonconformist-art-from-the-soviet-union-and-its-global-legacy-2026-april-new-brunswick-us,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Aesthetic and Anti-aging Medicine World Congress,Other,May 2026,"Taipei, TW",,"Taipei, TW",https://conferenceindex.org/event/aesthetic-and-anti-aging-medicine-world-congress-2026-may-taipei-tw,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Aesthetic & Plastic Surgery Meeting (DUBAI),Other,May 2026,"Dubai, AE",,"Dubai, AE",https://conferenceindex.org/event/international-aesthetic-plastic-surgery-meeting-dubai-2026-may-dubai-ae,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
IEEE International Conference on Clean Energy and Low Carbon Technologies (CELCT),Technology,May 2026,"Tokyo, JP",,"Tokyo, JP",https://conferenceindex.org/event/ieee-international-conference-on-clean-energy-and-low-carbon-technologies-celct-2026-may-tokyo-jp,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Education Reform, Ideology and Politics (ERIP)",Education,May 2026,"Beijing, CN",,"Beijing, CN",https://conferenceindex.org/event/international-conference-on-education-reform-ideology-and-politics-erip-2026-may-beijing-cn,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Annual Philadelphia Spine Summit (SPINE),Technology,May 2026,"Philadelphia, US",,"Philadelphia, US",https://conferenceindex.org/event/annual-philadelphia-spine-summit-spine-2026-may-philadelphia-us,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Mayo Clinic Echocardiography Comprehensive Review Course for Boards and Clinical Practice,Healthcare,May 2026,"Rochester, US",,"Rochester, US",https://conferenceindex.org/event/mayo-clinic-echocardiography-comprehensive-review-course-for-boards-and-clinical-practice-2026-may-rochester-us,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Robotics, AI and Computer Engineering (ICRACE)",Technology,May 2026,"London, GB",,"London, GB",https://conferenceindex.org/event/international-conference-on-robotics-ai-and-computer-engineering-icrace-2026-may-london-gb,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Biological and Medical Sciences (ICBMS-X),Healthcare,May 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-biological-and-medical-sciences-icbms-x-2026-may-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Medical & Health Science (ICMHS),Healthcare,May 2026,"Singapore, SG",,"Singapore, SG",https://conferenceindex.org/event/international-conference-on-medical-health-science-icmhs-2026-may-singapore-sg,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Management, Economics & Social Science (ICMESS)",Other,May 2026,"Singapore, SG",,"Singapore, SG",https://conferenceindex.org/event/international-conference-on-management-economics-social-science-icmess-2026-may-singapore-sg,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Science, Engineering & Technology (ICSET)",Technology,May 2026,"Singapore, SG",,"Singapore, SG",https://conferenceindex.org/event/international-conference-on-science-engineering-technology-icset-2026-may-singapore-sg,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Science, Technology and Management (ICSTM)",Technology,May 2026,"Sharjah, AE",,"Sharjah, AE",https://conferenceindex.org/event/international-conference-on-science-technology-and-management-icstm-2026-may-sharjah-ae,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"BI-RADS® v2025: What’s Changed, What Matters, and How to Apply It",Technology,May 2026,"Las Vegas, US",,"Las Vegas, US",https://conferenceindex.org/event/bi-rads-v2025-whats-changed-what-matters-and-how-to-apply-it-2026-may-las-vegas-us,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Nursing Science and Healthcare (ICNSH),Healthcare,May 2026,"Seattle, US",,"Seattle, US",https://conferenceindex.org/event/international-conference-on-nursing-science-and-healthcare-icnsh-2026-may-seattle-us,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Artificial Intelligence, Image Processing, and Computer Science (ICA2IPCS)",Other,May 2026,"Seattle, US",,"Seattle, US",https://conferenceindex.org/event/international-conference-on-artificial-intelligence-image-processing-and-computer-science-ica2ipcs-2026-may-seattle-us,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Medical and Biological Engineering (ICMBE),Healthcare,May 2026,"Seattle, US",,"Seattle, US",https://conferenceindex.org/event/international-conference-on-medical-and-biological-engineering-icmbe-2026-may-seattle-us,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Petroleum Engineering and Refinery (ICPER),Manufacturing,May 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-petroleum-engineering-and-refinery-icper-2026-may-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Electrochemistry, Material Science and Engineering (ICEMSE)",Manufacturing,May 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-electrochemistry-material-science-and-engineering-icemse-2026-may-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Biodiversity, Ecology and Climate Change (ICBECC)",Other,May 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-biodiversity-ecology-and-climate-change-icbecc-2026-may-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conferences on Mining, Metallurgy, and Materials Engineering (IC3ME)",Manufacturing,May 2026,"Sharjah, AE",,"Sharjah, AE",https://conferenceindex.org/event/international-conferences-on-mining-metallurgy-and-materials-engineering-ic3me-2026-may-sharjah-ae,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Social Science, E-Education and New Learning Technologies (ICSSELT)",Education,May 2026,"Sharjah, AE",,"Sharjah, AE",https://conferenceindex.org/event/international-conference-on-social-science-e-education-and-new-learning-technologies-icsselt-2026-may-sharjah-ae,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conferences on Medical and Health Science (ICMHS),Healthcare,May 2026,"Sharjah, AE",,"Sharjah, AE",https://conferenceindex.org/event/international-conferences-on-medical-and-health-science-icmhs-2026-may-sharjah-ae,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"From crisis to action: Education and communication for climate, ocean, overshoot and geoethics (CLIMATE)",Education,May 2026,"Vienna, AT",,"Vienna, AT",https://conferenceindex.org/event/from-crisis-to-action-education-and-communication-for-climate-ocean-overshoot-and-geoethics-climate-2026-may-vienna-at,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Current Concepts in Cancer Care and Cardiology (OCC),Automotive,May 2026,"Ohio City, US",,"Ohio City, US",https://conferenceindex.org/event/current-concepts-in-cancer-care-and-cardiology-occ-2026-may-ohio-city-us,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Materials Science and Engineering (ICMSE),Manufacturing,May 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-materials-science-and-engineering-icmse-2026-may-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Aerospace, Mechanical, Automotive and Materials Engineering (ICAMAME)",Manufacturing,May 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-aerospace-mechanical-automotive-and-materials-engineering-icamame-2026-may-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Communication and Information Engineering (ICCIE),Technology,May 2026,"Rome, IT",,"Rome, IT",https://conferenceindex.org/event/international-conference-on-communication-and-information-engineering-iccie-2026-may-rome-it,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Electronics, Information and Communication Engineering (ICEICE)",Manufacturing,May 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-electronics-information-and-communication-engineering-iceice-2026-may-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Biological, Ecological and Environmental Sciences, and Engineering (ICBEESE)",Manufacturing,May 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-biological-ecological-and-environmental-sciences-and-engineering-icbeese-2026-may-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Migration, Development and Human Security (ICMDHS)",Technology,May 2026,"Rome, IT",,"Rome, IT",https://conferenceindex.org/event/international-conference-on-migration-development-and-human-security-icmdhs-2026-may-rome-it,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Communication and Information Technology and Engineering (ICCITE),Technology,May 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-communication-and-information-technology-and-engineering-iccite-2026-may-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Educational Sciences (ICES),Technology,May 2026,"Rome, IT",,"Rome, IT",https://conferenceindex.org/event/international-conference-on-educational-sciences-ices-2026-may-rome-it,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Educational Technology (ICET),Technology,May 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-educational-technology-icet-2026-may-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Cognitive Neuroscience (ICCN),Other,May 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-cognitive-neuroscience-iccn-2026-may-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Cognitive Wireless Networks and Communications (ICCWNC),Other,May 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-cognitive-wireless-networks-and-communications-iccwnc-2026-may-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Biomaterials, Colloids and Nanomedicine (ICBCN)",Other,May 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-biomaterials-colloids-and-nanomedicine-icbcn-2026-may-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
"International Conference on Combustion, Energy Utilisation and Thermodynamics (ICCEUT)",Energy,May 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-combustion-energy-utilisation-and-thermodynamics-icceut-2026-may-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
International Conference on Communication and Electronic Information Engineering (ICCEIE),Manufacturing,May 2026,"Istanbul, TR",,"Istanbul, TR",https://conferenceindex.org/event/international-conference-on-communication-and-electronic-information-engineering-icceie-2026-may-istanbul-tr,conferenceindex,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
