Account Name,Website URL,Country,City,Industry,LinkedIn Company URL
Bayer AG,https://www.bayer.com/en/,Germany,Leverkusen,FMCG,https://www.linkedin.com/company/bayer/
Boots UK Limited,https://www.boots-uk.com/,UK,Nottingham,FMCG,https://www.linkedin.com/company/bootsuk/
Beiersdorf AG,https://www.beiersdorf.com/,Germany,Hamburg,FMCG,https://www.linkedin.com/company/beiersdorf/
AstraZeneca,https://www.astrazeneca.com/,UK,Cambridge,FMCG,https://www.linkedin.com/company/astrazeneca/
Royal Philips,https://www.philips.com/global,Netherlands,Amsterdam,FMCG,https://www.linkedin.com/company/philips/
GlaxoSmithKline plc,https://www.gsk.com/en-gb/home/,UK,Brentford,FMCG,https://www.linkedin.com/company/glaxosmithkline/
BASF SE,https://www.basf.com/global/en.html,Germany,Ludwigshafen am Rhein,FMCG,https://www.linkedin.com/company/basf/
Reckitt Benckiser Group plc,https://www.reckitt.com/,UK,Slough,FMCG,https://www.linkedin.com/company/reckittbenckiser/
SAP SE,https://www.sap.com/,Germany,Walldorf,HR,https://www.linkedin.com/company/sap/
Siemens AG,https://new.siemens.com/global/en.html,Germany,Munich,HR,https://www.linkedin.com/company/siemens/
Adecco Group AG,https://www.adeccogroup.com/,Switzerland,Zurich,HR,https://www.linkedin.com/company/the-adecco-group/
