Company,Contact,Email,Phone,City,Country,Score,Stage,Source,Tags
"Metro Cash & Carry Hungary","Unknown","jane.doe@metro.hu","+36 80 509 050","Budapest","Hungary",70,"prospect","curated","FMCG; Eastern Europe; Hungary; Curated Import"
"Makro Cash & Carry ČR","Unknown","info@makro.cz","+420 281 083 083","Prague","Czech Republic",70,"prospect","curated","FMCG; Eastern Europe; Czech Republic; Curated Import"
"Vindija","Unknown","promotion@vindija.hr","+385 42 399 500","Varaždin","Croatia",70,"prospect","curated","FMCG; Eastern Europe; Croatia; Curated Import"
"Metro Cash & Carry Romania","Unknown","","+40 374 115 555","Bucharest","Romania",70,"prospect","curated","FMCG; Eastern Europe; Romania; Curated Import"
"JIP Východočeská","Unknown","","+420 387 707 111","Pardubice","Czech Republic",70,"prospect","curated","FMCG; Eastern Europe; Czech Republic; Curated Import"
"Metro Cash & Carry Slovakia","Unknown","","+421 850 123 223","Bratislava","Slovakia",70,"prospect","curated","FMCG; Eastern Europe; Slovakia; Curated Import"
"Animex Foods","Unknown","inspektorOD@animex.pl","+48 22 541 85 00","Warsaw","Poland",70,"prospect","curated","FMCG; Eastern Europe; Poland; Curated Import"
"Profi Rom Food","Unknown","jane.doe@profi.ro","+40 372 568 910","Timișoara","Romania",70,"prospect","curated","FMCG; Eastern Europe; Romania; Curated Import"
"Agricola International","Unknown","office@agricola.ro","+40 234 577 600","Bacău","Romania",70,"prospect","curated","FMCG; Eastern Europe; Romania; Curated Import"
"Vel Pitar","Unknown","PR.Romania@grupobimbo.co","+40 21 460 9953","Râmnicu Vâlcea","Romania",70,"prospect","curated","FMCG; Eastern Europe; Romania; Curated Import"
"Walmark","Unknown","walmark@walmark.com","+1 800-682-0479","Třinec","Czech Republic",70,"prospect","curated","FMCG; Eastern Europe; Czech Republic; Curated Import"
"Bidvest Czech Republic","Unknown","investor@bidvest.co.za","+420 315 706 145","Prague","Czech Republic",70,"prospect","curated","FMCG; Eastern Europe; Czech Republic; Curated Import"
"Eurocash Group","Unknown","biuro.prasowe@eurocash.pl","+48 61 658 33 00","Komorniki","Poland",70,"prospect","curated","FMCG; Eastern Europe; Poland; Curated Import"
"Kraš","Unknown","","+385 1 2396 111","Zagreb","Croatia",70,"prospect","curated","FMCG; Eastern Europe; Croatia; Curated Import"
"Gradus","Unknown","imail@gradus.com","+359 42 252 252","Stara Zagora","Bulgaria",70,"prospect","curated","FMCG; Eastern Europe; Bulgaria; Curated Import"
"Hyza","Unknown","sekretariat@hyza.sk","+421 38 532 8111","Topoľčany","Slovakia",70,"prospect","curated","FMCG; Eastern Europe; Slovakia; Curated Import"
"Maspol Group","Unknown","maspol@maspol.com.pl","+41 41 344 25 14","Poznań","Poland",70,"prospect","curated","FMCG; Eastern Europe; Poland; Curated Import"
"Bonafarm Group","Unknown","info@bonafarm.hu","+36 1 801 9061","Budapest","Hungary",70,"prospect","curated","FMCG; Eastern Europe; Hungary; Curated Import"
"Delta Holding","Miroslav Mišković","support@deltaholding.in","+381 11 201 02 00","Belgrade","Serbia",70,"prospect","curated","FMCG; Eastern Europe; Serbia; Curated Import"
"Polskie Młyny","Unknown","sekretariat@polskiemlyny.pl","+48 77 418 25 67","Poznań","Poland",70,"prospect","curated","FMCG; Eastern Europe; Poland; Curated Import"
"Univer Product","Unknown","cosmina.stefanescu@univer.ro","+36 76 518 100","Kecskemét","Hungary",70,"prospect","curated","FMCG; Eastern Europe; Hungary; Curated Import"
"Polmlek Group","Unknown","sekretariat@grupapolmlek.com","+48 23 692 41 13","Lidzbark Warmiński","Poland",70,"prospect","curated","FMCG; Eastern Europe; Poland; Curated Import"
"Cris-Tim","Radu Timiș","secretariat@cristim.ro","+40 21 361 35 00","Bucharest","Romania",70,"prospect","curated","FMCG; Eastern Europe; Romania; Curated Import"
"Albalact","Unknown","secretariat@albalact.ro","+40 258 814 814","Alba Iulia","Romania",70,"prospect","curated","FMCG; Eastern Europe; Romania; Curated Import"
"Drobimex","Unknown","drobimex@drobimex.pl","+48 91 464 72 00","Szczecin","Poland",65,"prospect","curated","FMCG; Eastern Europe; Poland; Curated Import"
"Kaufland Bulgaria","Unknown","jane.doe@kaufland.bg","+359 800 12 220","Sofia","Bulgaria",65,"prospect","curated","FMCG; Eastern Europe; Bulgaria; Curated Import"
"Selgros Romania","Unknown","contact@selgros.ro","+40 268 307 000","Bucharest","Romania",65,"prospect","curated","FMCG; Eastern Europe; Romania; Curated Import"
"Wawel","Unknown","kontakt@wawel.com.pl","+48 12 252 71 00","Kraków","Poland",65,"prospect","curated","FMCG; Eastern Europe; Poland; Curated Import"
"Transavia","Unknown","relatii.publice@transavia.ro","+40 258 814 466","Alba Iulia","Romania",65,"prospect","curated","FMCG; Eastern Europe; Romania; Curated Import"
"Mega Image","Unknown","info@megaimage.co.uk","+40 21 224 6677","Bucharest","Romania",65,"prospect","curated","FMCG; Eastern Europe; Romania; Curated Import"
"Selgros","Unknown","jane.doe@selgros.ro","+48 800 505 105","Poznań","Poland",65,"prospect","curated","FMCG; Eastern Europe; Poland; Curated Import"
"Acme Organics LLC","Unknown","andy@acmeorganics.us","","","",60,"prospect","ife-2026","ife-2026; stand:Stand: N1410f; relevant-fmcg"
"TT ICE TEA","Unknown","yazin.shamoon@ardhsomer.com","","","",60,"prospect","ife-2026","ife-2026; stand:Stand: N5044; relevant-fmcg"
