Company Name,Country,Website,Email,LinkedIn,Phone
Chevignon Division 1,France,https://chevignon.com,info@chevignon.com,https://www.linkedin.com/company/chevignon/?originalSubdomain=fr,0185786375
1083 Division 1,France,https://1083.fr,info@1083.fr,https://www.linkedin.com/company/lEquipe1083/,0482326040
A.P.C. Division 1,France,https://apc.fr,info@apc.fr,https://www.linkedin.com/company/a-p-c-/,+330153634379
IKKS Division 1,France,https://ikks.com,info@ikks.com,https://www.linkedin.com/company/ikks,+330241759793
Closed Division 1,Germany,https://closed.com,info@closed.com,https://de.linkedin.com/company/closed-,+49404418400
MAC Jeans Division 1,Germany,https://mac-jeans.com,shop@mac-jeans.com,https://de.linkedin.com/company/macmode,+3120900325
Armedangels Division 1,Germany,https://armedangels.com,info@armedangels.com,https://www.linkedin.com/company/social-fashion-company-gmbh/,+492212923290
Drykorn Division 1,Germany,https://drykorn.com,info@drykorn.com,https://de.linkedin.com/company/drykorn-modevertriebs-gmbh-&-co-kg,+4921115894247
Marc O’Polo Division 1,Germany,https://marc-o-polo.com,info@marc-o-polo.com,https://www.linkedin.com/company/marc-o-polo,
Tom Tailor Division 1,Germany,https://tom-tailor.com,e-shop.eu@tom-tailor.com,https://www.linkedin.com/company/tomtailor,+494018047237
S.Oliver Division 1,Germany,https://soliver.de,info@soliver.de,https://www.linkedin.com/company/s-oliver-group,+4993029800101
Street One Division 1,Germany,https://street-one.com,info@street-one.com,https://de.linkedin.com/company/division-one,
Milestone Division 1,Germany,https://milestone.de,info@milestone.de,https://www.linkedin.com/company/milestone-sportswear-handels-gmbh,
Digel Division 1,Germany,https://digel.com,support@digel.com,https://de.linkedin.com/company/digel-ag,+4974526040
Denham Division 1,Netherlands,https://denhamthejeanmaker.com,info@denhamthejeanmaker.com,https://nl.linkedin.com/company/denham-the-jeanmaker,
Kings of Indigo Division 1,Netherlands,https://kingsofindigo.com,info@wilfredwinston.com,https://www.linkedin.com/company/kings-of-indigo,+12137168011
G-Star RAW Division 1,Netherlands,https://g-star.com,info@g-star.com,http://www.linkedin.com/company/g-star,+08000200454
Scotch & Soda Division 1,Netherlands,https://scotch-soda.com,info@scotch-soda.com,,
PME Legend Division 1,Netherlands,https://pme-legend.com,info@pme-legend.com,,
Cast Iron Division 1,Netherlands,https://castiron.com,info@castiron.com,,
Roy Roger’s Division 1,Italy,https://royrogers.it,info@royrogers.it,,02196080978
Gas Jeans Division 1,Italy,https://gasjeans.com,info@gasjeans.com,,+390245075496
Dondup Division 1,Italy,https://dondup.com,info@dondup.com,https://it.linkedin.com/company/arcadia-dondup,1325293031
Please Fashion Division 1,Italy,https://pleasefashion.com,info@pleasefashion.com,https://www.linkedin.com/company/imperial-fashion-group/?originalSubdomain=it,+666471206
Pepe Jeans Division 1,UK,https://pepejeans.com,info@pepejeans.com,,
AllSaints Division 1,UK,https://allsaints.com,ask@allsaints.com,,
Represent Division 1,UK,https://representclo.com,info@representclo.com,https://uk.linkedin.com/company/represent-clo,
Percival Division 1,UK,https://percivalclo.com,info@percivalclo.com,,+343638404244
Luke 1977 Division 1,UK,https://luke1977.com,info@luke1977.com,,20192020
Threadbare Division 1,UK,https://threadbare.com,info@threadbare.com,,3032343638
Superdry Division 1,UK,https://superdry.com,press@superdry.com,,68101214
Reiss Division 1,UK,https://reiss.com,info@reiss.com,https://www.linkedin.com/company/reiss,
FatFace Division 1,UK,https://fatface.com,info@fatface.com,,
Ecoalf Division 2,Spain,https://ecoalf.com,contacto@ecoalf.com,,+34919025049
Scalpers Division 2,Spain,https://scalperscompany.com,info@scalperscompany.com,https://www.linkedin.com/company/scalpers,+34955440707
Silbon Division 2,Spain,https://silbonshop.com,info@silbonshop.com,,+34957740041
Brava Fabrics Division 2,Spain,https://bravafabrics.com,orders@bravafabrics.com,,3840424446
The Brubaker Division 2,Spain,https://thebrubaker.com,clientes@thebrubaker.com,,689370486
Scotta 1985 Division 2,Spain,https://scotta1985.com,atencionalcliente@scotta1985.com,https://es.linkedin.com/company/scotta,+34664672158
Blue Banana Brand Division 2,Spain,https://bluebananabrand.com,info@bluebananabrand.com,https://www.linkedin.com/company/blue-banana-brand/,
Brownie Division 2,Spain,https://browniespain.com,info@browniespain.com,,+34911044409
Altonadock Division 2,Spain,https://altonadock.com,info@altonadock.com,https://es.linkedin.com/company/altonadock-s-l,
Hoff Brand Division 2,Spain,https://thehoffbrand.com,info@thehoffbrand.com,,363738394041
Kaporal Division 2,France,https://kaporal.com,info@kaporal.com,,
Le Temps des Cerises Division 2,France,https://ltdc.fr,ltdc.diagnostic@gmail.com,,0561601122
Freeman T. Porter Division 2,France,https://freemantporter.com,info@freemantporter.com,,
Balibaris Division 2,France,https://balibaris.com,info@balibaris.com,https://www.linkedin.com/company/balibaris/,
Faguo Division 2,France,https://faguo-store.com,info@faguo-store.com,,
Maison Labiche Division 2,France,https://maisonlabiche.com,help@maisonlabiche.com,,+33663932434
Chevignon Division 2,France,https://chevignon.com,info@chevignon.com,https://www.linkedin.com/company/chevignon/?originalSubdomain=fr,0185786375
1083 Division 2,France,https://1083.fr,info@1083.fr,https://www.linkedin.com/company/lEquipe1083/,0482326040
A.P.C. Division 2,France,https://apc.fr,info@apc.fr,,+330153634379
IKKS Division 2,France,https://ikks.com,info@ikks.com,,+33241759793
Closed Division 2,Germany,https://closed.com,info@closed.com,,+49404418400
MAC Jeans Division 2,Germany,https://mac-jeans.com,shop@mac-jeans.com,,+3120900325
Armedangels Division 2,Germany,https://armedangels.com,info@armedangels.com,,+492212923290
Drykorn Division 2,Germany,https://drykorn.com,info@drykorn.com,https://de.linkedin.com/company/drykorn-modevertriebs-gmbh-&-co-kg,+4921115894247
Marc O’Polo Division 2,Germany,https://marc-o-polo.com,info@marc-o-polo.com,,
Tom Tailor Division 2,Germany,https://tom-tailor.com,info@tom-tailor.com,,
S.Oliver Division 2,Germany,https://soliver.de,info@soliver.de,,+4993029800101
Street One Division 2,Germany,https://street-one.com,info@street-one.com,,
Milestone Division 2,Germany,https://milestone.de,info@milestone.de,,
Digel Division 2,Germany,https://digel.com,support@digel.com,,+4974526040
Denham Division 2,Netherlands,https://denhamthejeanmaker.com,info@denhamthejeanmaker.com,,
Kings of Indigo Division 2,Netherlands,https://kingsofindigo.com,info@wilfredwinston.com,https://www.linkedin.com/company/kings-of-indigo,+12137168011
G-Star RAW Division 2,Netherlands,https://g-star.com,info@g-star.com,http://www.linkedin.com/company/g-star,+08000200454
Scotch & Soda Division 2,Netherlands,https://scotch-soda.com,info@scotch-soda.com,,
PME Legend Division 2,Netherlands,https://pme-legend.com,info@pme-legend.com,,
Cast Iron Division 2,Netherlands,https://castiron.com,info@castiron.com,,
Roy Roger’s Division 2,Italy,https://royrogers.it,info@royrogers.it,,02196080978
Gas Jeans Division 2,Italy,https://gasjeans.com,info@gasjeans.com,,+390245075496
Dondup Division 2,Italy,https://dondup.com,info@dondup.com,https://it.linkedin.com/company/arcadia-dondup,1325293031
Please Fashion Division 2,Italy,https://pleasefashion.com,info@pleasefashion.com,https://www.linkedin.com/company/imperial-fashion-group/?originalSubdomain=it,+666471206
Pepe Jeans Division 2,UK,https://pepejeans.com,info@pepejeans.com,,
AllSaints Division 2,UK,https://allsaints.com,ask@allsaints.com,,
Represent Division 2,UK,https://representclo.com,info@representclo.com,,
Percival Division 2,UK,https://percivalclo.com,info@percivalclo.com,,+343638404244
Luke 1977 Division 2,UK,https://luke1977.com,info@luke1977.com,,20192020
Threadbare Division 2,UK,https://threadbare.com,info@threadbare.com,,3032343638
Superdry Division 2,UK,https://superdry.com,press@superdry.com,,68101214
Reiss Division 2,UK,https://reiss.com,info@reiss.com,https://www.linkedin.com/company/reiss,
FatFace Division 2,UK,https://fatface.com,info@fatface.com,,
Ecoalf Division 3,Spain,https://ecoalf.com,contacto@ecoalf.com,,+34919025049
Scalpers Division 3,Spain,https://scalperscompany.com,info@scalperscompany.com,https://www.linkedin.com/company/scalpers,+34955440707
Silbon Division 3,Spain,https://silbonshop.com,info@silbonshop.com,,+34957740041
Brava Fabrics Division 3,Spain,https://bravafabrics.com,orders@bravafabrics.com,,3840424446
The Brubaker Division 3,Spain,https://thebrubaker.com,clientes@thebrubaker.com,,689370486
Scotta 1985 Division 3,Spain,https://scotta1985.com,atencionalcliente@scotta1985.com,https://es.linkedin.com/company/scotta,+34664672158
Blue Banana Brand Division 3,Spain,https://bluebananabrand.com,info@bluebananabrand.com,https://www.linkedin.com/company/blue-banana-brand/,
Brownie Division 3,Spain,https://browniespain.com,info@browniespain.com,,+34911044409
Altonadock Division 3,Spain,https://altonadock.com,info@altonadock.com,https://es.linkedin.com/company/altonadock-s-l,
Hoff Brand Division 3,Spain,https://thehoffbrand.com,info@thehoffbrand.com,,363738394041
Kaporal Division 3,France,https://kaporal.com,info@kaporal.com,,
Le Temps des Cerises Division 3,France,https://ltdc.fr,ltdc.diagnostic@gmail.com,,0561601122
Freeman T. Porter Division 3,France,https://freemantporter.com,info@freemantporter.com,,
Balibaris Division 3,France,https://balibaris.com,info@balibaris.com,https://www.linkedin.com/company/balibaris/,
Faguo Division 3,France,https://faguo-store.com,info@faguo-store.com,,
Maison Labiche Division 3,France,https://maisonlabiche.com,help@maisonlabiche.com,,+33663932434
Chevignon Division 3,France,https://chevignon.com,info@chevignon.com,https://www.linkedin.com/company/chevignon/?originalSubdomain=fr,0185786375
1083 Division 3,France,https://1083.fr,info@1083.fr,https://www.linkedin.com/company/lEquipe1083/,0482326040
A.P.C. Division 3,France,https://apc.fr,info@apc.fr,,+330153634379
IKKS Division 3,France,https://ikks.com,info@ikks.com,,+33241759793
Closed Division 3,Germany,https://closed.com,info@closed.com,,+49404418400
MAC Jeans Division 3,Germany,https://mac-jeans.com,shop@mac-jeans.com,,+3120900325
Armedangels Division 3,Germany,https://armedangels.com,info@armedangels.com,,+492212923290
Drykorn Division 3,Germany,https://drykorn.com,info@drykorn.com,https://de.linkedin.com/company/drykorn-modevertriebs-gmbh-&-co-kg,+4921115894247
Marc O’Polo Division 3,Germany,https://marc-o-polo.com,info@marc-o-polo.com,,
Tom Tailor Division 3,Germany,https://tom-tailor.com,info@tom-tailor.com,,
S.Oliver Division 3,Germany,https://soliver.de,info@soliver.de,,+4993029800101
Street One Division 3,Germany,https://street-one.com,info@street-one.com,,
Milestone Division 3,Germany,https://milestone.de,info@milestone.de,,
Digel Division 3,Germany,https://digel.com,support@digel.com,,+4974526040
Denham Division 3,Netherlands,https://denhamthejeanmaker.com,info@denhamthejeanmaker.com,,
Kings of Indigo Division 3,Netherlands,https://kingsofindigo.com,info@wilfredwinston.com,https://www.linkedin.com/company/kings-of-indigo,+12137168011
G-Star RAW Division 3,Netherlands,https://g-star.com,info@g-star.com,http://www.linkedin.com/company/g-star,+08000200454
Scotch & Soda Division 3,Netherlands,https://scotch-soda.com,info@scotch-soda.com,,
PME Legend Division 3,Netherlands,https://pme-legend.com,info@pme-legend.com,,
Cast Iron Division 3,Netherlands,https://castiron.com,info@castiron.com,,
Roy Roger’s Division 3,Italy,https://royrogers.it,info@royrogers.it,,02196080978
Gas Jeans Division 3,Italy,https://gasjeans.com,info@gasjeans.com,,+390245075496
Dondup Division 3,Italy,https://dondup.com,info@dondup.com,https://it.linkedin.com/company/arcadia-dondup,1325293031
Please Fashion Division 3,Italy,https://pleasefashion.com,info@pleasefashion.com,https://www.linkedin.com/company/imperial-fashion-group/?originalSubdomain=it,+666471206
Pepe Jeans Division 3,UK,https://pepejeans.com,info@pepejeans.com,,
AllSaints Division 3,UK,https://allsaints.com,ask@allsaints.com,,
Represent Division 3,UK,https://representclo.com,info@representclo.com,,
Percival Division 3,UK,https://percivalclo.com,info@percivalclo.com,,+343638404244
Luke 1977 Division 3,UK,https://luke1977.com,info@luke1977.com,,20192020
Threadbare Division 3,UK,https://threadbare.com,info@threadbare.com,,3032343638
Superdry Division 3,UK,https://superdry.com,press@superdry.com,,68101214
Reiss Division 3,UK,https://reiss.com,info@reiss.com,https://www.linkedin.com/company/reiss,
FatFace Division 3,UK,https://fatface.com,info@fatface.com,,
Ecoalf Division 4,Spain,https://ecoalf.com,contacto@ecoalf.com,,+34919025049
Scalpers Division 4,Spain,https://scalperscompany.com,info@scalperscompany.com,https://www.linkedin.com/company/scalpers,+34955440707
Silbon Division 4,Spain,https://silbonshop.com,info@silbonshop.com,,+34957740041
Brava Fabrics Division 4,Spain,https://bravafabrics.com,orders@bravafabrics.com,,3840424446
