Company,Country,Stand,Profile URL,enrichment_status,score,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,description,phone,address,linkedin_url,industry
Agricultural and Processed Food Products Export Development Authority (APEDA  Exhibitor • India • Stand N1330,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282256,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Agricultural and Processed Food Products Export Development Authority (APEDA  Exhibitor • India • Stand N1330,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282256,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AGRODIV  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16944476,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AGRODIV  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16944476,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Agrofusion  Exhibitor • Ukraine • Stand N623,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282261,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Agrofusion  Exhibitor • Ukraine • Stand N623,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282261,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Agroittica Lombarda  Exhibitor • Italy • Stand N2010b,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282222,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Agroittica Lombarda  Exhibitor • Italy • Stand N2010b,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282222,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AGROLIVA/ BAYA OLIVE OIL  Exhibitor • Tunisia • Stand N4610,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16624957,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AGROLIVA/ BAYA OLIVE OIL  Exhibitor • Tunisia • Stand N4610,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16624957,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Agromonte  Exhibitor • Italy • Stand N2010f,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282269,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Agromonte  Exhibitor • Italy • Stand N2010f,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282269,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Agropošta  Exhibitor • Croatia • Stand N1070,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282234,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Agropošta  Exhibitor • Croatia • Stand N1070,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282234,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
"Agua Nueva Nuts  Exhibitor • LONDON UK, MEXICO, HOLLAND • Stand N655","Growers packers and shellers, we export worldwide. From Farm to Table.",,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282252,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
"Agua Nueva Nuts  Exhibitor • LONDON UK, MEXICO, HOLLAND • Stand N655","Growers packers and shellers, we export worldwide. From Farm to Table.",,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282252,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AHA GLOBAL ( v7 DRINK )  Exhibitor • United Kingdom • Stand N2739,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282259,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AHA GLOBAL ( v7 DRINK )  Exhibitor • United Kingdom • Stand N2739,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282259,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Ahaean Land  Exhibitor • Greece • Stand N2212b,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16694843,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Ahaean Land  Exhibitor • Greece • Stand N2212b,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16694843,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AIB Foods Ltd  Exhibitor • United Kingdom • Stand N2510,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282257,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AIB Foods Ltd  Exhibitor • United Kingdom • Stand N2510,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282257,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AIDA FOODS  Exhibitor • United Kingdom • Stand N4055,Our Mission Is To Provide The Best!,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282243,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AIDA FOODS  Exhibitor • United Kingdom • Stand N4055,Our Mission Is To Provide The Best!,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282243,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AIR ALGERIE  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16944477,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AIR ALGERIE  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16944477,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AIRO  Exhibitor • United Kingdom • Stand S3065,"Meet AirCare®, the world’s first patent-protected sensor capable of monitoring micron-level grease, dust, and temperature deposits.",,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282247,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AIRO  Exhibitor • United Kingdom • Stand S3065,"Meet AirCare®, the world’s first patent-protected sensor capable of monitoring micron-level grease, dust, and temperature deposits.",,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282247,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AK Distillery ltd  Exhibitor • United Kingdom • Stand S2024,1st in UK this type of distillery,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282279,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AK Distillery ltd  Exhibitor • United Kingdom • Stand S2024,1st in UK this type of distillery,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282279,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
FDHW Exhibitor List,Sort: Name,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AKANLAR FOOD CO.  Exhibitor • Turkey • Stand N3661,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572170,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AKANLAR FOOD CO.  Exhibitor • Turkey • Stand N3661,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572170,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AKANLAR FOOD CO.  Exhibitor • Turkey • Stand N3661,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282264,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AKANLAR FOOD CO.  Exhibitor • Turkey • Stand N3661,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282264,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AKSAM  Exhibitor • Poland • Stand N4310,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572171,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AKSAM  Exhibitor • Poland • Stand N4310,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572171,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Al Barakah Dates  Exhibitor • United Arab Emirates • Stand N510,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282267,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Al Barakah Dates  Exhibitor • United Arab Emirates • Stand N510,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282267,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Al Bateel Trading for Food Stuff  Exhibitor • Jordan • Stand N4410e,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282237,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Al Bateel Trading for Food Stuff  Exhibitor • Jordan • Stand N4410e,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282237,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Al Khair Trading Company  Exhibitor • Saudi Arabia • Stand N1750b,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572172,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Al Khair Trading Company  Exhibitor • Saudi Arabia • Stand N1750b,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572172,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Al Kotof Al Danya Co.  Exhibitor • Jordan • Stand N4410c,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282227,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Al Kotof Al Danya Co.  Exhibitor • Jordan • Stand N4410c,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282227,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
"Al Saraya Sweets  Exhibitor • Palestine, State of • Stand N4630",,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16694844,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
"Al Saraya Sweets  Exhibitor • Palestine, State of • Stand N4630",,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16694844,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Al-Ahmadiya Dates Company For Manufacturing  Exhibitor • Saudi Arabia • Stand N1750d,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572173,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Al-Ahmadiya Dates Company For Manufacturing  Exhibitor • Saudi Arabia • Stand N1750d,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572173,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
"Al-rwad Company for Agricultural Investment and International Trade  Exhibitor • Palestine, State of • Stand N4630",,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16694845,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
"Al-rwad Company for Agricultural Investment and International Trade  Exhibitor • Palestine, State of • Stand N4630",,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16694845,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Alacer Software  Exhibitor • United Kingdom • Stand S3344,The Home of Seamless Hospitality,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282229,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Alacer Software  Exhibitor • United Kingdom • Stand S3344,The Home of Seamless Hospitality,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282229,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Alberti & Santi  Exhibitor • United Kingdom • Stand N120,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282253,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Alberti & Santi  Exhibitor • United Kingdom • Stand N120,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282253,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
"Alex Co., Ltd  Exhibitor • Thailand • Stand S1220",,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282276,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
"Alex Co., Ltd  Exhibitor • Thailand • Stand S1220",,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282276,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ALFEX  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16944478,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ALFEX  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16944478,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Alhussan Food Factory  Exhibitor • Saudi Arabia • Stand N1730c,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572175,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Alhussan Food Factory  Exhibitor • Saudi Arabia • Stand N1730c,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572175,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ALIMENTOS POLAR EUROPA  Exhibitor • Spain • Stand N4600,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16611656,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ALIMENTOS POLAR EUROPA  Exhibitor • Spain • Stand N4600,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16611656,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Allara Global  Exhibitor • Australia • Stand S3050,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282280,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Allara Global  Exhibitor • Australia • Stand S3050,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282280,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Allemandi  Exhibitor • Italy • Stand N2030k,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282258,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Allemandi  Exhibitor • Italy • Stand N2030k,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282258,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ALO & New Victory  Exhibitor • United Kingdom • Stand N2970,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282241,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ALO & New Victory  Exhibitor • United Kingdom • Stand N2970,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282241,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ALTINTOP  Exhibitor • Turkey • Stand N1600,ALTINTOP DRIED NUTS,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16645438,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ALTINTOP  Exhibitor • Turkey • Stand N1600,ALTINTOP DRIED NUTS,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16645438,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
FDHW Exhibitor List,Sort: Name,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Altunkaya  Exhibitor • Turkey • Stand N1930c,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282248,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Altunkaya  Exhibitor • Turkey • Stand N1930c,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282248,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Amata Jute Tea LLP  Exhibitor • India • Stand N5017,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16600525,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Amata Jute Tea LLP  Exhibitor • India • Stand N5017,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16600525,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Amba  Exhibitor • Sri Lanka • Stand N2130,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16445032,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Amba  Exhibitor • Sri Lanka • Stand N2130,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16445032,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Ambar Cloud  Exhibitor • United Kingdom • Stand S3320,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16611655,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Ambar Cloud  Exhibitor • United Kingdom • Stand S3320,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16611655,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Ambrey Baker  Exhibitor • United Kingdom • Stand N310,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282254,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Ambrey Baker  Exhibitor • United Kingdom • Stand N310,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282254,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
American Christmas Limited  Exhibitor • United Kingdom • Stand S800,Your Christmas Upgrade Starts Here Bigger. Brighter. Better. Premium American Christmas décor and lighting—built for hospitality groups,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16369461,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
American Christmas Limited  Exhibitor • United Kingdom • Stand S800,Your Christmas Upgrade Starts Here Bigger. Brighter. Better. Premium American Christmas décor and lighting—built for hospitality groups,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16369461,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Amfora  Exhibitor • Switzerland • Stand S1172,Extra Virgin Olive Oil from Regenerative farms,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282263,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Amfora  Exhibitor • Switzerland • Stand S1172,Extra Virgin Olive Oil from Regenerative farms,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282263,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AMINA'S WONDER SPICE  Exhibitor • United Kingdom • Stand N3056,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282262,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AMINA'S WONDER SPICE  Exhibitor • United Kingdom • Stand N3056,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282262,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AMIVET LIMITED  Exhibitor • United Kingdom • Stand N281j,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282233,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
AMIVET LIMITED  Exhibitor • United Kingdom • Stand N281j,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282233,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Amobox  Exhibitor • United Kingdom • Stand S1092,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16957568,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Amobox  Exhibitor • United Kingdom • Stand S1092,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16957568,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Amour Coconut  Exhibitor • United Kingdom • Stand N5014,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282271,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Amour Coconut  Exhibitor • United Kingdom • Stand N5014,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282271,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Amru Rice  Exhibitor • Cambodia • Stand N2130,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16445017,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Amru Rice  Exhibitor • Cambodia • Stand N2130,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16445017,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Anatolia  Exhibitor • Turkey • Stand N1710d,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282260,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Anatolia  Exhibitor • Turkey • Stand N1710d,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282260,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ANDROS UK FOODSERVICE  Exhibitor • France • Stand N3349,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282282,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ANDROS UK FOODSERVICE  Exhibitor • France • Stand N3349,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282282,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ANEXAL  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16944475,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
ANEXAL  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16944475,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
Show Interest,,,,partial,0,,,,,,False,False,False,0,0,skip,,,,,,
