Company Name,Country,Website,Email,LinkedIn,Phone,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score
Altonadock Division 1,Spain,https://altonadock.com,info@altonadock.com,https://es.linkedin.com/company/altonadock-s-l,,ALTONADOCK | MODA HOMBRE,Descubre en Altonadock moda casual y urbana para hombre. Ropa de calidad inspirada en la libertad y el estilo de vida aventurero. ¡Explora nuestras colecciones hoy!,,"olítica envíos y devoluciones Portal cambios y devoluciones Contacto 
 
 
                        LA EMPRESA
 
 Espíritu",https://es.linkedin.com/company/altonadock-s-l,,partial,2
Hoff Brand Division 1,Spain,https://thehoffbrand.com,info@thehoffbrand.com,https://www.linkedin.com/company/hoffbrand/,363738394041,HOFF | Tienda Online Oficial,"HOFF redefine las zapatillas modernas aportando creatividad, diseño, versatilidad y comodidad, e inspira a una comunidad global de creadores a moverse con intención.",,"res 
 
 Retailers 
 
 Empleo 
 
 
 FAQ 
 
 Devoluciones 
 
 Contacto 
 
 Guía de tallas 
 
 Cómo limpiar tus HOFF",,,partial,2
Kaporal Division 1,France,https://kaporal.com,info@kaporal.com,,,,,,,,,partial,1
Le Temps des Cerises Division 1,France,https://ltdc.fr,ltdc.diagnostic@gmail.com,https://www.linkedin.com/company/le-temps-des-cerises,0561601122,Diagnostic immobilier Ariège 09 | LTDC DIAGNOSTIC,LTDC DIAGNOSTIC – Votre expert du diagnostic immobilier en Occitanie,152 366,"tertiaire 
 
 
 Devis 
 Contact",,"LTDC,DIAGNOSTIC,–,Votre,expert,du,diagnostic,immobilier,en,Occitanie",partial,1
Freeman T. Porter Division 1,France,https://freemantporter.com,info@freemantporter.com,https://www.linkedin.com/company/freeman-t-porter/,,"Freeman T. Porter : Jeans, Pantalons, Prêt-à-Porter pour Femme & Homme","Bienvenue sur la Boutique officielle Freeman T.Porter, marque française spécialiste du denim Femme et Homme depuis plus de 25 ans ! Découvrez nos collections de Jeans, Pantalons et Prêt-à-porter.",,"Him
       
 
 
 
 
 
 
 
 
    Aide 
   
 
 
        FAQ & Contact
       
 
        Expéditions et retours",,,partial,2
Balibaris Division 1,France,https://balibaris.com,info@balibaris.com,https://www.linkedin.com/company/balibaris/,,Balibaris | Vêtements & accessoires Homme,"Depuis 2010, Balibaris se construit avec vous autour d’essentiels bien faits. Élégantes et intemporelles, nos pièces sont idéales pour vous accompagner tout au long de votre quotidien.",,Nous contacter,https://www.linkedin.com/company/balibaris/,,partial,2
Faguo Division 1,France,https://faguo-store.com,info@faguo-store.com,https://www.linkedin.com/company/faguo-shoes?originalSubdomain=fr,,,,,,,,partial,1
Maison Labiche Division 1,France,https://maisonlabiche.com,help@maisonlabiche.com,https://jp.linkedin.com/company/maisonlabiche,+33663932434,"Maison Labiche – Embroidered clothing for Men, Women and Kids","Maison Labiche, French brand, offers embroidered clothing for Men, Women and Kids. Personalization available. Worldwide shipping and free returns",,"Log in
 
 
 
                  Contact us
               
 
 
 
 
 
 
 
 
 
          Franc",,,partial,2
Chevignon Division 1,France,https://chevignon.com,info@chevignon.com,https://www.linkedin.com/company/chevignon/?originalSubdomain=fr,0185786375,"Chevignon: Men's Fashion, Sweatshirts, Jackets, Leathers, Down Jackets","Authenticity, quality and modernity, discover the Chevignon ready-to-wear collection. ✓ Free delivery from 150€ ✓ Secure payments ✓ Official E-shop",,"es 
 
 
 
 
 
 
 
 
 
 
 
 
 Customer service  Need advice? Contact us. 
 
 
 
 
 Customer service  Need advice? Contact",https://www.linkedin.com/company/chevignon/,,partial,2
1083 Division 1,France,https://1083.fr,info@1083.fr,https://www.linkedin.com/company/lEquipe1083/,0482326040,,,,,,,partial,1
A.P.C. Division 1,France,https://apc.fr,info@apc.fr,https://www.linkedin.com/company/a-p-c-/,+330153634379,A.P.C. Paris | Boutique officielle | A.P.C.,Boutique en ligne A.P.C. : mode française pour femme et homme. Expédition le jour même pour toute commande passée avant 11h. Retours et échanges gratuits.,,"livraison offerte dès 250€ 
 
 
 
 
 
 une question ? nous contacter 
 
 
 
 
 
 NEWSLETTER 
 inscrivez-vous pour recev",,,partial,2
IKKS Division 1,France,https://ikks.com,info@ikks.com,https://www.linkedin.com/company/ikks,+330241759793,"IKKS Site Officiel | Mode Femme, Enfant, Homme","Découvrez la collection IKKS ! Des vêtements Femme, Homme, Enfant pour toutes les vies : celle du quotidien, des aventures inattendues et des occasions spéciales.",2024-2025,"Service client
   
 
 Service client 
 
 
 Nous contacter 
 
 Cartes cadeaux 
 
 Questions fréquentes 
 
 Pa",,.,partial,2
Closed Division 1,Germany,https://closed.com,info@closed.com,https://de.linkedin.com/company/closed-,+49404418400,Closed Onlineshop | In Italien gefertigte Jeans & hochwertige Essentials | Closed,Offizieller Onlineshop Closed: Zeitlose Jeans Styles und nachhaltige Mode aus Italien - hoch wertiger Denim und ready-to-wear seit 1978.,,Classics   High Summer Collection   The Getaway Edit   The Office Selection   Jeans Fits     Slim Fit Regular Fit Relax,,,partial,2
MAC Jeans Division 1,Germany,https://mac-jeans.com,shop@mac-jeans.com,https://de.linkedin.com/company/macmode,+3120900325,Jeans und Hosen online kaufen | MAC Jeans Shop,Denim & More: Entdecken Sie aktuelle Trends für Damen und Herren! Jetzt hochwertige Jeans und Hosen im MAC Jeans Online Shop bestellen,000000,,,,partial,2
Armedangels Division 1,Germany,https://armedangels.com,info@armedangels.com,https://www.linkedin.com/company/social-fashion-company-gmbh/,+492212923290,Nachhaltigere Mode für alle | ARMEDANGELS,"Entdecke Kleidung, die mehr kann: aus Bio-Baumwolle & recycelten Materialien, zeitlos, fair – und gemacht, um länger zu bleiben.",2026 2025 2024,,,,partial,2
Drykorn Division 1,Germany,https://drykorn.com,info@drykorn.com,https://de.linkedin.com/company/drykorn-modevertriebs-gmbh-&-co-kg,+4921115894247,Official DRYKORN Online Shop,,49 388 742,"WOMEN MEN   
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
                CONTACT US.
             
 
 Mon - Fri: 09h00 - 18h00 Sat: C",https://de.linkedin.com/company/drykorn-modevertriebs-gmbh-&-co-kg,,partial,2
Marc O’Polo Division 1,Germany,https://marc-o-polo.com,info@marc-o-polo.com,https://www.linkedin.com/company/marc-o-polo,,,,,,,,partial,1
Tom Tailor Division 1,Germany,https://tom-tailor.com,e-shop.eu@tom-tailor.com,https://www.linkedin.com/company/tomtailor,+494018047237,"TOM TAILOR Online-Shop - Mode für Damen, Herren & Kinder",Entdecke Tom Tailor: Stilvolle Mode für die ganze Familie. Täglich neue Angebote & exklusive Online-Rabatte. ✓ Kauf auf Rechnung ✓ Kostenlose Retoure,,,,,partial,2
S.Oliver Division 1,Germany,https://soliver.de,info@soliver.de,https://www.linkedin.com/company/s-oliver-group,+4993029800101,"s.Oliver ♥ Kleidung, Mode, Schuhe & Accessoires online kaufen","Angesagte Trends, zeitlose Pieces und schicke Accessoires: Sei immer auf dem neuesten Stand und entdecke Must-haves für Damen, Herren und Kinder bei s.Oliver.",,,,,partial,2
Street One Division 1,Germany,https://street-one.com,info@street-one.com,https://de.linkedin.com/company/division-one,,,,,,,,partial,1
Milestone Division 1,Germany,https://milestone.de,info@milestone.de,https://www.linkedin.com/company/milestone-sportswear-handels-gmbh,,,,,,,,partial,1
