Company,Country,City,HQ Address,Phone,General Email,Website,Likely Decision Titles,Status,Date Contacted,Follow-up Date,Notes,Email Check,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score
Forward,Russia,Moscow,"Moscow, Russia",+7 495 221 77 44,info@forward-sport.ru,forward-sport.ru,Buying Manager,,,,,OK,,,,,,,partial,0
Savage,Russia,Moscow,"Moscow, Russia",+7 495 775 15 75,info@savage.ru,savage.ru,Procurement,,,,,OK,,,,,,,partial,0
Kanzler,Russia,Moscow,"Moscow, Russia",+7 495 775 30 70,info@kanzler-style.ru,kanzler-style.ru,Sourcing,,,,,OK,,,,,,,partial,0
Henderson,Russia,Moscow,"Moscow, Russia",+7 495 788 88 88,info@henderson.ru,henderson.ru,Production Director,,,,,OK,,,,,,,partial,0
O'Hara,Russia,Moscow,"Moscow, Russia",+7 495 987 66 44,info@ohara.ru,ohara.ru,Buying Dept,,,,,OK,,,,,,,partial,0
Incity,Russia,Moscow,"Moscow, Russia",+7 495 775 60 60,info@incity.ru,incity.ru,Category Manager,,,,,OK,,,,,,,partial,0
Tom Farr,Russia,Moscow,"Moscow, Russia",+7 495 988 77 88,info@tomfarr.com,tomfarr.com,Import Dept,,,,,OK,,,,,,,partial,0
Jeans Symphony,Russia,Moscow,"Moscow, Russia",+7 495 123 45 67,info@js-online.ru,js-online.ru,Denim Buyer,,,,,OK,,,,,,,partial,0
Lady & Gentleman City,Russia,Moscow,"Moscow, Russia",+7 495 980 98 98,info@lgcity.ru,lgcity.ru,Commercial Director,,,,,OK,,,,,,,partial,0
Snowimage,Russia,Moscow,"Moscow, Russia",+7 495 123 00 55,info@snowimage.ru,snowimage.ru,Supply Manager,,,,,OK,,,,,,,partial,0
Truvor,Russia,Moscow,"Moscow, Russia",+7 495 775 20 20,info@truvor.ru,truvor.ru,Import Manager,,,,,OK,,,,,,,partial,0
Street Beat,Russia,Moscow,"Moscow, Russia",+7 495 665 77 88,info@street-beat.ru,street-beat.ru,Procurement,,,,,OK,,,,,,,partial,0
New Yorker Russia,Russia,Moscow,"Moscow, Russia",+7 495 123 22 44,via website,newyorker.de,Category Buyer,,,,,Invalid,,,,,,,partial,0
Gloria Jeans Kids,Russia,Rostov-on-Don,"Rostov-on-Don, Russia",+7 863 210 11 11,info@gloria-jeans.ru,gloria-jeans.ru,Denim Category Buyer,,,,,OK,,,,,,,partial,0
O'STIN Regional,Russia,Russia,Russia,+7 495 777 49 99,info@o-stin.com,o-stin.com,Regional Sourcing,,,,,OK,,,,,,,partial,0
Baon Regional,Russia,Russia,Russia,+7 495 785 82 82,info@baon.ru,baon.ru,Production Head,,,,,OK,,,,,,,partial,0
Lime Regional,Russia,Russia,Russia,+7 495 980 98 98,info@lime-shop.com,lime-shop.com,Buying Manager,,,,,OK,,,,,,,partial,0
Familia Regional,Russia,Russia,Russia,+7 495 660 13 60,info@familia.ru,familia.ru,Import,,,,,OK,,,,,,,partial,0
Concept Club Regional,Russia,Russia,Russia,+7 812 332 00 00,via mfg.ru,conceptclub.ru,Regional Buyer,,,,,Invalid,,,,,,,partial,0
Zarina Regional,Russia,Russia,Russia,+7 812 332 00 00,via mfg.ru,zarina.ru,Regional Buyer,,,,,Invalid,,,,,,,partial,0
Love Republic Regional,Russia,Russia,Russia,+7 812 332 00 00,via mfg.ru,loverepublic.ru,Regional Buyer,,,,,Invalid,,,,,,,partial,0
