Company,Country,Stand,Profile URL,enrichment_status,score
Al Bateel Trading for Food Stuff  Exhibitor • Jordan • Stand N4410e,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282237,partial,0
Show Interest,,,,partial,0
Al Khair Trading Company  Exhibitor • Saudi Arabia • Stand N1750b,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572172,partial,0
Al Khair Trading Company  Exhibitor • Saudi Arabia • Stand N1750b,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572172,partial,0
Show Interest,,,,partial,0
Al Kotof Al Danya Co.  Exhibitor • Jordan • Stand N4410c,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282227,partial,0
Al Kotof Al Danya Co.  Exhibitor • Jordan • Stand N4410c,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282227,partial,0
Show Interest,,,,partial,0
"Al Saraya Sweets  Exhibitor • Palestine, State of • Stand N4630",,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16694844,partial,0
"Al Saraya Sweets  Exhibitor • Palestine, State of • Stand N4630",,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16694844,partial,0
Show Interest,,,,partial,0
Al-Ahmadiya Dates Company For Manufacturing  Exhibitor • Saudi Arabia • Stand N1750d,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572173,partial,0
Al-Ahmadiya Dates Company For Manufacturing  Exhibitor • Saudi Arabia • Stand N1750d,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572173,partial,0
Show Interest,,,,partial,0
"Al-rwad Company for Agricultural Investment and International Trade  Exhibitor • Palestine, State of • Stand N4630",,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16694845,partial,0
"Al-rwad Company for Agricultural Investment and International Trade  Exhibitor • Palestine, State of • Stand N4630",,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16694845,partial,0
Show Interest,,,,partial,0
Alacer Software  Exhibitor • United Kingdom • Stand S3344,The Home of Seamless Hospitality,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282229,partial,0
Alacer Software  Exhibitor • United Kingdom • Stand S3344,The Home of Seamless Hospitality,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282229,partial,0
Show Interest,,,,partial,0
Alberti & Santi  Exhibitor • United Kingdom • Stand N120,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282253,partial,0
Alberti & Santi  Exhibitor • United Kingdom • Stand N120,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282253,partial,0
Show Interest,,,,partial,0
"Alex Co., Ltd  Exhibitor • Thailand • Stand S1220",,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282276,partial,0
"Alex Co., Ltd  Exhibitor • Thailand • Stand S1220",,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282276,partial,0
Show Interest,,,,partial,0
ALFEX  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16944478,partial,0
ALFEX  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16944478,partial,0
Show Interest,,,,partial,0
Alhussan Food Factory  Exhibitor • Saudi Arabia • Stand N1730c,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572175,partial,0
Alhussan Food Factory  Exhibitor • Saudi Arabia • Stand N1730c,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572175,partial,0
Show Interest,,,,partial,0
ALIMENTOS POLAR EUROPA  Exhibitor • Spain • Stand N4600,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16611656,partial,0
ALIMENTOS POLAR EUROPA  Exhibitor • Spain • Stand N4600,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16611656,partial,0
Show Interest,,,,partial,0
Allara Global  Exhibitor • Australia • Stand S3050,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282280,partial,0
Allara Global  Exhibitor • Australia • Stand S3050,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282280,partial,0
Show Interest,,,,partial,0
Allemandi  Exhibitor • Italy • Stand N2030k,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282258,partial,0
Allemandi  Exhibitor • Italy • Stand N2030k,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282258,partial,0
Show Interest,,,,partial,0
ALO & New Victory  Exhibitor • United Kingdom • Stand N2970,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282241,partial,0
ALO & New Victory  Exhibitor • United Kingdom • Stand N2970,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282241,partial,0
Show Interest,,,,partial,0
ALTINTOP  Exhibitor • Turkey • Stand N1600,ALTINTOP DRIED NUTS,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16645438,partial,0
ALTINTOP  Exhibitor • Turkey • Stand N1600,ALTINTOP DRIED NUTS,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16645438,partial,0
Show Interest,,,,partial,0
FDHW Exhibitor List,Sort: Name,,,partial,0
Altunkaya  Exhibitor • Turkey • Stand N1930c,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282248,partial,0
Altunkaya  Exhibitor • Turkey • Stand N1930c,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282248,partial,0
Show Interest,,,,partial,0
Amata Jute Tea LLP  Exhibitor • India • Stand N5017,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16600525,partial,0
Amata Jute Tea LLP  Exhibitor • India • Stand N5017,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16600525,partial,0
Show Interest,,,,partial,0
Amba  Exhibitor • Sri Lanka • Stand N2130,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16445032,partial,0
Amba  Exhibitor • Sri Lanka • Stand N2130,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16445032,partial,0
Show Interest,,,,partial,0
Ambar Cloud  Exhibitor • United Kingdom • Stand S3320,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16611655,partial,0
Ambar Cloud  Exhibitor • United Kingdom • Stand S3320,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16611655,partial,0
Show Interest,,,,partial,0
Ambrey Baker  Exhibitor • United Kingdom • Stand N310,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282254,partial,0
Ambrey Baker  Exhibitor • United Kingdom • Stand N310,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282254,partial,0
Show Interest,,,,partial,0
American Christmas Limited  Exhibitor • United Kingdom • Stand S800,Your Christmas Upgrade Starts Here Bigger. Brighter. Better. Premium American Christmas décor and lighting—built for hospitality groups,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16369461,partial,0
American Christmas Limited  Exhibitor • United Kingdom • Stand S800,Your Christmas Upgrade Starts Here Bigger. Brighter. Better. Premium American Christmas décor and lighting—built for hospitality groups,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16369461,partial,0
Show Interest,,,,partial,0
Amfora  Exhibitor • Switzerland • Stand S1172,Extra Virgin Olive Oil from Regenerative farms,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282263,partial,0
Amfora  Exhibitor • Switzerland • Stand S1172,Extra Virgin Olive Oil from Regenerative farms,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282263,partial,0
Show Interest,,,,partial,0
AMINA'S WONDER SPICE  Exhibitor • United Kingdom • Stand N3056,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282262,partial,0
AMINA'S WONDER SPICE  Exhibitor • United Kingdom • Stand N3056,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282262,partial,0
Show Interest,,,,partial,0
AMIVET LIMITED  Exhibitor • United Kingdom • Stand N281j,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282233,partial,0
AMIVET LIMITED  Exhibitor • United Kingdom • Stand N281j,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282233,partial,0
Show Interest,,,,partial,0
Amobox  Exhibitor • United Kingdom • Stand S1092,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16957568,partial,0
Amobox  Exhibitor • United Kingdom • Stand S1092,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16957568,partial,0
Show Interest,,,,partial,0
Amour Coconut  Exhibitor • United Kingdom • Stand N5014,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282271,partial,0
Amour Coconut  Exhibitor • United Kingdom • Stand N5014,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282271,partial,0
Show Interest,,,,partial,0
Amru Rice  Exhibitor • Cambodia • Stand N2130,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16445017,partial,0
Amru Rice  Exhibitor • Cambodia • Stand N2130,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16445017,partial,0
Show Interest,,,,partial,0
Anatolia  Exhibitor • Turkey • Stand N1710d,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282260,partial,0
Anatolia  Exhibitor • Turkey • Stand N1710d,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282260,partial,0
Show Interest,,,,partial,0
ANDROS UK FOODSERVICE  Exhibitor • France • Stand N3349,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282282,partial,0
ANDROS UK FOODSERVICE  Exhibitor • France • Stand N3349,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282282,partial,0
Show Interest,,,,partial,0
ANEXAL  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16944475,partial,0
ANEXAL  Exhibitor • Algeria • Stand N1650,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16944475,partial,0
Show Interest,,,,partial,0
"ANGEL YEAST CO., LTD  Exhibitor • China • Stand N540",,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282300,partial,0
"ANGEL YEAST CO., LTD  Exhibitor • China • Stand N540",,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282300,partial,0
Show Interest,,,,partial,0
"AnHui KaiLai Packaging Co.,Ltd  Exhibitor • China • Stand N1650b",,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16369471,partial,0
"AnHui KaiLai Packaging Co.,Ltd  Exhibitor • China • Stand N1650b",,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16369471,partial,0
Show Interest,,,,partial,0
Anl  Exhibitor • Turkey • Stand N1930a,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16445034,partial,0
Anl  Exhibitor • Turkey • Stand N1930a,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16445034,partial,0
Show Interest,,,,partial,0
Annapolis. co. ltd  Exhibitor • Thailand • Stand N4913,"LongBeach: The Ultimate Beverage Solutions""",,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282285,partial,0
Annapolis. co. ltd  Exhibitor • Thailand • Stand N4913,"LongBeach: The Ultimate Beverage Solutions""",,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282285,partial,0
Show Interest,,,,partial,0
Antash Mashroub Jo for Industry  Exhibitor • Saudi Arabia • Stand N1750j,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16624956,partial,0
Antash Mashroub Jo for Industry  Exhibitor • Saudi Arabia • Stand N1750j,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16624956,partial,0
Show Interest,,,,partial,0
FDHW Exhibitor List,Sort: Name,,,partial,0
Antico Eremo Company Srl  Exhibitor • Italy • Stand S351,Italian producer of mixes for drinks,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282266,partial,0
Antico Eremo Company Srl  Exhibitor • Italy • Stand S351,Italian producer of mixes for drinks,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282266,partial,0
Show Interest,,,,partial,0
Aperitivos de Anavieja  Exhibitor • Spain • Stand N1630h,Conventional and Organic Snacks,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16444992,partial,0
Aperitivos de Anavieja  Exhibitor • Spain • Stand N1630h,Conventional and Organic Snacks,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16444992,partial,0
Show Interest,,,,partial,0
Apex Coconuts / Cocomama  Exhibitor • India • Stand N2560,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572176,partial,0
Apex Coconuts / Cocomama  Exhibitor • India • Stand N2560,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572176,partial,0
Show Interest,,,,partial,0
Aqua Mundus  Exhibitor • United Kingdom • Stand S520c,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16694846,partial,0
Aqua Mundus  Exhibitor • United Kingdom • Stand S520c,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16694846,partial,0
Show Interest,,,,partial,0
Aquaphor  Exhibitor • United Kingdom • Stand S743,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282305,partial,0
Aquaphor  Exhibitor • United Kingdom • Stand S743,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282305,partial,0
Show Interest,,,,partial,0
Aquavape  Exhibitor • United Kingdom • Stand S1811,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282309,partial,0
Aquavape  Exhibitor • United Kingdom • Stand S1811,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282309,partial,0
Show Interest,,,,partial,0
Arctica Ltd  Exhibitor • United Kingdom • Stand N201,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16816471,partial,0
Arctica Ltd  Exhibitor • United Kingdom • Stand N201,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16816471,partial,0
Show Interest,,,,partial,0
ARDUENNA  Exhibitor • Belgium • Stand N1970c,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572177,partial,0
ARDUENNA  Exhibitor • Belgium • Stand N1970c,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572177,partial,0
Show Interest,,,,partial,0
Argo Sweets  Exhibitor • Poland • Stand N4350,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572178,partial,0
Argo Sweets  Exhibitor • Poland • Stand N4350,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572178,partial,0
Show Interest,,,,partial,0
Ariela's Gelato  Exhibitor • United Kingdom • Stand S770,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282265,partial,0
Ariela's Gelato  Exhibitor • United Kingdom • Stand S770,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282265,partial,0
Show Interest,,,,partial,0
AROHA CHOCOLATE  Exhibitor • United Kingdom • Stand N936,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16728672,partial,0
AROHA CHOCOLATE  Exhibitor • United Kingdom • Stand N936,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16728672,partial,0
Show Interest,,,,partial,0
Arrow Juice Factory for Bottling & Production  Exhibitor • Saudi Arabia • Stand N1750a,Arrow products,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572180,partial,0
Arrow Juice Factory for Bottling & Production  Exhibitor • Saudi Arabia • Stand N1750a,Arrow products,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16572180,partial,0
Show Interest,,,,partial,0
ASCO Foods  Exhibitor • United Kingdom • Stand N2410,Interested,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282320,partial,0
ASCO Foods  Exhibitor • United Kingdom • Stand N2410,Interested,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282320,partial,0
Interested,,,,partial,0
Astorino  Exhibitor • Italy • Stand N2030a,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282274,partial,0
Astorino  Exhibitor • Italy • Stand N2030a,Summary,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282274,partial,0
Show Interest,,,,partial,0
Athletic Brewing  Exhibitor • Stand S1724,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282283,partial,0
Athletic Brewing  Exhibitor • Stand S1724,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282283,partial,0
Show Interest,,,,partial,0
ATI Collegio Toscano degli Olivicoltori OL.MA  Exhibitor • Italy • Stand N3070,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282268,partial,0
ATI Collegio Toscano degli Olivicoltori OL.MA  Exhibitor • Italy • Stand N3070,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282268,partial,0
Show Interest,,,,partial,0
ATI Olio di Roma IGP e Sabina DOP  Exhibitor • Italy • Stand N3271,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282272,partial,0
ATI Olio di Roma IGP e Sabina DOP  Exhibitor • Italy • Stand N3271,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282272,partial,0
Show Interest,,,,partial,0
ATLANTE UK LTD  Exhibitor • United Kingdom • Stand N2919,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282275,partial,0
ATLANTE UK LTD  Exhibitor • United Kingdom • Stand N2919,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282275,partial,0
Show Interest,,,,partial,0
Attic Brew Co.  Exhibitor • United Kingdom • Stand Taproom F,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282324,partial,0
Attic Brew Co.  Exhibitor • United Kingdom • Stand Taproom F,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282324,partial,0
Show Interest,,,,partial,0
ATURA Proteins  Exhibitor • United Kingdom • Stand N457,,,https://app.fooddrinkandhospitalityweek.co.uk/fdhw/app/profile/16282278,partial,0
