Company,City,Phone,Website,Category,Sector,Target Title (LinkedIn),LinkedIn Search String,Pitch Message,Status,Email,WhatsApp,LinkedIn,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score,Title,Fair,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,phone,linkedin_url
Netzhammer Gross Handels GmbH,Singen,+49 7731 99880,http://www.netzhammer.de/,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Netzhammer Gross Handels GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@netzhammer.de,,,Ihr C&C Großmarkt & Lieferservice - Netzhammer Grosshandels GmbH,"Startseite. Ihr C&C Großmarkt in der Region. Für Gastronomie, Hotellerie, Großküchen, Handel,Gewerbetreibende, Freie Berufe und Vereine.",,,,,partial,2,,,True,True,False,2,0,email only,Ihr C&C Großmarkt & Lieferservice - Netzhammer Grosshandels GmbH,,
MELEDI Gastronomie Großhandel,Düsseldorf,+49 211 88233733,https://www.meledi.de/duesseldorf/,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""MELEDI Gastronomie Großhandel"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,duesseldorf@meledi.de,,,Gastronomie Grosshandel in Düsseldorf - MELEDI Gastronomie Großhandel,Entdecke den günstigsten Großhandel Deutschlands. Beantrage eine Kundenkarte und profitiere von den besten Angeboten.,49 3221 2288,,,"großhandel, großhändler, catering, gastronomie, lebensmittel",partial,2,,,True,True,False,2,0,email only,Gastronomie Grosshandel in Düsseldorf - MELEDI Gastronomie Großhandel,+49 3221 2288511,
Can wholesale GmbH & Co KG,Salzgitter,+49 5341 7906860,http://www.can-grosshandel.de/,Wholesaler,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Can wholesale GmbH & Co KG"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@can-grosshandel.de,,,CAN Großhandel GmbH & Co. KG,Ihr Qualitätslieferant für die Bereiche Großküchen und Gastronomie. Durch den Standpunkt in Salzgitter können wir in einem Umkreis von 200 Kilometern liefern.,,,,,partial,2,,,True,True,False,2,0,email only,CAN Großhandel GmbH & Co. KG,,
MEGA Stockach Das Fach-Zentrum für die Metzgerei und Gastronomie GmbH,Stockach,+49 7771 93400,https://www.mega-stuttgart.de/,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""MEGA Stockach Das Fach-Zentrum für die Metzgerei und Gastronomie GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@mega-stuttgart.de,,https://www.linkedin.com/company/mega-das-fach-zentrum-f%C3%BCr-die-metzgerei-und-gastronomie-eg/,MEGA - Großhandel für die Metzgerei & Gastronomie,Die MEGA blickt auf eine lange Tradition zurück. Angefangen hat alles als Einkaufs- und Lieferungsgenossenschaft für das Metzgerhandwerk vor 80 Jahren.,,,https://www.linkedin.com/company/mega-das-fach-zentrum-f%C3%BCr-die-metzgerei-und-gastronomie-eg/,,partial,2,,,True,True,False,2,0,email only,MEGA - Großhandel für die Metzgerei & Gastronomie,,https://www.linkedin.com/company/mega-das-fach-zentrum-f%C3%BCr-die-metzgerei-und-gastronomie-eg/
Han „Hantat“ Lebensmittel Großhandel GmbH,Stuttgart,+49 711 4860430,http://www.hantatfood.de/,Wholesaler,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Han „Hantat“ Lebensmittel Großhandel GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@hantatfood.de,,,Hauptseite - 1539256423s Webseite!,Ihr zuverlässiger Lebensmittel Lieferant,1539256423,,,,partial,2,,,True,True,False,2,0,email only,Hauptseite - 1539256423s Webseite!,1539256423,
Koza Großhandel,Dettingen unter Teck,+49 176 20147087,https://koza-handel.de/,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Koza Großhandel"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@koza-handel.de,,,,,,,,,partial,1,,,True,False,False,1,0,skip,,,
Alfapack GmbH,Munich,+49 89 82010760,http://www.alfapack.de/,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Alfapack GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@alfapack.de,,,,,,,,,partial,1,,,True,False,False,1,0,skip,,,
MULTI Grosshandel - Hannover,Hanover,+49 511 26215020,http://www.multi-grosshandel.de/,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""MULTI Grosshandel - Hannover"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,contact@mysite.com,,,Kiosk und Lebensmittel Großhandel - Multi Großhandel Hannover,"Kiosk und Lebensmittel Großhandel Multi bietet über 4500 Produkte auf 2600m² Verkaufsfläche, komm uns besuchen!",49 511 262,,,,partial,2,,,True,True,False,2,0,email only,Kiosk und Lebensmittel Großhandel - Multi Großhandel Hannover,+49 511 262 150,
Rhein Food GmbH,Bornheim,+49 2227 9269494,https://www.rheinfood.de/,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""Rhein Food GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@rheinfood.de,,,RheinFood GmbH - Ihr Partner für Lebensmittel & Gastronomiebedarf,"Seit 2004 Ihr zuverlässiger Großhändler für hochwertige Lebensmittel, Getränke & Verpackungen im Raum Köln/Bonn.",2227 926 949,,,,partial,2,,,True,True,False,2,0,email only,RheinFood GmbH - Ihr Partner für Lebensmittel & Gastronomiebedarf,2227 926 949,
PROHOGA GmbH & Co. KG,Villingen-Schwenningen,+49 7720 83350,https://www.prohoga.de/,Wholesale grocer,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""PROHOGA GmbH & Co. KG"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@prohoga.de,,,Startseite - PROHOGA,"Ø 4,3 / 5",180443016047,,,,partial,2,,,True,True,False,2,0,email only,Startseite - PROHOGA,180443016047,
HR Puls GmbH // Schlaue HR Software,Hamburg,+49 40 22821138,http://www.hrpuls.de/,Software company,HR Software,CEO / Geschäftsführer / Head of Product,"""HR Puls GmbH // Schlaue HR Software"" Germany","Hallo [Name], Harvics HR wurde für deutsches Arbeitsrecht gebaut — Minijob, Werkvertrag, DSGVO in einem System. Darf ich unser 2026-Memorandum zusenden? | Mian Muhammad Usman",To Contact,anfrage@hrpuls.de,,https://www.linkedin.com/company/hrpuls/,HR Puls // Schlaue HR Software für effizientes Arbeiten,"Schlaue und selbsterklärende HR Software für die Themen Recruiting, HR Management und Performance mit Servern in Deutschland",40 228 211,,https://www.linkedin.com/company/hrpuls/,,partial,2,,,True,True,False,2,0,email only,HR Puls // Schlaue HR Software für effizientes Arbeiten,+49 40 228 211,https://www.linkedin.com/company/hrpuls/
HR WORKS,Freiburg im Breisgau,+49 761 479540,https://www.hrworks.de/?utm_source=gmb&utm_medium=organic&content=freiburg,Software company,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""HR WORKS"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,isms@hrworks.de,,https://www.linkedin.com/company/hrworks-gmbh,HR WORKS: Mehr Zeit für Menschen. Mehr Zeit für Erfolg.,"Ihre Software für Personalverwaltung, Reisekosten, Zeiterfassung, LoBu-Schnittstellen für kleine und mittlere Unternehmen: Jetzt starten!",761 479,,,,partial,2,,,True,True,False,2,0,email only,HR WORKS: Mehr Zeit für Menschen. Mehr Zeit für Erfolg.,761 479,
HRTime Software GmbH,Essen,+49 201 4374983,https://www.hrtime.de/,Software company,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""HRTime Software GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@hrtime.de,+491709071630,https://www.linkedin.com/company/hrtime-software-gmbh/,"Digitale Zeiterfassung ab 4,50€ – Made in Germany | HRTime",,,,https://www.linkedin.com/company/hrtime-software-gmbh/,,partial,1,,,True,False,False,1,0,skip,,,
HR WORKS,Frankfurt am Main,+49 761 479540,https://www.hrworks.de/?utm_source=gmb&utm_medium=organic&content=frankfurt,Software company,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""HR WORKS"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,isms@hrworks.de,,https://www.linkedin.com/company/hrworks-gmbh,HR WORKS: Mehr Zeit für Menschen. Mehr Zeit für Erfolg.,"Ihre Software für Personalverwaltung, Reisekosten, Zeiterfassung, LoBu-Schnittstellen für kleine und mittlere Unternehmen: Jetzt starten!",761 479,,,,partial,2,,,True,True,False,2,0,email only,HR WORKS: Mehr Zeit für Menschen. Mehr Zeit für Erfolg.,761 479,
"HRNeeds, das Vergleichsportal",Mannheim,+49 621 16616673,https://hrneeds.de/,Business management consultant,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""HRNeeds, das Vergleichsportal"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,support@hrneeds.de,,https://www.linkedin.com/company/hrneeds-de,"HRNeeds, das Vergleichsportal für HR-Softwarelösungen europaweit",Mit dem Vergleichsportal HRNeeds zur passenden HR-Lösung inklusive individueller Beratung mit zahlreichen Tipps. Jetzt Ihre kostenlose Empfehlung erhalten,,,https://www.linkedin.com/company/hrneeds-de,,partial,2,,,True,True,False,2,0,email only,"HRNeeds, das Vergleichsportal für HR-Softwarelösungen europaweit",,https://www.linkedin.com/company/hrneeds-de
HaDre GmbH,Nuremberg,+49 911 13131900,http://3rpms-hotelsoftware.de/,Software company,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""HaDre GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,office@3rpms.de,,,3RPMSÂ® Hotelsoftware,"3RPMSÂ® ist die cloudbasierte KomplettlÃ¶sung fÃ¼r Beherbergungsbetriebe jeder GrÃ¶Ãe â von der Reservierung bis zur Abrechnung. Intuitiv, skalierbar und sofort einsatzbereit â ganz ohne IT-Chaos.",,,,,partial,2,,,True,True,False,2,0,email only,3RPMSÂ® Hotelsoftware,,
HRWare Consulting GmbH & Co. KG,Sigmaringen,+49 7571 757240,http://www.hrware.de/,Software company,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""HRWare Consulting GmbH & Co. KG"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@hrware.de,,https://www.linkedin.com/company/79960892/,HRWare Consulting | Ihr Partner für digitale HR-Lösungen,HRWare Consulting. Mehrfach ausgezeichneter Sage Premium-Partner für die Sage HR Suite. Über 500 HR-Kunden deutschlandweit vertrauen auf uns,06131 8888,,https://www.linkedin.com/company/79960892/,,partial,2,,,True,True,False,2,0,email only,HRWare Consulting | Ihr Partner für digitale HR-Lösungen,06131 8888,https://www.linkedin.com/company/79960892/
HRlab GmbH,Berlin,+49 30 28098680,https://www.hrlab.de/,Software company,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""HRlab GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@hrlab.de,,https://de.linkedin.com/company/tridiondigitalsolutions,Ihr Personal. Ihre Zeit. Ihre HR Software. - HRlab,Damit Sie als Personalabteilung wieder Zeit für die wirkliche Personalarbeit haben! Jederzeit und von überall.,30 28098680,,https://www.linkedin.com/company/tridiondigitalsolutions/,,partial,2,,,True,True,False,2,0,email only,Ihr Personal. Ihre Zeit. Ihre HR Software. - HRlab,+49 30 28098680,https://www.linkedin.com/company/tridiondigitalsolutions/
HR-IT-Solutions GmbH,Buch am Erlbach,+49 8709 5079950,https://www.hr-it-solutions.com/,Software company,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""HR-IT-Solutions GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@hr-it-solutions.com,,,HR-IT-Solutions,,318457221,,,,partial,2,,,True,True,False,2,0,email only,HR-IT-Solutions,318457221,
H+H Software GmbH,Göttingen,+49 551 522080,https://www.hh-software.com/,Software company,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""H+H Software GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@hh-software.com,,,H+H Software GmbH,,,,,,partial,2,,,True,True,False,2,0,email only,H+H Software GmbH,,
HS - Hamburger Software GmbH,Hamburg,+49 40 63297333,https://www.hamburger-software.de/,Software company,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""HS - Hamburger Software GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@hamburger-software.de,,https://www.linkedin.com/company/hs---hamburger-software-gmbh-%26-co-kg,ERP Lösungen von HS - Hamburger Software,"Zuverlässige ERP-Lösungen von HS ✓ ausgezeichneter Service für WaWi, FiBu etc. ✓ führender Hersteller für ERP Lösungen ► Jetzt informieren!",040 6329,,https://www.linkedin.com/company/hs---hamburger-software-gmbh-%26-co-kg,,partial,2,,,True,True,False,2,0,email only,ERP Lösungen von HS - Hamburger Software,040 6329,https://www.linkedin.com/company/hs---hamburger-software-gmbh-%26-co-kg
HR factory GmbH,Munich,+49 89 921310610,https://hrfactory.com/de/,Human resource consulting,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""HR factory GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@hrfactory.com,,https://www.linkedin.com/company/hrfactorygmbh/,Personaldienstleistung | HR Beratung | Deutschland,HR factory | Personaldienstleistung & HR Beratung deutschlandweit ✓ Branchen- & unternehmensgrößenübergreifende Beratung ▶ Mehr erfahren.,89 9213106,,https://www.linkedin.com/company/hrfactorygmbh/,,partial,2,,,True,True,False,2,0,email only,Personaldienstleistung | HR Beratung | Deutschland,+49 89 9213106,https://www.linkedin.com/company/hrfactorygmbh/
HYBRID Software GmbH,Freiburg im Breisgau,+49 761 70776700,http://www.hybridsoftware.com/,Software company,FMCG / Food,CEO / Geschäftsführer / COO / HR-Leitung,"""HYBRID Software GmbH"" Germany","Hallo [Name], wir bauen KI-Infrastruktur für FMCG-Distributoren in Deutschland — Echtzeit-Logistik, HR-Compliance und DSGVO in einem Stack. Memorandum auf Anfrage. | Mian Muhammad Usman",To Contact,info@hybridsoftware.com,,https://www.linkedin.com/company/hybrid-software/,Innovative Workflow Solutions for the Print Industry | Hybrid Software,"Discover HYBRID Software – global leader in prepress workflow solutions for packaging, labels, and digital printing. Smarter software for efficient print production.",215-550-6243,"that meet and exceed your needs. Enterprise workflows Native PDF editors 3D prototyping & visualization Color management High-speed DFEs and RIPs Printhead drive electronics designed for  your market . From labels and packaging to industrial inkjet, we are the only full-stack supplier of all critical core inkjet printing technologies.  Tag & label printers Flexible packaging printers Folding carton printers Corrugated printers Trade shops & premedia houses Commercial & screen printers Metal can & direct-to-shape printers Brand owners Print OEMs and software vendors Integrating  people ,  processes  and   tools We are the IT people with labels and packaging knowledge as well as the labels and packaging people with IT competence. Supporting you  locally, everywhere We are a global company with a local presence, dedicated to staying close to our customers to provide you with the best support. Join the 5000+ customers using our solutions What our customers say… With Hybrid Software, we can meet the constantly growing requirements in terms of quality and deadlines… We were able to automate many recurring activities and improve our workflows. This increases our process reliability and creates freed up time that we can use for tasks that rely on our prepress expertise. Jens Fechtel Customer Advisor Looking back on the past year, I can only congratulate us for making the right decision in choosing Hybrid as our partner. The difference compared to a year ago is drastic; this solution meets all our hopes and expectations. Stefaan Parrein Director Thanks to our approach, we can guarantee short delivery times and flexibility without compromising on quality and precision. Ives Declerck  CEO The heart of industrial printing and packaging Follow us on LinkedIn Follow us on YouTube Business Units BrandZ Color Management Labels & Packaging Meteor Inkjet Helix Conics Xitron General Terms & conditions FAQ Careers Investors Support Status Communication Events Blog Video library Press releases Contact Northern Europe +32 9 329 57 53 The Americas +1 215-550-6243 DACH +49 761 70 776 700 All contacts Stay Connected",https://www.linkedin.com/company/hybrid-software/,,partial,2,,,True,True,False,2,0,email only,Innovative Workflow Solutions for the Print Industry | Hybrid Software,+1 215-550-6243,https://www.linkedin.com/company/hybrid-software/
