Company,Country,Category,Website,Stand,Email,Phone,LinkedIn,Instagram
525 Food Production Ltd,Latvia,World Food,https://www.525.lv,"12-21, South Hall 2",sales@525.lv,+371 25117117,https://www.linkedin.com/company/98988439/admin/feed/posts,@5min_gourmet
7Paramounts,Pakistan,Animal Fats | Halal and kosher food | Fortified foods & health products | Dried Milk Products | Value-Added Food | Private label | Organic products | Fortified & Functional Products | Health & Wellness Products | Milk | Specialty food | Vegetable & animal oils & fats,https://globalvitcare.com/,"Z5-F73, Za'abeel Hall 5",,,,
"A B D KHAN CO.,LTD",Thailand,"Dry goods | Canned Products | Private label | Fish | Meat, poultry & seafood",https://www.abc.co.th,"N1-K72, North Hall 1",kingbell@abc.co.th,+66-2-8624847,,
A F Hoosen & Sons Pte Ltd,Singapore,Dry goods | Spices & Seasonings,,"N9-120, North Hall 9",,,,
A F Jones Exporters Ceylon (Pvt) Ltd,Sri Lanka,Beverages,https://www.jonestea.com/,"Z3-100, Za'abeel Hall 3",info@jonestea.com,+94-112 696871-6,,
A L Nejmah Sweets Ramadan Abu Lebbeh & Sons Co. L.L.C,Jordan,"Bakery, cakes & desserts | Ready-to-Eat | Sugar-free Products | Frozen food | Ice Cream | Private label | Ice Cream / Sorbet / Gelato | Frozen Baked Goods | Free-from products | Gourmet & Fine Food | Specialty food | Baked Goods | Cakes / Dessert",https://www.Alnejmah.com,"52-102, South Hall 9",,,,
A L OLIVIER,France,Dry goods | Oil | Condiments & sauces | Olive Oil | Vegetable & animal oils & fats | Pasta | Organic products,https://alolivier.com/fr/,"8-24, South Hall 1",,,,@alolivier1822
A S BRITONA COMMERCIAL BROKERS,Iran,"Gluten-free Baked Goods | Bakery, cakes & desserts | Vegan / Vegetarian Products | Fortified foods & health products | Sugar-free Products | Instant Noodles | Pasta | Dry goods | Private label | Organic products | Free-from products | Fortified & Functional Products | Health & Wellness Products | Baked Goods | Cakes / Dessert | Baking Supplies",https://zargroup.ir/en,"C1-60, Hall 1",,+98 021-45676000,,
A Spice Affair,Canada,"Gluten-free Baked Goods | Bakery, cakes & desserts | Vegan / Vegetarian Products | Dry goods | Free-from products | Baked Goods | Condiments & sauces | Spices & Seasonings | Gluten-Free Products",https://aspiceaffair.com,"24-6, South Hall 4",hello@aspiceaffair.com,,,@aspiceaffair
A V Overseas,India,"Gluten-free Baked Goods | Bakery, cakes & desserts | Vegan / Vegetarian Products | Fortified foods & health products | Pulses/ grains / cereals / flours | Free-from products | Rice | Health & Wellness Products | Gluten-Free Products | Organic products",https://avoverseas.in,"N6-E71, North Hall 6",,,,
A&B VIETNAM INVESTMENT JSC,Vietnam,Savoury snacks | Iced Tea | Cordials & Syrups | Tea | Instant Noodles | Coffee | Snacks | Instant Beverages | Dry goods | Flavoured Water | Energy Drinks | Non-alcoholic Beverages | Bottled Water | Carbonated Soft Drinks | Juices & Nectars,https://vi.abvietnam.vn/,"Z2-E31, Za'abeel Hall 2",rose@abvietnam.com.vn,+84 929 90,https://www.linkedin.com/company/viabvietnamvn,@vi_abvietnamvn
A&M Global Solutions Inc/ Food Group International,United States of America,Halal and kosher food | Ready-to-Eat | Fortified foods & health products | Sugar-free Products | Cereals / Fruit Bars | Oats | Pulses/ grains / cereals / flours | Snacks | Breakfast Cereals | Private label | Free-from products | Fortified & Functional Products | Health & Wellness Products | Specialty food | Gluten-Free Products,https://www.avelina.com,"41-95, South Hall 7",info@avelina.com,+1 (305) 883-7871,,@avelinausa
A&Y Food Industries Pvt ltd,Pakistan,"Bakery, cakes & desserts | Halal and kosher food | Vegan / Vegetarian Products | Frozen Ready Meals | Frozen Meat | Cheese | Frozen food | Private label | Frozen Baked Goods | Free-from products | Specialty Breads | Butter | Specialty food | Baked Goods | Frozen Fruit & Vegetables | Gluten-Free Products | Ethnic Food",https://ayfoodindustries.com/,"N1-J89, North Hall 1",,,,
A'Saffa Foods SAOG,Oman,"Halal and kosher food | Meat, poultry & seafood | Cheese | Frozen food | Eggs & Egg Products | Poultry & Feathered Game | Processed Meat | Frozen Fruit & Vegetables | Chilled & fresh food",https://www.asaffa.com,"S-H78, Trade Centre Arena",,,,
A+Co,Azerbaijan,World Food,,"51-40, South Hall 8",,,,
A-Salt Trading,Russian Federation,Animal Fats | Agri-oil | Coffee Beans | Cereals / Fruit Bars | Oil | Oats | Pulses | Pulses/ grains / cereals / flours | Corn | Snacks | Rye | Millet | Dried Fruit & Vegetables | Sorghum | Wheat | Agri-product Seeds | Spelt | Vegetable & animal oils & fats,https://www.a-salt.com,"N11-B23, North Hall 11",office@a-salt.com,+7 (812) 449-77-67,,
A-Z Manufacturing & Trading,Lebanon,Halal and kosher food | Vegan / Vegetarian Products | Digital Marketing | Canned Products | Oil | Cheese | Sales Services | Dry goods | Professional services | Private label | Free-from products | Olive Oil | Logistics | Condiments & sauces | Spices & Seasonings | Vegetable & animal oils & fats | Trademark,https://www.az-manufacturing.com/,"52-31, South Hall 9",management@az-manufacturing.com,,,
A. Camacho Foods,Spain,"Savoury snacks | Halal and kosher food | Tea | Ready-to-Eat | Spreads, honey & jams | Canned Products | Snacks | Dry goods | Private label | Olive Oil | Gourmet & Fine Food | Specialty food | Vegetable snacks | Condiments & sauces | Vegetable & animal oils & fats | Healthy snacks",https://angelcamacho.com/,"15-40, South Hall 2",dpo@acamacho.com,+34 955 854 700,https://www.linkedin.com/company/angel-camacho-alimentacion-s.l.,
A. Zorbas & Sons Ltd,Cyprus,World Food,https://www.zorbas.com.cy,"22-2, South Hall 3",info@zorbas.com.cy,,,@zorbascy
A.Agathokleous LTD- The King of Olives,Cyprus,Halal and kosher food | Fortified foods & health products | Oil | Private label | Olive Oil | Health & Wellness Products | Gourmet & Fine Food | Specialty food | Vegetable & animal oils & fats | Organic products,https://www.kingofolives.com.cy,"22-32, South Hall 3",info@kingofolives.com.cy,+357 24 109 410,,@kingofolives
"A.E.C. CANNING CO., LTD",Thailand,Dry goods | Canned Products,https://www.aeccanning.com/,"N1-L25, North Hall 1",info@aeccanning.com,+66(0)63-237-3900,,@embed.js
A.Hadjipieris Ltd,Cyprus,Private label | Halal and kosher food | Free-from products | Lactose-free Products | Cheese | Organic products,https://www.hadjipieris.com,"R-F3, Shk Rashid Hall",info@hadjipieris.com,+357202452310020,,
A.I.D.A.DI GIANGRECO PAOLO,Italy,World Food,,"17-80, South Hall 3",,,,
A.N.J.distribution,Slovakia,Savoury snacks | Vegan / Vegetarian Products | Fortified foods & health products | Sugar-free Products | Cereals / Fruit Bars | Pasta | Snacks | Dry goods | Private label | Organic products | Free-from products | Fortified & Functional Products | Health & Wellness Products | Energy Drinks | Non-alcoholic Beverages | Healthy snacks | Gluten-Free Products | Carbonated Soft Drinks,https://www.anj-distribution.com/,"DG-E45, North Hall 13",sales@anj-distribution.com,,https://www.linkedin.com/company/a-n-j-distribution,@gams_products
A.R. Plast,India,World Food,https://www.bhoominaturals.in,"SH-X2, South Hall 12",,,,
A.R. Tartufi S.r.l,Italy,"Halal and kosher food | Vegan / Vegetarian Products | Ready-to-Eat | Spreads, honey & jams | Oil | Artisanal | Private label | Free-from products | Olive Oil | Gourmet & Fine Food | Specialty food | Condiments & sauces | Vegetable & animal oils & fats | Gluten-Free Products",https://www.valnerinatartufi.com,"19-106, South Hall 3",info@valnerinatartufi.com,+39074462412,,@valnerinatartufiofficial
A.U.F Egypt,Egypt,"Bakery, cakes & desserts | Dates & Date Palm Products | Coffee | Snacks | Nuts | Popcorn | Crackers | Baked Goods | Healthy snacks",https://www.abuauf.com,"45-29, South Hall 8",info@abuauf.com,,,@abuauf_egypt\\\
A1 Comexport,Brazil,"Agri-oil | Coffee Beans | Sustainability | Spreads, honey & jams | Pulses | Coffee | Pulses/ grains / cereals / flours | Snacks | Nuts | Professional services | Technology | Rice | Logistics | Agri-product Seeds | Specialty food | Fair Trade | Vegetable & animal oils & fats | Organic products | Ethnic Food",https://a1c.com.br/,"N8-120, North Hall 8",,,,
AA Food Factory,India,"Spreads, honey & jams",https://aafoodfactory.com/,"GG-F33, North Hall 12",,,,
AA Lobster Canada Limited,Canada,"Crustacean | Shellfish | Frozen Seafood | Fresh Seafood | Meat, poultry & seafood | Frozen food",https://aaseafoodsolutions.com/,"S-C13, Trade Centre Arena",info@aalobstercanada.com,,,
Aachi Masala Foods (P) Ltd,India,Oil | Private label | Ghee | Condiments & sauces | Pulses/ grains / cereals / flours | Rice | Halal and kosher food | Vegetable & animal oils & fats | Pulses,https://www.aachigroup.com,"N1-H2, North Hall 1",,,,
Aahu Barah USA Inc,United States of America,Pulses/ grains / cereals / flours | Rice,https://www.aahubarah.com/?srsltid=AfmBOoroCE5od1pk5BYGvMgHtt0WLqCU-OljHNxhh-Fk2QFvwKge1kFw,"N8-C23, North Hall 8",e7d54b729aaf49ea8b2f80dae22860aa@sentry.zipify.com,516 396-0710 60,,@aahubarah
Aakash Agrotech Private Limited,India,Private label | Organic products | Pulses/ grains / cereals / flours | Rice | Brown Rice | Pulses,https://www.aakashagro.com,"N7-D65, North Hall 7",,,,
AAKASH INDUSTRIES,India,"Private label | Animal Fats | Fish | Pulses/ grains / cereals / flours | Rice | Vegetable & animal oils & fats | Brown Rice | Meat, poultry & seafood",https://www.aakashindustries.co.in,"N5-A2, North Hall 5",,,,
Aaksh Beverages Pvt. Ltd,India,Vegan / Vegetarian Products | Coffee Beans | Fortified foods & health products | Sugar-free Products | Coffee | Pulses/ grains / cereals / flours | Instant Beverages | Value-Added Food | Private label | Organic products | Free-from products | Health & Wellness Products | Gourmet & Fine Food | Specialty food | Fair Trade | Non-alcoholic Beverages | Instant hot beverages,https://www.aveoncafe.com/pages/aaksh,"Z3-D56, Za'abeel Hall 3",,,,
Aal Mir Trading Co. LLC,China,Savoury snacks | Crackers | Vegetable snacks | Salty Snacks | Snacks,https://www.yusheng.net,"N1-J102, North Hall 1",,,,
Aarchy Nutriment & Beverages Pvt Ltd,India,Energy Drinks | Iced Tea | Tea | Instant Beverages | Instant hot beverages,https://www.burgundybagh.com,"Z2-100, Za'abeel Hall 2",,,,
Aatreyaa International,India,Dry goods | Spices & Seasonings,https://aatreyaainternational.com/,"N9-C13, North Hall 9",,,,
Aayam Projects Pvt Ltd,India,Vegan / Vegetarian Products | Ready-to-Eat | Cereals / Fruit Bars | Pulses | Coffee | Pulses/ grains / cereals / flours | Pasta | Corn | Snacks | Instant Beverages | Value-Added Food | Dried Fruit & Vegetables | Private label | Dry goods | Instant Soups | Wheat | Free-from products | Gourmet & Fine Food | Specialty food | Condiments & sauces | Spices & Seasonings | Dried Fruits | Healthy snacks | Organic products,https://www.unclenonu.com,"N10-D2, North Hall 10",,,,
AB Mauri,United Arab Emirates,"Crisp Bread | Gluten-free Baked Goods | Bakery, cakes & desserts | Baked Goods | Cakes / Dessert | Baking Supplies | Specialty Breads",https://www.abmauri.ae,"4-18, South Hall 1",,+971 4 880 8895,https://www.linkedin.com/company/89757842,
Ababil Naseri Group of Company,Afghanistan,Dry goods | Wheat | Organic products | Pulses/ grains / cereals / flours | Rice | Spices & Seasonings | Dried Fruits | Pulses,https://www.ababilnaseritrading.com.af,"SW-R45, South Hall 11",,+93 77 000 2110,,
Abalioglu Lezita Gida San. A.s,Türkiye,"Poultry & Feathered Game | Processed Meat | Meat, poultry & seafood | Unprocessed Meat",https://lezita.com.tr/en/,"S-G50, Trade Centre Arena",info@lezita.com.tr,0 232 880 70 1210,,@lezita_tr
Abalioglu Yag,Türkiye,Oil | Vegetable & animal oils & fats,https://abaliyag.com/en,"Z1-42, Za'abeel Hall 1",info@abaliogluyag.com,+90 232 328 03 86,https://www.linkedin.com/company/abal%C4%B1ya%C4%9f,@abaliyag
Abalioglu Yem,Türkiye,Butter | Cream & Cream Products | Dried Milk Products,https://abalidairy.com/,"M-A52, Shk Maktoum Hall",,,,
Abbar & Sons Food Co. Ltd,Saudi Arabia,Canned Products | Pulses/ grains / cereals / flours | Dry goods | Private label | Cream & Cream Products | Rice | Milk | Condiments & sauces,https://abbarfoods.com/,"38-42, South Hall 6",,,https://www.linkedin.com/company/abbar-foods-saudi-arabia,@abbarfoods
Abbaspour Industrial Group Ardin,Iran,World Food,https://abbaspour.com,"SH-K2, South Hall 12",,,,
"ABC Global Resources, USA",United States of America,"Bakery, cakes & desserts | Halal and kosher food | Oil | Oats | Pulses | Pulses/ grains / cereals / flours | Corn | Snacks | Millet | Nuts | Private label | Sorghum | Wheat | Barley | Rice | Olive Oil | Popcorn | Vegetable & animal oils & fats | Baking Supplies",https://abcglobalus.com,"N8-C97, North Hall 8",,+1 (609) 454-5842,,
ABCD Great life,Rwanda,Gulfood Fresh,https://web.facebook.com/ABCD-Life-101727818421766/?_rdc=1&_rdr#,"GG-U30, North Hall 12",,,,
ABDUL RAZZAK BILAL TRADING CO L.L.C,United Arab Emirates,Dry goods | Canned Products | Private label | Energy Drinks | Coffee | Non-alcoholic Beverages | Pasta | Instant Noodles,https://www.alysaglobal.com,"N1-160, North Hall 1",info@alysaglobal.com,+971 555 037 272,,
Abdulrahman & Mohammed A. Aziz Al Shalan Co,Saudi Arabia,Private label | Pulses/ grains / cereals / flours | Rice,https://www.alshalan.com,"N3-F2, North Hall 3",,,,@alshalanco
Abhiram International Pvt Ltd,India,Dry goods | Canned Products | Private label | Instant Soups | Wheat | Pulses/ grains / cereals / flours | Pasta | Pulses,https://www.abhiraminternational.com,"N6-C16, North Hall 6",,,,
Abida,Tunisia,Condiments & sauces,https://abidatunisie.com,"44-64, South Hall 7",,,,
Abido Co. for Trade & Industry,Lebanon,Dry goods | Spices & Seasonings,https://www.abido.com,"52-9, South Hall 9",export@abido.com,+961 1 651 615,https://www.linkedin.com/company/abido-company-for-trade-and-industry,@abidospices
ABIEC - Brazilian Beef Exporters Association,Brazil,Government/associations | Halal and kosher food,https://abiec.com.br/,"S1-E66, Shk Saeed Hall 1",abiec@abiec.com.br,+55 11 3531-7888,https://www.linkedin.com/company/abiec,@abiecoficial
Abiy Masresha Import Export,Ethiopia,Coffee,https://www.abiymasresha-gishmar.com,"5-80, South Hall 1",info@abiymasresha-gishmar.com,,,
Able Dairies/ Able Food / Able Perfect,Malaysia,Alternative Milk Products | Canned Products | Oil | Dried Milk Products | Dry goods | Ghee | Milk | Vegetable & animal oils & fats,https://www.abledairies.com/,"R-184, Shk Rashid Hall",,,,
ABN Trades,India,Savoury snacks | Agri-oil | Coffee Beans | Frozen Ready Meals | Oil | Pulses | Pulses/ grains / cereals / flours | Snacks | Brown Rice | Salty Snacks | Frozen food | Dry goods | Private label | Ghee | Rice | Milk | Condiments & sauces | Frozen Fruit & Vegetables | Spices & Seasonings | Dried Fruits | Vegetable & animal oils & fats,https://www.abntrades.com,"N6-B22, North Hall 6",,,,
ABP Food Group,United Kingdom,"Frozen Meat | Meat, poultry & seafood | Frozen food | Unprocessed Meat",https://www.abpfoodgroup.com,"S-L2, Trade Centre Arena",,,,
ABP International,Republic of Ireland,Frozen Meat | Frozen food,https://www.abpfoodgroup.com,"S-M35, Trade Centre Arena",,,,
ABPA - Associacao Brasileira de Proteina Animal,Brazil,"Poultry & Feathered Game | Processed Meat | Meat, poultry & seafood | Chilled & fresh food | Eggs & Egg Products",https://abpa-br.org/,"S1-F50, Shk Saeed Hall 1",abpa@abpa-br.org,+55 (11) 3095-3120,https://www.linkedin.com/company/abpa,@abpabr
Abrham Abebe General Exporter,Ethiopia,World Food,,"5-80, South Hall 1",,,,
Abrikon of Ararat LLC,Armenia,"Bakery, cakes & desserts | Halal and kosher food | Non-alcoholic Beverages | Cakes / Dessert",https://www.andre-richard.com,"2-64, South Hall 1",,,,
Absortech,Germany,Coffee Beans | Sustainability | Oats | Pulses | Pulses/ grains / cereals / flours | Dried Milk Products | Corn | Snacks | Nuts | Breakfast Cereals | Fresh Fruits & Vegetables | Dry goods | Professional services | Wheat | Technology | Rice | Olive Oil | Logistics | Popcorn | Consulting | Spices & Seasonings | Non-alcoholic Beverages | Bottled Water | Vegetable & animal oils & fats | Chilled & fresh food,https://absortech.com/,"PD-S20, PD-S21, The Pavilion",,,https://www.linkedin.com/company/absortech-international-ab,
Abu Dhabi Food Hub,United Arab Emirates,"Freekeh | Agri-oil | Alternative Milk Products | Coffee Beans | Meat, poultry & seafood | Instant Noodles | Canned Products | Oil | Yoghurt (Regular, Flavoured, Fruit, etc.) | Oats | Fish | Frozen Meat | Pulses | Pulses/ grains / cereals / flours | Pasta | Corn | Frozen Seafood | Brown Rice | Cheese | Fresh Seafood | Frozen food | Eggs & Egg Products | Fresh Fruits & Vegetables | Poultry & Feathered Game | Dry goods | Instant Soups | Dried Meat | Wheat | Barley | Organic products | Cream & Cream Products | Shellfish | Rice | Processed Meat | Olive Oil | Frozen Dairy Products | Milk | Butter | Agri-product Seeds | Gourmet & Fine Food | Specialty food | Condiments & sauces | Frozen Fruit & Vegetables | Spices & Seasonings | Quinoa | Vegetable & animal oils & fats | Dried Fruits | Chilled & fresh food | Unprocessed Meat",https://adfoodhub.com/,"GG-C30, North Hall 12",info@adfoodhub.com,+971 56 417 9716,https://www.linkedin.com/company/abudhabifoodhub/posts,@abudhabifoodhubkezad
