Company,Category,Country,Relevant,LinkedIn Search,Apollo Search,Status,Interest Level,Notes,enrichment_status,score
Action Foods,Stand: N4180,,YES,https://www.linkedin.com/search/results/companies/?keywords=Action%20Foods,https://app.apollo.io/#/companies?q_organization_name=Action%20Foods,New,,,partial,0
Add-Olives LTD,Stand: N3260,,Check,https://www.linkedin.com/search/results/companies/?keywords=Add-Olives%20LTD,https://app.apollo.io/#/companies?q_organization_name=Add-Olives%20LTD,New,,,partial,0
ADECI,Stand: S3029,,Check,https://www.linkedin.com/search/results/companies/?keywords=ADECI,https://app.apollo.io/#/companies?q_organization_name=ADECI,New,,,partial,0
ADF FOODS UK LTD,Stand: N2330,,YES,https://www.linkedin.com/search/results/companies/?keywords=ADF%20FOODS%20UK%20LTD,https://app.apollo.io/#/companies?q_organization_name=ADF%20FOODS%20UK%20LTD,New,,,partial,0
ADM Foods International,Stand: N3801,,YES,https://www.linkedin.com/search/results/companies/?keywords=ADM%20Foods%20International,https://app.apollo.io/#/companies?q_organization_name=ADM%20Foods%20International,New,,,partial,0
Adnan Khudari & Sons Trading Co.,Stand: N4410b,,Check,https://www.linkedin.com/search/results/companies/?keywords=Adnan%20Khudari%20&%20Sons%20Trading%20Co.,https://app.apollo.io/#/companies?q_organization_name=Adnan%20Khudari%20&%20Sons%20Trading%20Co.,New,,,partial,0
Adpak Machinery Systems,Stand: N246,,Check,https://www.linkedin.com/search/results/companies/?keywords=Adpak%20Machinery%20Systems,https://app.apollo.io/#/companies?q_organization_name=Adpak%20Machinery%20Systems,New,,,partial,0
Aghati Sweets,Stand: N4410j,,Check,https://www.linkedin.com/search/results/companies/?keywords=Aghati%20Sweets,https://app.apollo.io/#/companies?q_organization_name=Aghati%20Sweets,New,,,partial,0
AGRICO DTL,Stand: N4330,,Check,https://www.linkedin.com/search/results/companies/?keywords=AGRICO%20DTL,https://app.apollo.io/#/companies?q_organization_name=AGRICO%20DTL,New,,,partial,0
AGRICOM INTERNATIONAL,Stand: N1650,,Check,https://www.linkedin.com/search/results/companies/?keywords=AGRICOM%20INTERNATIONAL,https://app.apollo.io/#/companies?q_organization_name=AGRICOM%20INTERNATIONAL,New,,,partial,0
Agricultural and Processed Food Products Export Development Authority (APEDA),"Stand: N1310, N1370, N1350, N1330",,YES,https://www.linkedin.com/search/results/companies/?keywords=Agricultural%20and%20Processed%20Food%20Products%20Export%20Development%20Authority%20(APEDA),https://app.apollo.io/#/companies?q_organization_name=Agricultural%20and%20Processed%20Food%20Products%20Export%20Development%20Authority%20(APEDA),New,,,partial,0
AGRODIV,Stand: N1650,,Check,https://www.linkedin.com/search/results/companies/?keywords=AGRODIV,https://app.apollo.io/#/companies?q_organization_name=AGRODIV,New,,,partial,0
Agrofusion,Stand: N623,,Check,https://www.linkedin.com/search/results/companies/?keywords=Agrofusion,https://app.apollo.io/#/companies?q_organization_name=Agrofusion,New,,,partial,0
Agroittica Lombarda,Stand: N2010b,,Check,https://www.linkedin.com/search/results/companies/?keywords=Agroittica%20Lombarda,https://app.apollo.io/#/companies?q_organization_name=Agroittica%20Lombarda,New,,,partial,0
AGROLIVA/ BAYA OLIVE OIL,Stand: N4610d,,Check,https://www.linkedin.com/search/results/companies/?keywords=AGROLIVA/%20BAYA%20OLIVE%20OIL,https://app.apollo.io/#/companies?q_organization_name=AGROLIVA/%20BAYA%20OLIVE%20OIL,New,,,partial,0
Agromonte,Stand: N2010f,,Check,https://www.linkedin.com/search/results/companies/?keywords=Agromonte,https://app.apollo.io/#/companies?q_organization_name=Agromonte,New,,,partial,0
Agropošta,Stand: N1070,,Check,https://www.linkedin.com/search/results/companies/?keywords=Agropošta,https://app.apollo.io/#/companies?q_organization_name=Agropošta,New,,,partial,0
Agua Nueva Nuts,Stand: N655,,Check,https://www.linkedin.com/search/results/companies/?keywords=Agua%20Nueva%20Nuts,https://app.apollo.io/#/companies?q_organization_name=Agua%20Nueva%20Nuts,New,,,partial,0
AHA GLOBAL ( v7 DRINK ),Stand: N2739,,YES,https://www.linkedin.com/search/results/companies/?keywords=AHA%20GLOBAL%20(%20v7%20DRINK%20),https://app.apollo.io/#/companies?q_organization_name=AHA%20GLOBAL%20(%20v7%20DRINK%20),New,,,partial,0
Ahaean Land,Stand: N2212b,,Check,https://www.linkedin.com/search/results/companies/?keywords=Ahaean%20Land,https://app.apollo.io/#/companies?q_organization_name=Ahaean%20Land,New,,,partial,0
AIB Foods Ltd,Stand: N2510,,YES,https://www.linkedin.com/search/results/companies/?keywords=AIB%20Foods%20Ltd,https://app.apollo.io/#/companies?q_organization_name=AIB%20Foods%20Ltd,New,,,partial,0
AIDA FOODS,Stand: N4055,,YES,https://www.linkedin.com/search/results/companies/?keywords=AIDA%20FOODS,https://app.apollo.io/#/companies?q_organization_name=AIDA%20FOODS,New,,,partial,0
AIR ALGERIE,Stand: N1650,,Check,https://www.linkedin.com/search/results/companies/?keywords=AIR%20ALGERIE,https://app.apollo.io/#/companies?q_organization_name=AIR%20ALGERIE,New,,,partial,0
AIRO,Stand: S3065,,Check,https://www.linkedin.com/search/results/companies/?keywords=AIRO,https://app.apollo.io/#/companies?q_organization_name=AIRO,New,,,partial,0
AK Distillery ltd,Stand: S2024,,Check,https://www.linkedin.com/search/results/companies/?keywords=AK%20Distillery%20ltd,https://app.apollo.io/#/companies?q_organization_name=AK%20Distillery%20ltd,New,,,partial,0
AKANLAR FOOD CO.,Stand: N3661,,YES,https://www.linkedin.com/search/results/companies/?keywords=AKANLAR%20FOOD%20CO.,https://app.apollo.io/#/companies?q_organization_name=AKANLAR%20FOOD%20CO.,New,,,partial,0
AKSAM,Stand: N4310,,Check,https://www.linkedin.com/search/results/companies/?keywords=AKSAM,https://app.apollo.io/#/companies?q_organization_name=AKSAM,New,,,partial,0
Al Barakah Dates,Stand: N510,,Check,https://www.linkedin.com/search/results/companies/?keywords=Al%20Barakah%20Dates,https://app.apollo.io/#/companies?q_organization_name=Al%20Barakah%20Dates,New,,,partial,0
Al Khair Trading Company,Stand: N1750b,,Check,https://www.linkedin.com/search/results/companies/?keywords=Al%20Khair%20Trading%20Company,https://app.apollo.io/#/companies?q_organization_name=Al%20Khair%20Trading%20Company,New,,,partial,0
Al Kotof Al Danya Co.,Stand: N4410c,,Check,https://www.linkedin.com/search/results/companies/?keywords=Al%20Kotof%20Al%20Danya%20Co.,https://app.apollo.io/#/companies?q_organization_name=Al%20Kotof%20Al%20Danya%20Co.,New,,,partial,0
Al Saraya Sweets,Stand: N4630,,Check,https://www.linkedin.com/search/results/companies/?keywords=Al%20Saraya%20Sweets,https://app.apollo.io/#/companies?q_organization_name=Al%20Saraya%20Sweets,New,,,partial,0
Al-Ahmadiya Dates Company For Manufacturing,Stand: N1750d,,Check,https://www.linkedin.com/search/results/companies/?keywords=Al-Ahmadiya%20Dates%20Company%20For%20Manufacturing,https://app.apollo.io/#/companies?q_organization_name=Al-Ahmadiya%20Dates%20Company%20For%20Manufacturing,New,,,partial,0
Al-rwad Company for Agricultural Investment and International Trade,Stand: N4630,,Check,https://www.linkedin.com/search/results/companies/?keywords=Al-rwad%20Company%20for%20Agricultural%20Investment%20and%20International%20Trade,https://app.apollo.io/#/companies?q_organization_name=Al-rwad%20Company%20for%20Agricultural%20Investment%20and%20International%20Trade,New,,,partial,0
Alacer Software,Stand: S3444,,Check,https://www.linkedin.com/search/results/companies/?keywords=Alacer%20Software,https://app.apollo.io/#/companies?q_organization_name=Alacer%20Software,New,,,partial,0
Alberti & Santi,Stand: N120,,Check,https://www.linkedin.com/search/results/companies/?keywords=Alberti%20&%20Santi,https://app.apollo.io/#/companies?q_organization_name=Alberti%20&%20Santi,New,,,partial,0
"Alex Co., Ltd",Stand: S1220,,Check,"https://www.linkedin.com/search/results/companies/?keywords=Alex%20Co.,%20Ltd","https://app.apollo.io/#/companies?q_organization_name=Alex%20Co.,%20Ltd",New,,,partial,0
ALFEX,Stand: N1650,,Check,https://www.linkedin.com/search/results/companies/?keywords=ALFEX,https://app.apollo.io/#/companies?q_organization_name=ALFEX,New,,,partial,0
Alhussan Food Factory,Stand: N1730c,,YES,https://www.linkedin.com/search/results/companies/?keywords=Alhussan%20Food%20Factory,https://app.apollo.io/#/companies?q_organization_name=Alhussan%20Food%20Factory,New,,,partial,0
