expo,company_name,stand,enrichment_status,score,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,description,phone,address,linkedin_url,industry
Seafood Expo Global,,1F809,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3D601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,GB305,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2E701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5C401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2B701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4E401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,"5F600, 5G501",partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4E401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5E701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,"5E601, 5E701, 5F601, 5F701",partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3D601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5K501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,1B701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5K201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5L301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2A302,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2G401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2C501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3J801,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4H601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2G401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2F601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3B601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,1F603,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3A801,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3D401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2C501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3F100,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2B501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3G601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,GA301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3F100,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2G301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,GA301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2I501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3B601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2F301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,GB305,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4A501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2B401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2J401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2J301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4A501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4G700,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5D501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3G201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4A601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2E400,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4E301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2A201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,GB301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4A501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2J201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4E301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2H201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5H501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,GA301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,1B901,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4G501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4F401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2G501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3A601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3A601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2J501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3M301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4E300,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2E201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3J201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5J601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,1D800,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3J201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3J201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2A300,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,"5I601, 5J601, 5K601, 5L601",partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4H604,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2C501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,1E603,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3G601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3K201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2J401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2F700,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,1D904,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3I801,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,GB301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4C501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3A601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4D201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,1E603,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3B601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3M801,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2B201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4B601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5L702,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4C301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3L401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3N900,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4F501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3M601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2G100,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3G400,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,"3D401, 3E201, 3F100",partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5D201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3D601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3D601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2J301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2F501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,GA301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4B300,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2F501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3J601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3D201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5A201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5B201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,GA301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5E701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2F501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2E700,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4B702,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2C201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2I401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,"3B601, 3B801, 3C801, 3D601, 3D801, 3E801",partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,"3B201, 3D201",partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2I601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5E701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5H403,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3I601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4B500,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5B601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4D601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,"5A601, 5B501, 5B601, 5B701, 5C501, 5C601",partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4B601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2B701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5C401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3J601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5G501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3A601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5M405,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2G701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4E401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2G401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5L501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4C600,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4B601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2C101,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3J601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5D301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I700,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3D801,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2G401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5A601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2J301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5H201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4G206,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2F200,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5A201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5M505,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2J201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4C701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5L601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5E701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5J701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2J201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,"4A501, 4B500",partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,"2E201, 2E301, 3J201, 3J401, 3K201, 3K401, 3L201, 3L401, 3M201, 3M301, 3N200, 3N300",partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4A201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3K401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4F600,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2F700,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5K702,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2E201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2I401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2B401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4E301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2C203,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5D301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2F301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,1E603,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,1D900,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3A801,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4B501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5I401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2E501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2E501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5C401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2H501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4C501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5C601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3I801,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2F401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5J700,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4F301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,1A801,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3F801,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,1E501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3M601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5E701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2J601,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2E701,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2K600,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5F501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4E300,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5L501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,5F503,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4F301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,2G501,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,3E201,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4E301,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,"4E301, 4E401, 4F401",partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4E401,partial,0,,,,,,False,False,False,0,0,skip,,,,,
Seafood Expo Global,,4B500,partial,0,,,,,,False,False,False,0,0,skip,,,,,
