expo,company_name,stand,enrichment_status,score
Seafood Expo Global,Association of Fish Processors and Exporters Seychelles (AFPES),1F603,partial,0
Seafood Expo Global,Association Quebecoise De L'industrie,3A801,partial,0
Seafood Expo Global,Atlanfish,3D401,partial,0
Seafood Expo Global,ATLANTIC CONSERVES,2C501,partial,0
Seafood Expo Global,Atlantic Dawn Group,3F100,partial,0
Seafood Expo Global,ATLANTIC HARVEST GROUP,2B501,partial,0
Seafood Expo Global,Atlantic Shrimpers Limited,3G601,partial,0
Seafood Expo Global,Atlantika International,GA301,partial,0
Seafood Expo Global,Atlantis Seafood,3F100,partial,0
Seafood Expo Global,Atlas Food,2G301,partial,0
Seafood Expo Global,Atlas Premium,GA301,partial,0
Seafood Expo Global,Austral Fisheries Pty Ltd.,2I501,partial,0
Seafood Expo Global,AUSTRAL FOOD INTERNATIONAL,3B601,partial,0
Seafood Expo Global,Australian Longline Pty Ltd,2F301,partial,0
Seafood Expo Global,Australian Trade and Investment Commission,GB305,partial,0
Seafood Expo Global,Australis Seafoods,4A501,partial,0
Seafood Expo Global,Aveiro Maroc,2B401,partial,0
Seafood Expo Global,Avektra,2J401,partial,0
Seafood Expo Global,Avramar,2J301,partial,0
Seafood Expo Global,Aysén Coho,4A501,partial,0
Seafood Expo Global,Azerbaijan Fish Farm LLC (Baku Caviar),4G700,partial,0
Seafood Expo Global,Azuma Foods Kampo Peru SAC,5D501,partial,0
Seafood Expo Global,Azur Seafood BV,3G201,partial,0
Seafood Expo Global,Azurmar Seafoods SL,5I201,partial,0
Seafood Expo Global,Azzopardi Fisheries,4A601,partial,0
Seafood Expo Global,Babord Seafood AS,2E400,partial,0
Seafood Expo Global,"Bacalao Outon, S.L",4E301,partial,0
Seafood Expo Global,Bacco Seaproducts ehf.,2A201,partial,0
Seafood Expo Global,"BADAHAECHAN CO., LTD.",GB301,partial,0
Seafood Expo Global,Bagasur SpA.,4A501,partial,0
Seafood Expo Global,Bai Xian Seafood Corporation,2J201,partial,0
Seafood Expo Global,"Baipesca Fish, S.L.",4E301,partial,0
Seafood Expo Global,Bakkafrost,2H201,partial,0
Seafood Expo Global,"Balfego & Balfego, SL",5H501,partial,0
Seafood Expo Global,Banga,GA301,partial,0
Seafood Expo Global,Bangladesh Export Promotion Bureau,1B901,partial,0
Seafood Expo Global,Barkas Sp. J.,4G501,partial,0
Seafood Expo Global,"Barlovento, S.A.",4F401,partial,0
Seafood Expo Global,BARRUFET SA,2G501,partial,0
Seafood Expo Global,Barry Group Inc,3A601,partial,0
Seafood Expo Global,Bay Shore Lobster Ltd.,3A601,partial,0
Seafood Expo Global,BDPM,2J501,partial,0
Seafood Expo Global,Beauty Foods Limited,3M301,partial,0
Seafood Expo Global,Bedon Acuacultura S.L.,4E300,partial,0
Seafood Expo Global,"Beihai Jiujiajiu Food Co., Ltd",2E201,partial,0
Seafood Expo Global,BEIJING GOOD INTERNATIONAL,3J201,partial,0
Seafood Expo Global,Beijing Henin Company,5J601,partial,0
Seafood Expo Global,"Beijing Leway International Fairs Co., Ltd.",1D800,partial,0
Seafood Expo Global,"Beijing OKAY Trade CO., LTD.",3J201,partial,0
Seafood Expo Global,Beijing Qianye,3J201,partial,0
Seafood Expo Global,"Beijing Shipuller Co, Ltd",2A300,partial,0
Seafood Expo Global,"Beijing Yinqicheng International Exhibition Co.,Ltd.","5I601, 5J601, 5K601, 5L601",partial,0
Seafood Expo Global,BELARDI FOOD GROUP - PRODWAY INTERNATIONAL,4H604,partial,0
Seafood Expo Global,Belma,2C501,partial,0
Seafood Expo Global,Belnova S.A.,1E603,partial,0
Seafood Expo Global,Bertus-Dekker Seafood B.V.,3G601,partial,0
Seafood Expo Global,"Best Foodstuff (Dalian) Co., Ltd",3K201,partial,0
Seafood Expo Global,Betafish,2J401,partial,0
Seafood Expo Global,BG Salmon ApS,2F700,partial,0
Seafood Expo Global,BGR Export Shrimp S.A.,1D904,partial,0
Seafood Expo Global,BHIMRAJ EXPORTS PRIVATE LIMITED,3I801,partial,0
Seafood Expo Global,Bigmama Seafood,GB301,partial,0
Seafood Expo Global,"Biofrescos - Comércio de Produtos Alimentares, Lda.",4C501,partial,0
Seafood Expo Global,Biscay Seafoods Canada Ltd,3A601,partial,0
Seafood Expo Global,BISTROMAR LA TIMONA SRL,4D201,partial,0
Seafood Expo Global,BLACK RIVER CAVIAR,1E603,partial,0
Seafood Expo Global,Blanchet Exploitation,3B601,partial,0
Seafood Expo Global,Bleu Vert,3M801,partial,0
Seafood Expo Global,Blu Arctic,2B201,partial,0
Seafood Expo Global,"Blue Bay Seafood Co., Ltd",4B601,partial,0
Seafood Expo Global,Blue Pacific LLC,5L702,partial,0
Seafood Expo Global,Blue Resource Group AS,4C301,partial,0
Seafood Expo Global,"Blue Snow Food Co., Ltd. Zhejiang",3L401,partial,0
Seafood Expo Global,Blue World Seafood,3N900,partial,0
Seafood Expo Global,Bluefin Seafood Export Inc,4F501,partial,0
Seafood Expo Global,Bluewild AS,3M601,partial,0
Seafood Expo Global,Blumar,2G100,partial,0
Seafood Expo Global,BML Food Group Holland B.V.,3G400,partial,0
Seafood Expo Global,"Bord Bia, The Irish Food Board","3D401, 3E201, 3F100",partial,0
Seafood Expo Global,Bornstein Seafoods Inc.,5D201,partial,0
Seafood Expo Global,Boulogne Seafood,3D601,partial,0
Seafood Expo Global,Boulogne sur Mer Developpement Cote d'Opale,3D601,partial,0
Seafood Expo Global,Bouras A. Ioannis,2J301,partial,0
Seafood Expo Global,Br. Karlsen,2F501,partial,0
Seafood Expo Global,Bradava,GA301,partial,0
Seafood Expo Global,"Brasmar - Comercio de Productos Alimentares, S.A.",4B300,partial,0
Seafood Expo Global,Bravo Seafood AS,2F501,partial,0
Seafood Expo Global,BRC MARINE PRODUCTS,3J601,partial,0
Seafood Expo Global,Brim,3D201,partial,0
Seafood Expo Global,Bristol Bay Regional Seafood Development Assn,5A201,partial,0
Seafood Expo Global,"Bristol Wave Seafoods, LLC",5B201,partial,0
Seafood Expo Global,Brivais Vilnis,GA301,partial,0
Seafood Expo Global,Brother Ocean S.A.,5E701,partial,0
Seafood Expo Global,Brødrene Sperre AS,2F501,partial,0
Seafood Expo Global,Buba Camaron,2E700,partial,0
Seafood Expo Global,Budenheim Iberica S.L.U.,4B702,partial,0
Seafood Expo Global,Burum Seafood Company,2C201,partial,0
Seafood Expo Global,"BUSAN SEGWANG FOOD CO., LTD.",2I401,partial,0
Seafood Expo Global,Business France,"3B601, 3B801, 3C801, 3D601, 3D801, 3E801",partial,0
Seafood Expo Global,Business Iceland,"3B201, 3D201",partial,0
Seafood Expo Global,C & N Chambers Seafood Ltd,2I601,partial,0
Seafood Expo Global,Cabo Virgenes SRL,5E701,partial,0
Seafood Expo Global,Cabomar Congelados S.A.U.,5H403,partial,0
Seafood Expo Global,Calcutta Seafoods Private Limited,3I601,partial,0
Seafood Expo Global,Caleta Bay,4B500,partial,0
Seafood Expo Global,Calvisius Caviar,5I401,partial,0
Seafood Expo Global,CAMAGOLFO S.A.S,5B601,partial,0
Seafood Expo Global,Camanchaca S.A.,4D601,partial,0
Seafood Expo Global,Camara Nacional de Acuacultura,"5A601, 5B501, 5B601, 5B701, 5C501, 5C601",partial,0
Seafood Expo Global,Camimex Group,4B601,partial,0
Seafood Expo Global,Camli Yem A.S.,2B701,partial,0
Seafood Expo Global,Canfisco Group,5C401,partial,0
Seafood Expo Global,CAP Seafoods Private Limited,3J601,partial,0
Seafood Expo Global,CapiPro AS,5G501,partial,0
Seafood Expo Global,Captain Atlantic Fisheries,3A601,partial,0
Seafood Expo Global,Carloforte Tonnare P.I.A.M SRL,5M405,partial,0
Seafood Expo Global,Carloforte Tonnare P.I.A.M SRL,5I401,partial,0
Seafood Expo Global,Carr & Sons,2G701,partial,0
Seafood Expo Global,"Carranco, S.L.",4E401,partial,0
Seafood Expo Global,CASA DEL PESCATORE SOCIETA’ COOPERATIVA dal 1930,5I401,partial,0
Seafood Expo Global,"Casa Santoña, S.L.",2G401,partial,0
Seafood Expo Global,"Casa Somorrostro, SL",5L501,partial,0
Seafood Expo Global,Caseamex,4C600,partial,0
Seafood Expo Global,CASES,4B601,partial,0
Seafood Expo Global,CASSUA S.L.,2C101,partial,0
Seafood Expo Global,Castlerock Fisheries Pvt Ltd,3J601,partial,0
Seafood Expo Global,Caviar & Caviar USA,5D301,partial,0
Seafood Expo Global,Caviar de Beluga,5I700,partial,0
Seafood Expo Global,Caviar De Neuvic,3D801,partial,0
Seafood Expo Global,Caviar Giaveri,5I401,partial,0
Seafood Expo Global,Caviar Pirinea,2G401,partial,0
Seafood Expo Global,CEAEXPORT,5A601,partial,0
Seafood Expo Global,Central Markets & Fishery Organization S.A.,2J301,partial,0
Seafood Expo Global,Centro Agroalimentare Roma CAR S.C.P.A.,5H201,partial,0
Seafood Expo Global,Cepromar S.A.,4G206,partial,0
Seafood Expo Global,Cermaq Norway AS,2F200,partial,0
Seafood Expo Global,Certified Seafood International (CSI),5A201,partial,0
Seafood Expo Global,Ceylon Fresh Seafood (Pvt) Ltd,5M505,partial,0
Seafood Expo Global,"Champion Pacific Co., Ltd.",2J201,partial,0
Seafood Expo Global,CHAMPION SEAFOOD S.L.,4C701,partial,0
Seafood Expo Global,"Changli County Yongjun Freezing Food Co., Ltd.",5L601,partial,0
Seafood Expo Global,Charlie Tango S.A.,5E701,partial,0
Seafood Expo Global,"Chatka Seafood, S.L.",5J701,partial,0
Seafood Expo Global,"Cheng Hung Seafood Frozen Produce Co.,Ltd.",2J201,partial,0
Seafood Expo Global,Chile - ProChile,"4A501, 4B500",partial,0
Seafood Expo Global,China Aquatic Products Processing & Marketing Alliance (CAPPMA),"2E201, 2E301, 3J201, 3J401, 3K201, 3K401, 3L201, 3L401, 3M201, 3M301, 3N200, 3N300",partial,0
Seafood Expo Global,China Council for the Promotion of International Trade Zhoushan Branch,4A201,partial,0
Seafood Expo Global,China Starfish Co. Ltd,3K401,partial,0
Seafood Expo Global,"CHOKO SHOYU CO., LTD.",4F600,partial,0
Seafood Expo Global,Chrisfish Danmark A/S,2F700,partial,0
Seafood Expo Global,Christian Goedeken jr. GmbH,5K702,partial,0
Seafood Expo Global,"Chunan Qiandaohu Xunlung Import and Export Co., Ltd.",2E201,partial,0
Seafood Expo Global,Chungsan Fishermen's Organization,2I401,partial,0
Seafood Expo Global,Cibel,2B401,partial,0
Seafood Expo Global,Cigalmar,4E301,partial,0
Seafood Expo Global,Circle Foods,2C203,partial,0
Seafood Expo Global,Circle Seafoods,5D301,partial,0
Seafood Expo Global,Cite Marine,2F301,partial,0
Seafood Expo Global,CIUPSA,1E603,partial,0
Seafood Expo Global,Clark's Harbour Seafood Ltd,1D900,partial,0
Seafood Expo Global,Clearwater Seafoods,3A801,partial,0
Seafood Expo Global,CO MAY IMPORT EXPORT COMPANY LIMITED,4B501,partial,0
Seafood Expo Global,Co. Ge. Vo. Ancona,5I401,partial,0
Seafood Expo Global,Coast Seafood AS,2E501,partial,0
Seafood Expo Global,Coast Tromso AS,2E501,partial,0
Seafood Expo Global,Coastal Alaska Premier Seafoods,5C401,partial,0
Seafood Expo Global,COCEDERO DE MARISCOS,2H501,partial,0
Seafood Expo Global,Coelho & Dias S.A.,4C501,partial,0
Seafood Expo Global,COFIMAR,5C601,partial,0
Seafood Expo Global,COFOODS PROCESSORS PRIVATE LIMITED,3I801,partial,0
Seafood Expo Global,Coldwater Prawns of Norway AS,2F401,partial,0
Seafood Expo Global,Comavicola Commerciale Avicola S.P.A.,5J700,partial,0
Seafood Expo Global,COMERCIAL ALKORTA ANAIAK S.L.,4F301,partial,0
Seafood Expo Global,Commerce Department of Hainan Province of P.R.C.,1A801,partial,0
Seafood Expo Global,Compagnie Francaise du Thon Oceanique (CFTO),3F801,partial,0
Seafood Expo Global,Compassion in World Farming International,1E501,partial,0
Seafood Expo Global,Conarpesa,3M601,partial,0
Seafood Expo Global,Conarpesa,5E701,partial,0
Seafood Expo Global,CONEGAN,2J601,partial,0
Seafood Expo Global,Conex Trade d.o.o.,2E701,partial,0
Seafood Expo Global,"Confremar, Congelados y Frescos del Mar, S.A.",2K600,partial,0
Seafood Expo Global,Congalsa SL,5F501,partial,0
Seafood Expo Global,"Congelados Basilio, S.A",4E300,partial,0
Seafood Expo Global,"Congelados Cientocinco, S.L.",5L501,partial,0
Seafood Expo Global,Congelados Noriberica S.A.,5F503,partial,0
Seafood Expo Global,"Congelados Sorymar, S.L.",4F301,partial,0
Seafood Expo Global,Congelados Y Especialidades Barrufet SL,2G501,partial,0
Seafood Expo Global,Connemara Seafoods,3E201,partial,0
Seafood Expo Global,Consejo Regulador do Mexillon de Galicia,4E301,partial,0
Seafood Expo Global,Conselleria do Mar- Xunta de Galicia,"4E301, 4E401, 4F401",partial,0
Seafood Expo Global,CONSERVAS ARTESANAS GALLEGAS,4E401,partial,0
Seafood Expo Global,Conservas Dani,4B500,partial,0
Seafood Expo Global,CONSERVAS DOÑA ROSARIO,4E401,partial,0
Seafood Expo Global,CONSERVAS LA BRÚJULA / RAMÓN PEÑA,4F401,partial,0
Seafood Expo Global,Conserverie Rio De Oro,2C501,partial,0
Seafood Expo Global,Conserveries Des Cinq Océans,3F801,partial,0
Seafood Expo Global,Conserveries Des Deux Mers,2B401,partial,0
Seafood Expo Global,CONSORZIO COOPERATIVE PESCATORI DEL POLESINE O.P. SCARL,5I401,partial,0
Seafood Expo Global,Consorzio OP Blue Sea del Gambero Rosso di Mazara del Vallo,5I401,partial,0
Seafood Expo Global,CONSORZIO PESCATORI DI GORO,5I401,partial,0
Seafood Expo Global,Contimax S.A.,4G501,partial,0
Seafood Expo Global,Cooke,3F201,partial,0
Seafood Expo Global,Cooke Aquaculture Scotland Ltd,3F201,partial,0
Seafood Expo Global,Coomarpes Ltda,5E701,partial,0
Seafood Expo Global,Cooperativa Pescatori Tortoli',5I401,partial,0
Seafood Expo Global,"Copemar, S.A.",4E301,partial,0
Seafood Expo Global,COPEMO SOC. COOP.,5I401,partial,0
Seafood Expo Global,Copernus Ltd,2B200,partial,0
Seafood Expo Global,"COPESMA CONGELADOS, SL",4F401,partial,0
Seafood Expo Global,Coprave,2C501,partial,0
Seafood Expo Global,COPROMAR,5I401,partial,0
Seafood Expo Global,Coral shpk,2A203,partial,0
Seafood Expo Global,Cornelis Vrolijk BV,3G601,partial,0
Seafood Expo Global,Cornelis Vrolijk Seafood,3G601,partial,0
Seafood Expo Global,Cornell Cooperative Extension of Suffolk County Marine Program,5F301,partial,0
Seafood Expo Global,Cornic-Novamer,3B601,partial,0
Seafood Expo Global,CORP DE INGENIERIA DE REFRIGERACION SRL,5D501,partial,0
Seafood Expo Global,Corporación Lanec,5B601,partial,0
Seafood Expo Global,Cosmofish S.A.,2J301,partial,0
Seafood Expo Global,Cosmos Foods,5D700,partial,0
Seafood Expo Global,CPF Culinar (PSPR),3F901,partial,0
Seafood Expo Global,CRIADEROS DE MARISCOS CRIMASA S.A.,5C501,partial,0
Seafood Expo Global,Croatian Chamber of Economy,2E701,partial,0
Seafood Expo Global,Cromaris d.d.,2E701,partial,0
Seafood Expo Global,Crusta C,4E400,partial,0
Seafood Expo Global,Crustalicious bv,5M403,partial,0
Seafood Expo Global,Crustimex,5L403,partial,0
Seafood Expo Global,Culmarex,3F201,partial,0
Seafood Expo Global,Cultimer France,3E801,partial,0
Seafood Expo Global,Cultivos Yadran,5M601,partial,0
Seafood Expo Global,CUTEFOODS (CHINA) LIMITED,5J601,partial,0
Seafood Expo Global,CV. BUANA LAUT NUSANTARA,1E407,partial,0
Seafood Expo Global,CVALE - Cooperativa Agroindustrial,4G600,partial,0
Seafood Expo Global,D & L Seafoods,4F501,partial,0
Seafood Expo Global,D'elite I&D International S.L.,2G501,partial,0
Seafood Expo Global,D. R. Collin & Son Ltd,2F601,partial,0
Seafood Expo Global,"Dae Chun Laver Co., Ltd.",2I401,partial,0
Seafood Expo Global,"Daechang Food Co., Ltd.",2I401,partial,0
Seafood Expo Global,"DAEJUNG FISHERY CO., LTD.",2I401,partial,0
Seafood Expo Global,Dalekomorska Organizacja Producentów Ryb Sp. z o.o.,4G501,partial,0
Seafood Expo Global,Dalga Seafood,2K201,partial,0
Seafood Expo Global,"Dalian Anxin Seafood Co., Ltd.",5K601,partial,0
Seafood Expo Global,Dalian Athena Seafood Limited,3K401,partial,0
Seafood Expo Global,"Dalian Fudao Aquatic Products and Food Co., Ltd",3J401,partial,0
Seafood Expo Global,"Dalian Gaishi Food Co., Ltd.",3L201,partial,0
Seafood Expo Global,"Dalian Gourmet Industry Co., Ltd",1D800,partial,0
Seafood Expo Global,Dalian Great Wall Food Co. Ltd,3L201,partial,0
Seafood Expo Global,"Dalian Haibao Foods Co., Ltd.",5I601,partial,0
Seafood Expo Global,"Dalian Haixiang Food Co., Ltd",4C201,partial,0
Seafood Expo Global,"Dalian Hengjia Food Co.,Ltd",3J401,partial,0
Seafood Expo Global,"Dalian Honghefeng International Trade Co., Ltd",4C201,partial,0
Seafood Expo Global,"Dalian Huaqi Food Co., Ltd.",3J201,partial,0
Seafood Expo Global,"Dalian Huashan Aquatic Product and Foods Co., Ltd.",3K201,partial,0
Seafood Expo Global,"Dalian Huayang Seafoods Co., Ltd.",3K201,partial,0
Seafood Expo Global,"Dalian Jinbaiwei Flour Products Co., Ltd",3M201,partial,0
Seafood Expo Global,"Dalian Jingbo Trading CO., LTD",2A601,partial,0
Seafood Expo Global,"Dalian Kingbrine Seafoods Co., Ltd",3K401,partial,0
Seafood Expo Global,"Dalian Kowa Foods Co.,Ltd",5I601,partial,0
Seafood Expo Global,"DALIAN LUCKY SEAFOOD CO., LTD.",3M301,partial,0
Seafood Expo Global,"Dalian Luweita Food Co., Ltd",3K201,partial,0
Seafood Expo Global,"Dalian Miaochi Supply Chain Management Co.,Ltd",3J201,partial,0
Seafood Expo Global,"Dalian Rich Enterprise Group Co., Ltd.",3L401,partial,0
Seafood Expo Global,"Dalian Rongchang Foodstuff Co., Ltd",1D800,partial,0
Seafood Expo Global,"Dalian Season Red Foods Co., LTD.",4C201,partial,0
Seafood Expo Global,"Dalian Shengsheng Food Co., Ltd.",5I601,partial,0
Seafood Expo Global,"Dalian Taifu Food Co., Ltd",4C201,partial,0
Seafood Expo Global,"Dalian Tailian Foods Co.,Ltd",5L601,partial,0
Seafood Expo Global,"Dalian Tianli Condiment Co., Ltd.",3K401,partial,0
Seafood Expo Global,"DALIAN TIANPENG FOOD CO., LTD.",3J201,partial,0
Seafood Expo Global,"Dalian Uni-Ocean Food Co., Ltd",5K601,partial,0
Seafood Expo Global,"Dalian Xintong Aquatic Food Co., Ltd",4B201,partial,0
Seafood Expo Global,"Dalian Yangyi Food Co., Ltd",2E301,partial,0
Seafood Expo Global,"Dalian Yingsheng Foods Co., Ltd.",3K201,partial,0
Seafood Expo Global,"Dalian Youlian Seafood Co., Ltd",2E201,partial,0
Seafood Expo Global,"Dalian Zhengjun Foodstuffs Co., Ltd",5J601,partial,0
Seafood Expo Global,"Dalian Zhihui Fishery Group Co.,Ltd",4B201,partial,0
Seafood Expo Global,"Dalian Zhudao Foodstuffs Co., Ltd.",5L601,partial,0
Seafood Expo Global,Damsa / Pelagic Pro,2B401,partial,0
Seafood Expo Global,Dana F. Besecker Co.,5C401,partial,0
Seafood Expo Global,"Dandong Ande Biotechnology Co., Ltd.",2A601,partial,0
