Company,Country,City,Category,Fair,Website,Email,Email_Status,Phone_WhatsApp,LinkedIn,Instagram,Facebook,Stand_Booth,Detail_URL,Notes
Actylis,United States of America,Port Washington,,IFT FIRST Expo 2026,https://www.actylis.com/,info@actylis.com,generic,+1 516-627-6000,https://www.linkedin.com/company/actylis,,,South Building — 4733,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01275193,
Acumatica,United States of America,Albuquerque,,IFT FIRST Expo 2026,https://simplyfoodsoftware.com/,info@simplyfoodsoftware.com,generic,https://api.whatsapp.com/send?text={URL},https://www.linkedin.com/company/simply-food-software,,https://www.facebook.com/simplyfoodsoftware,South Building — 317 — AI & Software Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01265473,
Aditya Chemicals,India,AHMEDABAD,,IFT FIRST Expo 2026,http://www.adityachemicals.in/,info@adityachemicals.in,generic,07926854545,,,,South Building — 1617,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01239412,
ADM/Matsutani LLC,United States of America,DECATUR,,IFT FIRST Expo 2026,https://fibersol.com/,,not_found,217-454-5200,,,,South Building — 703,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00200424,
"Advanced Ingredients, Inc.",United States,Minneapolis,,IFT FIRST Expo 2026,https://www.advancedingredients.com/,info@advancedingredients.com,generic,+31 85 0811071,https://www.linkedin.com/company/anderson-global-group,https://www.instagram.com/andersonadvancedingredients,https://www.facebook.com/AndersonAdvancedIngredients,South Building — 2007,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00022939,
AEMTEK Laboratories,United States of America,Freemont,,IFT FIRST Expo 2026,http://www.aemtek.com,,not_found,,,,,South Building — 4664,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01274803,
AFP Aseptic Fruit purees,United States of America,Alpharetta,,IFT FIRST Expo 2026,https://asepticfruitpurees.com/,info@asepticfruitpurees.com,generic,8009495137,https://www.linkedin.com/company/aseptirfruitindustry,,,South Building — 4625,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01266107,[generic]
Agostoni Chocolate,United States of America,Los Angeles,,IFT FIRST Expo 2026,https://www.icamchocolateus.com/,sales@agostonichocolate.com,generic,213.261.0057,https://www.linkedin.com/company/agostoni-chocolate-north-america,,,South Building — 1480,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01273105,
AGRANA Beteiligungs-AG,Austria,Vienna,,IFT FIRST Expo 2026,https://www.agrana.com,,not_found,43-1211370,https://www.linkedin.com/company/agrana,https://www.instagram.com/agrana_fruit.starch.sugar,https://www.facebook.com/AGRANA.Group,South Building — 1249 — Organic Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00867265,
Agridient  Inc,United States,Farmington Hills,,IFT FIRST Expo 2026,http://www.Agridient.com,info@agridient.com,generic,248 -539-3070,,,,South Building — 3450,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00657170,
AGT Foods,United States of America,Bismarck,,IFT FIRST Expo 2026,http://www.agtfoods.com,,not_found,+13065254490,https://www.linkedin.com/company/1400294,,https://www.facebook.com/agtfoods,South Building — 638,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00021802,
Agthia,United Arab Emirates,Abu Dhabi,,IFT FIRST Expo 2026,https://www.agthia.com/,,not_found,,https://ae.linkedin.com/company/agthiagroup,https://www.instagram.com/agthiagroup,https://www.facebook.com/AgthiaGroup,South Building — 4914,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00432313,
"AIDP, Inc.",United States,City Of Industry,,IFT FIRST Expo 2026,https://aidp.com/,,not_found,866-262-6699,https://www.linkedin.com/company/aidp-inc,,,South Building — 1170 — Organic Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00022036,
"Aiya America, Inc. (Aiya Matcha)",United States,Torrance,,IFT FIRST Expo 2026,https://aiya-america.com/,info@aiya-america.com,generic,+310-212-1386,https://www.linkedin.com/company/aiya-america-inc.,https://www.instagram.com/aiyamatcha,https://www.facebook.com/tr,South Building — 1773,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00071251,
AK NISASTA AS,Turkey,Kirklareli,,IFT FIRST Expo 2026,https://www.aknisasta.com.tr/en-US/,,not_found,+90 288 443 98 27,https://tr.linkedin.com/company/ak-ni-asta,https://www.instagram.com/aknisasta,https://tr-tr.facebook.com/ak.nisasta,South Building — 2979,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01032078,
Al Barakah Dates – Foodlinks,United Arab Emirates,Dubai,,IFT FIRST Expo 2026,https://albarakahdatesfactory.com/,info@albarakahdatesfactory.com,generic,+971 4 432 4751,https://www.linkedin.com/company/al-barakah-dates-factory-llc,https://www.instagram.com/albarakahdatesfactory,https://www.facebook.com/albarakahdates,South Building — 1970,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01210039,
Alcheme Bio,United States of America,San Marcos,,IFT FIRST Expo 2026,https://alchemebio.com/,contact@alchemebio.com,generic,,https://www.linkedin.com/company/alcheme-bio,,,South Building — ST16 — STARTUP Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01275881,
Alchemie Finechem Pvt Ltd,India,MUMBAI,,IFT FIRST Expo 2026,https://www.alchemie-finechem.com/,alchemie-finechem@aartigroup.com,named,+91-22-69436100,https://in.linkedin.com/company/alchemie-finechem,,,South Building — 1820,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01265469,
Alerlit Group Inc.,United States of America,San Antonio,,IFT FIRST Expo 2026,https://alerlitcacao.com/,,not_found,5969240505,https://www.linkedin.com/company/alerlit-cacao,https://www.instagram.com/alerlitcacao,https://www.facebook.com/alerlitcacao,South Building — 4853,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01275510,
Alfa-Ruby Inc.,United States of America,St. Louis,,IFT FIRST Expo 2026,https://alfa-ruby.com/,,not_found,,https://www.linkedin.com/company/alfa-ruby-inc,,,South Building — ST95 — STARTUP Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01271024,
ALG Products LLC,United States of America,Addison,,IFT FIRST Expo 2026,https://algproducts.com/,info@algproducts.com,generic,+1 773-630-8752,https://www.linkedin.com/in/mustapha-chellah-8a4307271,,,South Building — 4766,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00076392,
ALIANZA,United States of America,Durham,,IFT FIRST Expo 2026,https://alianzateam.us/,pexels-vlada-karpovich-4050366@2x.jpg,named,7709000,https://www.linkedin.com/showcase/alianzateameurope,,,South Building — 1417,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01197334,
All G,Australia,Waterloo,,IFT FIRST Expo 2026,https://www.allg.com/,info@allg.com,generic,https://api.whatsapp.com/send?text={URL},https://www.linkedin.com/company/all-g,https://www.instagram.com/allgco,,South Building — ST94 — STARTUP Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01207599,
Allied Biotech Europe GmbH,Germany,Karlsruhe,,IFT FIRST Expo 2026,https://www.altratene.com,allied@altratene.com,named,+886-2-2703-0209,https://www.linkedin.com/company/allied-biotech-corporation,,https://www.facebook.com/altratene,South Building — 3508,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00083659,
"Almendra Americas, LLC",United States of America,Riverview,,IFT FIRST Expo 2026,http://almendra.com,,not_found,813-343-3798,,,,South Building — 4003,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01168611,
Almond Board of California,United States,Modesto,,IFT FIRST Expo 2026,http://www.almonds.com/food-professionals,,not_found,(209) 549-8262,https://www.linkedin.com/company/almond-board-of-california,https://www.instagram.com/californiaalmonds,https://www.facebook.com/californiaalmonds,South Building — SPONSOR 1 — STARTUP Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00011934,
Aloha Medicinals,United States of America,Carson City,,IFT FIRST Expo 2026,https://alohamedicinals.com/,info@alohamedicinals.com,generic,775-886-6300,https://www.linkedin.com/company/aloha-medicinals,https://www.instagram.com/alohamedicinals,https://www.facebook.com/AmericanBotanicals,South Building — 1476,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01265471,
"ALS Food Safety, LLC.",United States,Marshfield,,IFT FIRST Expo 2026,http://alsglobal.com,,not_found,+1 281-575-2290,https://www.linkedin.com/company/als,,,South Building — 1870,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00000989,
Altnyx Enterprise Command System,Canada,Rigaud,,IFT FIRST Expo 2026,http://www.altnyx.com,,not_found,,,,,South Building — ST9 — STARTUP Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00087548,
Alvinesa Natural Ingredients,Spain,Ciudad Real,,IFT FIRST Expo 2026,https://www.alvinesa.com,sales@alvinesa.com,generic,+34 926 26 06 70,https://www.linkedin.com/company/alvinesanaturalingredients,,,South Building — 4215,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01222066,DM: Emma Dejonghe B - linkedin.com/in/emma-dejonghe-060b55136
Amalthea Bio,United States of America,Campo,,IFT FIRST Expo 2026,https://www.amaltheiatheplace.gr/,info@amaltheiatheplace.gr,generic,,,,,South Building — ST37 — STARTUP Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01266285,[generic]
Amano Enzyme USA,United States,Elgin,,IFT FIRST Expo 2026,https://www.amano-enzyme.com/,email@amano-enzyme.co.jp,named,847 -649-0101,https://jp.linkedin.com/company/amanoenzyme,,,South Building — 838,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00000193,
America Pampa Agroindustrial SA,Argentina,AMERICA,,IFT FIRST Expo 2026,http://www.americapampa.com,info@americapampa.com,generic,+54 02337-453139,https://ar.linkedin.com/company/am-rica-pampa-agroindustrial-sa,https://www.instagram.com/americapampaok,,South Building — 4753,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01100248,
American Custom Drying,United States of America,Burlington,,IFT FIRST Expo 2026,https://www.acdprocessing.com/about-us/,info@acdprocessing.com,generic,08016 100,https://www.linkedin.com/company/american-custom-drying,,,South Building — 2879,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00016465,
American Dairy Products Institute,United States,Elmhurst,,IFT FIRST Expo 2026,https://adpi.org/,info@adpi.org,generic,+16305308700,https://www.linkedin.com/company/american-dairy-products-institute,,,South Building — 4245,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00000215,
American Egg Board,United States,Chicago,,IFT FIRST Expo 2026,http://www.incredibleegg.org,media@aeb.org,generic,847.296.7043,https://www.linkedin.com/company/american-egg-board,https://www.instagram.com/incredibleegg,https://www.facebook.com/IncredibleEgg,South Building — 1976,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00000219,[generic]
"American Food Ingredients, Inc.",United States,Oceanside,,IFT FIRST Expo 2026,https://americanfoodingredients.com/,sales@americanfoodingredients.com,generic,760-967-6287,https://www.linkedin.com/company/4503752,https://www.instagram.com/amerfooding,https://www.facebook.com/americanfoodingredients,South Building — 3644,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00016999,
American Ingredients Inc,United States of America,Wood Dale,,IFT FIRST Expo 2026,http://americaningredientsinc.com/,,not_found,,,,,South Building — 1365 — Organic Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00555785,
"American Instants, Inc",United States of America,Flanders,,IFT FIRST Expo 2026,http://americaninstants.com,sales@americaninstants.com,generic,973-584-8811,,,,South Building — 871,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00000236,
American Key Food Products,United States of America,Closter,,IFT FIRST Expo 2026,https://akfponline.com/,,not_found,2006-2026,,,,South Building — 4137,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00058306,
American Lecithin Company,United States,Oxford,,IFT FIRST Expo 2026,https://americanlecithin.us/,info@americanlecithin.us,generic,203.262.7100,https://www.linkedin.com/company/american-lecithin-company,,,South Building — 3216,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00003064,
American Natural Processors,United States of America,Dakota Dunes,,IFT FIRST Expo 2026,https://americannaturalprocessors.com/,sales@americannaturalprocessors.com,generic,+1 605-242-6074,http://www.linkedin.com/company/american-natural-processors,,https://www.facebook.com/AmericanNaturalProcessors,South Building — 4849,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01181809,
Amerikoa Ingredients,United States of America,Naperville,,IFT FIRST Expo 2026,https://amerikoa.com/,sales@amerikoa.com,generic,7089675050,https://www.linkedin.com/company/amerikoa-ingredients-llc,,,South Building — 1657 — Organic Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01214735,[generic]
Ampco Pumps Company,United States,Glendale,,IFT FIRST Expo 2026,https://www.ampcopumps.com,,not_found,1(414)643-1852,https://www.linkedin.com/company/ampco-pumps,,,South Building — 4207,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00963348,
"Amtex Corp, S.A. De C.V.",United States,Lombard,,IFT FIRST Expo 2026,https://www.amtex-corp.com,,not_found,1(630)268-0085,,,,South Building — 3203,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00017473,
"Anchin, Block & Anchin LLP",United States of America,New York,,IFT FIRST Expo 2026,https://www.anchin.com/,daniel.parchment@anchin.com,named,212.840.3456,https://www.linkedin.com/company/anchin-block-&-anchin-llp,https://www.instagram.com/anchincpa,https://www.facebook.com/AnchinBlockandAnchin,South Building — 4716,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01273792,
"ANGEL YEAST CO.,LTD /  ANGEST INC",United States of America,Chicago,,IFT FIRST Expo 2026,https://en.angelyeast.com/products/yeast-baking-ingredients.html?gad_source=1&gad_campaignid=22623543764&gbraid=0AAAAA9WkfY-BAQCW9L8cwuNEFCOlhHFT8&gclid=CjwKCAjw1dLDBhBoEiwAQNRiQWXnvI6GF6HE71b1K9zx2xvIzsFMhUFX5jHCGmU74zw2oiQZWAU-fhoCazYQAvD_BwE,,not_found,2021-2024,https://www.linkedin.com/company/angel-yeast,https://www.instagram.com/angelyeast_asia,https://www.facebook.com/Angelyeast600298,South Building — 1237,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00117364,
"Anhui Jinhe Industrial Co., Ltd.",China,Anhui,,IFT FIRST Expo 2026,https://en.jinheshiye.com/,,not_found,11013889,,,,South Building — 3618,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00134924,
"ANHUI REAL INTERNATIONAL TRADE CO., LTD.",China,HEFEI,,IFT FIRST Expo 2026,http://www.realchemgroup.com,,not_found,29/05/2013,,,,South Building — 4820,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01274328,
Anton Paar,United States,Ashland,,IFT FIRST Expo 2026,https://www.anton-paar.com/us-en/products/,info.us@anton-paar.com,generic,+1 804 550-1051,https://www.linkedin.com/company/anton-paar-usa,,,South Building — 1865,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00017622,
AOI Matcha,United States,Huntington Beach,,IFT FIRST Expo 2026,https://aoimatcha.com/,info@stagheaddesigns.com,generic,1(714)841-2716,,,,South Building — 3551,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00175247,[generic]
APAC Chemical Corp,United States,Monrovia,,IFT FIRST Expo 2026,http://www.apacchemical.com/,sales@apacchemical.com,generic,626 203-0066,,,https://www.facebook.com/apacchemical,South Building — 3510,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00060237,
Applied Food Sciences,United States,Kerrville,,IFT FIRST Expo 2026,https://appliedfoods.com/,info@appliedfoods.com,generic,800-345-9666,https://www.linkedin.com/company/appliedfoodsciences,https://www.instagram.com/appliedfoodsciences,,South Building — 1414,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00084677,
Aptean,United States of America,Alpharetta,,IFT FIRST Expo 2026,https://www.aptean.com/en-US/solutions/plm,info@aptean.com,generic,855-411-2783,https://www.linkedin.com/company/aptean,,https://www.facebook.com/Aptean,South Building — 111 — AI & Software Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01220370,
Apura Ingredients,United States,Las Vegas,,IFT FIRST Expo 2026,http://www.apuraingredients.com,,not_found,909 364-1158,https://www.linkedin.com/company/apura-ingredients,https://www.instagram.com/apuraingredientsinc,https://www.facebook.com/apuraingredients,South Building — 618,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00937217,
Aqua Theon Inc.,United States of America,Torrance,,IFT FIRST Expo 2026,https://aquatheon.com/,xxx@aquatheon.com,named,,https://www.linkedin.com/company/aquatheon,,,South Building — ST63 — STARTUP Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01274986,
Ardent Mills,United States,Denver,,IFT FIRST Expo 2026,https://www.ardentmills.com/,,not_found,80202 800-851-9618,https://www.linkedin.com/company/ardent-mills,,https://www.facebook.com/ArdentMills,South Building — 614,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00206703,
Arise Nutrition,United States of America,Wisconsin Rapids,,IFT FIRST Expo 2026,http://www.arisenutrition.com,,not_found,,,,,South Building — ST33 — STARTUP Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01160719,
Armfield Ltd,United Kingdom,Ringwood,,IFT FIRST Expo 2026,https://www.armfield.co.uk,sales@armfield.co.uk,generic,https://api.whatsapp.com/send?text=https%3A%2F%2Farmfield.co.uk,https://www.linkedin.com/company/1099303/admin/page-posts/published,,https://www.facebook.com/ArmfieldSocialMedia,South Building — 3825,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00074053,
Arnhem Group,United States,Westfield,,IFT FIRST Expo 2026,https://www.arnhemgroup.com/,,not_found,908-709-4045,,,,South Building — 4105,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00017345,
Aromatech,United States of America,Orlando,,IFT FIRST Expo 2026,https://aromatechgroup.com/business-units/aromatech-flavorings-usa/,marketing@aromatechus.com,generic,4072775727,https://www.linkedin.com/showcase/aromatech-usa,,,South Building — 4518,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00117141,
ASALYA FOOD INGREDIENTS PVT LTD,India,Gujarat,,IFT FIRST Expo 2026,https://asalya.in,,not_found,+91 79 29602609,,,https://www.facebook.com/pages/Accura-Group/366118946795220,South Building — 1375,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01268711,
Ascend Biotech LLC,United States of America,Florham Park,,IFT FIRST Expo 2026,http://www.sinolion.com,info@sinolion.com,generic,+86 021-64959899,,,,South Building — 238,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01262549,
Attribute Analytics,United States of America,Chicago,,IFT FIRST Expo 2026,https://www.attributeanalytics.com,user@domain.com,named,,,,http://www.facebook.com/2008/fbml,South Building — ST10 — STARTUP Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01186095,
Austrade Inc,United States,Tequesta,,IFT FIRST Expo 2026,https://austradeinc.com/,info@austradeinc.com,generic,1997-2026,https://www.linkedin.com/company/austrade-inc,https://www.instagram.com/austradeinc,https://www.facebook.com/austradeinc,South Building — 3008,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00023461,
Avebe U.A.,Netherlands,Veendam,,IFT FIRST Expo 2026,https://www.avebe.com/,info@avebe.com,generic,https://wa.me/?text=https%3A%2F%2Fwww.avebe.com%2F,https://nl.linkedin.com/company/avebe,https://www.instagram.com/royalavebe,,South Building — 1614,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00115364,
Aveka Group,United States of America,Woodbury,,IFT FIRST Expo 2026,http://www.aveka.com,,not_found,+18883173700,https://www.linkedin.com/company/aveka,https://www.instagram.com/avekagroup,https://www.facebook.com/avekagroup,South Building — 1969,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00080986,
BABA SIDI Herbs,Morocco,Marrakech,,IFT FIRST Expo 2026,http://www.babasidiherbs.com,,not_found,+212 661-340308,https://www.linkedin.com/company/baba-sidi-herbs,https://www.instagram.com/baba_sidi_herbs,https://www.facebook.com/Baba.Sidi.Herbs.Morocco,South Building — 1443,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=01272046,
Balchem Corporation,United States,Montvale,,IFT FIRST Expo 2026,https://balchem.com/contact/,communications@balchem.com,generic,845 326-5600,https://www.linkedin.com/company/balchem-corporation,,https://www.facebook.com/BalchemCorp,South Building — 1407,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00096836,
"Baolingbao Biology Co., Ltd",China,Yucheng,,IFT FIRST Expo 2026,http://www.blb-cn.com/,,not_found,12005944,,,,South Building — 1457 — Organic Pavilion,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00152972,
Barentz,Canada,Burlington,,IFT FIRST Expo 2026,https://www.barentz-na.com/,,not_found,440.937.1000,https://www.linkedin.com/company/barentz,,,South Building — 1310,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00132994,
Barrington Nutritionals,United States of America,Harrison,,IFT FIRST Expo 2026,https://www.barringtonnutritionals.com/,sales@barringtonnutritionals.com,generic,,https://www.linkedin.com/company/barrington-nutritionals/mycompany,,http://www.facebook.com/2008/fbml,South Building — 4570,https://ift26.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=00000535,
