Company,Country,City,Category,Fair,Website,Email,Phone_WhatsApp,LinkedIn,Instagram,Stand_Booth,Detail_URL,Notes,Facebook,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score
AD'OCC SUD DE FRANCE DEVELOPPEMENT,France,perols,,Summer Fancy Food Show 2026,https://www.agence-adocc.com,contact@agence-adocc.com,33499642922,https://www.linkedin.com/company/adocc,,Level 3 — 832B — France,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=316327,,https://www.facebook.com/VoyageOccitanie,,,,,,,partial,2
Adam Foods,Spain,"Orozko, Vizcaya",,Summer Fancy Food Show 2026,https://adamfoods.com/,,+34933659116,https://www.linkedin.com/company/adam-foods,,Level 1 — 5372 — Spain,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348350,,,,,,,,,partial,1
"Adams & Brooks, Inc.",United States,San Bernardino,,Summer Fancy Food Show 2026,http://www.adams-brooks.com,,712-360-0320,,,"Level 3 — 2341 — Confectionery, Snacks and Sweets Pavilion",https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=1705,,,,,,,,,partial,1
ADI APICOLTURA - PASTIFICIO CAV. COCCO,Italy,TORNARECCIO,,Summer Fancy Food Show 2026,https://www.adiapicoltura.it/,info@adiapicoltura.it,00390872868160,https://www.linkedin.com/company/adi-apicoltura,https://www.instagram.com/adiapicoltura,Level 3 — 3307 — Italy,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=315149,,https://www.facebook.com/adiapicoltura,,,,,,,partial,2
ADKO,Brazil,São Paulo,,Summer Fancy Food Show 2026,https://www.adko.com.br/,sac@adko.com.br,https://wa.me/5511976063985,,,Level 3 — 128B — Brazil,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=347963,,,,,,,,,partial,2
Adnan Khudari And Sons Trading Co.,Jordan,Amman,,Summer Fancy Food Show 2026,https://www.khudari.com,info@khudari.com,https://api.whatsapp.com/send?phone=962796400259,https://jo.linkedin.com/company/blue-milll,https://www.instagram.com/bluemill.jo,Level 3 — 1421 — Jordan,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=305829,,https://www.facebook.com/bluemilljo,,,,,,,partial,2
Aegean Exporters' Associations,Turkey,Alsancak/Izmir,,Summer Fancy Food Show 2026,http://www.eib.org,info@eib.org,+90 232 488 60 44,https://www.linkedin.com/company/european-investment-bank,https://www.instagram.com/europeaninvestmentbank,Level 3 — 1600 — Turkey,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=132490,,https://www.facebook.com/EuropeanInvestmentBank,,,,,,,partial,2
AEGEAN FISHERY AND ANIMAL PRODUCTS EXPORTERS' ASSOCIATION,Turkey,İZMİR,,Summer Fancy Food Show 2026,https://eib.org.tr/,,(90) 533-894 75 28,https://www.linkedin.com/company/10862137,https://www.instagram.com/egeihracatci,Level 3 — 1722 — Turkey,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=313454,,https://www.facebook.com/egeihracatci,,,,,,,partial,1
aficio22,United States,San Diego,,Summer Fancy Food Show 2026,https://aficio22.com/,,+18582611775,,,Level 3 — 1156,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=343829,,,,,,,,,partial,1
Agape Energy Inc,United States,West Lawn,,Summer Fancy Food Show 2026,https://www.drinkagapeenergy.com,,+16107873182,,,Level 1 — 6346 — Indiana,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=349129,,,,,,,,,partial,1
Aghati For Sweets & Ice Cream Co. Ltd.,Jordan,Amman,,Summer Fancy Food Show 2026,https://www.aghatisweets.com/,order@aghatisweets.com,+962 6 489 4004,,https://www.instagram.com/aghatisweets,Level 3 — 1431 — Jordan,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=335650,,,,,,,,,partial,2
Agri-Food Export Group Quebec-Canada,Canada,Sainte-Julie,,Summer Fancy Food Show 2026,http://www.groupexport.ca/,info@groupexport.ca,(450) 649-6266,https://www.linkedin.com/company/groupexport,,Level 1 — 5056 — Canada,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=133442,,,,,,,,,partial,2
Agricultural Corp. Humanwell Co.,South Korea,Daegu,,Summer Fancy Food Show 2026,https://www.humanwell.co.kr/,,+82536523341,,,Level 1 — 5074 — Korea,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=342410,,,,,,,,,partial,1
AGRIDEAVALLILLO SRL,Italy,SERRACAPRIOLA,,Summer Fancy Food Show 2026,https://www.vallillo.it/,info@vallillo.it,+393883456472,,https://www.instagram.com/azienda_vallillo,Level 3 — 2514 — Italy,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348453,,https://www.facebook.com/aziendaVallillo,,,,,,,partial,2
Agrimontana Intl.,Monaco,Monaco,,Summer Fancy Food Show 2026,http://www.agrimontana-international.com/,,310-988-5141,,https://instagram.com/agrimontana,Level 1 — 5039 — Italy,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=178239,,https://www.facebook.com/Agrimontana,,,,,,,partial,1
Agritalia,Italy,Naples,,Summer Fancy Food Show 2026,https://www.agritalia.com/,marketing@agritalia.com,+393486550806,,,Level 3 — 2532 — Italy,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=301386,,,,,,,,,partial,2
Agrocorp for Agriculture Investment,Egypt,cairo,,Summer Fancy Food Show 2026,http://www.foodyusa.net,export@agrocorp.net,+20223584014,,,Level 3 — 311 — Egypt,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348429,,,,,,,,,partial,2
Agroland S.A.,Uruguay,Montevideo,,Summer Fancy Food Show 2026,https://colinasdegarzon.com/,,+598 27121111,,https://www.instagram.com/colinasdegarzon,Level 3 — 1157,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=101919,,https://www.facebook.com/tr,,,,,,,partial,1
Agroliva-USA,United States,Oakdale,,Summer Fancy Food Show 2026,https://www.agrolivausa.com,,2166006616,,,Level 3 — 2771,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=347365,,,,,,,,,partial,1
AGRONEGOCIOS WIRACCOCHA DEL PERU,Peru,SAN BORJA,,Summer Fancy Food Show 2026,https://www.wiraccocha.com,,51933896431,,,Level 1 — 5375 — Peru,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=315981,,,,,,,,,partial,1
AGROSEVILLA,Spain,Sevilla,,Summer Fancy Food Show 2026,http://www.agrosevilla.com,,3434954251400,,,Level 3 — 2319 — Spain,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=312900,,,,,,,,,partial,1
AGROVER S.R.L.,Italy,Lignana,,Summer Fancy Food Show 2026,https://www.agrover.it,info@agrover.it,390161344008,,,Level 3 — 3313 — Italy,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=317460,,,,,,,,,partial,2
Agrovim Sa,Greece,Kalamata,,Summer Fancy Food Show 2026,https://www.agrovim.gr/,infoagro@agrovim.gr,0030 2106423614,https://gr.linkedin.com/company/agro-vi-m-s-a-,https://www.instagram.com/iliada_olive_oil,Level 3 — 1931 — Greece,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=25758,,https://www.facebook.com/iliada.evoo,,,,,,,partial,2
Agthia Group Egypt,Egypt,Sadat City,,Summer Fancy Food Show 2026,http://www.agthia.com,,+201010033110,https://ae.linkedin.com/company/agthiagroup,https://www.instagram.com/agthiagroup,Level 3 — 313 — Egypt,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=342234,,https://www.facebook.com/AgthiaGroup,,,,,,,partial,1
AHMED FOODS PVT. LTD.,Pakistan,Karachi,,Summer Fancy Food Show 2026,https://ahmedfood.com/,info@ahmedfood.com,+92 313 2548928,https://www.linkedin.com/company/ahmedfoods,https://www.instagram.com/ahmedfoodsofficial,Level 1 — 5178 — Pakistan,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=349087,,https://www.facebook.com/AhmedFoodsOfficial,,,,,,,partial,2
AHMED MOHAMED ABDELGHANI AND HIS PARTNERS,Egypt,Sadat,,Summer Fancy Food Show 2026,https://www.mundo-eg.com/,,+201070706591,,,Level 1 — 3618,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348818,,,,,,,,,partial,1
AHMETOGLU KONSERVE TAR. VE GIDA,Turkey,AYDIN,,Summer Fancy Food Show 2026,https://ahmetoglugida.com/,info@ahmetoglugida.com,(90) 532 469 92 09,https://www.linkedin.com/company/ahmeto-lu-konserve,https://www.instagram.com/ahmetoglukonserve,Level 3 — 1821 — Turkey,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=317796,,https://www.facebook.com/p/Ahmetoglu-Konserve-100054764259690,,,,,,,partial,2
"Air Products and Chemicals, Inc.",United States,Allentown,,Summer Fancy Food Show 2026,https://www.airproducts.com/,,+18006544567,https://www.linkedin.com/company/air-products,https://www.instagram.com/airproductsglobal,Level 3 — 2581,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=347172,,https://www.facebook.com/airproducts,,,,,,,partial,1
Aiya Matcha,United States,Torrance,,Summer Fancy Food Show 2026,https://www.aiya-america.com,Info@aiya-america.com,310-212-1395,,https://www.instagram.com/aiyamatcha,Level 1 — 5627 — Beverage Pavilion,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=102660,,https://www.facebook.com/tr,,,,,,,partial,2
AKCELEP PAMUK GIDA TARIM URN. TEKS. TURZ. SAN. TIC. ITH. IHR. LTD. STI.,Turkey,IZMIR,,Summer Fancy Food Show 2026,https://akcelep.com.tr/,akcelep@akcelep.com.tr,(90) 545-656 37 46,,,Level 3 — 1720 — Turkey,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348191,,,,,,,,,partial,2
Akhmeta Wine Cellar,Georgia,Tbilisi,,Summer Fancy Food Show 2026,https://www.awc.ge,,995595100594,,,Level 3 — 2304 — Georgia,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348217,,,,,,,,,partial,1
Aki Foods Japan,United States,Irvine,,Summer Fancy Food Show 2026,https://akifoodsjapan.com/,,949-878-2851,,,Level 1 — 5912,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=321821,,,,,,,,,partial,1
Aksu Foods Company,United States,New York,,Summer Fancy Food Show 2026,https://xacacantina.com/,,+13108670954,,,Level 3 — 1155,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=344305,,,,,,,,,partial,1
AKSU GIDA MAD. IML. SAN. VE TIC. LTD. ST,Turkey,KONYA,,Summer Fancy Food Show 2026,https://aksufood.com.tr/,,(90) 507-518 49 44,,,Level 1 — 4863 — Turkey,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=342102,,,,,,,,,partial,1
Aktaslar Lezzet Grubu Gida AS,Turkey,Ordu,,Summer Fancy Food Show 2026,https://www.aktaslardondurulmuslezzetler.com/,,+905380242884,https://www.linkedin.com/company/akta%C5%9Flar-lezzet-grubu-gida-anoni%CC%87m-%C5%9Fi%CC%87rketi%CC%87,https://www.instagram.com/aktaslar1981,Level 1 — 5553,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=344164,,https://www.facebook.com/tr,,,,,,,partial,1
"Al & John, Inc.",United States,West Caldwell,,Summer Fancy Food Show 2026,http://www.glenrockhams.com,,+19735217928,,,Level 1 — 5770,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=349156,,,,,,,,,partial,1
Al Barakeh Food Industries,Jordan,Amman,,Summer Fancy Food Show 2026,https://albarakehfood.com,Info@albarakehfood.com,00962795331200,,,Level 3 — 1427 — Jordan,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348328,,,,,,,,,partial,2
"Al Dente, Inc.",United States,Saginaw,,Summer Fancy Food Show 2026,http://www.aldentepasta.com,,+17344498522,,,Level 1 — 5233,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=1578,,,,,,,,,partial,1
Al Farah Chocolate Manufacturing,Jordan,Amman,,Summer Fancy Food Show 2026,https://alfarah.jo,INFO@ALFARAH.JO,96264626656,,,Level 3 — 1424 — Jordan,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=343083,,,,,,,,,partial,2
Al Haj Mahmoud Habibah & Sons,Jordan,Amman,,Summer Fancy Food Show 2026,https://habibahsweets.com/,info@habibahsweets.com,962795550963,,https://www.instagram.com/habibah_sweets,Level 3 — 1533 — Jordan,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=343074,,https://www.facebook.com/tr,,,,,,,partial,2
Al Lazeeza For Invistment,Jordan,Amman,,Summer Fancy Food Show 2026,http://allazeeza.com.jo,,00962790784546,,,Level 3 — 1324 — Jordan,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348325,,https://www.facebook.com/AllazeezaChocolateFactory,,,,,,,partial,1
Al Nejmah Sweets - Ramadan Abu Lebbeh & Sons Co. L. T. D,Jordan,Marka,,Summer Fancy Food Show 2026,https://alnejmah.com,,962790524018,,,Level 3 — 1519 — Jordan,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=343082,,https://www.facebook.com/tr,,,,,,,partial,1
Al Sakr For Food Industries Co.,Egypt,Alexandria,,Summer Fancy Food Show 2026,https://www.sakrgroup.net,,+203 5232136,https://ae.linkedin.com/company/sakr-group-for-international-investment,https://instagram.com/sakrgroup,Level 3 — 220 — Egypt,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=316702,,https://www.facebook.com/AlSakrGroup,,,,,,,partial,1
AL WAHAB RICE MILLS PVT LTD,Pakistan,GUJRANWALA,,Summer Fancy Food Show 2026,https://www.alwahabrice.com/,,92 308 8882506,,,Level 3 — 3351,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=343049,,,,,,,,,partial,1
Al Zaytouneh for Chocolate - Tops,Jordan,Amman,,Summer Fancy Food Show 2026,http://topschocolate.com,info@topschocolate.com,00962796959525,,https://www.instagram.com/topschocolatejo,Level 3 — 1429 — Jordan,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=348327,,https://www.facebook.com/TopsChocolateJo,,,,,,,partial,2
"Alberto's Food Products, Inc.",United States,Stillwater,,Summer Fancy Food Show 2026,https://www.albertosbrand.com,albertosrelish@att.net,+12818934776,,https://www.instagram.com/albertossweetjalapenorelish,Level 1 — 6257 — Oklahoma,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=347174,,https://www.facebook.com/Albertossweetjalapenorelish,,,,,,,partial,2
Alcar Uno s.p.a.,Italy,Castelnuovo Rangone,,Summer Fancy Food Show 2026,https://www.alcaruno.it/,,+39059534711,,,Level 3 — 2529 — Italy,https://sff2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=314694,,,,,,,,,partial,1
