name,rewriteId,detail_url,country,province,city,zip,street,building,phone,fax,email,homepage,short_description,description,halls,stands,zones,exhibitor_programs,product_categories,usage_areas,product_end_uses,keywords,tags,brands,facebook,instagram,linkedin,twitter,youtube,tiktok,pinterest,wechat,weibo,whatsapp,logo,last_approval
3D Dekoratif Esya San. ve Tic. Ltd. Sti.,3d-dekoratif-esya-san-ve-tic-ltd-sti,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/3d-dekoratif-esya-san-ve-tic-ltd-sti.html,Türkiye,,Pendik / Istanbul,34906,Ramazanoglu Mah. Ensar Cad. No: 6/1,No: 6/1,+90 216 583 04 70,+90 216 583 04 81,sales@3dglassware.com,https://www.3dglassware.com,,"3D Glassware is a leading manufacturer and supplier of fused glassware, based in Istanbul, Turkiye since 1998. Collection...",12.0,H12.0-D25,,HoReCa,Table & Table Select,,,Tabletop; Tableware; Dinnerware; Glassware; Serveware,,,https://www.facebook.com/3D-GLASSWARE-138676939480248/,https://www.instagram.com/3dglassware/,https://www.linkedin.com/company/3d-glassware/,,,,,,,,,2025-11-24T12:36:55
"3DC - Intelligent Nature, Lda.",3dc---intelligent-nature-lda,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/3dc---intelligent-nature-lda.html,Portugal,,Pacos de Brandao,4535-516,Zona Industrial do Pousado 67,,+351 22 081 8002,+351 22 081 8003,snunes@3dcork.com,http://www.3dcork.com/,,Certified B Corp From Nature to You – We Make It Happen!Made in Portugal. Intelligent Nature. 3DCORK is a trailblazing Portuguese...,3.1,H3.1-H19,,Ethical Style by Ambiente; Hospitality Interiors,Interior Design,,,sustainable; natural; recyclable; cork homeware; cork,,,,https://www.instagram.com/3dcork/,,,,,,,,,,2025-11-19T17:27:55
"3G Resins, Sociedade Unipessoal Lda",3g-resins-sociedade-unipessoal-lda,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/3g-resins-sociedade-unipessoal-lda.html,Portugal,,Tabuacas,4850-422,"Lote 7, Parque Industrial Das Cerdeirinhas 379 Vieira Do Minho","Lote 7,",+351 910 047 709,,gr@3gresins.com,https://www.3gresins.com,,Portuguese Producer of Garden and Contract Furniture.,3.0,H3.0-G21,,,Interior Design,,,Sunbeds; chairs; tables; flower pots; umbrellas,,,https://www.facebook.com/3G-Resins-Lda-1330038187154083,,,,,,,,,,,2025-12-09T10:32:28
4 Seasons Collections,4-seasons-collections,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/4-seasons-collections.html,India,,Firozabad,283203,"122/7 Mohamadpur, Circular Road",,+91 95681 60666,,imran@4seasonscollections.com,,,We bring artifacts from India to you! 4 Seasons Collections is a sister concern company of Reda Resources (Hall 10.4 Stand...,10.4,H10.4-B24,,,Table & Table Select,,,"Glass vases, Glass t-light holders; Glass candle pillar holders, Glass X-mas ornaments; Glass lanterns, Glass coffee tables; Glass domes with wooden platter; Glass hurricanes with wooden stand",,,,,,,,,,,,,,2025-11-11T11:35:10
4Everyware B.V.,4everyware-bv,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/4everyware-bv.html,Netherlands,,Moergestel,5066 GJ,De Sonman 30,,,,info@4everyware.nl,https://www.4everyware.nl,,"A world of opportunities with 4Everyware 4everyware revolutionizes overstock management, delivering economic and environmental...",9.3,H9.3-D40,,,Cook & Cut; Global Sourcing Dining,,,overstock; sourcing; household items; cookware; trade,,,https://www.facebook.com/4EverywareNL,https://www.instagram.com/4everyware,https://www.linkedin.com/company/4everyware,,,,,,,,company_pictures/10000001202601/480837/1765960279708_2899549708.jpg,2025-12-20T11:56:03
5g Group Plastik Metal Sanayi Ve Ticaret Limited Sirketi,5g-group-plastik-metal-sanayi-ve-ticaret-limited-sirketi,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/5g-group-plastik-metal-sanayi-ve-ticaret-limited-sirketi.html,Türkiye,,Kayseri,38210,O.S.B. Karpuzsekisi Mah. 57 Cad. No. 5,Cad. No. 5,+90 533 913 43 05,,export@elmop.com,,,"It is a manufacturer and supplier of cleaning products produced in Kayseri Organized Industrial Zone in 2004, with the power...",9.3,H9.3-D98B,,,,,,cleaningproducts; mopwiperhandle; housewarehousehold; dishrackbathrackvegetablerack; kicthenware,,,,,,,,,,,,,,2026-03-08T05:26:25
A AND A RESORTWEAR LLP,a-and-a-resortwear-llp,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/a-and-a-resortwear-llp.html,India,,"Noida, U.P.",201301,E-39 Sector-8,,+91 120 242 4628,,office@aanda.net.in,,,,10.1,H10.1-D67,,,,,,,,,,,,,,,,,,,,2025-10-17T08:26:54
A Casa K SAS di B.G. Abdelnasser,a-casa-k-sas-di-bg-abdelnasser,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/a-casa-k-sas-di-bg-abdelnasser.html,Italy,Firenze,Calenzano,50041,Via Paisiello 17/D,,+39 055 051 4455,+39 055 872 0629,acasaksas@gmail.com,https://www.facebook.com/acasak98/?locale=it_IT,,,3.1,H3.1-J19D,,,,,,,,,,,,,,,,,,,,2026-03-08T05:07:32
A Dong Crafts Import & Export JSC,a-dong-crafts-import--export-jsc,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/a-dong-crafts-import--export-jsc.html,Vietnam,,Hanoi,100000,P.2112- G3 Bldg.- Vinhomes Greenbay No. 7 Dai Lo Thang Long Dai Mo Ward,P.2112- G3 Bldg.- Vinhomes Greenbay,+84 98 384 99 29,,info@adcrafts.vn,https://www.adcrafts.vn,,We specialize in manufacturing and exporting traditional handmade products made from natural and eco-friendly materials such...,10.4,H10.4-D69,,,"Urban Gifts, Stationery & School",,,bamboo product; rattan product; crafts item; home decoration; home interior,,,,,,,,,,,,,,2026-01-13T04:22:44
"A Metalurgica - Bakeware Production, SA",a-metalurgica---bakeware-production-sa,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/a-metalurgica---bakeware-production-sa.html,Portugal,,Campo Valongo,4440-103,"Rua Alto da Mina 551, Zona Industrial",,+351 22 415 6989,+351 22 415 5167,euroform@ametalurgica.pt,https://www.ametalurgica.pt,,A Metalúrgica Bakeware Production SA was created in 1896 and has always been a family-owned company. It is world leader on...,9.0,H9.0-D80,,,Modern Kitchen & Baking,,,Non-stick; Cakes; Moulds; Bakeware; Metalic,,,https://www.facebook.com/AMetalurgica,https://www.instagram.com/ametalurgica/,https://www.linkedin.com/company/a-metal-rgica-bakeware-production-sa,https://twitter.com/ametalurgicasa,https://www.youtube.com/channel/UCJkO5LdFoQ7FlSHpV65nvRg,,,,,,,2025-12-09T10:43:12
"A+ Partner International Co., Ltd.",iboost-technology-limited-co,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/iboost-technology-limited-co.html,Taiwan,,Taipei,114,"7F, No. 118, Sec. 1, Neihu Road, Neihu District",,+886 2 8797 6899,+886 2 8797 6949,kerry@apluspartner.com,https://www.aplus-partner.com,,"We are specialized in Houseware & Storaging Products. Such as Clothes Hanger, Kitchen Storaging Baskets, Home Deco Items...",11.1,H11.1-G70B,,,Clean Home & Storage Solutions,,,Metal Baskets; Storage Baskets; Kitchen Baskets; Picnic Baskets; Wind Chime,,,,,,,,,,,,,,2025-12-01T11:15:52
A-Journal B.V.,a-journal-bv,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/a-journal-bv.html,Netherlands,,Rotterdam,3051 BE,Straatweg 18b,,+31 6 15833724,,info@a-journal.nl,https://www.a-journal.nl,,,3.1,H3.1-C71,,,,,,,,,,https://www.instagram.com/ajournalofficial,,,,,,,,,,2026-03-08T05:06:36
"A. M. de Almeida e Silva & Filho, Lda",a-m-de-almeida-e-silva--filho-lda,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/a-m-de-almeida-e-silva--filho-lda.html,Portugal,,Estarreja,3860-218,"Ecoparque Empresarial de Estarreja, Rua de Canelas N2 Aveiro",,+351 234 840 270,,geral@sibina.com,https://sibina.com/,,,9.2,H9.2-A73B,,,,,,,,,https://www.facebook.com/sibinapartners/,https://www.instagram.com/sibinapartners/,http://www.linkedin.com/company/sibinapartners,,,,,,,,,2025-12-09T10:40:02
A. Marchon SA,a-marchon-ag,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/a-marchon-ag.html,Switzerland,,Rossens FR,1728,Route de Montena 67,,+41 26 460 88 99,+41 26 460 88 89,info@marchon.ch,https://www.marchon.ch,,A. Marchon SA – Swiss Expertise in Non-Food for Over 80 Years A. Marchon SA is a leading Swiss company specializing in the...,9.0,H9.0-C31,,,Cook & Cut; Modern Kitchen & Baking,,,Distribution; Innovation; Küchenhelfer; Logistik & Supply Chain; Haushaltswaren,,,https://www.facebook.com/privacy/explanation,https://www.instagram.com/legal/privacy/,,https://twitter.com/privacy,,,,,,,company_pictures/10000001202601/457892/1764143542174_726908742.png,2025-12-05T10:26:03
A. Z Metals Inc.,a-z-metals-inc,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/a-z-metals-inc.html,India,,Moradabad,244001,Tajpur Mafi Street Village Tajpur Mafi,,+91 99108 66544,,arfatnawaz@gmail.com,https://www.azmetalsinc.com,,"At A.Z Metals, Inc., we believe that every home tells a story, and décor is the language that brings it to life. Established...",10.4,H10.4-D09,,,,,,Garden decor; Metal Planters; Iron Pots; Vases; Christmas Decor,,,,,,,,,,,,,,2025-12-10T16:17:33
A.L. Paper House LLP,al-paper-house-llp,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/al-paper-house-llp.html,India,,Jaipur,302029,"Near Tempo Stand, Shikarpura Road",,+91 98290 11701,+91 141 273 0403,imran@alpaperhouse.com,https://www.alpaperhouse.com,,,10.2,H10.2-F60B,,,,,,,,,,,,,,,,,,,,2026-01-21T09:21:22
A.R.I.R. S.A.S. Boggio di Zanon Maria Vittoria,arir-sas-boggio-di-zanon-maria-vittoria,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/arir-sas-boggio-di-zanon-maria-vittoria.html,Italy,Asti,Antignano,14010,Strada Montrucchio 23,,+39 0141 205135,+39 0141 205281,info@arir.com,https://www.arir.com,,"Founded in 1968, the ARIR brand was a pioneer in 1978 with the creation of the ""spittoon"" concept. Today, the company specializes...",9.0,H9.0-A53,,,Clean Home & Storage Solutions; Top Deals & Collections,,,Bucket; Bowl; Glacette; Cooler; Ice bucket,,,,https://www.instagram.com/arir1968/,,,,,,,,,,2025-11-18T11:01:18
A.U Maison,au-maison,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/au-maison.html,Denmark,,Hammel,8450,Norgesvej 13,,+45 87 62 20 16,+45 87 62 20 16,sales@eja.dk,https://www.aumaison.dk,,,3.0,H3.0-B10,,,,,,,,,,,,,,,,,,,,2025-10-30T10:25:13
A.W. Faber-Castell Vertrieb GmbH,aw-faber-castell-vertrieb-gmbh,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/aw-faber-castell-vertrieb-gmbh.html,Germany,,Stein,90546,Nürnberger Str. 2,,+49 911 99650,+49 911 99655760,info@faber-castell.de,https://www.faber-castell.de,,Faber-Castell moves people to unleash their creative potential. The world-renowned brand owes its charisma to high quality...,4.2,H4.2-D02,,Ethical Style by Ambiente,"Urban Gifts, Stationery & School",,,Writing Instruments / Schreibgeräte; Fine Artists' Quality / Hochwertige Künstlermaterialien; Schule & Gen-Z / School & Gen-Z; Luxuriöses Schreiben / Luxury Writing Instruments,,,,https://www.instagram.com/fabercastelldeutschland/,,,https://www.youtube.com/user/FaberCastellGroup,,,,,,,2026-01-28T15:21:32
A365 Limited,a365-limited,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/a365-limited.html,Great Britain and Northern Ireland,,Warrington,WA4 6PS,St James Business Centre Unit 1FF Wilderspool Causeway,St James Business Centre,+44 1925 419958,,info@a365uk.co.uk,https://www.a365uk.co.uk,,"Established in 2009, A365 Limited will be exhibiting at Ambiente for the first time. We specialise in the design and manufacture...",8.0,H8.0-L76B,,,Cook & Cut,,,cookware; bakeware; saucepans; frying pans; cookware manufacturer,,,,,https://www.linkedin.com/in/guy-weaver-bb4438b/,,,,,,,,company_pictures/10000001202601/507910/1765381663363_122256878.jpg,2025-12-16T08:17:23
Aadya International,aadya-international,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/aadya-international.html,India,IND_24,"Kasna, Greater Noida",201308,"Site V, Kasna E85, EPIP","Site V, Kasna",+91 78273 25965,,contact.aadyainternational@gmail.com,https://www.aadyahome.com,,,10.4,H10.4-D33,,,,,,,,,,,,,,,,,,,,2025-10-17T12:04:16
Aarikka Oy,aarikka-oy,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/aarikka-oy.html,Finland,,Raisio,21280,Kuninkaanväylä 37,,+358 44 4220204,+358 9 7731256,aarikka@aarikka.com,https://www.aarikka.com,,Nordic design icon Aarikka is at Ambiente for the second time Finnish design icon Aarikka is at Ambiente for the second time...,3.1,H3.1-E80,,,,,,Aarikka; iconicdesign; nordicdesign; woodenfigures; homedecor,,,https://www.facebook.com/aarikka.official,https://www.instagram.com/aarikka/,,https://twitter.com/aarikkaofficial,,,https://www.pinterest.com/aarikkaofficial/,,,,,2026-02-06T12:19:03
Aarke AB,aarke-ab,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/aarke-ab.html,Sweden,,Stockholm,113 31,Hälsingegatan 49,,+46 70 946 24 62,,info@aarke.com,https://www.aarke.com,,Aarke is a Swedish design company founded in 2013 by two experienced industrial designers and friends – Jonas Groth and Carl...,9.0,H9.0-C10,,,Clean Home & Storage Solutions; Cook & Cut,,,Soda maker; Coffee Brewer; Water filter; Kettle; Carbonator,,,https://www.facebook.com/aarkecarbonator,https://www.instagram.com/aarke/,https://www.linkedin.com/company/aarke/,,,https://www.tiktok.com/@aarke.official,https://www.pinterest.com/aarkeofficial/,,,,,2025-10-16T12:40:03
Ab Ess-Ma Oy,ab-ess-ma-oy,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/ab-ess-ma-oy.html,Finland,,Ytteresse,68810,Leverantörsvägen 6,,,,,https://www.essma.fi,,Cleaning Sponges from the World´s Cleanest Country. EssMa is a Scandinavian Finnish family owned company. Founded in 1976...,9.3,H9.3-A39,,,,,,cleaning sponges; body sponges; bath sponges; car wash sponges; household sponges,,,,,,,,,,,,,company_pictures/10000001202601/461578/1764942102848_2324108557.png,2026-03-08T03:54:44
AB Rörets Industrier,ab-roerets-industrier,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/ab-roerets-industrier.html,Sweden,,Jönköping,550 08,Verktygsvägen 5,,+46 36 31 23 00,+46 36 31 23 25,mail@rorets.se,https://www.rorets.se,,"We have always stayed at home, so to speak. It started in 1943 with the maufacture of home interiors. However, pretty soon...",9.2,H9.2-E71,,,,,,drying stand; drying stand; clothes rack; clothes dryer; ironing board cover,,,,,,,,,,,,,,2026-03-08T03:31:53
"Abel Industries International Co., Ltd.",abel-industries-international-co-ltd,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/abel-industries-international-co-ltd.html,Taiwan,,Changhua,500,"318, Sec. 3 Chang Nan Road",,+886 4 738 5090,+886 4 738 5190,rita@mail.abel.com.tw,https://www.abel.com.tw,,"Founded in 1978, ABEL Industries international CO,LTD. specializes in the manufacture of metal, plastic ,and wood stationery...",10.0,H10.0-B21,,,,,,stationery; office supply; tape dispenser; clipboard; storage,,,https://www.facebook.com/ABELstationery/,,,,,,,,,,,2026-03-08T03:25:21
Abert S.p.A.,abert-spa,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/abert-spa.html,Italy,Brescia,Passirano,25050,Via Don Primo Mazzolari 17,,+39 030 685 3611,+39 030 685 3610,info@abert.it,https://abert.it,,"ABERT S.p.A. is a historical Italian company born in 1929, specialized in the manufacturing of stainless steel cutlery and...",11.0; 8.0,H11.0-D21A; H8.0-K80,,HoReCa,Modern Kitchen & Baking; Table & Table Select,,,Cutlery; Buffet; Hollowware; Made in Italy; Kitchen,,,,,,,,,,,,,,2026-03-08T03:23:51
Abhinandan Steels,abhinandan-steels,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/abhinandan-steels.html,India,,Delhi,110052,"A-113/2, Wazirpur Industrial Area",,,,export@abhisteels.com,https://www.abhinandansteels.com,,"M/S Abhinandan Steels is a 23 year old company now , with 2 state of the art manufacturing plants with annual capacity of...",11.1,H11.1-A58,,,,,,barware; HOTELWARE; colanders; stainless steel bowls; utensils,,,,,,,,,,,,,,2026-03-08T05:16:52
Abhishek International,abhishek-international,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/abhishek-international.html,India,,Moradabad,244102,"Plot G 3, 4, 5 - Pocket A Special Economic Zone",,+91 89093 00089,,abhishek.ag6167@gmail.com,https://www.abhishekinternational.in/,,Abhishek International is a prominent name as Manufacturer and Exporter of Candle and Aromatics. The name has become synonymous...,10.1,H10.1-B49,,,Global Sourcing Giving; Interiors & Decoration,,,Candle; Outdoor Candle; Citronella; Scented; Fragrance,,,,,,,,,,,,https://wa.me/+918909300089,,2025-11-22T10:46:22
Abhiuday Print Industries (P) Limited,abhiuday-print-industries-p-limited,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/abhiuday-print-industries-p-limited.html,India,IND_24,Gurugram,122017,"A-24 Phase 3, Main Road, Village Pawla Khusrupur Sector-105",,+91 92771 61616,,director@abhiudayprintindustries.com,https://www.abhiudayprintindustries.com,,|| Shri Satguru Devay Namah ||Innovation | Accountability | Sustainability | Customer Service | Timely Delivery | Employee...,10.0,H10.0-A55,,,"Global Sourcing Stationery & School; Urban Gifts, Stationery & School",,,Wrapping Paper | Gift Wrapping Paper | Christmas | Everyday | Jumbo Rolls | Holographic Paper; Paper Bags | Gift Paper Bag | Wine Bag | Gift Wrap Rolls | Printed Paper; Innovation | Accountability | Sustainability | Customer Service | Timely Delivery | Employee Welfare; Gift Tissue Paper | Tissue Paper | Color Tissue Paper | Transfer Paper | API | India | Wrap India; Bio-Degradable Paper | Bio-Degradable Glitter Paper | Sugar Cane Paper | Husk Paper | FSC Paper | Eco-Friendly Paper; Christmas Delights | Seasonal Decoration | Wrapping | Ribbon; Gift Boxes | Napkins | Party Decoration | Gift Wraps | Wrap; Glitter | Hot Foil | Puff | Embossing | Jumbo | FSC Paper; Jumbo Gift Wrapping Rolls | Made in India | Transfer Paper; Eco Friendly Paper | Paper Roll | Innovation | Biodegradable,,,,,,,,,,,,,,2025-12-10T15:19:12
Abinaya Grineters,abinaya-grineters,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/abinaya-grineters.html,India,,Karur,639002,"46, Fourth Cross, Vaiyapuri Nagar",,+91 4324 274 467,+91 4324 232 967,raviselvan@abinayahome.in,https://www.abinayahome.com,,Abinaya Grineters is among one of the oldest and reputable textile manufacturer with uncompromising quality. Established...,10.2,H10.2-C49,,,Modern Kitchen & Baking; Table & Table Select,,,Karur; Organic; Wholesale; Home Textile; Quality,,,,,,,,,,,,,,2026-03-08T05:12:42
AbraCadabra,the-egyptian-tabletop-trading-company,https://ambiente.messefrankfurt.com/frankfurt/en/exhibitor-search/exhibitor-search-apps.detail.html/the-egyptian-tabletop-trading-company.html,Egypt,,Cairo,12577,"Pottery Village, El Fustat Street, Unit 62D",,+20 122 217 6015,,ynader@abracadabra.eg,https://www.abracadabra.eg,,AbraCadabra: A Fusion of Craftsmanship and Creativity About Us AbraCadabra is a contemporary tableware and home décor brand...,12.1,H12.1-A53,,,Table & Table Select,,,Dinnerware; handmade stoneware; Horeca tableware; artisanal designs; pottery,,,http://facebook.com/yourabracadabra,http://instagram.com/yourabracadabra,,,,,,,,https://wa.me/201061418999,,2025-12-09T10:47:57
