Company,Category,Country,Stand,IFE Profile,Relevant,LinkedIn Search,Apollo Search,Contact Name,Contact Title,Contact LinkedIn,AI Message,Status,Interest Level,Notes,enrichment_status,score
Acres,Stand: S371,,Stand: S371,https://www.ife.co.ukexhibitors/acres,,https://www.linkedin.com/search/results/companies/?keywords=Acres,https://app.apollo.io/#/companies?q_organization_name=Acres,,,,,New,,,partial,0
Action Foods,Stand: N4180,,Stand: N4180,https://www.ife.co.ukexhibitors/action-foods-1,YES,https://www.linkedin.com/search/results/companies/?keywords=Action%20Foods,https://app.apollo.io/#/companies?q_organization_name=Action%20Foods,,,,,New,,,partial,0
Add-Olives LTD,Stand: N3260,,Stand: N3260,https://www.ife.co.ukexhibitors/add-olives-1,,https://www.linkedin.com/search/results/companies/?keywords=Add-Olives%20LTD,https://app.apollo.io/#/companies?q_organization_name=Add-Olives%20LTD,,,,,New,,,partial,0
ADECI,Stand: S3029,,Stand: S3029,https://www.ife.co.ukexhibitors/adeci,,https://www.linkedin.com/search/results/companies/?keywords=ADECI,https://app.apollo.io/#/companies?q_organization_name=ADECI,,,,,New,,,partial,0
ADF FOODS UK LTD,Stand: N2330,,Stand: N2330,https://www.ife.co.ukexhibitors/adf-foods-uk,YES,https://www.linkedin.com/search/results/companies/?keywords=ADF%20FOODS%20UK%20LTD,https://app.apollo.io/#/companies?q_organization_name=ADF%20FOODS%20UK%20LTD,,,,,New,,,partial,0
ADM Foods International,Stand: N3801,,Stand: N3801,https://www.ife.co.ukexhibitors/adm-foods-international,YES,https://www.linkedin.com/search/results/companies/?keywords=ADM%20Foods%20International,https://app.apollo.io/#/companies?q_organization_name=ADM%20Foods%20International,,,,,New,,,partial,0
Adnan Khudari & Sons Trading Co.,Stand: N4410b,,Stand: N4410b,https://www.ife.co.ukexhibitors/adnan-khudari-sons-trading-co,,https://www.linkedin.com/search/results/companies/?keywords=Adnan%20Khudari%20&%20Sons%20Trading%20Co.,https://app.apollo.io/#/companies?q_organization_name=Adnan%20Khudari%20&%20Sons%20Trading%20Co.,,,,,New,,,partial,0
Adpak Machinery Systems,Stand: N246,,Stand: N246,https://www.ife.co.ukexhibitors/adpak-machinery-systems-1,,https://www.linkedin.com/search/results/companies/?keywords=Adpak%20Machinery%20Systems,https://app.apollo.io/#/companies?q_organization_name=Adpak%20Machinery%20Systems,,,,,New,,,partial,0
Aghati Sweets,Stand: N4410j,,Stand: N4410j,https://www.ife.co.ukexhibitors/aghati-sweets,YES,https://www.linkedin.com/search/results/companies/?keywords=Aghati%20Sweets,https://app.apollo.io/#/companies?q_organization_name=Aghati%20Sweets,,,,,New,,,partial,0
AGRICO DTL,Stand: N4330,,Stand: N4330,https://www.ife.co.ukexhibitors/agrico-dtl,,https://www.linkedin.com/search/results/companies/?keywords=AGRICO%20DTL,https://app.apollo.io/#/companies?q_organization_name=AGRICO%20DTL,,,,,New,,,partial,0
AGRICOM INTERNATIONAL,Stand: N1650,,Stand: N1650,https://www.ife.co.ukexhibitors/agricom-international,,https://www.linkedin.com/search/results/companies/?keywords=AGRICOM%20INTERNATIONAL,https://app.apollo.io/#/companies?q_organization_name=AGRICOM%20INTERNATIONAL,,,,,New,,,partial,0
Agricultural and Processed Food Products Export Development Authority (APEDA),"Stand: N1310, N1370, N1350, N1330",,"Stand: N1310, N1370, N1350, N1330",https://www.ife.co.ukexhibitors/agricultural-processed-food-products-export-development-authority-apeda-2,YES,https://www.linkedin.com/search/results/companies/?keywords=Agricultural%20and%20Processed%20Food%20Products%20Export%20Development%20Authority%20(APEDA),https://app.apollo.io/#/companies?q_organization_name=Agricultural%20and%20Processed%20Food%20Products%20Export%20Development%20Authority%20(APEDA),,,,,New,,,partial,0
AGRODIV,Stand: N1650,,Stand: N1650,https://www.ife.co.ukexhibitors/agrodiv,,https://www.linkedin.com/search/results/companies/?keywords=AGRODIV,https://app.apollo.io/#/companies?q_organization_name=AGRODIV,,,,,New,,,partial,0
Agrofusion,Stand: N623,,Stand: N623,https://www.ife.co.ukexhibitors/agrofusion-1,,https://www.linkedin.com/search/results/companies/?keywords=Agrofusion,https://app.apollo.io/#/companies?q_organization_name=Agrofusion,,,,,New,,,partial,0
Agroittica Lombarda,Stand: N2010b,,Stand: N2010b,https://www.ife.co.ukexhibitors/agroittica-lombarda,,https://www.linkedin.com/search/results/companies/?keywords=Agroittica%20Lombarda,https://app.apollo.io/#/companies?q_organization_name=Agroittica%20Lombarda,,,,,New,,,partial,0
AGROLIVA/ BAYA OLIVE OIL,Stand: N4610d,,Stand: N4610d,https://www.ife.co.ukexhibitors/agroliva-baya-olive-oil,,https://www.linkedin.com/search/results/companies/?keywords=AGROLIVA/%20BAYA%20OLIVE%20OIL,https://app.apollo.io/#/companies?q_organization_name=AGROLIVA/%20BAYA%20OLIVE%20OIL,,,,,New,,,partial,0
Agromonte,Stand: N2010f,,Stand: N2010f,https://www.ife.co.ukexhibitors/agromonte,,https://www.linkedin.com/search/results/companies/?keywords=Agromonte,https://app.apollo.io/#/companies?q_organization_name=Agromonte,,,,,New,,,partial,0
Agropošta,Stand: N1070,,Stand: N1070,https://www.ife.co.ukexhibitors/agroposta,,https://www.linkedin.com/search/results/companies/?keywords=Agropošta,https://app.apollo.io/#/companies?q_organization_name=Agropošta,,,,,New,,,partial,0
Agua Nueva Nuts,Stand: N655,,Stand: N655,https://www.ife.co.ukexhibitors/agua-nueva-nuts,,https://www.linkedin.com/search/results/companies/?keywords=Agua%20Nueva%20Nuts,https://app.apollo.io/#/companies?q_organization_name=Agua%20Nueva%20Nuts,,,,,New,,,partial,0
AHA GLOBAL ( v7 DRINK ),Stand: N2739,,Stand: N2739,https://www.ife.co.ukexhibitors/aha-global-v7-drink--1,YES,https://www.linkedin.com/search/results/companies/?keywords=AHA%20GLOBAL%20(%20v7%20DRINK%20),https://app.apollo.io/#/companies?q_organization_name=AHA%20GLOBAL%20(%20v7%20DRINK%20),,,,,New,,,partial,0
Ahaean Land,Stand: N2212b,,Stand: N2212b,https://www.ife.co.ukexhibitors/ahaean-land,,https://www.linkedin.com/search/results/companies/?keywords=Ahaean%20Land,https://app.apollo.io/#/companies?q_organization_name=Ahaean%20Land,,,,,New,,,partial,0
AIB Foods Ltd,Stand: N2510,,Stand: N2510,https://www.ife.co.ukexhibitors/aib-foods-1,YES,https://www.linkedin.com/search/results/companies/?keywords=AIB%20Foods%20Ltd,https://app.apollo.io/#/companies?q_organization_name=AIB%20Foods%20Ltd,,,,,New,,,partial,0
AIDA FOODS,Stand: N4055,,Stand: N4055,https://www.ife.co.ukexhibitors/aida-foods-1,YES,https://www.linkedin.com/search/results/companies/?keywords=AIDA%20FOODS,https://app.apollo.io/#/companies?q_organization_name=AIDA%20FOODS,,,,,New,,,partial,0
AIR ALGERIE,Stand: N1650,,Stand: N1650,https://www.ife.co.ukexhibitors/air-algerie,,https://www.linkedin.com/search/results/companies/?keywords=AIR%20ALGERIE,https://app.apollo.io/#/companies?q_organization_name=AIR%20ALGERIE,,,,,New,,,partial,0
AIRO,Stand: S3065,,Stand: S3065,https://www.ife.co.ukexhibitors/airo,,https://www.linkedin.com/search/results/companies/?keywords=AIRO,https://app.apollo.io/#/companies?q_organization_name=AIRO,,,,,New,,,partial,0
AK Distillery ltd,Stand: S2024,,Stand: S2024,https://www.ife.co.ukexhibitors/ak-distillery,,https://www.linkedin.com/search/results/companies/?keywords=AK%20Distillery%20ltd,https://app.apollo.io/#/companies?q_organization_name=AK%20Distillery%20ltd,,,,,New,,,partial,0
AKANLAR FOOD CO.,Stand: N3661,,Stand: N3661,https://www.ife.co.ukexhibitors/akanlar-food-co-1,YES,https://www.linkedin.com/search/results/companies/?keywords=AKANLAR%20FOOD%20CO.,https://app.apollo.io/#/companies?q_organization_name=AKANLAR%20FOOD%20CO.,,,,,New,,,partial,0
AKSAM,Stand: N4310,,Stand: N4310,https://www.ife.co.ukexhibitors/aksam,,https://www.linkedin.com/search/results/companies/?keywords=AKSAM,https://app.apollo.io/#/companies?q_organization_name=AKSAM,,,,,New,,,partial,0
Al Barakah Dates,Stand: N510,,Stand: N510,https://www.ife.co.ukexhibitors/al-barakah-dates-1,,https://www.linkedin.com/search/results/companies/?keywords=Al%20Barakah%20Dates,https://app.apollo.io/#/companies?q_organization_name=Al%20Barakah%20Dates,,,,,New,,,partial,0
Al Khair Trading Company,Stand: N1750b,,Stand: N1750b,https://www.ife.co.ukexhibitors/al-khair-trading-company,,https://www.linkedin.com/search/results/companies/?keywords=Al%20Khair%20Trading%20Company,https://app.apollo.io/#/companies?q_organization_name=Al%20Khair%20Trading%20Company,,,,,New,,,partial,0
Al Kotof Al Danya Co.,Stand: N4410c,,Stand: N4410c,https://www.ife.co.ukexhibitors/al-kotof-al-danya-co,,https://www.linkedin.com/search/results/companies/?keywords=Al%20Kotof%20Al%20Danya%20Co.,https://app.apollo.io/#/companies?q_organization_name=Al%20Kotof%20Al%20Danya%20Co.,,,,,New,,,partial,0
Al Saraya Sweets,Stand: N4630,,Stand: N4630,https://www.ife.co.ukexhibitors/al-saraya-sweets,YES,https://www.linkedin.com/search/results/companies/?keywords=Al%20Saraya%20Sweets,https://app.apollo.io/#/companies?q_organization_name=Al%20Saraya%20Sweets,,,,,New,,,partial,0
Al-Ahmadiya Dates Company For Manufacturing,Stand: N1750d,,Stand: N1750d,https://www.ife.co.ukexhibitors/al-ahmadiya-dates-company-manufacturing,,https://www.linkedin.com/search/results/companies/?keywords=Al-Ahmadiya%20Dates%20Company%20For%20Manufacturing,https://app.apollo.io/#/companies?q_organization_name=Al-Ahmadiya%20Dates%20Company%20For%20Manufacturing,,,,,New,,,partial,0
Al-rwad Company for Agricultural Investment and International Trade,Stand: N4630,,Stand: N4630,https://www.ife.co.ukexhibitors/al-rwad-company-agricultural-investment-international-trade,,https://www.linkedin.com/search/results/companies/?keywords=Al-rwad%20Company%20for%20Agricultural%20Investment%20and%20International%20Trade,https://app.apollo.io/#/companies?q_organization_name=Al-rwad%20Company%20for%20Agricultural%20Investment%20and%20International%20Trade,,,,,New,,,partial,0
Alacer Software,Stand: S3444,,Stand: S3444,https://www.ife.co.ukexhibitors/alacer-software-1,,https://www.linkedin.com/search/results/companies/?keywords=Alacer%20Software,https://app.apollo.io/#/companies?q_organization_name=Alacer%20Software,,,,,New,,,partial,0
Alberti & Santi,Stand: N120,,Stand: N120,https://www.ife.co.ukexhibitors/alberti-santi-1,,https://www.linkedin.com/search/results/companies/?keywords=Alberti%20&%20Santi,https://app.apollo.io/#/companies?q_organization_name=Alberti%20&%20Santi,,,,,New,,,partial,0
"Alex Co., Ltd",Stand: S1220,,Stand: S1220,https://www.ife.co.ukexhibitors/alex-co-1,,"https://www.linkedin.com/search/results/companies/?keywords=Alex%20Co.,%20Ltd","https://app.apollo.io/#/companies?q_organization_name=Alex%20Co.,%20Ltd",,,,,New,,,partial,0
ALFEX,Stand: N1650,,Stand: N1650,https://www.ife.co.ukexhibitors/alfex,,https://www.linkedin.com/search/results/companies/?keywords=ALFEX,https://app.apollo.io/#/companies?q_organization_name=ALFEX,,,,,New,,,partial,0
Alhussan Food Factory,Stand: N1730c,,Stand: N1730c,https://www.ife.co.ukexhibitors/alhussan-food-factory,YES,https://www.linkedin.com/search/results/companies/?keywords=Alhussan%20Food%20Factory,https://app.apollo.io/#/companies?q_organization_name=Alhussan%20Food%20Factory,,,,,New,,,partial,0
Allara Global,Stand: S3050,,Stand: S3050,https://www.ife.co.ukexhibitors/allara-global-1,,https://www.linkedin.com/search/results/companies/?keywords=Allara%20Global,https://app.apollo.io/#/companies?q_organization_name=Allara%20Global,,,,,New,,,partial,0
Allemandi,Stand: N2030k,,Stand: N2030k,https://www.ife.co.ukexhibitors/allemandi,,https://www.linkedin.com/search/results/companies/?keywords=Allemandi,https://app.apollo.io/#/companies?q_organization_name=Allemandi,,,,,New,,,partial,0
ALO & New Victory,Stand: N2970,,Stand: N2970,https://www.ife.co.ukexhibitors/alo-jenji-1,,https://www.linkedin.com/search/results/companies/?keywords=ALO%20&%20New%20Victory,https://app.apollo.io/#/companies?q_organization_name=ALO%20&%20New%20Victory,,,,,New,,,partial,0
Altintop,Stand: N1600,,Stand: N1600,https://www.ife.co.ukexhibitors/altintop,,https://www.linkedin.com/search/results/companies/?keywords=Altintop,https://app.apollo.io/#/companies?q_organization_name=Altintop,,,,,New,,,partial,0
Altunkaya,Stand: N1930c,,Stand: N1930c,https://www.ife.co.ukexhibitors/altunkaya,,https://www.linkedin.com/search/results/companies/?keywords=Altunkaya,https://app.apollo.io/#/companies?q_organization_name=Altunkaya,,,,,New,,,partial,0
Amba,Stand: N2130,,Stand: N2130,https://www.ife.co.ukexhibitors/amba,,https://www.linkedin.com/search/results/companies/?keywords=Amba,https://app.apollo.io/#/companies?q_organization_name=Amba,,,,,New,,,partial,0
Ambar,Stand: S3320,,Stand: S3320,https://www.ife.co.ukexhibitors/ambar-cloud,,https://www.linkedin.com/search/results/companies/?keywords=Ambar,https://app.apollo.io/#/companies?q_organization_name=Ambar,,,,,New,,,partial,0
Ambrey Baker,Stand: N310,,Stand: N310,https://www.ife.co.ukexhibitors/ambrey-baker-1,,https://www.linkedin.com/search/results/companies/?keywords=Ambrey%20Baker,https://app.apollo.io/#/companies?q_organization_name=Ambrey%20Baker,,,,,New,,,partial,0
American Christmas,Stand: S800,,Stand: S800,https://www.ife.co.ukexhibitors/american-christmas,,https://www.linkedin.com/search/results/companies/?keywords=American%20Christmas,https://app.apollo.io/#/companies?q_organization_name=American%20Christmas,,,,,New,,,partial,0
Amfora,Stand: S1172,,Stand: S1172,https://www.ife.co.ukexhibitors/amfora,,https://www.linkedin.com/search/results/companies/?keywords=Amfora,https://app.apollo.io/#/companies?q_organization_name=Amfora,,,,,New,,,partial,0
AMINA'S WONDER SPICE,Stand: N3056,,Stand: N3056,https://www.ife.co.ukexhibitors/aminas-wonder-spice-1,YES,https://www.linkedin.com/search/results/companies/?keywords=AMINA'S%20WONDER%20SPICE,https://app.apollo.io/#/companies?q_organization_name=AMINA'S%20WONDER%20SPICE,,,,,New,,,partial,0
AMIVET LIMITED,Stand: N281j,,Stand: N281j,https://www.ife.co.ukexhibitors/amivet-limited-1,,https://www.linkedin.com/search/results/companies/?keywords=AMIVET%20LIMITED,https://app.apollo.io/#/companies?q_organization_name=AMIVET%20LIMITED,,,,,New,,,partial,0
Amobox,Stand: S1092,,Stand: S1092,https://www.ife.co.ukexhibitors/amobox,,https://www.linkedin.com/search/results/companies/?keywords=Amobox,https://app.apollo.io/#/companies?q_organization_name=Amobox,,,,,New,,,partial,0
Amourcoco,Stand: N5014,,Stand: N5014,https://www.ife.co.ukexhibitors/amour-coconut,,https://www.linkedin.com/search/results/companies/?keywords=Amourcoco,https://app.apollo.io/#/companies?q_organization_name=Amourcoco,,,,,New,,,partial,0
Amru Rice,Stand: N2130,,Stand: N2130,https://www.ife.co.ukexhibitors/amru-rice,,https://www.linkedin.com/search/results/companies/?keywords=Amru%20Rice,https://app.apollo.io/#/companies?q_organization_name=Amru%20Rice,,,,,New,,,partial,0
Anatolia,Stand: N1710d,,Stand: N1710d,https://www.ife.co.ukexhibitors/anatolia,,https://www.linkedin.com/search/results/companies/?keywords=Anatolia,https://app.apollo.io/#/companies?q_organization_name=Anatolia,,,,,New,,,partial,0
ANDROS UK FOODSERVICE,Stand: N3349,,Stand: N3349,https://www.ife.co.ukexhibitors/andros-uk-foodservice-1,YES,https://www.linkedin.com/search/results/companies/?keywords=ANDROS%20UK%20FOODSERVICE,https://app.apollo.io/#/companies?q_organization_name=ANDROS%20UK%20FOODSERVICE,,,,,New,,,partial,0
ANEXAL,Stand: N1650,,Stand: N1650,https://www.ife.co.ukexhibitors/anexal,,https://www.linkedin.com/search/results/companies/?keywords=ANEXAL,https://app.apollo.io/#/companies?q_organization_name=ANEXAL,,,,,New,,,partial,0
"ANGEL YEAST CO., LTD",Stand: N540,,Stand: N540,https://www.ife.co.ukexhibitors/angel-yeast-co-1,,"https://www.linkedin.com/search/results/companies/?keywords=ANGEL%20YEAST%20CO.,%20LTD","https://app.apollo.io/#/companies?q_organization_name=ANGEL%20YEAST%20CO.,%20LTD",,,,,New,,,partial,0
"AnHui KaiLai Packaging Co.,Ltd",Stand: N1450b,,Stand: N1450b,https://www.ife.co.ukexhibitors/anhui-kailai-packaging-co,YES,"https://www.linkedin.com/search/results/companies/?keywords=AnHui%20KaiLai%20Packaging%20Co.,Ltd","https://app.apollo.io/#/companies?q_organization_name=AnHui%20KaiLai%20Packaging%20Co.,Ltd",,,,,New,,,partial,0
Anl,Stand: N1930a,,Stand: N1930a,https://www.ife.co.ukexhibitors/anl,,https://www.linkedin.com/search/results/companies/?keywords=Anl,https://app.apollo.io/#/companies?q_organization_name=Anl,,,,,New,,,partial,0
Annapolis. co. ltd,Stand: N4913,,Stand: N4913,https://www.ife.co.ukexhibitors/annapolis-co-1,,https://www.linkedin.com/search/results/companies/?keywords=Annapolis.%20co.%20ltd,https://app.apollo.io/#/companies?q_organization_name=Annapolis.%20co.%20ltd,,,,,New,,,partial,0
Antash Mashroub Jo for Industry,Stand: N1750j,,Stand: N1750j,https://www.ife.co.ukexhibitors/antash-mashroub-jo-industry,,https://www.linkedin.com/search/results/companies/?keywords=Antash%20Mashroub%20Jo%20for%20Industry,https://app.apollo.io/#/companies?q_organization_name=Antash%20Mashroub%20Jo%20for%20Industry,,,,,New,,,partial,0
Antico Eremo Company Srl,Stand: S351,,Stand: S351,https://www.ife.co.ukexhibitors/antico-eremo-company-srl-1,,https://www.linkedin.com/search/results/companies/?keywords=Antico%20Eremo%20Company%20Srl,https://app.apollo.io/#/companies?q_organization_name=Antico%20Eremo%20Company%20Srl,,,,,New,,,partial,0
Aperitivos de Anavieja,Stand: N1630h,,Stand: N1630h,https://www.ife.co.ukexhibitors/aperitivos-de-anavieja,,https://www.linkedin.com/search/results/companies/?keywords=Aperitivos%20de%20Anavieja,https://app.apollo.io/#/companies?q_organization_name=Aperitivos%20de%20Anavieja,,,,,New,,,partial,0
Apex Coconuts / Cocomama,Stand: N2650,,Stand: N2650,https://www.ife.co.ukexhibitors/apex-coconuts-cocomama,,https://www.linkedin.com/search/results/companies/?keywords=Apex%20Coconuts%20/%20Cocomama,https://app.apollo.io/#/companies?q_organization_name=Apex%20Coconuts%20/%20Cocomama,,,,,New,,,partial,0
Aqua Mundus,Stand: S520c,,Stand: S520c,https://www.ife.co.ukexhibitors/aqua-mundus,,https://www.linkedin.com/search/results/companies/?keywords=Aqua%20Mundus,https://app.apollo.io/#/companies?q_organization_name=Aqua%20Mundus,,,,,New,,,partial,0
Aquaphor,Stand: S743,,Stand: S743,https://www.ife.co.ukexhibitors/aquaphor-1,,https://www.linkedin.com/search/results/companies/?keywords=Aquaphor,https://app.apollo.io/#/companies?q_organization_name=Aquaphor,,,,,New,,,partial,0
Aquavape,Stand: S1811,,Stand: S1811,https://www.ife.co.ukexhibitors/aquavape,,https://www.linkedin.com/search/results/companies/?keywords=Aquavape,https://app.apollo.io/#/companies?q_organization_name=Aquavape,,,,,New,,,partial,0
Arctica Ltd,Stand: N201,,Stand: N201,https://www.ife.co.ukexhibitors/arctica,,https://www.linkedin.com/search/results/companies/?keywords=Arctica%20Ltd,https://app.apollo.io/#/companies?q_organization_name=Arctica%20Ltd,,,,,New,,,partial,0
ARDUENNA,Stand: N1970c,,Stand: N1970c,https://www.ife.co.ukexhibitors/arduenna,,https://www.linkedin.com/search/results/companies/?keywords=ARDUENNA,https://app.apollo.io/#/companies?q_organization_name=ARDUENNA,,,,,New,,,partial,0
Argo Sweets,Stand: N4350,,Stand: N4350,https://www.ife.co.ukexhibitors/argo-sweets,YES,https://www.linkedin.com/search/results/companies/?keywords=Argo%20Sweets,https://app.apollo.io/#/companies?q_organization_name=Argo%20Sweets,,,,,New,,,partial,0
Ariela's Gelato,Stand: S770,,Stand: S770,https://www.ife.co.ukexhibitors/arielas-gelato-1,,https://www.linkedin.com/search/results/companies/?keywords=Ariela's%20Gelato,https://app.apollo.io/#/companies?q_organization_name=Ariela's%20Gelato,,,,,New,,,partial,0
AROHA CHOCOLATE,Stand: N936,,Stand: N936,https://www.ife.co.ukexhibitors/aroha-chocolate,YES,https://www.linkedin.com/search/results/companies/?keywords=AROHA%20CHOCOLATE,https://app.apollo.io/#/companies?q_organization_name=AROHA%20CHOCOLATE,,,,,New,,,partial,0
Arrow Juice Factory for Bottling & Production,Stand: N1750a,,Stand: N1750a,https://www.ife.co.ukexhibitors/arrow-juice-factory-bottling-production,YES,https://www.linkedin.com/search/results/companies/?keywords=Arrow%20Juice%20Factory%20for%20Bottling%20&%20Production,https://app.apollo.io/#/companies?q_organization_name=Arrow%20Juice%20Factory%20for%20Bottling%20&%20Production,,,,,New,,,partial,0
ASCO Foods,Stand: N2410,,Stand: N2410,https://www.ife.co.ukexhibitors/asco-foods-1,YES,https://www.linkedin.com/search/results/companies/?keywords=ASCO%20Foods,https://app.apollo.io/#/companies?q_organization_name=ASCO%20Foods,,,,,New,,,partial,0
Astorino,Stand: N2030a,,Stand: N2030a,https://www.ife.co.ukexhibitors/astorino,,https://www.linkedin.com/search/results/companies/?keywords=Astorino,https://app.apollo.io/#/companies?q_organization_name=Astorino,,,,,New,,,partial,0
Athletic Brewing,Stand: S1724,,Stand: S1724,https://www.ife.co.ukexhibitors/athletic-brewing,,https://www.linkedin.com/search/results/companies/?keywords=Athletic%20Brewing,https://app.apollo.io/#/companies?q_organization_name=Athletic%20Brewing,,,,,New,,,partial,0
ATI Olio di Roma IGP e Sabina DOP,Stand: N3271,,Stand: N3271,https://www.ife.co.ukexhibitors/ati-olio-di-roma-igp-e-sabina-dop-1,,https://www.linkedin.com/search/results/companies/?keywords=ATI%20Olio%20di%20Roma%20IGP%20e%20Sabina%20DOP,https://app.apollo.io/#/companies?q_organization_name=ATI%20Olio%20di%20Roma%20IGP%20e%20Sabina%20DOP,,,,,New,,,partial,0
ATLANTE UK LTD,Stand: N3018,,Stand: N3018,https://www.ife.co.ukexhibitors/atlante-uk-1,,https://www.linkedin.com/search/results/companies/?keywords=ATLANTE%20UK%20LTD,https://app.apollo.io/#/companies?q_organization_name=ATLANTE%20UK%20LTD,,,,,New,,,partial,0
Attic Brew Co.,Stand: Taproom F,,Stand: Taproom F,https://www.ife.co.ukexhibitors/attic-brew-co-1,,https://www.linkedin.com/search/results/companies/?keywords=Attic%20Brew%20Co.,https://app.apollo.io/#/companies?q_organization_name=Attic%20Brew%20Co.,,,,,New,,,partial,0
ATURA Proteins,Stand: N457,,Stand: N457,https://www.ife.co.ukexhibitors/atura-proteins,,https://www.linkedin.com/search/results/companies/?keywords=ATURA%20Proteins,https://app.apollo.io/#/companies?q_organization_name=ATURA%20Proteins,,,,,New,,,partial,0
Austin Foods and Beverages Pvt. Ltd.,Stand: N2752,,Stand: N2752,https://www.ife.co.ukexhibitors/austin-foods-beverages-pvt-,YES,https://www.linkedin.com/search/results/companies/?keywords=Austin%20Foods%20and%20Beverages%20Pvt.%20Ltd.,https://app.apollo.io/#/companies?q_organization_name=Austin%20Foods%20and%20Beverages%20Pvt.%20Ltd.,,,,,New,,,partial,0
Ausvision Meat Processors,Stand: S1010,,Stand: S1010,https://www.ife.co.ukexhibitors/ausvision-meat-processors,YES,https://www.linkedin.com/search/results/companies/?keywords=Ausvision%20Meat%20Processors,https://app.apollo.io/#/companies?q_organization_name=Ausvision%20Meat%20Processors,,,,,New,,,partial,0
AVA Food And Beverages Ltd,Stand: N4380,,Stand: N4380,https://www.ife.co.ukexhibitors/ava-food-beverages,YES,https://www.linkedin.com/search/results/companies/?keywords=AVA%20Food%20And%20Beverages%20Ltd,https://app.apollo.io/#/companies?q_organization_name=AVA%20Food%20And%20Beverages%20Ltd,,,,,New,,,partial,0
