name,years,stand_2023,stand_2024,stand_2025,status_2023,status_2024,status_2025,website,description_pl,description_en,contact,nip,logo,real_website,email,phone,whatsapp,linkedin,facebook,instagram,youtube,tiktok,representative,segment
FSZ POLLENA AROMA,"2024,2025",,C2.05,C1.32,,Sprzedane,Sprzedane (Targi PWE),https://pollenaaroma.pl/,"Pollena-Aroma to największy w Polsce producent aromatów spożywczych, kompozycji zapachowych i dostawca wysokiej jakości olejków eterycznych. Od 68 lat szlifujemy nasze umiejętności i kompetencje, by dostarczać Państwu wyjątkowe doświadczenia smakowe i zapachowe. Od 2017 roku jesteśmy częścią międzynarodowej Grupy TURPAZ. Nasze aromaty znajdują szerokie zastosowanie w wielu branżach. Oferujemy m.in. aromaty cukiernicze, mleczarskie, do napojów, wyrobów tłuszczowych, koncentratów spożywczych słodkich i wytrawnych, do produktów farmaceutycznych i kosmetycznych.","optionally for use on social media Pollena-Aroma is Poland's largest producer of food flavours, fragrances and supplier of high-quality essential oils. For 68 years, we have been honing our skills and competencies to provide you with unique taste and aroma experiences. Since 2017, we have been part of the international TURPAZ Group. Our flavours are widely used in many industries. Among others, we offer flavours for confectionery, dairy, beverages, fatty products, sweet and dry food concentrates, pharmaceutical and cosmetic products.",,5240104871,https://www4.pwe-expoplanner.com/sklep/img/logo/25438.jpg,,,,,,,,,,,C
FOOD INGREDIENTS TECHNOLOGIES,2024,,C2.05,,,Sprzedane,,https://foodingredientstechnologies.com,,"Food Ingredients Technologies is a company that exists since 1998 and is based in Belgium. The core of our business is the harmonization of our know-how using functional and aromatic ingredients to develop delicious and innovative culinary creations for your business. Our driving force is based on quality, flexibility, love of food and service, which makes us the preferred partner for customers looking for unique products and practical solutions.",,,https://www4.pwe-expoplanner.com/sklep/img/logo/51632.jpg,,,,,,,,,,,C
Urząd Marszałkowski Województwa Podlaskiego - Samorządowa jednos,2024,,C2.64,,,Sprzedane,,https://www.wrotapodlasia.pl/,,,,5422542016,https://www4.pwe-expoplanner.com/sklep/img/logo/21011.jpg,,,,,,,,,,,C
ARRIBA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2024,,C2.43,,,Sprzedane,,"https://aleo.com/pl/firma/arriba-spolka-cywilna-maria-julia-barboza-de-sztyler,-jacek-sztyler-katowice",,,,6342532401,,,,,,,,,,,,C
Zariphico,2024,,C2.53,,,Sprzedane,,https://www.zariphico.com/,"Kosta Varnali 11, Chalandri 152 33, Grecja",,,,https://www4.pwe-expoplanner.com/sklep/img/logo/52651.jpg,,,,,,,,,,,C
VASSILAKIS EMM. SA – VASSILAKIS ESTATE,2024,,C2.53,,,Sprzedane,,https://vassilakisestate.gr/,,,,,https://www4.pwe-expoplanner.com/sklep/img/logo/52652.jpg,https://vassilakisestate.gr/,,,,,,,,,,C
PATHOS EXTRA VIRGIN OLIVE OIL,2024,,C2.53,,,Sprzedane,,https://pathosoliveoil.gr/,,,,,https://www4.pwe-expoplanner.com/sklep/img/logo/52655.jpg,,,,,,,,,,,C
SCHUR STAR SYSTEMS GmbH,2024,,C1.40a,,,Sprzedane,,https://www.schur.com/,"We are offering packaging, packaging machines, packaging systems, and knowhow. Schur has a staff of approx. 850 persons employed at factories in Denmark, Sweden, Germany, Australia and the USA.",,,134642242,https://www4.pwe-expoplanner.com/sklep/img/logo/6997.jpg,https://www.schur.com/,,10000001; 36830494; 68653975,,https://www.linkedin.com/company/schur-international-as/,,,https://www.youtube.com/channel/UCBSr18Y7tIf-90W7wjOJX9w,,,C
EuroFoods Gastro,2024,,C2.26,,,Sprzedane,,https://www.eurofoodsgastro.pl,,,,1182124486,https://www4.pwe-expoplanner.com/sklep/img/logo/50488.jpg,,,,,,,,,,,C
Lovare Sp. z o.o.,"2024,2025",,C1.08a,C3.08,,Sprzedane,Sprzedane (Targi PWE),http://www.krs-online.com.pl/vlcreate-sp-z-o-o-krs-8417641.html,,,,5272798629,https://www4.pwe-expoplanner.com/sklep/img/logo/20944.jpg,,,,,,,,,,,C
mobile24,2024,,C3.21a,,,Sprzedane (Targi PWE),,https://mobile24.info/,"adres kore. ul Towarowa 24, Żagań",,,9241064963,https://www4.pwe-expoplanner.com/sklep/img/logo/20246.jpg,,,,,,,,,,,C
Dodoni,"2024,2025",,C1.34b,C1.10,,Sprzedane,Sprzedane (Targi PWE),"https://www.gowork.pl/borek-drink-sp.-z-o.o.,24002105/dane-kontaktowe-firmy",,,,9451414151,https://www4.pwe-expoplanner.com/sklep/img/logo/24017.jpg,,,,,,,,,,,C
PRODMAR,2024,,C2.42b,,,Sprzedane,,https://aleo.com/pl/firma/prodmar-spolka-z-ograniczona-odpowiedzialnoscia-golaszew,,,,1182234890,,,,,,,,,,,,C
GREENVECTOR AGRO,2024,,A1.44a,,,Sprzedane (Targi PWE),,https://aleo.com/pl/firma/greenvector-agro-spolka-z-ograniczona-odpowiedzialnoscia-warszawa,,,,5213967869,,,,,,,,,,,,C
Embassy of the Republic of Indonesia,"2024,2025",,C1.36a,C3.12,,Sprzedane (Targi PWE),Sprzedane (Targi PWE),https://kemlu.go.id/warsaw/en,,,,666666666,https://www4.pwe-expoplanner.com/sklep/img/logo/43555.jpg,https://kemlu.go.id/warsaw/en,,,,,,,,,,C
WABO KRAŚNIK,"2024,2025",,C2.39b,C1.08,,Sprzedane,Sprzedane (Targi PWE),https://aleo.com/pl/firma/selekta-wieslaw-pysniak-sp-z-oo-opole-lubelskie,,,,7171831266,https://www4.pwe-expoplanner.com/sklep/img/logo/29638.jpg,,,,,,,,,,,C
Krajowa Federacja Hodowców Drobiu i Producentów Jaj,2024,,C2.38b,,,Sprzedane,,https://mocdrobiu.drobiarze.pl/,.,,,8371450724,https://www4.pwe-expoplanner.com/sklep/img/logo/29680.jpg,https://mocdrobiu.drobiarze.pl/,,02010100; 35450854,,,https://www.facebook.com/moc.drobiu,,,,,C
LOVARE,2024,,C1.20a,,,Sprzedane,,https://aleo.com/pl/firma/lovare-spolka-z-ograniczona-odpowiedzialnoscia-warszawa,,,,1133059636,,,,,,,,,,,,C
EWA GIFTS SP. Z O.O.,2024,,C2.28a,,,Sprzedane (Targi PWE),,https://ewagifts.pl/,,,,1133066613,,https://ewagifts.pl/,,99399369045; 188623913301; 1780480478,,,https://www.facebook.com/profile.php,https://www.instagram.com/ewagifts.pl/,https://www.youtube.com/@EwaGifts-robimygadzetyreklamow,,,C
fritz-kulturgüter GmbH,2024,,C2.38a,,,Sprzedane,,https://de.linkedin.com/company/fritz-kulturg%C3%BCter-gmbh,,,,814938815,,,,,,,,,,,,C
TERYTORIIA SMAKU LLC,2024,,C2.51b,,,Sprzedane,,https://brak.pl,,,,5252897386,,,,,,,,,,,,C
VSE DOM MEDIOWY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"2024,2025",,C1.16b,C3.32,,Sprzedane,Sprzedane (Targi PWE),https://aleo.com/pl/firma/sale-force-four-spolka-z-ograniczona-odpowiedzialnoscia-warszawa,,,,5272944864,https://www4.pwe-expoplanner.com/sklep/img/logo/51672.jpg,,,,,,,,,,,C
HIMALAYAN PINK SALT,2024,,C2.34a,,,Sprzedane,,https://mapa.targeo.pl/5342268323/nip/firma,,,,5342268323,https://www4.pwe-expoplanner.com/sklep/img/logo/52997.jpg,,,,,,,,,,,C
Aslan food,2024,,C1.05b,,,Sprzedane,,https://krs-pobierz.pl/aslan-food-spolka-z-ograniczona-odpowiedzialnoscia-i7097465,,,,8222383678,https://www4.pwe-expoplanner.com/sklep/img/logo/15787.jpg,,,,,,,,,,,C
Crimston,2024,,C1.29,,,Sprzedane,,https://crimston.pl/,.,.,,7010936221,https://www4.pwe-expoplanner.com/sklep/img/logo/27480.jpg,https://crimston.pl/,,2019-12-09; 2025-05-20; +48 512 569 456,,https://www.linkedin.com/company/crimston/,https://www.facebook.com/CrimstonPoland/,https://www.instagram.com/crimston.ltd/,,,,C
"""AGROIP""ra",2024,,C1.35,,,Sprzedane (Targi PWE),,https://aleo.com/pl/firma/agroip-spolka-z-ograniczona-odpowiedzialnoscia,,,,5730106009,,,,,,,,,,,,C
PIERROT PK,"2024,2025",,C1.07a,C1.39,,Sprzedane,Sprzedane (Targi PWE),https://wodapierrot.pl/,,,,7990001142,https://www4.pwe-expoplanner.com/sklep/img/logo/33282.jpg,https://wodapierrot.pl/,,(48) 618 65 15; (48) 618 63 71; 56264981,,,,,,,,C
"ZHONG ZHAN GLOBAL (TIANJIN) BUSINESS EXHIBITION SERVICE CO.,LTD.","2024,2025",,C3.42,C3.68a,,Sprzedane,Sprzedane (Agenci),,"No.10-14-504, Ji Sheng Li, Huanghe Road, Nankai District, Tianjin, China",,,111,,,,,,,,,,,,C
Eat-Me Sp. z o.o.,2024,,C3.16a,,,Sprzedane,,https://www.eatme.pl/,,,,7010063715,https://www4.pwe-expoplanner.com/sklep/img/logo/49661.jpg,,,,,,,,,,,C
EKOANKA Anna Krawców,"2024,2025",,C1.49b,C3.49b,,Sprzedane,Sprzedane (Targi PWE),https://ekoanka.business.site/?utm_source=gmb&utm_medium=referral,-,,,8841166513,https://www4.pwe-expoplanner.com/sklep/img/logo/23751.png,,,,,,,,,,,C
Topass: international tradingia,2024,,C3.59a,,,Sprzedane (Targi PWE),,https://www.topasstrading.com/,,,,NL863550721B01,https://www4.pwe-expoplanner.com/sklep/img/logo/21245.jpg,https://www.topasstrading.com/cgi-sys/suspendedpage.cgi,,428571429,,,,,,,,C
Create And Production,2024,,C3.37a,,,Sprzedane,,https://krs-pobierz.pl/create-and-production-spolka-z-ograniczona-odpowiedzialnoscia-i7018591,,,,9512479909,https://www4.pwe-expoplanner.com/sklep/img/logo/28359.jpg,,,,,,,,,,,C
MultiCook Polska,"2024,2025",,C0.04,C3.16,,Sprzedane,Sprzedane (Dział Prawny),https://aleo.com/pl/firma/multi-cook-svitlana-borovyk,,,,5252610829,,,,,,,,,,,,C
URI FOOD,2024,,C3.23a,,,Sprzedane,,https://aleo.com/pl/firma/uri-food-spolka-z-ograniczona-odpowiedzialnoscia-warszawa,,,,7011084760,,,,,,,,,,,,C
Browar Gryfus,2024,,C3.07a,,,Sprzedane,,https://krs-pobierz.pl/mustank-craft-spolka-z-ograniczona-odpowiedzialnoscia-i0000453525,",",Nazwa firmy :Browar Gryfus,,8522679182,,,,,,,,,,,,C
mGrupa.coPL,2024,,C1.43a,,,Sprzedane,,https://aleo.com/pl/firma/mgrupacopl-kieszkowski-tomasz-zakres-dzialalnosci-handel-i-uslugi-okole,,,,5542479237,,,,,,,,,,,,C
ARH Group,"2024,2025",,C2.44a,C3.43c,,Sprzedane,Sprzedane (Dział Prawny),https://weed-land.pl/,,,,7282859322,,,,,,,,,,,,C
Fundacja Hodowców Polskiej Białej Gęsi - Fundacja,"2024,2025",,C0.10,C3.79b,,Sprzedane,Sprzedane (Dział Prawny),http://polskabialages.pl/,Ges,,,5562752417,https://www4.pwe-expoplanner.com/sklep/img/logo/23997.png,,,,,,,,,,,C
Euro-Most,2024,,C1.18b,,,Sprzedane,,https://euro-most.eu/,EURO – MOST należy do czołówki firm zajmujących się konsultingiem europejskim w Polsce.,,,7122404216,https://www4.pwe-expoplanner.com/sklep/img/logo/30545.jpg,,,,,,,,,,,C
Dobrodiya,"2024,2025",,C3.39b,C4.39a,,Sprzedane (Targi PWE),Sprzedane (Targi PWE),https://dobrodiya.com.ua/,,,,34786,https://www4.pwe-expoplanner.com/sklep/img/logo/18536.jpg,https://dobrodiya.com.ua/,,2021-08-09; 2025-07-07; 486911896337215,,,,,,,,C
FOREVER YOUNG KOMBUCHA SP. Z O.O.,2024,,C0.08,,,Sprzedane,,https://fyk.bar/,,,,5272954288,https://www4.pwe-expoplanner.com/sklep/img/logo/25682.jpg,,,,,,,,,,,C
Browar Bałtów,"2024,2025",,C0.02,C3.60a,,Sprzedane,Sprzedane (Targi PWE),https://www.browarbaltow.pl/,,,,6612366557,https://www4.pwe-expoplanner.com/sklep/img/logo/40546.jpg,https://www.browarbaltow.pl/,,739178520630074,,,,,,,,C
ArmLand Sp.zo.o,2024,,C3.27b,,,Sprzedane,,"http://krs.infoveriti.pl/Beeapi,Lomianki,KRS,0000895132.html",,,,9522240707,https://www4.pwe-expoplanner.com/sklep/img/logo/23862.jpg,,,,,,,,,,,C
Emborio Quality Products Sp.zo.o.,"2024,2025",,C3.55b,C1.72a,,Sprzedane,Sprzedane (Dział Prawny),https://aleo.com/pl/firma/emborio-quality-products-spolka-z-ograniczona-odpowiedzialnoscia,,,,8792752664,,,,,,,,,,,,C
"Przedsiębiorstwo Produkcyjno Handlowe ""WAF"" ANETA ŻUREK I MAREK",2024,,C2.43b,,,Sprzedane,,https://aleo.com/pl/firma/przedsiebiorstwo-produkcyjno-handlowe-waf-aneta-zurek-i-marek-sadowski-spolka-cywilna-dabrowa-gornicza,,,,6292473552,,,,,,,,,,,,C
Iwoniczanka Sp. z o.o.,2024,,C2.46b,,,Sprzedane,,https://iwoniczanka.pl/polityka-prywatnosci,,,,8133850807,,https://iwoniczanka.pl/polityka-prywatnosci,,23261086; 849423772317218,,,,,,,,C
ZIOMEK FISH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"2024,2025",,C0.05,C3.61a,,Sprzedane,Sprzedane (Targi PWE),https://brak@brak.pl,.,,,5223239864,,,,,,,,,,,,C
LLC BIO Products Factory,2024,,C0.16,,,Sprzedane,,https://ukrainian-food.com.ua/producers/producer/lls-bio-products-factory,.,.,,7011100430,,https://ukrainian-food.com.ua/producers/producer/lls-bio-products-factory,,157594455; +380934628035,,,,,,,,C
F.H. MANY ZBIGNIEW PRUSACZYK,2024,,C3.16b,,,Sprzedane (Targi PWE),,https://aleo.com/pl/firma/fh-many-zbigniew-prusaczyk-lodz,,,,7292524238,,,,,,,,,,,,C
BOROWCZYK s.c.,2024,,C1.65e,,,Sprzedane,,http://ubojniaborowczyk.pl/,",",,,6961635719,https://www4.pwe-expoplanner.com/sklep/img/logo/35349.jpg,,,,,,,,,,,C
Pure & Sweet,2024,,C1.57d,,,Sprzedane,,https://www.pureandsweet.pl/o-nas-puresweet/,,,,6392019249,https://www4.pwe-expoplanner.com/sklep/img/logo/8776.jpg,,,,,,,,,,,C
FHU ARCHONT 2018 Danuta Parvi,2024,,C0.01,,,Sprzedane (Targi PWE),,https://www.pkt.pl/firma/fhu-archont-2018-danuta-parvi-7079530,"Odzież, konfekcja - detal",,,7541357148,https://www4.pwe-expoplanner.com/sklep/img/logo/30531.jpg,,,,,,,,,,,C
Centrum Prawa Żywnościowego,2024,,C2.43c,,,Sprzedane,,https://www.food-law.pl/,,,,9512361131,https://www4.pwe-expoplanner.com/sklep/img/logo/17485.jpg,https://food-law.pl/,,2021-03-23; 2024-10-11; 0000943423,,https://www.linkedin.com/company/foodlaw/,https://www.facebook.com/FOODLEX,,,,Michał Kowański (Manager) | Adwokat Iga Wiśniewicz (Specjalista) | Adwokat Iga Henc (Specjalista),C
Ecofactor,2024,,C0.13,,,Sprzedane (Targi PWE),,https://aplikacja.ceidg.gov.pl/ceidg/ceidg.public.ui/SearchDetails.aspx?Id=d03eca0f-c325-424a-a3e3-4689fbed4366,,,,6832107384,https://www4.pwe-expoplanner.com/sklep/img/logo/13015.jpg,,,,,,,,,,,C
SYBIL GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2024,,C3.29c,,,Sprzedane,,https://aleo.com/pl/firma/sybil-group-spolka-z-ograniczona-odpowiedzialnoscia,,,,7831887564,,,,,,,,,,,,C
BACÓWKA U KRZYŚKA Krzysztof Łaś,2024,,C1.63b,,,Sprzedane,,https://www.malopolska.pl/_userfiles/uploads/Stop%20koronawirusowi/Oferta_U%20KRZY%C5%9AKA_sery_L.pdf,,,,6521105851,,,,,,,,,,,,C
People Media Company,2024,,C1.51b,,,Sprzedane,,https://krs-pobierz.pl/people-media-company-i5106882,,,,5213668612,,,,,,,,,,,,C
Violetta Wegner Tupperware,2024,,C1.43b,,,Sprzedane,,https://mapa.targeo.pl/7260035016/nip/firma,,,,7260035016,,,,,,,,,,,,C
SVANPOL,2024,,C1.52b,,,Sprzedane (Targi PWE),,https://aleo.com/pl/firma/svanpol-spolka-z-ograniczona-odpowiedzialnoscia-torun,,,,9562371338,,,,,,,,,,,,C
CINI-2009 shpk,2024,,C3.23b,,,Sprzedane,,https://alegria.com.al/,"ADRESRr. Kombetare Gjirokaster Tepelene, Km.13, Gjirokaster, ALBANIA",,,K93517602Q,https://www4.pwe-expoplanner.com/sklep/img/logo/22231.jpg,https://alegria.com.al/,,+355 68 214 4441; 1780480529; 56195545,https://api.whatsapp.com/send?phone=+355682144441,,https://www.facebook.com/alegriafoodalbania,https://www.instagram.com/alegria_food_albania/,,https://www.tiktok.com/@alegria_food_albania,,C
MEGENZYMES,2024,,C1.43c,,,Sprzedane,,https://aleo.com/pl/firma/megenzymes-spolka-z-ograniczona-odpowiedzialnoscia-bialystok,Adres: Głowno 95-015 ul. Zabrzeźniańska 60A,,,9662146285,,,,,,,,,,,,C
IMPEKS PLUS o,2024,,C1.54c,,,Sprzedane,,http://www.krs-online.com.pl/impeks-plus-sp-z-o-o-krs-7120632.html,,,,5223071212,,,,,,,,,,,,C
DAGOMA,2024,,C3.30c,,,Sprzedane (Targi PWE),,https://www.dagoma.com.pl/,,,,5871533908,https://www4.pwe-expoplanner.com/sklep/img/logo/33053.jpg,https://www.dagoma.com.pl/,,+48 515 042 395; 1948689049; 1914-1918,,,https://www.facebook.com/MojaDagoma/,,,,,C
LYCOPHARM Sp z  o.o.,2024,,C3.49c,,,Sprzedane,,https://www.lycopenehealth.pl/,,,,7011012252,https://www4.pwe-expoplanner.com/sklep/img/logo/34251.jpg,,,,,,,,,,,C
No Milk Deal,2024,,C3.51a,,,Sprzedane (Targi PWE),,https://rejestr.io/krs/992443/no-milk-deal,,,,7162837507,,,,,,,,,,,,C
Pawer Caffe,"2024,2025",,C1.56c,C3.60b,,Sprzedane,Sprzedane (Dział Prawny),"https://www.gowork.pl/pawer-caffe-s.c.-krzysztof-czopko-magdalena-czopko,24821643/dane-kontaktowe-firmy",,,,7952527126,,,,,,,,,,,,C
Nasza Pszczelarnia,2024,,C1.61b,,,Sprzedane,,https://aleo.com/pl/firma/piotr-lewandowski-consulting-poznan,,,,7781187875,https://www4.pwe-expoplanner.com/sklep/img/logo/44627.jpg,,,,,,,,,,,C
Lewar Catering,"2024,2025",,C3.51c,C1.63,,Sprzedane,Sprzedane (Dział Prawny),https://aleo.com/pl/firma/lewar-serwis-spolka-z-ograniczona-odpowiedzialnoscia,,,,5431889825,,,,,,,,,,,,C
EVEREST POLAND,2024,,C1.47b,,,Sprzedane,,https://aleo.com/pl/firma/everest-poland-kwizera-patrick-bydgoszcz,,,,9671418748,,,,,,,,,,,,C
PROLAB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2024,,C1.60c,,,Sprzedane,,https://krs-pobierz.pl/prolab-i7176151,,,,5423428386,,,,,,,,,,,,C
Meriggio,"2024,2025",,C1.42c,C4.42,,Sprzedane,Sprzedane (Targi PWE),https://brak.pl,N,,,1181992157,,,,,,,,,,,,C
