Company,Category,Country,Stand,IFE Profile,Relevant,Sales Navigator Search,LinkedIn People Search,Apollo Search,Apollo People Search,Contact Name,Contact Title,Contact Email,Website,Description,AI Message,Status,Interest Level,Notes,company_name_scraped,description,phone_scraped,address,linkedin_company_url,industry,enrichment_status,score,Email,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,outreach_category,company_name,phone,linkedin_url
Al Saraya Sweets,Stand: N4630,,Stand: N4630,https://www.ife.co.ukexhibitors/al-saraya-sweets,YES,https://www.linkedin.com/sales/search/people?keywords=Al%20Saraya%20Sweets&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=Al%20Saraya%20Sweets&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=Al%20Saraya%20Sweets,https://app.apollo.io/#/people?q_organization_name=Al%20Saraya%20Sweets&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
Alhussan Food Factory,Stand: N1730c,,Stand: N1730c,https://www.ife.co.ukexhibitors/alhussan-food-factory,YES,https://www.linkedin.com/sales/search/people?keywords=Alhussan%20Food%20Factory&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=Alhussan%20Food%20Factory&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=Alhussan%20Food%20Factory,https://app.apollo.io/#/people?q_organization_name=Alhussan%20Food%20Factory&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
AMINA'S WONDER SPICE,Stand: N3056,,Stand: N3056,https://www.ife.co.ukexhibitors/aminas-wonder-spice-1,YES,https://www.linkedin.com/sales/search/people?keywords=AMINA'S%20WONDER%20SPICE&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=AMINA'S%20WONDER%20SPICE&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=AMINA'S%20WONDER%20SPICE,https://app.apollo.io/#/people?q_organization_name=AMINA'S%20WONDER%20SPICE&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
ANDROS UK FOODSERVICE,Stand: N3349,,Stand: N3349,https://www.ife.co.ukexhibitors/andros-uk-foodservice-1,YES,https://www.linkedin.com/sales/search/people?keywords=ANDROS%20UK%20FOODSERVICE&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=ANDROS%20UK%20FOODSERVICE&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=ANDROS%20UK%20FOODSERVICE,https://app.apollo.io/#/people?q_organization_name=ANDROS%20UK%20FOODSERVICE&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
"AnHui KaiLai Packaging Co.,Ltd",Stand: N1450b,,Stand: N1450b,https://www.ife.co.ukexhibitors/anhui-kailai-packaging-co,YES,"https://www.linkedin.com/sales/search/people?keywords=AnHui%20KaiLai%20Packaging%20Co.,Ltd&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement","https://www.linkedin.com/search/results/people/?keywords=AnHui%20KaiLai%20Packaging%20Co.,Ltd&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22","https://app.apollo.io/#/companies?q_organization_name=AnHui%20KaiLai%20Packaging%20Co.,Ltd","https://app.apollo.io/#/people?q_organization_name=AnHui%20KaiLai%20Packaging%20Co.,Ltd&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager",,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
Argo Sweets,Stand: N4350,,Stand: N4350,https://www.ife.co.ukexhibitors/argo-sweets,YES,https://www.linkedin.com/sales/search/people?keywords=Argo%20Sweets&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=Argo%20Sweets&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=Argo%20Sweets,https://app.apollo.io/#/people?q_organization_name=Argo%20Sweets&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
AROHA CHOCOLATE,Stand: N936,,Stand: N936,https://www.ife.co.ukexhibitors/aroha-chocolate,YES,https://www.linkedin.com/sales/search/people?keywords=AROHA%20CHOCOLATE&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=AROHA%20CHOCOLATE&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=AROHA%20CHOCOLATE,https://app.apollo.io/#/people?q_organization_name=AROHA%20CHOCOLATE&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
Arrow Juice Factory for Bottling & Production,Stand: N1750a,,Stand: N1750a,https://www.ife.co.ukexhibitors/arrow-juice-factory-bottling-production,YES,https://www.linkedin.com/sales/search/people?keywords=Arrow%20Juice%20Factory%20for%20Bottling%20%26%20Production&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=Arrow%20Juice%20Factory%20for%20Bottling%20%26%20Production&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=Arrow%20Juice%20Factory%20for%20Bottling%20&%20Production,https://app.apollo.io/#/people?q_organization_name=Arrow%20Juice%20Factory%20for%20Bottling%20&%20Production&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
ASCO Foods,Stand: N2410,,Stand: N2410,https://www.ife.co.ukexhibitors/asco-foods-1,YES,https://www.linkedin.com/sales/search/people?keywords=ASCO%20Foods&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=ASCO%20Foods&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=ASCO%20Foods,https://app.apollo.io/#/people?q_organization_name=ASCO%20Foods&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
Austin Foods and Beverages Pvt. Ltd.,Stand: N2752,,Stand: N2752,https://www.ife.co.ukexhibitors/austin-foods-beverages-pvt-,YES,https://www.linkedin.com/sales/search/people?keywords=Austin%20Foods%20and%20Beverages%20Pvt.%20Ltd.&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=Austin%20Foods%20and%20Beverages%20Pvt.%20Ltd.&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=Austin%20Foods%20and%20Beverages%20Pvt.%20Ltd.,https://app.apollo.io/#/people?q_organization_name=Austin%20Foods%20and%20Beverages%20Pvt.%20Ltd.&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
Ausvision Meat Processors,Stand: S1010,,Stand: S1010,https://www.ife.co.ukexhibitors/ausvision-meat-processors,YES,https://www.linkedin.com/sales/search/people?keywords=Ausvision%20Meat%20Processors&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=Ausvision%20Meat%20Processors&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=Ausvision%20Meat%20Processors,https://app.apollo.io/#/people?q_organization_name=Ausvision%20Meat%20Processors&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
AVA Food And Beverages Ltd,Stand: N4380,,Stand: N4380,https://www.ife.co.ukexhibitors/ava-food-beverages,YES,https://www.linkedin.com/sales/search/people?keywords=AVA%20Food%20And%20Beverages%20Ltd&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=AVA%20Food%20And%20Beverages%20Ltd&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=AVA%20Food%20And%20Beverages%20Ltd,https://app.apollo.io/#/people?q_organization_name=AVA%20Food%20And%20Beverages%20Ltd&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
B&R Distribution Ltd,Stand: N4914,,Stand: N4914,https://www.ife.co.ukexhibitors/br-distribution,YES,https://www.linkedin.com/sales/search/people?keywords=B%26R%20Distribution%20Ltd&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=B%26R%20Distribution%20Ltd&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=B&R%20Distribution%20Ltd,https://app.apollo.io/#/people?q_organization_name=B&R%20Distribution%20Ltd&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
Baba Sidi Herbs,Stand: N570,,Stand: N570,https://www.ife.co.ukexhibitors/baba-sidi-herbs,YES,https://www.linkedin.com/sales/search/people?keywords=Baba%20Sidi%20Herbs&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=Baba%20Sidi%20Herbs&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=Baba%20Sidi%20Herbs,https://app.apollo.io/#/people?q_organization_name=Baba%20Sidi%20Herbs&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
Baltic Foods,Stand: N3754,,Stand: N3754,https://www.ife.co.ukexhibitors/baltic-foods-1,YES,https://www.linkedin.com/sales/search/people?keywords=Baltic%20Foods&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=Baltic%20Foods&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=Baltic%20Foods,https://app.apollo.io/#/people?q_organization_name=Baltic%20Foods&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
BIKA JI FOODS INTERNATIONAL LTD INDIA,Stand: N2916,,Stand: N2916,https://www.ife.co.ukexhibitors/bika-ji-foods-international-india,YES,https://www.linkedin.com/sales/search/people?keywords=BIKA%20JI%20FOODS%20INTERNATIONAL%20LTD%20INDIA&titleFreeText=CEO%20OR%20MD%20OR%20Director%20OR%20Buyer%20OR%20Procurement,https://www.linkedin.com/search/results/people/?keywords=BIKA%20JI%20FOODS%20INTERNATIONAL%20LTD%20INDIA&titleFreeText=CEO%20OR%20MD%20OR%20%22Managing%20Director%22%20OR%20Founder%20OR%20Director%20OR%20Buyer%20OR%20Procurement%20OR%20%22Head%20of%20Sales%22,https://app.apollo.io/#/companies?q_organization_name=BIKA%20JI%20FOODS%20INTERNATIONAL%20LTD%20INDIA,https://app.apollo.io/#/people?q_organization_name=BIKA%20JI%20FOODS%20INTERNATIONAL%20LTD%20INDIA&personTitles[]=CEO&personTitles[]=Managing%20Director&personTitles[]=Founder&personTitles[]=Director&personTitles[]=Head%20of%20Procurement&personTitles[]=Buyer&personTitles[]=Commercial%20Director&personTitles[]=Export%20Manager,,,,,,,New,,,,,,,,,partial,0,,,,,False,False,False,0,0,skip,,,
