event_name,edition_2025,edition_2026,city,country,region,venue,visitors,exhibitors,exhibitor_countries,area_m2,frequency,organizer,website,notes,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
FoodTech Plovdiv,"November 12-15, 2025","November 11-14, 2026",Plovdiv,Bulgaria,Eastern Europe,International Fair Plovdiv,"15,000+",200+,20,"15,000",Annual,International Fair Plovdiv,https://www.fair.bg/en/,Largest Bulgarian food technology & products exhibition,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
WorldFood Ukraine,"October 28-30, 2025","October 13-15, 2026",Kyiv,Ukraine,Eastern Europe,IEC Kyiv,"7,000",400,N/A,"10,000",Annual,Premier Expo,https://worldfood.com.ua/en/,Largest international food & beverage exhibition in Ukraine,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Riga Food,"September 3-6, 2025","September 2-5, 2026",Riga,Latvia,Eastern Europe,Ķīpsala International Exhibition Centre,"30,000+",425,32,"20,000",Annual,BT 1,https://bt1.lv/en/exhibitions/riga-food/,Largest food fair in the Baltic States; 13+ national pavilions,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Foodexpo Herning,"March 17-19, 2025","March 22-24, 2026",Herning,Denmark,Scandinavia,MCH Messecenter Herning,"20,547",463,25,"50,000",Biennial,MCH Messecenter,https://uk.foodexpo.dk/,"Largest food fair in Nordic region; biennial; 7,400 m2 exhibition area in single hall format",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Nordic Organic Food Fair (The Good Food Fair),"November 12-13, 2025","November 18-19, 2026",Malmö,Sweden,Scandinavia,MalmöMässan,"5,000+",200+,25,"7,000",Annual,Diversified Communications,https://www.nordicorganicexpo.com/,Scandinavia's leading B2B trade show for organic food & beverages,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
FFCR Stockholm,"January 29-30, 2025","January 28-29, 2026",Stockholm,Sweden,Scandinavia,Kistamässan,"7,092",250+,N/A,"15,000",Annual,Easyfairs,https://www.ffcr.se/en/,Sweden's largest restaurant fair (Fast Food Café Restaurant); record 2026 ed.,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Smaka på Stockholm,"June 4-7, 2025","June 3-6, 2026",Stockholm,Sweden,Scandinavia,Kungsträdgården,"180,000+",100+,10,"10,000",Annual,City of Stockholm,https://smakapastockholm.se/,Largest Swedish food festival/fair; consumer-facing,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Smak Norway,"May 18-20, 2025","May 17-19, 2026",Lillestrøm,Norway,Scandinavia,Norges Varemesse,"10,000+",250+,15,"12,000",Annual,Norges Varemesse,https://smakmessen.no/,Norway's leading food & beverage trade fair,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Food Industry Finland,April 2025,"September 9-10, 2026",Helsinki,Finland,Scandinavia,Helsinki Expo & Convention Centre,"8,000+",200+,15,"10,000",Annual,Messukeskus,https://foodindustryexpo.fi/,Finland's most comprehensive food industry & food trade event; co-located with Logistics Fair,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Gastro Helsinki,"March 11-13, 2025",March 2026,Helsinki,Finland,Scandinavia,Helsinki Expo & Convention Centre,"8,200",300+,15,"15,000",Biennial,Messukeskus,https://gastro.messukeskus.com/en/,Finland's leading HoReCa fair; #1 Finnish food/hospitality event,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Reykjavik Food & Fun Festival,"February 26 - March 2, 2025","February 25 - March 1, 2026",Reykjavik,Iceland,Scandinavia,Various restaurants,"15,000+",30+,20,N/A,Annual,Inspired by Iceland,https://foodandfun.is/,Iceland's largest culinary festival featuring international chefs,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
