Company,Country,Category,Website,Stand,Email,Phone
Aachener Printen- und Schokoladenfabrik Henry Lambertz GmbH & Co. KG,Germany,Bread & Bakery,http://www.lambertz.de,Hall 03.2 | A010 A018,info@lambertz.de,+49 (241) 89050
AAK Foodservice & Retail,United Kingdom,Fine Food,https://aakfoodservice.com,Hall 10.2 | F063,claire.douthwaite@aak.com,+44 77773257914
Aakansha-Naturprodukte GmbH,Germany,Fine Food,https://www.aakansha-naturprodukte.com/,Hall 02.1 | F050,info@aakansha-naturprodukte.com,+49 4043180855
AAKSH BEVERAGES Pvt Ltd,India,Hot Beverages,https://www.aaksh.com,Hall 08.1 | A119,foods@aaksh.com,+91 9702939999
Aaswad Foods,India,Fine Food,http://www.aaswadexports.com,Hall 11.3 | F037a,contact@aaswadexports.com,+91 9428298211
AAYLEX HOSPITALITY,Romania,Meat,http://www.cocorico.ro,Hall 09.1 | B050,marketing@aaylex.ro,
AAYLEX ONE SA,Romania,Meat,https://cocorico.ro/en/,Hall 09.1 | A059,www.marketing@aaylex.ro,+40 212413966
AB Vilkyskiu pienine,Lithuania,,,Hall 10.1 | A021,,
AB Vilniaus pergalė,Lithuania,,,Hall 10.2 | E042,,
Abada Trade LLC,Kyrgyzstan,,,Hall 11.3 | C051,,
Abalioglu Lezita Gida San. A.S.,Türkiye,,,Hall 9.1 | E040,,
Abbondanza del Pane,Italy,,,Hall 5.2 | B040,,
ABC Fruits,India,,,Hall 8.1 | D011,,
"ABC Global Resources, USA.",United States of America,,,Hall 10.2 | G060,,
"ABD Khan Co., Ltd.",Thailand,Fine Food,http://www.abc.co.th,Hall 11.3 | G051,welcome@abc.co.th,+66 28624841
Abhaja SIA,Latvia,,,Hall 5.2 | B057,,
Abhiram International Private Limited,India,,,Hall 11.3 | G027,,
Abido Spices,Lebanon,Fine Food,http://www.abido.com,Hall 02.1 | E011gE019g,export@abido.com,+961 076755993
ABIEC Brazilian Beef Exporters Association INDÚSTRIAS EXPORTADORAS DE CARNES,Brazil,"Associations, organisations, trade press, services, IT | Meat",https://www.abiec.com.br/en/,Hall 06.1 | E072a,lhais@abiec.com.br,+55 1135317888
ABP,Ireland,Meat,http://www.abpfoodgroup.com,Hall 06.1 | A050 B051,kristina.campion@abpireland.com,+353 416850200
ABS Commerce & Industrial GmbH,Germany,Bread & Bakery,http://en.angelyeast.com,Hall 02.2 | B029,renfl@angelyeast.com,+49 496971411806
Abu Odeh Bros. Co. Ltd.,Jordan,Fine Food,https://www.abuodehbros.com/,Hall 02.1 | E025a,info@abuodehbros.com,+962 797332200
Acaí Amazonas Industria e Comercio Ltda.,Brazil,Fine Food,http://www.acaiamazonas.com.br,Hall 03.1 | C029,fernanda.comercial@acaiamazonas.com.br,+55 49991603419
Accademia Olearia SRL,Italy,Fine Food,http://www.accademiaolearia.it,Hall 11.1 | A051 A057,export@accademiaolearia.it,+39 079 980394
Acecook Vietnam Joint Stock Company,Vietnam,Fine Food,https://acecookvietnam.vn/export/,Confexhall A031,banvn.hcm@acecookvietnam.com,
Aceitera General Deheza / AGD,Argentina,Fine Food,https://agd.com.ar/,Hall 03.1 | B074c,sales@agd.com.ar,+54 (11) 43101800
Aceites Abril S.L.,Spain,Fine Food,https://aceitesabril.com/en/export-ready/,Hall 11.1 | E016,info@aceitesabril.com,+34 988383747
ACEITES ALBERT S.A.,Spain,Fine Food,http://www.aceitesalbert.com,Hall 11.1 | A036,export@aceitesalbert.com,+34 616648029
"Aceites Arredondo, S.L.",Spain,Fine Food,http://www.aceitesarredondo.com,Hall 11.1 | E020c,juanderod@gmail.com,+34 652354876
"ACEITES DE LAS HERAS, S.L.U.",Spain,Fine Food,https://www.aceitesdelasheras.com/en,Hall 11.1 | A024,info@aceitesdelasheras.com,+34 96 217 22 61
Aceites Garcia de la Cruz S.L.,Spain,Fine Food,https://www.garciadelacruz.com,Hall 11.1 | D019a,aceites@garciadelacruz.com,+34 925460496
ACEITES MORAL SL,Spain,Fine Food,http://www.verdedivino.com,Hall 11.1 | E028d,ventas@verdedivino.com,+34 674336620
Aceites Málaga SL,Spain,Fine Food,https://aceitesmalaga.com/,Hall 11.1 | C027,exportasia@aceitesmalaga.com,+34 655732839
ACEITES OILTOPIA,Spain,Fine Food,https://oiltopia.es/,Hall 11.1 | D015,AJESTRELLAOILTOPIA@GMAIL.COM,+34 674771553
Aceites Oro Bailén Galgon 99 S.L.,Spain,Fine Food,https://www.orobailen.com,Hall 11.1 | E020a,comercial@orobailen.com,+34 953548038
"Aceites Vicente Perez, S.L.",Spain,,,Hall 10.2 | C022,,
ACEITES YBARRA S.A,Spain,,,Hall 11.1 | F009,,
Aceitunas Cazorla S.L.,Spain,,,Hall 11.1 | A021,,
Aceitunas Guadalquivir SL,Spain,,,Hall 11.1 | F009a,,
Aceitunas Karina SL,Spain,,,Hall 11.1 | A010b,,
ACEITUNAS LA TORTOLA SL,Spain,,,Hall 11.1 | E024,,
Aceitunas Losada S.L.,Spain,,,Hall 11.1 | E020d,,
Aceitunas Merino S.A.,Spain,,,Hall 11.1 | E030,,
"Aceitunas Torrent, S.L.",Spain,,,Hall 11.1 | D021a,,
Acemoglu Gida San. ve Tic. A.S.,Türkiye,,,Confexhall F010 G011,,
Acetaia Borgo Castello S.R.L.,Italy,Fine Food,http://www.acetaiaborgocastello.it,Hall 11.2 | A039,avivici@borgocastello.it,+39 059768722
Acetaia Cazzola e Fiorini. S.r.L.,Italy,Fine Food,http://www.famigliafiorini.it,Hall 11.2 | D018a,amministrazione@acf1919.com,+39 059 8676968
Acetaia Giuseppe Cremonini s.r.l.,Italy,Fine Food,https://www.acetaiacremonini.com/,Hall 11.2 | F021,marketing.olitalia@gruppo-olitalia.com,+39 (059) 7474030
Acetaia Giusti Srl,Italy,Fine Food,https://giusti.com/,Hall 10.2 | A028,lorenzo.corelli@giusti.it,+49 157-88346980
Acetaia i Solai,Italy,Organic,http://www.isolai.it,Hall 05.1 | D032,amministrazione@acf1919.com,+39 0598676968
ACETAIA LEONARDI Srl,Italy,Fine Food,http://www.acetaialeonardi.it,Hall 10.2 | C029,export6@acetaialeonardi.it,+39 3486620618
Acetaia Terra del Tuono Soc. Agr. Srl,Italy,Fine Food,https://www.terradeltuono.it,Hall 11.2 | A032,info@terradeltuono.it,+39 0522343317
Acetificio Andrea Milano S.R.L.,Italy,Fine Food,https://www.acetomilano.it,Hall 05.2 | A028,info@acetomilano.it,+39 (081) 8446013
Acetificio Marcello de Nigris SRL,Italy,Fine Food,https://www.denigris1889.com/it/,Hall 05.2 | A010 B019,info@denigris.it,+39 0818808911
Acetificio Varvello S.R.L.,Italy,Fine Food,http://www.acetovarvello.com,Hall 11.2 | A010a,,
Aceto Balsamico del Duca 1891,Italy,Fine Food,https://www.acetobalsamicodelduca.com,Hall 11.2 | C039,export@acetodelduca.it,+39 059469471
Acetum S.p.A.,Italy,Fine Food,https://it.mazzettioriginale.com/,Hall 11.2 | E059,gretha.guacci@acetum.it,+39 3666814419
Achdut ltd Simsam food ltd,Israel,Organic,http://www.halva.co.il,Hall 05.2 | C051,yoav@halva.co.il,+972 526406036
"Achim Co., Ltd",Republic of,Chilled & Fresh Food,https://www.achim.co.kr/,Hall 05.1 | A068c,overseas@achim.co.kr,+82 25765582
Acme Fate International Ltd.,China,Fine Food,http://www.acmefate.com,Passage Halle 2 Halle 3 A002d,sam@acmefate.com,+86 53285768466
Aconcagua Foods S.A.,Chile,Fine Food,https://www.aconcaguafoods.cl/,Hall 03.1 | A073,afigueroa@aconcaguafoods.cl,
Acosta Snacks SAS,Ecuador,Fine Food,https://specialty-flavours.com/index.html,Hall 03.1 | A028,justin@specialtyflavours.com,+44 7713604940
Acqua Filette Srl,Italy,Fine Food,http://www.acquafilette.it,Hall 05.2 | A030 B031,info@acquafilette.it,+39 07751888790
Acquaroma Srl,Italy,Drinks,https://www.acquaroma.it,Hall 08.1 | E095,ufficio@acquaroma.it,+39 3346683362
ACTIVEPLUS BLUE COMPANY LIMITED,Thailand,Bread & Bakery,http://www.snaxfarm.com,Hall 02.2 | F053a,natnicha@apb.co.th,+66 863326819
AD Klanica so ladilnik Strumica,Republic of North Macedonia,Meat,http://www.ronibet.mk,Hall 06.1 | A073,klansoladstrum@t.mk,+389 071200475
AD Tarim San. ve Tic. A.S.,Türkiye,Fine Food,https://www.adtarim.com.tr/en,Hall 11.3 | B013,info@adtarim.com.tr,+90 2245877700
AD'OCC - SUD DE FRANCE L'OCCITANIE,France,Fine Food,https://www.agence-adocc.com/,Hall 10.2 | G033,,
ADA,Morocco,"Associations, organisations, trade press, services, IT | Fine Food",https://www.ada.gov.ma,Hall 11.3 | A040 B049,,
ADALBERT'S Sp. z o.o.,Poland,Drinks,http://www.adalberts.pl,Hall 07.1 | F018,,
Adalilar Kuruyemis A.S.,Türkiye,Fine Food,http://www.adalilar.com,Hall 11.3 | B012a,export@adalilar.com,+90 4445471
Adam Spices Trading and Production,Vietnam,Fine Food,http://adam-spices.com.vn,Hall 01.2 | N008,Rose@adam-spices.com.vn,+84 974279671
ADAMEXPO,Sri Lanka,Fine Food,http://www.adamexpo.net,Hall 01.2 | G025,tea@adamexpo.net,+94 777345069
Adazi Meat House Ltd.,Latvia,Meat,https://www.galasnams.lv/lv,Hall 07.1 | C024,arnis.burdins@galasnams.lv,+371 29526892
ADECOAGRO,Argentina,Fine Food,http://www.adecoagro.com,Hall 03.1 | B068,maleyba@adecoagro.com,+54 91162812701
Adler Schwarzwald GmbH & Co. KG,Germany,Meat,https://adlerschwarzwald.de,Hall 07.1 | A028,export@adlerschwarzwald.de,
Adnan Khudari & Sons Trading Co.,Jordan,Fine Food,https://www.khudari.com/,Hall 02.1 | D024b,nada@khudari.com,+962 64988400
Adonis Spices,Lebanon,Fine Food,http://www.adonisfoods.me,Hall 02.1 | E017,adonis@adonisfoods.me,+961 03617717
Adriano Vinci - Agenzia Rappresentanze,Germany,Meat,https://www.agenziavinci.de/,Hall 07.1 | A039,info@fabioesposito.it,+49 17657507081
ADU FOOD GROUP LIMITED,China,Fine Food,http://www.adufood.cn,Hall 02.1 | D023,info@adufood.cn,+86 18338127028
ADUCKTIVE FOOD SDN BHD,Malaysia,Fine Food,http://www.aducktive.com,Hall 01.2 | N010 O011,export@aducktive.com,+60 360903113
ADUGS PRODUCTION,Latvia,,,Hall 2.2 | A052,,
Aeolikos SA Dairy Industry,Greece,Dairy,http://www.aeolikos.gr,Hall 10.1 | B044,info@aeolikos.gr,+30 2253032031
Aerzener Brot und Kuchen GmbH,Germany,Bread & Bakery,http://www.aerzener-brot.de,Hall 03.2 | C021 C029,info@aerzener-brot.de,+49 (5154) 95230
AFFCO New Zealand Ltd,New Zealand,,,Hall 6.1 | C111 C119,,
Affish bv,Netherlands,Chilled & Fresh Food,http://www.affish.com,Hall 05.1 | B033,khve@zalmhuys.com,+31 653218383
AFI IMPEX PERU SAC,Peru,Fine Food,http://afi.com.pe,Hall 03.1 | B019,sales@afi.com.pe,+51 968246606
AFOI D. AVRAMOULI,Greece,Dairy,https://avramoulis.gr/,Hall 10.1 | A044,promoavramoulis@gmail.com,+30 2495022570
AFOI DINAKI E.E PIYI DINAKI,Greece,Drinks,http://www.piyidinaki.gr,Hall 08.1 | E031a,info@piyidinaki.gr,+30 6978482261
AFOI LEONTIADI AE,Greece,Frozen Food,http://www.leontiadis.eu,Hall 04.2 | B081 C080,info@leontiadis.eu,+30 2310682595
AFP advanced food products llc,United States of America,Dairy,https://www.afpllc.com,Hall 10.2 | G058,info@afpllc.com,+1 717 355 8500
AFRIBURST PTY LTD ta Two in a Bush,South Africa,Fine Food,http://www.twoinabush.co.za,Hall 11.1 | A050 B059,hello@twoinabush.co.za,+27 825766988
AFRICABIS,Morocco,Fine Food,http://africabis.ma,Hall 11.3 | A040 B049,,
Afrimex Trading,Tunisia,Fine Food,http://www.afrimex.net,Hall 11.3 | C046d,info@afrimex.net,+216 70279177
AG Barr Soft Drinks,United Kingdom,Drinks,http://www.agbarr.co.uk,Hall 08.1 | D118,international@agbarr.co.uk,+44 3303903900
AG Chavin,Peru,Frozen Food,https://chavin.com.pe/,Hall 04.2 | D057,sales@agchavin.com,+51 908870654
"AGARAS, UAB",Lithuania,Meat,https://www.agaras.lt/,Hall 07.1 | A025,info@agaras.lt,
Agarikus BG LTD,Bulgaria,Fine Food,https://www.agarikus.com/,Hall 03.1 | D076,m.todorova@agarikus.com,+359 884135911
Age well,Saudi Arabia,Fine Food,http://www.agewellco.com,Confexhall E031,abdullah.alshaibi@agewellco.com,+966 567599297
AGENCIA PROCORDOBA SOCIEDAD DE ECONOMIA,Argentina,Fine Food,https://www.procordoba.org/,Hall 04.1 | C090,candela.gaidomaina@procordoba.org,+54 93513066727
Agenzia LAORE Sardegna,Italy,,,Hall 11.1 | A051 A057,,
Agile Development SRL,Romania,Meat,http://tendermeat.eu,Hall 09.1 | C068,tendermeat@tendermeat.eu,+40 744566881
"AGOTZAINA, S. L.",Spain,Fine Food,http://www.lacteossegarra.com,Passage Halle 4 Halle 5 B015,beatriz.segarra@agotzaina.com,+34 629369162
AGRA' CONTADO DEGLI ACQUAVIVA Srl,Italy,Fine Food,http://www.agracontado.com,Hall 11.2 | A016a,,
Agral SA,Belgium,Dairy,http://www.agral.be,Hall 10.1 | B020e,catherine.thomas@agral.be,+32 71239925
AGRANELA LLC,Serbia,Fine Food,http://www.agranelasrbija.com,Hall 11.1 | D043a,agranelabg@agranela.rs,+381 113973599
Agrar KO,Republic of North Macedonia,Fine Food,http://www.agrarko.com,Hall 11.1 | G058,info@agrarko.com,+389 077990555
Agrarco,Azerbaijan,Fine Food,https://www.agrarco.az/az/contacts,Hall 05.2 | B068g,ulduz.huseynova@aqrovest.az,+994 0507325979
Agrarfrost GmbH,Germany,Frozen Food,https://www.agrarfrost.de,Hall 04.1 | B029,info@agrarfrost.de,+49 (04434) 870
Agrarmarkt Austria Marketing GesmbH,Austria,"Associations, organisations, trade press, services, IT",http://www.ama.global/at/,Hall 10.1 | C025,export@amainfo.at,+43 5031510
Agregare Holding B.V.,Netherlands,Fine Food,http://www.agregare.com/,Passage Halle 4 Halle 5 A043a,olha.lisovol@agregare.com,+31 31622652218
Agrexpo S.A.,Greece,Fine Food,http://www.agrexpo.gr,Hall 10.2 | G020,info@agrexpo.gr,+30 2721082149
AGRI INTERNATIONAL LLC,United States of America,Fine Food,http://www.fresco-select.com,Hall 10.2 | H071,INFO@AGRILLC.COM,+1 470 344 4233
Agri Verdi Foods,Egypt,Fine Food,http://www.agriverdi.com,Hall 02.1 | C063,ghazwan@agriverdi.com,+20 1111677762
AGRIAL MEAT DIVISION,France,,,Hall 9.1 | B037a,,
AGRICO DTL,Poland,Meat,http://www.agrico.pl,Hall 07.1 | C070,trade@agrico.pl,+48 627602595
Agricola Due Vittorie Srl,Italy,Fine Food,http://www.duevittorie.it,Hall 11.2 | E017,elisaexport@duevittorie.com,+39 059563876
Agricola Filippone,Italy,Fine Food,http://www.agricolafilippone.it,Hall 11.2 | B041,info@agricolafilippone.it,+39 3299715562
AGRICOLA FOIS ILARIO,Italy,Fine Food,https://www.agricolafoisilario.com/,Hall 11.1 | A051 A057,info@agricolafoisilario.it,+39 3474190943
Agricola International,Romania,Meat,https://www.agricola.ro,Hall 09.1 | B058,export@agricola.ro,+40 741036657
AGRICOLA PEDDIO SAS,Italy,Fine Food,http://www.oliopeddio.it,Hall 11.1 | A051 A057,oliopeddio@yahoo.it,+39 3427083305
Agricola Schweigert SA,Paraguay,Organic,http://www.agricolaschweigert.com,Hall 03.1 | C081 D081,info@agricolaschweigert.com,+595 983510632
Agricon Business,Brazil,Fine Food,https://agriconbusiness.com/,Hall 03.1 | C021c,eduarda@agriconbusiness.com,+55 55991634737
Agricultores Federados Argentinos,Argentina,Fine Food,http://afa.afascl.coop/,Hall 03.1 | B078a,ascarabelli@afascl.coop,+54 93417670051
Agricultura y Conservas S.A.,Spain,,,Hall 11.1 | C018a,,
Agricultural & Processed Food Products Export Development Authorithy,India,Fine Food,http://www.apeda.gov.in,Hall 11.3 | F031gF039g,vinitas@apeda.gov.in,+91 1141486013
Agricultural Cooperative Arxaia Oleneia STAMNA OLIVES,Greece,,,Hall 10.2 | H039,,
AGRICULTURAL COOPERATIVES UNION AEGHION S.A,Greece,Fine Food,http://www.pesunion.gr,Hall 10.2 | H017,sales@pesunion.gr,+30 2691022409
Agricultural Corp. Very Good Food,Republic of,Fine Food,http://www.vgfood.co.kr,Hall 05.2 | B067,leeyh@vgfood.co.kr,+82 313598650
Agricultural Marketing Centre Ltd.,Hungary,"Associations, organisations, trade press, services, IT",http://www.amc.hu,Hall 07.1 | E058,kereszturi.katalin@amc.hu,+36 203989198
"AGRICULTURAS DIVERSAS, S.L.",Spain,Meat,https://agriculturasdiversas.com,Hall 07.1 | B069,contacto@extremiberico.com,+34 638497538
Agriculture & Horticulture Development Board,United Kingdom,"Associations, organisations, trade press, services, IT | Meat",http://www.ahdb.org.uk,Hall 06.1 | D041a,info@ahdb.org.uk,+44 2476692051
Agrideavallillo s.r.l.,Italy,Fine Food,https://www.vallillo.it/de/,Hall 11.2 | A012a,info@vallillo.it,+39 3883456472
AgriFood Trade BV,Netherlands,Fine Food,https://www.agrifoodtrade.com,Hall 10.2 | C091,info@agrifoodtrade.com,+31 343 411 596
AGRIFREEZ SAS,France,Frozen Food,http://www.agrifreez.fr,Hall 04.2 | B037,info@agrifreez.fr,+33 328653864
AGRIGOLD INTERNATIONAL,Tunisia,Fine Food,https://agrigold-international.com/,Hall 11.3 | D045,commercial@agrigold-international.com,+216 26373060
AGRIM Pte Ltd,Indonesia,Fine Food,http://www.agrimltd.com,Hall 01.2 | K007,trade@agrimltd.com,+62 6180030070
Agrindo Ltd.,Bulgaria,Fine Food,http://www.agrindo.eu,Hall 10.2 | E032,sales@agrindo.eu,+359 887316677
AGRINO - EV. GE PISTIOLAS S.A,Greece,Fine Food,http://www.agrino.gr,Hall 10.2 | H046,export@agrino.gr,+30 2311816000
Agrioil SPA,Italy,Fine Food,https://www.agrioil.it,Hall 05.2 | C047,marela@agrioil.it,+39 0828943685
AGRISAR USA INC,United States of America,Meat,http://www.agrisar.com,Hall 09.1 | B016,darla.turner@agrisarusa.com,+1 154 024 6323 1
AGRISTO nv,Belgium,Frozen Food,https://www.agristo.com,Hall 04.1 | E069,sales@agristo.com,+32 (56) 54 09 00
Agro Aceitunera S.A.,Argentina,Fine Food,http://www.agroaceitunera.com.ar,Hall 04.1 | B093,comex@nucete.com.ar,+54 1151730600
AGRO CITY LLC,Uzbekistan,,,Hall 5.1 | B079 C078,,
Agro Fergi SAC,Peru,,,Hall 3.1 | B015,,
AGRO JUICE PROCESSING SA-AJP,Morocco,Fine Food,http://agrojus.com,Hall 11.3 | A040 B049,,
AGRO QUEEN SP. Z O.O.,Poland,,,Hall 6.1 | A071,,
Agro Servicios Terminel,Mexico,,,Hall 3.1 | C078 D079,,
Agro Sevilla Aceitunas SCA,Spain,,,Hall 11.1 | B009a,,
Agro-Florentina Sh.P.K.,Kosovo,Fine Food,http://agroflorentina.net/,Hall 02.1 | E012,agro.florentina.shpk@gmail.com,+38349667388
Agro-Handel Sp. z o.o.,Poland,Meat,http://www.agro-handel.com.pl,Hall 06.1 | E110,msiejek@agro-handel.com.pl,+48 668406698
Agro-Haribec inc.,Canada,Fine Food,http://www.haribec.com,Hall 11.2 | D035,pierre-marc@haribec.com,+1 151 429 7042 8
Agro-Wit Malinowska Agnieszka,Poland,Organic,https://agro-wit.pl/en/,Hall 05.1 | C083,agrowitaga@interia.pl,+48 604429486
AGRO. ARG. S.R.L.,Argentina,,,Hall 3.1 | B074a,,
"AgroAguiar - Agroindústria, SA",Portugal,,,Hall 11.1 | F053,,
AgroEknor Ltd,Nigeria,,,Hall 8.1 | A015a,,
Agroexport SRL,Bolivia,,,Hall 4.1 | D098 C091,,
Agrofin Agrocommodities SA,Argentina,Fine Food,https://www.agrofin.com.ar/,Hall 03.1 | B072,info@agrofin.com.ar,+54 3415360193
AGROFINO FOODS S.A.C,Peru,,,Hall 3.1 | B013,,
Agrofirma Pole LLC,Ukraine,Fine Food,https://agropole.com.ua/,Hall 05.2 | D057,office@agropole.com.ua,+380 667230003
"Agrogentra & Co.,Ltd.Xiamen",China,,,Hall 5.2 | E054,,
AGROHALL LTD,Canada,Fine Food,http://www.agrohall.com,Hall 11.2 | C034a,agrohall@agrohall.com,+1 514 369 2476
AGROINDUSTRIA FRUTOS DE ORO SAC,Peru,Frozen Food,http://www.agrofruto.pe,Hall 04.2 | E050,,+51 981540331
Agroindustria Qualita do Brasil Ltda.,Brazil,Drinks,http://www.qualitabrasil.com,Hall 08.1 | B039a,cesar@qualitabrasil.com,+55 41992521985
AGROINDUSTRIAL ARAGONESA SA,Spain,Fine Food,http://www.originiafoods.com,Hall 11.1 | B020a,,
Agroindustrial Montana Azul,Costa Rica,Fine Food,http://www.montana-azul.com,Hall 03.1 | B010 B018,info@montana-azul.com,+506 22614128
Agroindustrial y comercial Superfruit li,Chile,Fine Food,https://www.superfruit.cl/,Hall 03.1 | B067a,,
Agroindustrias AIB S.A.,Peru,,,Hall 4.2 | E066,,
Agroleader ASIA,Kazakhstan,Fine Food | Start-up Area,http://www.agroleader.com.kz,Passage Halle 10 Halle 11 009,manager@agroleader.com.kz,+7 7769908463
Agrolegumi S.p.A.,Italy,,,Hall 5.2 | B029a,,
Agroline Georgian walnut enterprise,Georgia,Fine Food,http://www.georgianwalnut.com,Hall 11.1 | D050,agrovia.ltd@gmail.com,+995 577403099
Agroline Sp. z o.o. Sp.k.,Poland,Meat,https://agrolinepoland.pl/,Hall 09.1 | A020,kamil@agrolinepoland.pl,+48 609299970
Agromar,Chile,Fine Food,http://www.agromar.cl,Hall 03.1 | B071,,
AGROMAR INDUSTRIAL S.A.,Peru,Drinks | Frozen Food,http://www.agromarindustrial.com.pe,Hall 04.2 | E052,dhidalgo@agromarindustrial.com.pe,+51 960536135
AGROMASS BRASIL IMPORTACAO EXPORTACAO,Brazil,Meat,http://www.agromassbrasil.com.br,Hall 06.1 | D077,roberta@agromassbrasil.com.br,+55 17982020282
Agromir JV LLC,Uzbekistan,Chilled & Fresh Food | Drinks,http://agromir.uz/,Hall 05.1 | B079 C078,dinara_ismailova@agromir.uz,+998 935019923
Agromonte - RossoCiliegino Agricola s.r.l. società a socio unico,Italy,,,Hall 11.2 | F029,,
AGRONEGOCIOS WIRACCOCHA DEL PERÚ S.A.C.,Peru,Organic,https://wiraccocha.com.pe/,Hall 03.1 | A008,comex@wiraccocha.com.pe,+51 966013142
Agronik Ltd,Bulgaria,Organic,http://www.agronik.com,Hall 05.1 | F013,agronik@gbg.bg,+359 882051100
AGRONOMIA AGRO FOOD INNOVATION SRL,Romania,,,Hall 9.1 | A051b,,
Agropal West Africa,Ghana,Fine Food,http://www.agropalwa.com,Hall 05.2 | C059,info@agropalwa.com,+233 0302949725
AGROPARTNER DOO SERBIA,Serbia,Frozen Food,http://www.agropartnerfruit.com,Hall 04.2 | B068,agropartner@agropartnerfruit.com,+381 32817016
"Agropecuaria Carrasco, S.L.",Spain,Fine Food,http://www.aspontis.com,Hall 11.1 | E030,export@aspontis.com,+34 629430625
Agropecuaria Produza S.A.,Paraguay,Organic,http://www.produza.com.py,Hall 05.1 | C059 D058,fernando@produza.com.py,+595 984255830
AGROPHOENIX SA,Greece,Drinks,http://www.agrophoenix.gr,Hall 08.1 | E031,info@agrophoenix.gr,+30 2332047430
Agroprimus S.A.,Argentina,Fine Food,https://www.agroprimus.com.ar/,Hall 03.1 | C072,info@agroprimus.com.ar,+54 2983432578
Agroprodsnek,Ukraine,Fine Food,http://www.aps.com.ua,Hall 05.2 | E058,apsnek.prod3@gmail.com,+380 669975636
Agrosemcu Srl,Romania,Bread & Bakery,http://www.senadelice.ro,Hall 02.2 | D017,office@senadelice.ro,
AgroSprint,Hungary,,,Hall 4.2 | C061,,
