name,years,stand_2023,stand_2024,stand_2025,status_2023,status_2024,status_2025,website,description_pl,description_en,contact,nip,logo,real_website,email,phone,whatsapp,linkedin,facebook,instagram,youtube,tiktok,representative
Dadaux,2023,B2.16,,,Sprzedane,,,http://dadaux.pl/,.,,,7282541301,https://www4.pwe-expoplanner.com/sklep/img/logo/7715.jpg,https://dadaux.com.pl/,dadaux@dadaux.pl,20100101; 021827 50; +48 43 843 07 65,,,,,,,
N&N Nadratowski Food Processing Equipment,2023,B3.11,,,Sprzedane,,,http://www.nadratowski.com/,,,,7742868938,https://www4.pwe-expoplanner.com/sklep/img/logo/4011.jpg,https://www.nadratowski.com/,info@nadratowski.com; serwis@nadratowski.com,2014-2020; 7742868938; +48 24 261 52 61,,https://pl.linkedin.com/company/nn-nadratowski,https://pl-pl.facebook.com/nnnadratowski/,,https://www.youtube.com/user/NNFoodProcessingEq/videos,,
Polska Izba Opakowań,"2023,2024,2025",B2.12,C3.04,C1.40b,Sprzedane,Sprzedane,Sprzedane,https://pio.org.pl/,"Polska Izba Opakowań została utworzona w październiku 1994 r. Izba jest organizacją samorządu przedsiębiorców skupiającą producentów opakowań, materiałów opakowaniowych, maszyn i urządzeń dla przemysłu opakowań.",,,5211206178,https://www4.pwe-expoplanner.com/sklep/img/logo/4322.jpg,https://pio.org.pl/,info@pio.org.pl; biuro@pio.org.pl; prezes@pio.org.pl,10000000; 548622567991; 96793340,,https://www.linkedin.com/company/polska-izba-opakowan/,https://www.facebook.com/polskaizbaopakowan,,,,Izby Do (Prezes)
Urschel International-Polska,2023,B1.14,,,Sprzedane,,,https://www.urschel.com/index.php,,,,1230740327,https://www4.pwe-expoplanner.com/sklep/img/logo/4929.jpg,https://www.urschel.com/,,2023-11-27; 2026-05-19; 00000026,,https://www.linkedin.com/company/urschel,https://www.facebook.com/urschelUSA/,,https://www.youtube.com/channel/UCm1slk3jkE5kvJASoAPRXyw/videos,,
Womat,2023,B3.37,,,Sprzedane,,,https://womat.com.pl/,,,,6351794738,https://www4.pwe-expoplanner.com/sklep/img/logo/9334.jpg,https://womat.com.pl/,biuro@womat.com.pl; redakcja@womat.com.pl; dtp@womat.com.pl,0000324489; 635-179-47-38; 6890 0183,,,,,,,
SCANVAEGT SYSTEMS,2023,B2.17,,,Sprzedane,,,https://www.scanvaegt.com/pl/,"Jesteśmy liderem w zakresie rozwiązań optymalizacyjnych dla procesów produkcyjnych w przemyśle spożywczym, opartych na ważeniu, etykietowaniu, porcjowaniu, kalibrowaniu i zarządzaniu produkcją. Z nami uzyskasz pełną kontrolę nad produkcją, zwiększysz wydajność i uzyski. Zapewniamy sprawdzone narzędzia do ochrony Twojej marki.","We are the leader in scope of optimization solutions for production processes in food industry based on weighing, labeling, portioning, grading and production management. With us, you will gain full control over production, increase efficiency and yields. We provide proven tools to protect your brand.",,5272681608,https://www4.pwe-expoplanner.com/sklep/img/logo/7807.jpg,https://www.scanvaegt.com:443/,,,,,,,,,
Mysak Group,2023,B2.15,,,Sprzedane,,,http://mysak.pl/,,,,7811829121,https://www4.pwe-expoplanner.com/sklep/img/logo/10116.jpg,https://mysak.pl/,mysak@mysak.pl; serwis@mysak.pl; r.rumplewicz@mysak.pl,2021-06-08; 2026-02-24; 618101627,,https://www.linkedin.com/company/mysak-group,,,https://www.youtube.com/channel/UCEnRnBSHMlWO6MwIbpN0JhQ,,
FC Foodconcept,2023,B2.06,,,Sprzedane,,,https://food-concept.eu/,,,,6040112406,https://www4.pwe-expoplanner.com/sklep/img/logo/15055.jpg,https://www.food-concept.eu/,m.banhegyi@food-concept.eu; d.wasowicz@food-concept.eu; p.wasowicz@food-concept.eu,+48 514 119 002; +48 514 119 004; +48 514 119 003,https://wa.me/+48669449413,https://www.linkedin.com/company/fcfoodconcept,https://www.facebook.com/FCfoodconcept,https://www.instagram.com/food_concept.eu/,https://www.youtube.com/@FoodconceptPoland,,
TI-MA,2023,B2.28,,,Sprzedane,,,https://www.ti-ma.pl/,,,,5840452770,https://www4.pwe-expoplanner.com/sklep/img/logo/17537.jpg,https://ti-ma.pl/,sekretariat@ti-ma.pl; a.stadnik@ti-ma.pl; g.szarmach@ti-ma.pl,2024-02-16; 2025-09-23; 2023-02-16,,,,,https://www.youtube.com/@Ti-MaMaszyny,,Grzegorz Szarmach Młodszy (Specjalista) | Wojciech Urban Młodszy (Specjalista) | Grzegorz Szwed Starszy (Specjalista)
PPHU MADEJPAK,2023,B1.07,,,Sprzedane,,,https://madejpak.pl/,,,,8681986442,https://www4.pwe-expoplanner.com/sklep/img/logo/17160.jpg,https://madejpak.pl/,biuro@madejpak.pl; serwis@madejpak.pl,+48123454397; 8681986442; +48 12 345 43 97,,https://www.linkedin.com/company/madejpak/posts/,,,,,
Radpak Fabryka Maszyn Pakującychwied,2023,B3.05,,,Sprzedane,,,https://www.radpak.pl/,,,,8880401289,https://www4.pwe-expoplanner.com/sklep/img/logo/17753.jpg,https://www.radpak.pl/,,,,,,,,,
SPOMASZ ZAMOŚĆ,2023,B1.24a,,,Sprzedane,,,https://spomasz.biz.pl/pl,,,,9221332679,https://www4.pwe-expoplanner.com/sklep/img/logo/7035.jpg,https://www.spomasz.biz.pl/pl,marketing@spomasz.biz.pl; spomasz@spomasz.biz.pl; karpinski@spomasz.biz.pl,2147483647; 17095858128; 84 639 36 71,,,https://www.facebook.com/SpomaszZamoscSa/about/,,,,Produkcji Stanisław Szykuła (Kierownik)
Air Products,2023,B1.16,,,Sprzedane (Targi PWE),,,http://www.airproducts.com.pl/,.,,,5260213184,https://www4.pwe-expoplanner.com/sklep/img/logo/7940.jpg,https://www.airproducts.com.pl/,,1996-2026,,,,,,,
Domowe Sanatorium Zimnoch,"2023,2024,2025",B3.21a,C1.18a,C3.20,Sprzedane,Sprzedane,Sprzedane,https://domowesanatorium.pl/,Wyciskarki,,,5422991903,https://www4.pwe-expoplanner.com/sklep/img/logo/3096.jpg,https://domowesanatorium.pl/,kontakt@domowesanatorium.pl; marketing@domowesanatorium.pl,2017-10-01; 2024-07-08; 1553675757871,,,,,,,
Sacmi Packaging & Chocolate,2023,B2.27b,,,Sprzedane,,,https://www.sacmi.com/,MIĘDZYNARODOWY LIDER W INŻYNIERII INSTALACJI PRZEMYSŁOWYCH,,,6751640039,https://www4.pwe-expoplanner.com/sklep/img/logo/3352.jpg,https://sacmi.com/,sacmi@sacmi.it; sacmiimola@legalmail.it; sacmiamministrazione@legalmail.it,(57251605; +39-0542-607111; +39-0542-642354,,https://www.linkedin.com/company/sacmi,https://www.facebook.com/sacmi.it/,,https://www.youtube.com/user/SacmiWebServices,,
PB Technik Sp. z o.o.,2023,B2.14b,,,Sprzedane,,,https://pbtechnik.com.pl/,"PB Technik od 25 lat specjalizuje się w dostarczaniu zaawansowanych rozwiązań technologicznych dla przemysłu elektronicznego.
Oferta obejmuje szeroką gamę rozwiązań, od urządzeń do lutowania, przez systemy inspekcji optycznej, aż po maszyny do automatycznego montażu komponentów SMT i THT.",,,9521783400,https://www4.pwe-expoplanner.com/sklep/img/logo/4753.jpg,https://pbtechnik.com.pl/,info@pbtechnik.com.pl,26589340; 2026-05-25; 2026-03-01,,https://www.linkedin.com/company/pbtechnik-pl,https://www.facebook.com/PB-Technik-maszyny-materia%C5%82y-i-technologie-dla-przemys%C5%82u-elektronicznego-602380906579551/,,https://www.youtube.com/channel/UCKLXsT4ZAMkNMMwiNKmXyLQ/featured,,
CLEVRO Robert Klemba PHUP,2023,B1.23,,,Sprzedane,,,https://www.clevro.pl/,,,,8351384183,https://www4.pwe-expoplanner.com/sklep/img/logo/5333.jpg,https://www.clevro.pl/,clevro@clevro.pl; serwis@clevro.pl; handel@clevro.pl,2022-04-05; 2023-10-06; 1678126669667,,,https://www.facebook.com/Clevro-Myjki-245060425686426,,,,Arkadiusz Wolnicki (Dyrektor)
NABOR,2023,B3.31a,,,Sprzedane,,,http://nabor.pl/,,,,7151138616,https://www4.pwe-expoplanner.com/sklep/img/logo/13506.jpg,https://nabor.pl/,nabor@nabor.pl,25050794; 119012880,,,,,,,
BACHA,2023,B2.27a,,,Sprzedane,,,http://www.bachabg.com.pl/,,,,5242425042,https://www4.pwe-expoplanner.com/sklep/img/logo/8827.jpg,,,,,,,,,,
STIGEN,2023,B1.24b,,,Sprzedane (Targi PWE),,,http://www.stigen.pl/,,,,5532463803,https://www4.pwe-expoplanner.com/sklep/img/logo/7954.jpg,https://stigen.pl/,biuro@stigen.pl; handel@stigen.pl; serwis@stigen.pl,2021-05-10; 2026-03-12; +48 33 861 65 70,,,,,,,
PPHU LA-MAR Tadeusz Lasotano,2023,B1.28a,,,Sprzedane,,,https://la-mar.com.pl/pl/kontakt,,,,7290105359,https://www4.pwe-expoplanner.com/sklep/img/logo/7998.jpg,https://la-mar.com.pl/kontakt/,rafal.debowski@la-mar.com.pl; roksana.jankowska@la-mar.com.pl; michal.opilowski@la-mar.com.pl,2023-10-04; 2026-02-20; 42-680-23-94,,,,,,,
Garos,2023,B2.14a,,,Sprzedane,,,https://garos.se/representatives/,,,,9671167335,https://www4.pwe-expoplanner.com/sklep/img/logo/15813.jpg,https://garos.se/representatives/,,2022-08-01; 2026-05-21; (5411) 5368-8228,,https://www.linkedin.com/company/food-technology-sa,,,https://www.youtube.com/@abgaros6164,,
SIMUL,2023,B1.17,,,Sprzedane,,,https://aplikacja.ceidg.gov.pl/CEIDG/CEIDG.Public.UI/Search.aspx,,,,8231641252,https://www4.pwe-expoplanner.com/sklep/img/logo/15576.jpg,,,,,,,,,,
Trade Mysak,2023,B3.15,,,Sprzedane,,,http://trademysak.pl/,,,,7811876853,https://www4.pwe-expoplanner.com/sklep/img/logo/12875.jpg,https://trademysak.pl/,biuro@trademysak.pl; k.wozniak@trademysak.pl; d.witkiewicz@trademysak.pl,00000000; 20120202; 1693310399766,,https://www.linkedin.com/company/3481373/admin/feed/posts/,,,https://www.youtube.com/channel/UCGLDDqjDIVY1JhUBp2uUFAQ,,Jan Kowalski (CEO) | Jan Kowalski (CEO) | Jan Kowalski (CEO)
REMMERS POLSKA,2023,B3.31b,,,Sprzedane,,,https://www.remmers.pl/pl/Remmers-Polska,"Specjalizujemy się w produkcji chemii budowlanej, farb i lakierów do drewna oraz powłok przemysłowych",,,7821420221,https://www4.pwe-expoplanner.com/sklep/img/logo/13426.jpg,https://www.remmers.pl/pl/Remmers-Polska,info.pl@remmers.com; rekrutacja@remmers.com,1779362066164; 73125579; 48) 61 816 81 00,,,,,,,Pan Michał Reck (Prezes) | Krzysztof Borzymiński (Dyrektor) | Michał Reck (Prezes)
No Limits Composites,2023,B3.08,,,Sprzedane,,,https://nolimitscomposites.pl/,ADRES KORESPONDENCYJNYul. Kolejowa 31A29-100 Włoszczowa,,,6090039462,https://www4.pwe-expoplanner.com/sklep/img/logo/14265.jpg,https://nolimitscomposites.pl/,michal.lichosik@nolimitscomposites.pl,2022-10-29; 2023-01-03; 1342177279,,,,,,,
Luneos,2023,B3.17,,,Sprzedane,,,https://www.luneos.pl,LUNEOS to czołowy dostawca rozwiązań z zakresu odnawialnych źródeł energii dla polskich firm. Oferowane rozwiązania transformacji energetycznej finansowane w usłudze abonamentu pozwalają wprowadzić niezbędne innowacje i przejść z czarnej na zieloną energię.,LUNEOS is a leading provider of renewable energy solutions for Polish companies. The offered subscription-based energy transformation solutions allow you to introduce the necessary innovations and move from black to green energy.,,8513221064,https://www4.pwe-expoplanner.com/sklep/img/logo/14527.jpg,https://luneos.pl/,info@luneos.pl; zgloszenia@luneos.pl; j.kwiatkowski@luneos.pl,2022-02-02; 2026-02-27; 2022-02-07,,https://www.linkedin.com/company/luneos/,https://www.facebook.com/Luneos-Tw%C3%B3j-partner-transformacji-energetycznej-111828403601113,,https://www.youtube.com/channel/UCCwCh-St3pmAbZrVXRcx9Rg,,Marek Kostecki (Prezes) | Radosław Andrzejewski (Dyrektor) | Quality Group (Manager)
AIC,2023,B1.28b,,,Sprzedane,,,https://www.myrma.eu/,,,,5891936466,https://www4.pwe-expoplanner.com/sklep/img/logo/15108.jpg,https://myrma.eu/,sales@myrma.eu,934573210; +48 58 350 65 50; 0000304949,,https://www.linkedin.com/company/18023562/,https://www.facebook.com/LaserExpertsRMA,https://www.instagram.com/laserexpertsrma/,https://www.youtube.com/channel/UCtlwgSlAH9MJ0-B7FM945aw,,
Niagara-System,2023,B3.25a,,,Sprzedane,,,https://niagara-system.eu/,,,,5621814003,https://www4.pwe-expoplanner.com/sklep/img/logo/16579.jpg,https://niagara-system.eu/,info@niagara-system.eu,2020-11-12; 2024-12-02; +48 516 707 858,,,,,https://www.youtube.com/channel/UCkvr_1lWEL0KvOwtynSUv2Q,,
Atmopol,2023,B3.06,,,Sprzedane,,,https://www.atmopol.com.pl/,,,,6791105080,,https://atmopol.com.pl/,biuro@atmopol.com.pl,2022-09-05; 2025-09-01; 84394186,,https://www.linkedin.com/company/atmopolkrakow/,,,,,
kablonex,2023,B1.18,,,Sprzedane,,,https://kablonex.pl/,"Firma Kablonex powstała w 1971 roku i od tego czasu nieustannie się rozwija inwestując w najnowsze technologie do produkcji folii oraz poszerzając swoja ofertę o nowe innowacyjne produkty. Odbiorcami są zarówno producenci krajowi jak i zagraniczni, w tym duże korporacje oraz mniejsze zakłady produkcyjne. Kablonex jest producentem zaawansowanych technologicznie folii wielowarstwowych, gdzie połączenie najnowocześniejszych technologii z polityką zrównoważonego rozwoju stawia nas w czołówce liderów promujących zasadę ekologia-produkcja-ekonomia.",,,6070084790,https://www4.pwe-expoplanner.com/sklep/img/logo/17292.jpg,https://kablonex.pl/,,2015-12-12; 2026-05-14; 48) 67 281 11 51,,,,,,,Roman Łęga Key (Account Manager) | Monika Kułak Key (Account Manager) | Junior Business Development (Manager)
Solution 4 Labs,2023,B3.21b,,,Sprzedane,,,https://solution4labs.com/pl/,,,,5272725493,https://www4.pwe-expoplanner.com/sklep/img/logo/17952.jpg,https://www.solution4labs.com/,,2545352419; 2197735472; 1180020854,,,,,,,
FHU THN SŁAWOMIR SZROMEK,2023,B1.21c,,,Sprzedane,,,https://witrynki.pl/,,,,6461813224,https://www4.pwe-expoplanner.com/sklep/img/logo/12624.jpg,https://witrynki.pl/,sklep@witrynki.pl,05.82110326; 444534370667404; 514 195 142,,,,,,,
Oex Cursor,"2023,2024",B1.21a,C3.46,,Sprzedane,Sprzedane (Targi PWE),,https://oexcursor.pl/,.,,,5213141885,https://www4.pwe-expoplanner.com/sklep/img/logo/9217.jpg,,,,,,,,,,
Hoben -omandytowa,2023,B1.21b,,,Sprzedane,,,https://www.hoben.pl/,,,,7732489866,https://www4.pwe-expoplanner.com/sklep/img/logo/17676.jpg,https://www.hoben.pl/,biuro@hoben.pl; dboryslawski@hoben.pl; rpowierza@hoben.pl,2020-07-08; 2023-04-18; 507 725 736,,,https://www.facebook.com/HOBEN-246261562446562/,,,,Techniczny Krzysztof Węgrzynowski (Dyrektor)
Województwo Wielkopolskie z siedzibą Urzędu Marszałkowskiego Woj,"2024,2025",,C2.20,C3.01,,Sprzedane,Sprzedane (Targi PWE),https://www.umww.pl/,URZAD,,,7781346888,https://www4.pwe-expoplanner.com/sklep/img/logo/36783.jpg,https://www.umww.pl/,kancelaria@umww.pl; sejmik@umww.pl,41944380; 61 626 66 66; 2021-2027,,,https://www.facebook.com/umwwpl,,https://www.youtube.com/channel/UCZ9qTi9FJVqJ4DjQ1rXs9PA,,Małgorzata Ziarnek Zastępca (Dyrektor)
URZĄD MARSZAŁKOWSKI WOJEWÓDZTWA MAZOWIECKIEGO W WARSZAWIE,"2024,2025",,C2.02,C3.15,,Sprzedane,Sprzedane (Targi PWE),HTTP://www.mazovia.pl,"Urząd Marszałkowski Województwa Mazowieckiego w Warszawie jest wojewódzką samorządową jednostką organizacyjną działającą w formie jednostki budżetowej, przy pomocy której zarząd i marszałek województwa wykonują swoje zadania i kompetencje niezastrzeżone na rzecz sejmiku i wojewódzkich samorządowych jednostek organizacyjnych. Został utworzony 1 stycznia 1999 r. na podstawie art. 27 ustawy z dnia 13 października 1998 r. - Przepisy wprowadzające ustawy reformujące administrację publiczną (Dz. U. Nr 133, poz. 872 ze zm.).Zapewnia on realizację zadań przypisanych marszałkowi województwa, zarządowi województwa oraz sejmikowi województwa przez dostarczanie najwyższej jakości usług publicznych, celowe i efektywne gospodarowanie powierzonymi środkami, tak aby maksymalizować wartość dla obywateli na terenie województwa.",,,5252087227,https://www4.pwe-expoplanner.com/sklep/img/logo/14726.jpg,https://mazovia.pl/,urzad_marszalkowski@mazovia.pl; rzecznik@mazovia.pl; koordynator_dostepnosci@mazovia.pl,2023-2027; 2022-2025; 2522735003,,,https://www.facebook.com/MazowieckieWojewodztwo,,https://www.youtube.com/channel/UCADZyobDCWVBe6I6CwLzcMQ,,
ETERNO,"2024,2025",,C2.02,C3.15,,Sprzedane,Sprzedane (Targi PWE),https://eterno.pl/,"Jesteśmy rodzinną manufakturą z serca Mazowsza, nasze przetworyprzygotowujemy tradycyjnie wg przepisów przekazywanych od pokoleń.Łączymy tradycję z nowoczesnością. Tworzymy też własne, unikalnereceptury. Produkujemy naturalne przetwory, owoce w syropach,powidła śliwkowe, konfitury, sosy, syropy, chrzany. W ofercie posiadamyprodukty wegańskie, wegetariańskie, bezglutenowe i bez cukru.","We are a family manufactore from the heart of Mazovia, we prepare ourpreserves traditionally according to recipes handed down forgenerations. We combine tradition with modernity. We also create ourown, unique recipes. We produce natural preserves, fruit in syrups, plumjam, preserves, sauces, syrups and horseradish. We offer vegan,vegetarian, gluten-free and sugar-free products.","xxx, 00-000, xxx, Polska",,https://www4.pwe-expoplanner.com/sklep/img/logo/18500.png,,,,,,,,,,
Zielono Mi Agnieszka Jarosińska,"2024,2025",,C2.02,C3.15,,Sprzedane,Sprzedane (Targi PWE),https://www.przetworyzborowki.pl,"Konfitury (o obniżonej zawartości cukru oraz bez dodatku cukru, soki (tłoczone na zimno, bez dodatku cukru) oraz przeciery owocowe (bez dodatku cukru) głównie z borówki amerykańskiej, którą pozyskujemy z rodzinnego gospodarstwa, zajmującego się uprawą borówki od ponad 30 lat. W naszym asortymencie znajdują się również przetwory z jagody kamczackiej, wiśni, truskawek, jabłek, pigwowca, malin oraz żurawiny. 
","Zielono Mi is a fruit processing company. We produce jams - with reduced sugar content and no added sugar, juices - cold-pressed with no added sugar and natural fruit purees. Our assortment includes preserves mainly from Polish fruits. We operate in private label and service processing",,,https://www4.pwe-expoplanner.com/sklep/img/logo/46544.jpg,https://zielonomi.net/,kontakt@przetworyzborowki.pl; sklep@zielonomi.net; biuro@zielonomi.net,64181172; 37343463; 58490938,,,https://www.facebook.com/PrzetworyzBorowki,https://www.instagram.com/przetworyzborowki/,,,
Piekarnia Ratuszowa Radzikowscy,2024,,C2.02,,,Sprzedane,,http://ratuszowasiedlce.pl/,"Piekarnia Ratuszowa Radzikowscy to firma rodzinna z blisko 100-letnią tradycją. Jest to jedyna, przedwojenna i najstarsza piekarnia prowadzona nieprzerwanie od 1930 roku - obecnie przez trzecie pokolenie. Nasza firma do dzisiaj znajduje się w samym sercu starego centrum Siedlec, przy ulicy Piłsudskiego 12, obok zabytkowego ratusza zwanego „ Jackiem”.",,,,https://www4.pwe-expoplanner.com/sklep/img/logo/53845.jpg,http://ratuszowasiedlce.pl/,piekarnia@ratuszowasiedlce.pl,19077145; 25 632 36 74; 25 644 14 83,,,,,,,
Kraina Czarnego Bzu - Teresa i Andrzej Lubeccy,2024,,C2.02,,,Sprzedane,,https://krainabzu.pl/,"Kraina Czarnego Bzu to ekologiczne gospodarstwo na terenie gminy Puszcza Mariańska, gdzie od 2016 r. zajmujemy się uprawą i przetwarzaniem czarnego bzu. Zachowuje on najwyższą jakość poprzez tradycyjne metody konserwacji. Jest znany jako skarb medycyny ludowej. Oferujemy m. in. soki i syropy z kwiatów i owoców czarnego bzu, herbatki ziołowe z kwiatów czarnego bzu oraz czarny bez z jabłkiem.","The Elderberry Land is an ecological farm in the Puszcza Mariańska commune, where we cultivate and process elderberry since 2016. The products keep the highest quality through traditional methods of maintenance. We offer juices and syrups of elderberry and elderflowers from Puszcza Mariańska, herbal teas with elderflowers and elderberry with apples.","Budy-Kałki 5, 96-330, Budy-Kałki, Polska",,https://www4.pwe-expoplanner.com/sklep/img/logo/53881.jpg,https://krainabzu.pl/,eko@krainabzu.pl,2017-04-12; 2023-04-07; 2147483647,,,https://www.facebook.com/KrainaCzarnegoBzu/,,,,
INTERCHEMALL ZESPÓŁ MŁYNÓW JELONKI SPÓŁKA Z OGRANICZONĄ ODPOWIED,2024,,C2.02,,,Sprzedane,,http://www.zmjelonki.pl/,"INTERCHEMALL Zespół Młynów Jelonki Sp. z o.o. powstał w 1991 roku i jest jednym z największych Młynów w Polsce. Posiada trzy linie przemiałowe o łącznej zdolności produkcyjnej 800 t na dobę. Dostarcza swoje produkty zarówno na rynek krajowy, jak i zagraniczny, obsługując głównie piekarnie, makaroniarnie, zakłady cukiernicze, hurtownie spożywcze, sklepy sieciowe, mieszalnie pasz i rolników. Oferuje różnorodne mąki, w tym specjalistyczne na zamówienie. Posiada również system zarządzania zgodny z normami FSSC 22000, GMP+B1, produkcji ekologicznej i jakości Tradycja. Działy technologiczne, takie jak laboratorium surowca, mieszalnia mąk i dział kontroli jakości, wspierają realizację polityki jakościowej firmy.",,"., 00-000, ., Polska",,https://www4.pwe-expoplanner.com/sklep/img/logo/53905.jpg,http://www.zmjelonki.pl/,mlyn.jelonki@zmjelonki.pl; biuro@zmjelonki.pl,+48 29 645 75 60; +48 29 645 75 90; 137386884,,,https://www.facebook.com/Zesp%C3%B3%C5%82-M%C5%82yn%C3%B3w-Jelonki-Sp-z-oo-115584513526524/,,,,
